ko:K06896	efl:EF62_1332
ko:K00105	efl:EF62_2294
ko:K07171	efl:EF62_0316
ko:K17320	efl:EF62_1677
ko:K10040	efl:EF62_1568
ko:K07171	efl:EF62_0296
ko:K12574	efl:EF62_0031
ko:K19689	efl:EF62_2499
ko:K14155	efl:EF62_0004
ko:K01625	efl:EF62_0935
ko:K02773	efl:EF62_0936
ko:K02774	efl:EF62_0937
ko:K01684	efl:EF62_0939
ko:K07166	efl:EF62_0957
ko:K09157	efl:EF62_0958
ko:K02954	efl:EF62_0975
ko:K02911	efl:EF62_0976
ko:K09779	efl:EF62_1547
ko:K00782	efl:EF62_1560
ko:K03100	efl:EF62_1562
ko:K07462	efl:EF62_2066
ko:K07124	efl:EF62_2068
ko:K06960	efl:EF62_2071
ko:K02959	efl:EF62_2072
ko:K03106	efl:EF62_2076
ko:K07636	efl:EF62_2080
ko:K02040	efl:EF62_2081
ko:K00762	efl:EF62_2088
ko:K01591	efl:EF62_2089
ko:K01955	efl:EF62_2092
ko:K01956	efl:EF62_2093
ko:K01465	efl:EF62_2094
ko:K00609	efl:EF62_2095
ko:K02825	efl:EF62_2097
ko:K06180	efl:EF62_2098
ko:K03101	efl:EF62_2099
ko:K01938	efl:EF62_2101
ko:K03704	efl:EF62_2102
ko:K02888	efl:EF62_1346
ko:K02899	efl:EF62_1348
ko:K09946	efl:EF62_1356
ko:K00948	efl:EF62_0234
ko:K03785	efl:EF62_2106
ko:K01151	efl:EF62_2110
ko:K01866	efl:EF62_2113
ko:K02003	efl:EF62_2904
ko:K02346	efl:EF62_2908
ko:K02069	efl:EF62_2909
ko:K02068	efl:EF62_2910
ko:K07056	efl:EF62_2911
ko:K02341	efl:EF62_2914
ko:K00943	efl:EF62_2916
ko:K06187	efl:EF62_2918
ko:K03707	efl:EF62_2919
ko:K00941	efl:EF62_2927
ko:K00788	efl:EF62_2928
ko:K00878	efl:EF62_2929
ko:K09747	efl:EF62_2932
ko:K02343	efl:EF62_2933
ko:K00965	efl:EF62_2934
ko:K02913	efl:EF62_2951
ko:K00687	efl:EF62_2952
ko:K01868	efl:EF62_2953
ko:K01821	efl:EF62_2954
ko:K06287	efl:EF62_0236
ko:K03572	efl:EF62_0237
ko:K03555	efl:EF62_0238
ko:K09769	efl:EF62_0240
ko:K07118	efl:EF62_0245
ko:K03088	efl:EF62_0251
ko:K05339	efl:EF62_0262
ko:K05338	efl:EF62_0263
ko:K07704	efl:EF62_0265
ko:K02073	efl:EF62_0266
ko:K02072	efl:EF62_0267
ko:K02071	efl:EF62_0268
ko:K02954	efl:EF62_0270
ko:K02913	efl:EF62_0271
ko:K00384	efl:EF62_1791
ko:K01531	efl:EF62_1803
ko:K00161	efl:EF62_1804
ko:K00162	efl:EF62_1805
ko:K00627	efl:EF62_1806
ko:K00382	efl:EF62_1807
ko:K00005	efl:EF62_1809
ko:K05878	efl:EF62_1811
ko:K05879	efl:EF62_1812
ko:K03596	efl:EF62_2543
ko:K03695	efl:EF62_2546
ko:K15977	efl:EF62_2547
ko:K01756	efl:EF62_2550
ko:K01589	efl:EF62_2551
ko:K03816	efl:EF62_2553
ko:K01893	efl:EF62_2559
ko:K03763	efl:EF62_2567
ko:K01881	efl:EF62_2575
ko:K11749	efl:EF62_2576
ko:K01153	efl:EF62_2579
ko:K01154	efl:EF62_2580
ko:K01803	efl:EF62_2582
ko:K01625	efl:EF62_2584
ko:K03704	efl:EF62_1819
ko:K06193	efl:EF62_1826
ko:K01872	efl:EF62_1831
ko:K06967	efl:EF62_1832
ko:K03752	efl:EF62_1837
ko:K00334	efl:EF62_1840
ko:K03750	efl:EF62_1843
