ko:K00692	zmn:Za10_0866
ko:K01991	zmn:Za10_0388
ko:K19743	zmn:Za10_1195
ko:K00121	zmn:Za10_1498
ko:K14980	zmn:Za10_0028
ko:K03500	zmn:Za10_0031
ko:K11532	zmn:Za10_0772
ko:K14981	zmn:Za10_0029
ko:K07101	zmn:Za10_0610
ko:K01961	zmn:Za10_0539
ko:K02428	zmn:Za10_1164
ko:K03630	zmn:Za10_1762
ko:K04761	zmn:Za10_1488
ko:K00956	zmn:Za10_1173
ko:K03446	zmn:Za10_0335
ko:K04751	zmn:Za10_0762
ko:K06872	zmn:Za10_0268
ko:K00568	zmn:Za10_1563
ko:K13292	zmn:Za10_0933
ko:K00297	zmn:Za10_1478
ko:K00694	zmn:Za10_0234
ko:K07267	zmn:Za10_1305
ko:K01664	zmn:Za10_1085
ko:K13584	zmn:Za10_1799
ko:K13588	zmn:Za10_0524
ko:K03892	zmn:Za10_1860
ko:K01104	zmn:Za10_1062
ko:K07126	zmn:Za10_1067
ko:K13583	zmn:Za10_0838
ko:K03386	zmn:Za10_1489
ko:K07058	zmn:Za10_1528
ko:K04518	zmn:Za10_1541
ko:K03973	zmn:Za10_0249
ko:K00652	zmn:Za10_1226
ko:K00821	zmn:Za10_0837
ko:K02169	zmn:Za10_1228
ko:K01935	zmn:Za10_1228
ko:K00652	zmn:Za10_0070
ko:K03317	zmn:Za10_0334
ko:K00951	zmn:Za10_1108
ko:K13926	zmn:Za10_0484
ko:K02483	zmn:Za10_0961
ko:K13953	zmn:Za10_0095
ko:K07448	zmn:Za10_1147
ko:K09457	zmn:Za10_0906
ko:K01338	zmn:Za10_1377
ko:K01491	zmn:Za10_0385
ko:K01791	zmn:Za10_1869
ko:K04764	zmn:Za10_0203
ko:K00265	zmn:Za10_0206
ko:K00266	zmn:Za10_0207
ko:K06153	zmn:Za10_0208
ko:K03885	zmn:Za10_0210
ko:K06190	zmn:Za10_0211
ko:K03449	zmn:Za10_0212
ko:K06925	zmn:Za10_0217
ko:K03671	zmn:Za10_0221
ko:K12573	zmn:Za10_0222
ko:K06167	zmn:Za10_0224
ko:K03424	zmn:Za10_0225
ko:K01874	zmn:Za10_0226
ko:K02341	zmn:Za10_0227
ko:K02372	zmn:Za10_0180
ko:K02909	zmn:Za10_0181
ko:K00384	zmn:Za10_0184
ko:K00053	zmn:Za10_0185
ko:K01653	zmn:Za10_0186
ko:K01652	zmn:Za10_0187
ko:K00791	zmn:Za10_0188
ko:K00428	zmn:Za10_0190
ko:K03592	zmn:Za10_0191
ko:K01673	zmn:Za10_0193
ko:K03644	zmn:Za10_0194
ko:K03743	zmn:Za10_0196
ko:K12506	zmn:Za10_0198
ko:K03974	zmn:Za10_0253
ko:K04564	zmn:Za10_0254
ko:K01633	zmn:Za10_0255
ko:K02621	zmn:Za10_0259
ko:K01923	zmn:Za10_0260
ko:K02036	zmn:Za10_0261
ko:K02038	zmn:Za10_0262
ko:K02037	zmn:Za10_0263
ko:K02040	zmn:Za10_0264
ko:K03282	zmn:Za10_0266
ko:K03744	zmn:Za10_0267
ko:K01515	zmn:Za10_0269
ko:K00525	zmn:Za10_0271
ko:K00943	zmn:Za10_0228
ko:K02884	zmn:Za10_0237
ko:K00554	zmn:Za10_0238
ko:K02860	zmn:Za10_0239
ko:K02959	zmn:Za10_0240
ko:K03106	zmn:Za10_0241
ko:K01778	zmn:Za10_0242
ko:K03110	zmn:Za10_0244
ko:K02426	zmn:Za10_0247
ko:K03970	zmn:Za10_0250
ko:K03969	zmn:Za10_0251
ko:K01940	zmn:Za10_0273
ko:K00574	zmn:Za10_0275
ko:K06941	zmn:Za10_0276
ko:K06920	zmn:Za10_0282
ko:K07258	zmn:Za10_0229
ko:K03642	zmn:Za10_0230
ko:K04080	zmn:Za10_0312
ko:K06204	zmn:Za10_0315
ko:K01875	zmn:Za10_0316
ko:K03787	zmn:Za10_0317
ko:K02034	zmn:Za10_0320
ko:K02338	zmn:Za10_0322
ko:K02016	zmn:Za10_0324
ko:K00720	zmn:Za10_0329
ko:K06901	zmn:Za10_0332
ko:K03543	zmn:Za10_0336
ko:K01443	zmn:Za10_0339
ko:K03814	zmn:Za10_0342
ko:K00413	zmn:Za10_0343
ko:K00412	zmn:Za10_0344
ko:K00411	zmn:Za10_0345
ko:K03216	zmn:Za10_0348
ko:K00228	zmn:Za10_0349
ko:K03544	zmn:Za10_0351
ko:K01358	zmn:Za10_0352
ko:K03545	zmn:Za10_0354
ko:K01193	zmn:Za10_0356
ko:K00832	zmn:Za10_0361
ko:K04487	zmn:Za10_0283
ko:K07018	zmn:Za10_0284
ko:K01581	zmn:Za10_0285
ko:K00809	zmn:Za10_0286
ko:K02066	zmn:Za10_0287
ko:K02065	zmn:Za10_0288
ko:K02067	zmn:Za10_0289
ko:K02518	zmn:Za10_0291
ko:K06287	zmn:Za10_0292
ko:K09862	zmn:Za10_0294
ko:K08994	zmn:Za10_0298
ko:K00796	zmn:Za10_0299
ko:K03470	zmn:Za10_0301
ko:K03431	zmn:Za10_0303
ko:K03305	zmn:Za10_0304
ko:K00549	zmn:Za10_0305
ko:K07566	zmn:Za10_0306
ko:K07304	zmn:Za10_0307
ko:K01625	zmn:Za10_0308
ko:K00684	zmn:Za10_0370
ko:K02067	zmn:Za10_0372
ko:K03704	zmn:Za10_0373
