ko:K09796	ahh:RY45_18710
ko:K18816	ahh:RY45_14375
ko:K01990	ahh:RY45_02745
ko:K01175	ahh:RY45_08345
ko:K11209	ahh:RY45_09355
ko:K19789	ahh:RY45_13610
ko:K14235	ahh:RY45_21310
ko:K14235	ahh:RY45_21080
ko:K14230	ahh:RY45_17050
ko:K14230	ahh:RY45_10920
ko:K14230	ahh:RY45_10930
ko:K14230	ahh:RY45_10915
ko:K14230	ahh:RY45_10925
ko:K14230	ahh:RY45_10910
ko:K14230	ahh:RY45_04675
ko:K19745	ahh:RY45_01170
ko:K00087	ahh:RY45_11955
ko:K02476	ahh:RY45_10600
ko:K00984	ahh:RY45_02925
ko:K15852	ahh:RY45_03225
ko:K04057	ahh:RY45_14005
ko:K01801	ahh:RY45_13790
ko:K20862	ahh:RY45_02705
ko:K20881	ahh:RY45_03350
ko:K20801	ahh:RY45_09770
ko:K02837	ahh:RY45_04105
ko:K03828	ahh:RY45_04125
ko:K10536	ahh:RY45_04150
ko:K01426	ahh:RY45_04155
ko:K17837	ahh:RY45_04170
ko:K00428	ahh:RY45_04225
ko:K01166	ahh:RY45_04240
ko:K00459	ahh:RY45_04250
ko:K02484	ahh:RY45_04290
ko:K13888	ahh:RY45_04300
ko:K05685	ahh:RY45_04305
ko:K02030	ahh:RY45_04310
ko:K02028	ahh:RY45_04315
ko:K02029	ahh:RY45_04320
ko:K02029	ahh:RY45_04325
ko:K01733	ahh:RY45_04330
ko:K01322	ahh:RY45_04335
ko:K07289	ahh:RY45_04340
ko:K00982	ahh:RY45_04355
ko:K03406	ahh:RY45_04365
ko:K10716	ahh:RY45_04370
ko:K07184	ahh:RY45_04375
ko:K13821	ahh:RY45_04380
ko:K03426	ahh:RY45_04385
ko:K08219	ahh:RY45_08750
ko:K09909	ahh:RY45_08760
ko:K00813	ahh:RY45_08780
ko:K03750	ahh:RY45_08790
ko:K01495	ahh:RY45_08795
ko:K03406	ahh:RY45_08800
ko:K11250	ahh:RY45_00275
ko:K07690	ahh:RY45_00305
ko:K07679	ahh:RY45_00310
ko:K02478	ahh:RY45_00320
ko:K02477	ahh:RY45_00325
ko:K08177	ahh:RY45_00330
ko:K01589	ahh:RY45_00335
ko:K01588	ahh:RY45_00340
ko:K07086	ahh:RY45_00350
ko:K03564	ahh:RY45_04965
ko:K03567	ahh:RY45_04970
ko:K01714	ahh:RY45_04975
ko:K07287	ahh:RY45_04980
ko:K01923	ahh:RY45_04985
ko:K09909	ahh:RY45_05000
ko:K07648	ahh:RY45_05020
ko:K01129	ahh:RY45_05025
ko:K03406	ahh:RY45_05045
ko:K05785	ahh:RY45_05050
ko:K02073	ahh:RY45_05055
ko:K02072	ahh:RY45_05060
ko:K02071	ahh:RY45_05065
ko:K00886	ahh:RY45_05080
ko:K18979	ahh:RY45_05085
ko:K17758	ahh:RY45_05090
ko:K17759	ahh:RY45_05090
ko:K06925	ahh:RY45_05095
ko:K01448	ahh:RY45_05100
ko:K03572	ahh:RY45_05105
ko:K00791	ahh:RY45_05110
ko:K03666	ahh:RY45_05115
ko:K03665	ahh:RY45_05120
ko:K04088	ahh:RY45_05125
ko:K04087	ahh:RY45_05130
ko:K09937	ahh:RY45_05135
ko:K02523	ahh:RY45_05140
ko:K02899	ahh:RY45_05150
ko:K03979	ahh:RY45_05155
ko:K00666	ahh:RY45_05165
ko:K01525	ahh:RY45_05200
ko:K06195	ahh:RY45_05205
ko:K02528	ahh:RY45_05210
ko:K00097	ahh:RY45_05215
ko:K03771	ahh:RY45_05220
ko:K04744	ahh:RY45_05225
ko:K07102	ahh:RY45_05230
ko:K05801	ahh:RY45_05240
ko:K06901	ahh:RY45_05245
ko:K18691	ahh:RY45_09620
ko:K01952	ahh:RY45_09625
ko:K00343	ahh:RY45_09645
ko:K00342	ahh:RY45_09650
ko:K00341	ahh:RY45_09655
ko:K00340	ahh:RY45_09660
ko:K00339	ahh:RY45_09665
ko:K00338	ahh:RY45_09670
ko:K00337	ahh:RY45_09675
ko:K00336	ahh:RY45_09680
ko:K00335	ahh:RY45_09685
ko:K00334	ahh:RY45_09690
ko:K13378	ahh:RY45_09695
ko:K00331	ahh:RY45_09700
ko:K00330	ahh:RY45_09705
ko:K02557	ahh:RY45_09710
ko:K02556	ahh:RY45_09715
ko:K08988	ahh:RY45_09725
ko:K06872	ahh:RY45_09730
ko:K03744	ahh:RY45_09735
ko:K07261	ahh:RY45_09740
ko:K18927	ahh:RY45_09785
ko:K09907	ahh:RY45_09810
