ko:K13671	pak:HMPREF0675_5433
ko:K02428	pak:HMPREF0675_4723
ko:K14652	pak:HMPREF0675_4804
ko:K01966	pak:HMPREF0675_4759
ko:K11263	pak:HMPREF0675_4772
ko:K05522	pak:HMPREF0675_4659
ko:K16264	pak:HMPREF0675_4291
ko:K01784	pak:HMPREF0675_3069
ko:K00805	pak:HMPREF0675_4978
ko:K01259	pak:HMPREF0675_3989
ko:K12503	pak:HMPREF0675_3624
ko:K00895	pak:HMPREF0675_4153
ko:K10797	pak:HMPREF0675_4609
ko:K01079	pak:HMPREF0675_5116
ko:K01119	pak:HMPREF0675_4924
ko:K05341	pak:HMPREF0675_3957
ko:K03574	pak:HMPREF0675_4838
ko:K08372	pak:HMPREF0675_5385
ko:K00564	pak:HMPREF0675_5115
ko:K13922	pak:HMPREF0675_4795
ko:K02056	pak:HMPREF0675_4787
ko:K05343	pak:HMPREF0675_4175
ko:K01186	pak:HMPREF0675_4627
ko:K06147	pak:HMPREF0675_5134
ko:K10947	pak:HMPREF0675_4674
ko:K11754	pak:HMPREF0675_3886
ko:K00297	pak:HMPREF0675_3802
ko:K07052	pak:HMPREF0675_3512
ko:K01897	pak:HMPREF0675_4671
ko:K01744	pak:HMPREF0675_3097
ko:K06975	pak:HMPREF0675_3099
ko:K03781	pak:HMPREF0675_3100
ko:K03405	pak:HMPREF0675_3103
ko:K03404	pak:HMPREF0675_3104
ko:K03890	pak:HMPREF0675_3780
ko:K03889	pak:HMPREF0675_3781
ko:K02276	pak:HMPREF0675_3782
ko:K02342	pak:HMPREF0675_3789
ko:K00845	pak:HMPREF0675_3791
ko:K00655	pak:HMPREF0675_3793
ko:K01626	pak:HMPREF0675_3795
ko:K03299	pak:HMPREF0675_3807
ko:K00281	pak:HMPREF0675_3810
ko:K02437	pak:HMPREF0675_3811
ko:K00605	pak:HMPREF0675_3812
ko:K03924	pak:HMPREF0675_3816
ko:K03925	pak:HMPREF0675_3817
ko:K03438	pak:HMPREF0675_3818
ko:K03587	pak:HMPREF0675_3820
ko:K01928	pak:HMPREF0675_3821
ko:K01929	pak:HMPREF0675_3822
ko:K01000	pak:HMPREF0675_3823
ko:K01925	pak:HMPREF0675_3824
ko:K03588	pak:HMPREF0675_3825
ko:K02563	pak:HMPREF0675_3826
ko:K01924	pak:HMPREF0675_3827
ko:K03589	pak:HMPREF0675_3828
ko:K03531	pak:HMPREF0675_3829
ko:K02230	pak:HMPREF0675_3105
ko:K06871	pak:HMPREF0675_3106
ko:K02013	pak:HMPREF0675_3107
ko:K02015	pak:HMPREF0675_3108
ko:K02016	pak:HMPREF0675_3109
ko:K02016	pak:HMPREF0675_3110
ko:K10254	pak:HMPREF0675_3112
ko:K00788	pak:HMPREF0675_3116
ko:K01546	pak:HMPREF0675_3120
ko:K01547	pak:HMPREF0675_3121
ko:K01548	pak:HMPREF0675_3122
ko:K07646	pak:HMPREF0675_3123
ko:K07667	pak:HMPREF0675_3124
ko:K03305	pak:HMPREF0675_3151
ko:K02768	pak:HMPREF0675_3155
ko:K02769	pak:HMPREF0675_3155
ko:K02770	pak:HMPREF0675_3155
ko:K05810	pak:HMPREF0675_3830
ko:K09772	pak:HMPREF0675_3831
ko:K02221	pak:HMPREF0675_3832
ko:K06204	pak:HMPREF0675_3834
ko:K03101	pak:HMPREF0675_3835
ko:K06180	pak:HMPREF0675_3836
ko:K00873	pak:HMPREF0675_3837
ko:K06199	pak:HMPREF0675_3838
ko:K06199	pak:HMPREF0675_3839
ko:K02335	pak:HMPREF0675_3843
ko:K02945	pak:HMPREF0675_3847
ko:K02016	pak:HMPREF0675_3850
ko:K02015	pak:HMPREF0675_3851
ko:K02013	pak:HMPREF0675_3852
ko:K00859	pak:HMPREF0675_3856
ko:K03405	pak:HMPREF0675_3858
ko:K03404	pak:HMPREF0675_3859
ko:K02230	pak:HMPREF0675_3861
ko:K02013	pak:HMPREF0675_3862
ko:K02015	pak:HMPREF0675_3863
ko:K02016	pak:HMPREF0675_3864
ko:K03702	pak:HMPREF0675_3869
ko:K03701	pak:HMPREF0675_3872
ko:K03703	pak:HMPREF0675_3877
ko:K06958	pak:HMPREF0675_3878
ko:K09762	pak:HMPREF0675_3880
ko:K01791	pak:HMPREF0675_3162
ko:K03885	pak:HMPREF0675_3166
ko:K03579	pak:HMPREF0675_3168
ko:K00226	pak:HMPREF0675_3201
ko:K03737	pak:HMPREF0675_3202
ko:K03303	pak:HMPREF0675_3206
ko:K00782	pak:HMPREF0675_3209
ko:K00134	pak:HMPREF0675_3881
ko:K00927	pak:HMPREF0675_3882
ko:K01803	pak:HMPREF0675_3883
ko:K03075	pak:HMPREF0675_3884
ko:K00940	pak:HMPREF0675_3888
ko:K02888	pak:HMPREF0675_3892
ko:K02899	pak:HMPREF0675_3893
ko:K03979	pak:HMPREF0675_3897
ko:K00931	pak:HMPREF0675_3898
