ko:K19743	apu:APA07_08140
ko:K07062	apu:APA07_43880
ko:K03560	apu:APA07_26220
ko:K09690	apu:APA07_23040
ko:K00254	apu:APA07_02520
ko:K22617	apu:APA07_10790
ko:K17103	apu:APA07_07820
ko:K22474	apu:APA07_00860
ko:K22473	apu:APA07_00870
ko:K19689	apu:APA07_03660
ko:K16013	apu:APA07_15410
ko:K16013	apu:APA07_12620
ko:K16012	apu:APA07_12610
ko:K13409	apu:APA07_03260
ko:K13408	apu:APA07_03270
ko:K12340	apu:APA07_12430
ko:K15726	apu:APA07_15930
ko:K22475	apu:APA07_07070
ko:K03297	apu:APA07_13370
ko:K03297	apu:APA07_21110
ko:K16012	apu:APA07_15400
ko:K02083	apu:APA07_12830
ko:K03446	apu:APA07_42510
ko:K07267	apu:APA07_22080
ko:K09769	apu:APA07_02550
ko:K09888	apu:APA07_02570
ko:K00788	apu:APA07_02610
ko:K04568	apu:APA07_02750
ko:K01265	apu:APA07_02780
ko:K06891	apu:APA07_02800
ko:K03694	apu:APA07_02810
ko:K07735	apu:APA07_02840
ko:K06958	apu:APA07_02850
ko:K14980	apu:APA07_02870
ko:K14981	apu:APA07_02880
ko:K03687	apu:APA07_02890
ko:K04043	apu:APA07_02900
ko:K03686	apu:APA07_02910
ko:K00215	apu:APA07_02920
ko:K00789	apu:APA07_02930
ko:K03439	apu:APA07_02940
ko:K00602	apu:APA07_02950
ko:K01879	apu:APA07_03000
ko:K01878	apu:APA07_03010
ko:K09945	apu:APA07_03020
ko:K03820	apu:APA07_03040
ko:K03628	apu:APA07_03080
ko:K03284	apu:APA07_03100
ko:K02986	apu:APA07_10390
ko:K02837	apu:APA07_10400
ko:K02687	apu:APA07_10440
ko:K03657	apu:APA07_10450
ko:K03630	apu:APA07_10460
ko:K03630	apu:APA07_10470
ko:K01589	apu:APA07_10480
ko:K01588	apu:APA07_10490
ko:K09987	apu:APA07_10520
ko:K04080	apu:APA07_10530
ko:K02909	apu:APA07_10540
ko:K03282	apu:APA07_10550
ko:K03072	apu:APA07_10580
ko:K02523	apu:APA07_10630
ko:K01776	apu:APA07_10640
ko:K00762	apu:APA07_10650
ko:K01647	apu:APA07_10670
ko:K08296	apu:APA07_10680
ko:K04092	apu:APA07_10690
ko:K03529	apu:APA07_10730
ko:K07042	apu:APA07_10760
ko:K06168	apu:APA07_10780
ko:K07278	apu:APA07_10810
ko:K09800	apu:APA07_10820
ko:K01142	apu:APA07_10830
ko:K01273	apu:APA07_10840
ko:K03703	apu:APA07_10850
ko:K03636	apu:APA07_10880
ko:K00833	apu:APA07_10900
ko:K02170	apu:APA07_10920
ko:K01626	apu:APA07_19150
ko:K00763	apu:APA07_19160
ko:K08281	apu:APA07_19190
ko:K07233	apu:APA07_19240
ko:K00053	apu:APA07_19250
ko:K01653	apu:APA07_19260
ko:K01652	apu:APA07_19270
ko:K00791	apu:APA07_19280
ko:K01079	apu:APA07_19290
ko:K07276	apu:APA07_19310
ko:K00600	apu:APA07_19360
ko:K01698	apu:APA07_19380
ko:K02621	apu:APA07_19400
ko:K03584	apu:APA07_19410
ko:K02357	apu:APA07_19420
ko:K02967	apu:APA07_19430
ko:K00826	apu:APA07_19460
ko:K01665	apu:APA07_19470
ko:K02337	apu:APA07_19490
ko:K01918	apu:APA07_19480
ko:K03601	apu:APA07_00200
ko:K05838	apu:APA07_00090
ko:K00831	apu:APA07_00230
ko:K00325	apu:APA07_00260
ko:K03701	apu:APA07_00110
ko:K00324	apu:APA07_00270
ko:K09384	apu:APA07_00140
ko:K00324	apu:APA07_00280
ko:K09019	apu:APA07_00160
ko:K03789	apu:APA07_00180
ko:K01945	apu:APA07_00190
ko:K00812	apu:APA07_19530
ko:K00812	apu:APA07_19540
ko:K01894	apu:APA07_19550
ko:K00940	apu:APA07_19610
ko:K06158	apu:APA07_19620
ko:K02520	apu:APA07_19670
ko:K01868	apu:APA07_19680
ko:K15342	apu:APA07_41090
ko:K03530	apu:APA07_41420
ko:K02015	apu:APA07_04250
ko:K02013	apu:APA07_04260
ko:K07106	apu:APA07_04290
ko:K01669	apu:APA07_04380
ko:K09758	apu:APA07_04430
ko:K04047	apu:APA07_04480
ko:K00057	apu:APA07_04490
ko:K15229	apu:APA07_04540
ko:K15228	apu:APA07_04570
ko:K07248	apu:APA07_04640
ko:K07303	apu:APA07_04660
ko:K07302	apu:APA07_04670
ko:K01952	apu:APA07_12050
ko:K01923	apu:APA07_12060
ko:K01756	apu:APA07_12070
ko:K08309	apu:APA07_12090
ko:K01095	apu:APA07_12100
ko:K03644	apu:APA07_12140
ko:K00382	apu:APA07_12150
ko:K00627	apu:APA07_12160
ko:K00162	apu:APA07_12170
ko:K00161	apu:APA07_12180
ko:K03637	apu:APA07_12190
ko:K01609	apu:APA07_12200
ko:K00766	apu:APA07_12210
ko:K01657	apu:APA07_12230
ko:K03770	apu:APA07_12240
ko:K01803	apu:APA07_12250
ko:K03075	apu:APA07_12260
ko:K01937	apu:APA07_12270
ko:K01627	apu:APA07_12280
ko:K02470	apu:APA07_12290
ko:K03629	apu:APA07_12300
ko:K02338	apu:APA07_12310
ko:K02313	apu:APA07_12320
ko:K02968	apu:APA07_12330
ko:K03183	apu:APA07_12350
ko:K13038	apu:APA07_12360
ko:K01873	apu:APA07_12410
ko:K09991	apu:APA07_12420
ko:K00573	apu:APA07_12440
ko:K00946	apu:APA07_12510
ko:K03625	apu:APA07_12520
ko:K07738	apu:APA07_12530
ko:K00864	apu:APA07_12552
ko:K02440	apu:APA07_12560
ko:K01236	apu:APA07_20800
ko:K00703	apu:APA07_20820
ko:K00156	apu:APA07_20860
ko:K07152	apu:APA07_20910
ko:K01875	apu:APA07_21120
ko:K03118	apu:APA07_21130
ko:K03117	apu:APA07_21140
ko:K06024	apu:APA07_21150
ko:K05896	apu:APA07_21160
ko:K01887	apu:APA07_21180
ko:K01129	apu:APA07_21190
ko:K01142	apu:APA07_21210
ko:K06136	apu:APA07_21260
ko:K06137	apu:APA07_21270
ko:K06138	apu:APA07_21280
ko:K06139	apu:APA07_21290
ko:K01358	apu:APA07_21310
ko:K03549	apu:APA07_42600
ko:K07137	apu:APA07_06050
ko:K00873	apu:APA07_06160
ko:K01053	apu:APA07_06170
ko:K06207	apu:APA07_06200
