ko:K01212	bamp:B938_19310
ko:K08153	bamp:B938_05190
ko:K16697	bamp:B938_16810
ko:K02030	bamp:B938_11515
ko:K21900	bamp:B938_17875
ko:K02338	bamp:B938_00010
ko:K02313	bamp:B938_00005
ko:K02470	bamp:B938_00030
ko:K06187	bamp:B938_00115
ko:K15519	bamp:B938_00075
ko:K06317	bamp:B938_00125
ko:K02341	bamp:B938_00165
ko:K06215	bamp:B938_00055
ko:K07258	bamp:B938_00050
ko:K01875	bamp:B938_00065
ko:K00865	bamp:B938_00070
ko:K08681	bamp:B938_00060
ko:K00088	bamp:B938_00045
ko:K02469	bamp:B938_00035
ko:K03629	bamp:B938_00020
ko:K01218	bamp:B938_18405
ko:K09747	bamp:B938_00110
ko:K06306	bamp:B938_00085
ko:K15518	bamp:B938_00080
ko:K02343	bamp:B938_00105
ko:K16961	bamp:B938_01725
ko:K22044	bamp:B938_07275
ko:K09685	bamp:B938_00245
ko:K05592	bamp:B938_18565
ko:K19689	bamp:B938_07385
ko:K03297	bamp:B938_02115
ko:K03297	bamp:B938_19405
ko:K11051	bamp:B938_03360
ko:K11741	bamp:B938_02865
ko:K18924	bamp:B938_02870
ko:K19417	bamp:B938_16245
ko:K18939	bamp:B938_01245
ko:K18939	bamp:B938_16555
ko:K18926	bamp:B938_01240
ko:K01732	bamp:B938_18645
ko:K19427	bamp:B938_16190
ko:K07260	bamp:B938_10060
ko:K10040	bamp:B938_12690
ko:K03296	bamp:B938_03305
ko:K18924	bamp:B938_06695
ko:K15555	bamp:B938_04330
ko:K00571	bamp:B938_13670
ko:K18682	bamp:B938_08710
ko:K15313	bamp:B938_08800
ko:K06352	bamp:B938_06360
ko:K06353	bamp:B938_01780
ko:K06355	bamp:B938_17725
ko:K06291	bamp:B938_16910
ko:K06288	bamp:B938_15450
ko:K06360	bamp:B938_17375
ko:K06366	bamp:B938_15125
ko:K09022	bamp:B938_00250
ko:K07045	bamp:B938_15755
ko:K07045	bamp:B938_04325
ko:K02237	bamp:B938_12340
ko:K02239	bamp:B938_12345
ko:K09710	bamp:B938_12355
ko:K00969	bamp:B938_12365
ko:K07574	bamp:B938_12370
ko:K00014	bamp:B938_12375
ko:K07015	bamp:B938_12385
ko:K06371	bamp:B938_12390
ko:K03091	bamp:B938_12425
ko:K13653	bamp:B938_12440
ko:K01809	bamp:B938_12500
ko:K08224	bamp:B938_12530
ko:K00123	bamp:B938_12570
ko:K06966	bamp:B938_16365
ko:K03321	bamp:B938_16375
ko:K01673	bamp:B938_16380
ko:K00675	bamp:B938_16410
ko:K11184	bamp:B938_16415
ko:K06958	bamp:B938_16430
ko:K00384	bamp:B938_16445
ko:K11755	bamp:B938_16475
ko:K02500	bamp:B938_16480
ko:K01814	bamp:B938_16485
ko:K02501	bamp:B938_16490
ko:K01693	bamp:B938_16495
ko:K00013	bamp:B938_16500
ko:K00765	bamp:B938_16505
ko:K02502	bamp:B938_16510
ko:K06019	bamp:B938_16525
ko:K13292	bamp:B938_16530
ko:K01443	bamp:B938_16540
ko:K03710	bamp:B938_16550
ko:K08972	bamp:B938_16565
ko:K03701	bamp:B938_16590
ko:K03702	bamp:B938_16595
ko:K01915	bamp:B938_08960
ko:K13955	bamp:B938_09630
ko:K00266	bamp:B938_09640
ko:K00931	bamp:B938_09655
ko:K00286	bamp:B938_09660
ko:K03827	bamp:B938_09670
ko:K11216	bamp:B938_09695
ko:K06878	bamp:B938_09740
ko:K08976	bamp:B938_09775
ko:K03654	bamp:B938_09805
ko:K01118	bamp:B938_09815
ko:K13993	bamp:B938_09835
ko:K04564	bamp:B938_09875
ko:K04773	bamp:B938_13695
ko:K00858	bamp:B938_13700
ko:K01895	bamp:B938_13710
ko:K03151	bamp:B938_13720
ko:K04487	bamp:B938_13725
ko:K03311	bamp:B938_13730
ko:K04486	bamp:B938_13740
ko:K02986	bamp:B938_13765
ko:K05916	bamp:B938_13805
ko:K05520	bamp:B938_13815
ko:K01866	bamp:B938_13860
ko:K01895	bamp:B938_13865
ko:K04766	bamp:B938_13870
ko:K04768	bamp:B938_13880
ko:K02557	bamp:B938_13885
ko:K02556	bamp:B938_13890
ko:K02529	bamp:B938_13895
ko:K13853	bamp:B938_13900
ko:K01924	bamp:B938_13920
ko:K03466	bamp:B938_13925
ko:K06878	bamp:B938_13930
ko:K00797	bamp:B938_17770
ko:K01821	bamp:B938_17795
ko:K06885	bamp:B938_17815
ko:K06314	bamp:B938_17825
ko:K07552	bamp:B938_17935
ko:K02205	bamp:B938_17940
ko:K00260	bamp:B938_17955
ko:K01790	bamp:B938_17965
ko:K00067	bamp:B938_17970
ko:K00973	bamp:B938_17980
ko:K06133	bamp:B938_01635
ko:K10010	bamp:B938_01645
ko:K10009	bamp:B938_01650
ko:K02424	bamp:B938_01655
ko:K03186	bamp:B938_01665
ko:K03305	bamp:B938_01685
ko:K06295	bamp:B938_01700
ko:K02003	bamp:B938_01750
ko:K00928	bamp:B938_01785
ko:K02015	bamp:B938_01790
ko:K02015	bamp:B938_01795
ko:K02013	bamp:B938_01800
ko:K02016	bamp:B938_01805
ko:K00375	bamp:B938_01835
ko:K05340	bamp:B938_01855
ko:K01224	bamp:B938_06180
ko:K00965	bamp:B938_06185
ko:K00849	bamp:B938_06195
ko:K02787	bamp:B938_06200
ko:K02788	bamp:B938_06200
ko:K07507	bamp:B938_06240
ko:K00123	bamp:B938_06260
ko:K02069	bamp:B938_06290
ko:K02068	bamp:B938_06295
ko:K03885	bamp:B938_06315
ko:K01812	bamp:B938_06320
ko:K02529	bamp:B938_06330
ko:K00041	bamp:B938_06335
ko:K01685	bamp:B938_06340
ko:K07090	bamp:B938_06345
ko:K03308	bamp:B938_09880
ko:K00943	bamp:B938_00150
ko:K09770	bamp:B938_00160
ko:K07056	bamp:B938_00190
ko:K06284	bamp:B938_00195
ko:K05985	bamp:B938_00215
ko:K01874	bamp:B938_00200
ko:K02528	bamp:B938_00220
ko:K03424	bamp:B938_00205
ko:K06436	bamp:B938_00225
ko:K06412	bamp:B938_00255
ko:K06423	bamp:B938_00235
ko:K00919	bamp:B938_00240
ko:K07461	bamp:B938_00185
ko:K04042	bamp:B938_00260
ko:K00948	bamp:B938_00265
ko:K02897	bamp:B938_00270
ko:K01056	bamp:B938_00275
ko:K03723	bamp:B938_00285
ko:K04769	bamp:B938_00290
ko:K07571	bamp:B938_00325
ko:K06382	bamp:B938_00335
ko:K04075	bamp:B938_00350
ko:K00760	bamp:B938_00355
ko:K03798	bamp:B938_00360
ko:K03525	bamp:B938_00365
ko:K04083	bamp:B938_00370
ko:K01738	bamp:B938_00380
ko:K01665	bamp:B938_00385
ko:K00796	bamp:B938_00400
ko:K01633	bamp:B938_00405
ko:K00950	bamp:B938_00410
ko:K04567	bamp:B938_00425
ko:K03696	bamp:B938_00445
ko:K04485	bamp:B938_00450
ko:K00991	bamp:B938_00465
ko:K03088	bamp:B938_04670
ko:K00655	bamp:B938_04675
ko:K11358	bamp:B938_04690
ko:K00646	bamp:B938_04695
ko:K06199	bamp:B938_04705
ko:K06199	bamp:B938_04710
ko:K01126	bamp:B938_04715
ko:K16052	bamp:B938_04725
ko:K12410	bamp:B938_04730
ko:K00824	bamp:B938_04740
ko:K03897	bamp:B938_04825
ko:K07228	bamp:B938_04835
ko:K09682	bamp:B938_04915
ko:K00831	bamp:B938_04935
ko:K02503	bamp:B938_04940
ko:K03624	bamp:B938_12620
ko:K00876	bamp:B938_12625
ko:K08303	bamp:B938_12630
ko:K08303	bamp:B938_12635
ko:K07082	bamp:B938_12645
ko:K07447	bamp:B938_12655
ko:K01872	bamp:B938_12665
ko:K10039	bamp:B938_12680
ko:K10040	bamp:B938_12685
ko:K03581	bamp:B938_12710
ko:K00566	bamp:B938_12720
ko:K04487	bamp:B938_12725
ko:K07478	bamp:B938_12735
ko:K01876	bamp:B938_12745
ko:K01892	bamp:B938_12750
ko:K01448	bamp:B938_12760
