ko:K03602	ftc:DA46_2060
ko:K12978	ftc:DA46_1037
ko:K01977	ftc:DA46_1616
ko:K01977	ftc:DA46_256
ko:K01977	ftc:DA46_609
ko:K14228	ftc:DA46_66
ko:K14227	ftc:DA46_1615
ko:K14227	ftc:DA46_255
ko:K14227	ftc:DA46_608
ko:K14235	ftc:DA46_983
ko:K19416	ftc:DA46_1888
ko:K02650	ftc:DA46_314
ko:K02650	ftc:DA46_315
ko:K19561	ftc:DA46_1507
ko:K01990	ftc:DA46_1238
ko:K00057	ftc:DA46_334
ko:K01534	ftc:DA46_339
ko:K03744	ftc:DA46_344
ko:K03799	ftc:DA46_345
ko:K00989	ftc:DA46_349
ko:K03181	ftc:DA46_350
ko:K03179	ftc:DA46_351
ko:K03453	ftc:DA46_363
ko:K06876	ftc:DA46_365
ko:K01669	ftc:DA46_366
ko:K01669	ftc:DA46_367
ko:K14441	ftc:DA46_372
ko:K03640	ftc:DA46_373
ko:K03641	ftc:DA46_375
ko:K03646	ftc:DA46_376
ko:K03560	ftc:DA46_377
ko:K03562	ftc:DA46_378
ko:K17103	ftc:DA46_380
ko:K06208	ftc:DA46_381
ko:K03527	ftc:DA46_382
ko:K03774	ftc:DA46_383
ko:K04096	ftc:DA46_386
ko:K09758	ftc:DA46_389
ko:K18138	ftc:DA46_1070
ko:K03585	ftc:DA46_1071
ko:K03611	ftc:DA46_1072
ko:K00974	ftc:DA46_1073
ko:K11085	ftc:DA46_1074
ko:K00912	ftc:DA46_1075
ko:K03525	ftc:DA46_1077
ko:K01839	ftc:DA46_1078
ko:K01619	ftc:DA46_1079
ko:K03317	ftc:DA46_1080
ko:K01918	ftc:DA46_3
ko:K01579	ftc:DA46_4
ko:K03525	ftc:DA46_5
ko:K03581	ftc:DA46_6
ko:K03582	ftc:DA46_7
ko:K03583	ftc:DA46_10
ko:K04758	ftc:DA46_19
ko:K01069	ftc:DA46_21
ko:K01719	ftc:DA46_24
ko:K02426	ftc:DA46_25
ko:K01881	ftc:DA46_30
ko:K14287	ftc:DA46_31
ko:K14287	ftc:DA46_32
ko:K03625	ftc:DA46_36
ko:K09160	ftc:DA46_40
ko:K07394	ftc:DA46_42
ko:K07090	ftc:DA46_41
ko:K03439	ftc:DA46_53
ko:K00858	ftc:DA46_54
ko:K01992	ftc:DA46_57
ko:K01990	ftc:DA46_58
ko:K11312	ftc:DA46_60
ko:K03424	ftc:DA46_61
ko:K00925	ftc:DA46_727
ko:K03111	ftc:DA46_728
ko:K03565	ftc:DA46_729
ko:K03071	ftc:DA46_731
ko:K01011	ftc:DA46_732
ko:K04773	ftc:DA46_734
ko:K03316	ftc:DA46_737
ko:K02338	ftc:DA46_740
ko:K02313	ftc:DA46_742
ko:K08301	ftc:DA46_743
ko:K03720	ftc:DA46_746
ko:K01657	ftc:DA46_747
ko:K01658	ftc:DA46_748
ko:K00766	ftc:DA46_749
ko:K07304	ftc:DA46_753
ko:K13498	ftc:DA46_756
ko:K13993	ftc:DA46_755
ko:K01256	ftc:DA46_757
ko:K05596	ftc:DA46_762
ko:K05596	ftc:DA46_763
ko:K06895	ftc:DA46_765
ko:K06895	ftc:DA46_766
ko:K04066	ftc:DA46_776
ko:K07058	ftc:DA46_778
ko:K03809	ftc:DA46_779
ko:K06077	ftc:DA46_780
ko:K01012	ftc:DA46_1501
ko:K00833	ftc:DA46_1502
ko:K13941	ftc:DA46_1508
ko:K01633	ftc:DA46_1509
ko:K03342	ftc:DA46_1511
ko:K01658	ftc:DA46_1512
ko:K01495	ftc:DA46_1521
ko:K11927	ftc:DA46_1523
ko:K03305	ftc:DA46_1522
ko:K00383	ftc:DA46_1526
ko:K01142	ftc:DA46_1530
ko:K06987	ftc:DA46_1531
ko:K01626	ftc:DA46_1536
ko:K03106	ftc:DA46_1537
ko:K07090	ftc:DA46_1539
ko:K02518	ftc:DA46_1540
ko:K03499	ftc:DA46_1544
ko:K09014	ftc:DA46_1546
ko:K09013	ftc:DA46_1547
ko:K09015	ftc:DA46_1548
ko:K03671	ftc:DA46_1552
ko:K11535	ftc:DA46_1081
ko:K00943	ftc:DA46_1082
ko:K02837	ftc:DA46_1083
ko:K03110	ftc:DA46_1085
ko:K03657	ftc:DA46_1086
ko:K15580	ftc:DA46_1088
ko:K15581	ftc:DA46_1090
ko:K15581	ftc:DA46_1091
ko:K15582	ftc:DA46_1092
ko:K15582	ftc:DA46_1093
ko:K15583	ftc:DA46_1094
ko:K00864	ftc:DA46_1099
ko:K00568	ftc:DA46_1106
ko:K04754	ftc:DA46_1107
ko:K03427	ftc:DA46_1827
ko:K02687	ftc:DA46_1829
ko:K08325	ftc:DA46_1830
ko:K18930	ftc:DA46_1831
ko:K18930	ftc:DA46_1832
ko:K00101	ftc:DA46_1834
ko:K01866	ftc:DA46_1838
ko:K03800	ftc:DA46_1839
ko:K01419	ftc:DA46_1841
ko:K03667	ftc:DA46_1842
ko:K03305	ftc:DA46_1843
ko:K10716	ftc:DA46_1845
ko:K00322	ftc:DA46_1846
ko:K02654	ftc:DA46_1847
ko:K17836	ftc:DA46_1849
ko:K01056	ftc:DA46_1850
ko:K06942	ftc:DA46_1851
ko:K02897	ftc:DA46_1856
ko:K00948	ftc:DA46_1857
ko:K06987	ftc:DA46_1858
ko:K03455	ftc:DA46_1863
ko:K03811	ftc:DA46_1864
ko:K03652	ftc:DA46_1866
ko:K01590	ftc:DA46_1869
ko:K09760	ftc:DA46_1873
ko:K03550	ftc:DA46_1874
ko:K01159	ftc:DA46_1876
ko:K10679	ftc:DA46_503
ko:K00101	ftc:DA46_505
ko:K01873	ftc:DA46_508
ko:K02339	ftc:DA46_509
ko:K01304	ftc:DA46_511
ko:K07114	ftc:DA46_513
ko:K07114	ftc:DA46_514
ko:K07114	ftc:DA46_515
ko:K03924	ftc:DA46_518
ko:K00868	ftc:DA46_520
ko:K02536	ftc:DA46_522
ko:K02300	ftc:DA46_524
ko:K02299	ftc:DA46_525
ko:K02298	ftc:DA46_526
ko:K02297	ftc:DA46_527
ko:K00425	ftc:DA46_529
ko:K00426	ftc:DA46_530
ko:K01713	ftc:DA46_532
ko:K07015	ftc:DA46_540
ko:K07056	ftc:DA46_543
ko:K01924	ftc:DA46_544
ko:K00014	ftc:DA46_545
ko:K02914	ftc:DA46_547
ko:K03536	ftc:DA46_548
ko:K03217	ftc:DA46_549
ko:K02517	ftc:DA46_550
ko:K02517	ftc:DA46_551
ko:K02655	ftc:DA46_552
ko:K02356	ftc:DA46_553
ko:K13288	ftc:DA46_554
ko:K05589	ftc:DA46_1225
ko:K00991	ftc:DA46_1226
ko:K00060	ftc:DA46_1228
ko:K00639	ftc:DA46_1229
ko:K00761	ftc:DA46_1231
ko:K01433	ftc:DA46_1232
ko:K01433	ftc:DA46_1233
ko:K01992	ftc:DA46_1237
ko:K01993	ftc:DA46_1239
ko:K01126	ftc:DA46_1240
ko:K02445	ftc:DA46_1241
ko:K07259	ftc:DA46_1242
ko:K03782	ftc:DA46_1247
ko:K01129	ftc:DA46_1249
ko:K03321	ftc:DA46_1251
ko:K11103	ftc:DA46_1253
ko:K16012	ftc:DA46_1254
ko:K16013	ftc:DA46_1255
ko:K00847	ftc:DA46_1259
ko:K01875	ftc:DA46_1260
ko:K15633	ftc:DA46_1261
ko:K01489	ftc:DA46_1264
ko:K00757	ftc:DA46_1265
ko:K06169	ftc:DA46_1266
ko:K08316	ftc:DA46_1268
ko:K07263	ftc:DA46_1270
ko:K11720	ftc:DA46_1271
ko:K07091	ftc:DA46_1272
ko:K01255	ftc:DA46_1273
ko:K00088	ftc:DA46_1274
ko:K00949	ftc:DA46_1275
ko:K01810	ftc:DA46_1276
ko:K08084	ftc:DA46_1277
ko:K03624	ftc:DA46_1278
ko:K01772	ftc:DA46_1988
