ko:K01139	kpb:FH42_16340
ko:K00086	kpb:FH42_13730
ko:K02487	kpb:FH42_13210
ko:K03892	kpb:FH42_12505
ko:K16238	kpb:FH42_22445
ko:K02345	kpb:FH42_26280
ko:K18922	kpb:FH42_11495
ko:K02532	kpb:FH42_25390
ko:K06120	kpb:FH42_13720
ko:K06884	kpb:FH42_01005
ko:K19278	kpb:FH42_26835
ko:K03297	kpb:FH42_20220
ko:K03297	kpb:FH42_20225
ko:K09690	kpb:FH42_08580
ko:K02345	kpb:FH42_07885
ko:K06122	kpb:FH42_13710
ko:K06121	kpb:FH42_13715
ko:K08151	kpb:FH42_26435
ko:K03585	kpb:FH42_16580
ko:K07481	kpb:FH42_13040
ko:K00130	kpb:FH42_12775
ko:K03111	kpb:FH42_18560
ko:K18138	kpb:FH42_16585
ko:K18139	kpb:FH42_16590
ko:K03553	kpb:FH42_11170
ko:K03111	kpb:FH42_26270
ko:K04772	kpb:FH42_14535
ko:K00042	kpb:FH42_13980
ko:K00146	kpb:FH42_03215
ko:K02615	kpb:FH42_03285
ko:K19611	kpb:FH42_02085
ko:K03293	kpb:FH42_03390
ko:K00526	kpb:FH42_09335
ko:K01582	kpb:FH42_21840
ko:K18699	kpb:FH42_03960
ko:K20037	kpb:FH42_20245
ko:K01990	kpb:FH42_16285
ko:K01990	kpb:FH42_25140
ko:K19227	kpb:FH42_02425
ko:K19230	kpb:FH42_02330
ko:K18589	kpb:FH42_26825
ko:K18828	kpb:FH42_25730
ko:K08348	kpb:FH42_05410
ko:K19611	kpb:FH42_18570
ko:K19789	kpb:FH42_09205
ko:K19745	kpb:FH42_08310
ko:K00108	kpb:FH42_23945
ko:K03446	kpb:FH42_04915
ko:K04103	kpb:FH42_09815
ko:K00001	kpb:FH42_17385
ko:K21430	kpb:FH42_25400
ko:K01007	kpb:FH42_06910
ko:K08156	kpb:FH42_05375
ko:K19586	kpb:FH42_10850
ko:K07713	kpb:FH42_18290
ko:K00984	kpb:FH42_25795
ko:K00433	kpb:FH42_08360
ko:K04753	kpb:FH42_13440
ko:K01980	kpb:FH42_18320
ko:K03293	kpb:FH42_17840
ko:K02483	kpb:FH42_05070
ko:K19587	kpb:FH42_10860
ko:K18829	kpb:FH42_25725
ko:K00244	kpb:FH42_19135
ko:K04568	kpb:FH42_19140
ko:K10974	kpb:FH42_24205
ko:K08964	kpb:FH42_24210
ko:K00058	kpb:FH42_24220
ko:K10440	kpb:FH42_24230
ko:K10440	kpb:FH42_24235
ko:K10441	kpb:FH42_24240
ko:K10439	kpb:FH42_24245
ko:K08351	kpb:FH42_24250
ko:K08967	kpb:FH42_24255
ko:K09880	kpb:FH42_24260
ko:K14287	kpb:FH42_24265
ko:K03805	kpb:FH42_24285
ko:K03386	kpb:FH42_24290
ko:K03387	kpb:FH42_24295
ko:K11932	kpb:FH42_24300
ko:K06140	kpb:FH42_24305
ko:K01169	kpb:FH42_24310
ko:K03326	kpb:FH42_24315
ko:K12973	kpb:FH42_24320
ko:K03704	kpb:FH42_24325
ko:K06199	kpb:FH42_24330
ko:K03425	kpb:FH42_24340
ko:K03644	kpb:FH42_24345
ko:K03801	kpb:FH42_24355
ko:K09158	kpb:FH42_24360
ko:K07258	kpb:FH42_24365
ko:K03642	kpb:FH42_24370
ko:K05837	kpb:FH42_24375
ko:K05515	kpb:FH42_24380
ko:K00783	kpb:FH42_24385
ko:K09710	kpb:FH42_24390
ko:K02226	kpb:FH42_24395
ko:K00969	kpb:FH42_24400
ko:K02340	kpb:FH42_24405
ko:K03643	kpb:FH42_24410
ko:K01869	kpb:FH42_24415
ko:K10004	kpb:FH42_24435
ko:K10002	kpb:FH42_24440
ko:K10003	kpb:FH42_24445
ko:K10001	kpb:FH42_24450
ko:K03820	kpb:FH42_24455
ko:K06189	kpb:FH42_24460
ko:K07042	kpb:FH42_24465
ko:K06168	kpb:FH42_24475
ko:K02456	kpb:FH42_21620
ko:K02455	kpb:FH42_21625
ko:K02454	kpb:FH42_21630
ko:K02453	kpb:FH42_21635
ko:K02452	kpb:FH42_21640
ko:K02451	kpb:FH42_21650
ko:K02465	kpb:FH42_21655
ko:K05365	kpb:FH42_21665
ko:K02014	kpb:FH42_21670
ko:K02013	kpb:FH42_21675
ko:K02016	kpb:FH42_21680
ko:K02015	kpb:FH42_21685
ko:K01845	kpb:FH42_21690
ko:K03281	kpb:FH42_21695
ko:K15724	kpb:FH42_21700
ko:K06858	kpb:FH42_21710
ko:K01243	kpb:FH42_21715
ko:K01129	kpb:FH42_21720
ko:K02647	kpb:FH42_21730
ko:K00674	kpb:FH42_21740
ko:K07248	kpb:FH42_03410
ko:K00134	kpb:FH42_03415
ko:K07112	kpb:FH42_03435
ko:K08987	kpb:FH42_03440
ko:K16074	kpb:FH42_03455
ko:K14155	kpb:FH42_03460
ko:K16136	kpb:FH42_03470
ko:K01809	kpb:FH42_03480
ko:K01676	kpb:FH42_03485
ko:K01679	kpb:FH42_03490
ko:K07639	kpb:FH42_03500
ko:K07661	kpb:FH42_03510
ko:K13938	kpb:FH42_03520
ko:K03758	kpb:FH42_03525
ko:K00324	kpb:FH42_03535
ko:K00325	kpb:FH42_03540
ko:K14055	kpb:FH42_03550
ko:K00567	kpb:FH42_03560
ko:K12942	kpb:FH42_03570
ko:K12941	kpb:FH42_03575
ko:K12940	kpb:FH42_03580
ko:K14057	kpb:FH42_03585
ko:K02624	kpb:FH42_03595
ko:K01031	kpb:FH42_03600
ko:K01032	kpb:FH42_03605
ko:K01857	kpb:FH42_03615
ko:K01055	kpb:FH42_03620
ko:K01607	kpb:FH42_03625
ko:K01676	kpb:FH42_03635
ko:K11106	kpb:FH42_03640
ko:K00244	kpb:FH42_03645
ko:K03734	kpb:FH42_03650
ko:K07703	kpb:FH42_03655
ko:K07701	kpb:FH42_03660
ko:K07106	kpb:FH42_03670
ko:K00116	kpb:FH42_03675
ko:K13928	kpb:FH42_03680
ko:K13935	kpb:FH42_03685
ko:K02217	kpb:FH42_08100
ko:K03834	kpb:FH42_08110
ko:K07039	kpb:FH42_08115
ko:K01714	kpb:FH42_08120
ko:K00995	kpb:FH42_08140
ko:K03703	kpb:FH42_08145
ko:K07689	kpb:FH42_08150
ko:K07782	kpb:FH42_08160
ko:K10010	kpb:FH42_08165
ko:K10009	kpb:FH42_08170
ko:K02424	kpb:FH42_08180
ko:K01176	kpb:FH42_08185
ko:K07781	kpb:FH42_08195
ko:K09781	kpb:FH42_08215
ko:K07458	kpb:FH42_08225
ko:K06950	kpb:FH42_08235
ko:K09933	kpb:FH42_08255
ko:K13635	kpb:FH42_08285
ko:K03316	kpb:FH42_08300
