ko:K07171	lrc:LOCK908_2511
ko:K11741	lrc:LOCK908_2862
ko:K01990	lrc:LOCK908_1294
ko:K01990	lrc:LOCK908_0025
ko:K01990	lrc:LOCK908_0101
ko:K01990	lrc:LOCK908_0123
ko:K01990	lrc:LOCK908_0199
ko:K01990	lrc:LOCK908_0207
ko:K01990	lrc:LOCK908_0383
ko:K01990	lrc:LOCK908_1279
ko:K00887	lrc:LOCK908_1589
ko:K18581	lrc:LOCK908_2768
ko:K00226	lrc:LOCK908_1825
ko:K12574	lrc:LOCK908_1364
ko:K19973	lrc:LOCK908_2489
ko:K17828	lrc:LOCK908_1514
ko:K01791	lrc:LOCK908_2066
ko:K01990	lrc:LOCK908_1975
ko:K01990	lrc:LOCK908_2299
ko:K15555	lrc:LOCK908_2507
ko:K11070	lrc:LOCK908_1046
ko:K00951	lrc:LOCK908_1606
ko:K00265	lrc:LOCK908_2609
ko:K00040	lrc:LOCK908_0051
ko:K07045	lrc:LOCK908_0538
ko:K02787	lrc:LOCK908_0316
ko:K02788	lrc:LOCK908_0316
ko:K02768	lrc:LOCK908_0327
ko:K02769	lrc:LOCK908_0327
ko:K02770	lrc:LOCK908_0327
ko:K01809	lrc:LOCK908_0328
ko:K03710	lrc:LOCK908_0329
ko:K02082	lrc:LOCK908_0330
ko:K01443	lrc:LOCK908_0331
ko:K12308	lrc:LOCK908_0332
ko:K14155	lrc:LOCK908_0342
ko:K02761	lrc:LOCK908_0344
ko:K02760	lrc:LOCK908_0345
ko:K02759	lrc:LOCK908_0346
ko:K16925	lrc:LOCK908_0360
ko:K16786	lrc:LOCK908_0361
ko:K16787	lrc:LOCK908_0361
ko:K16785	lrc:LOCK908_0362
ko:K03707	lrc:LOCK908_0363
ko:K08659	lrc:LOCK908_1205
ko:K01928	lrc:LOCK908_1217
ko:K02835	lrc:LOCK908_1219
ko:K02493	lrc:LOCK908_1220
ko:K07566	lrc:LOCK908_1221
ko:K00600	lrc:LOCK908_1223
ko:K00761	lrc:LOCK908_1224
ko:K02108	lrc:LOCK908_1226
ko:K02110	lrc:LOCK908_1227
ko:K02109	lrc:LOCK908_1228
ko:K02113	lrc:LOCK908_1229
ko:K02111	lrc:LOCK908_1230
ko:K02115	lrc:LOCK908_1231
