ko:K02028	spym:M1GAS476_1300
ko:K00105	spym:M1GAS476_1458
ko:K19240	spym:M1GAS476_1770
ko:K03293	spym:M1GAS476_1437
ko:K03790	spym:M1GAS476_1167
ko:K13677	spym:M1GAS476_0481
ko:K07464	spym:M1GAS476_1352
ko:K12574	spym:M1GAS476_1674
ko:K07012	spym:M1GAS476_1358
ko:K11704	spym:M1GAS476_0432
ko:K14219	spym:M1GAS476_0026
ko:K14219	spym:M1GAS476_0320
ko:K14219	spym:M1GAS476_1698
ko:K10009	spym:M1GAS476_0769
ko:K02424	spym:M1GAS476_0768
ko:K02030	spym:M1GAS476_0333
ko:K02030	spym:M1GAS476_1037
ko:K08986	spym:M1GAS476_0536
ko:K03500	spym:M1GAS476_1415
ko:K00604	spym:M1GAS476_1416
ko:K04066	spym:M1GAS476_1417
ko:K03060	spym:M1GAS476_1418
ko:K00942	spym:M1GAS476_1419
ko:K01034	spym:M1GAS476_1423
ko:K00019	spym:M1GAS476_1425
ko:K07173	spym:M1GAS476_1427
ko:K07444	spym:M1GAS476_1429
ko:K05366	spym:M1GAS476_1433
ko:K00763	spym:M1GAS476_1436
ko:K00384	spym:M1GAS476_1438
ko:K02029	spym:M1GAS476_1441
ko:K01000	spym:M1GAS476_1443
ko:K03438	spym:M1GAS476_1446
ko:K00147	spym:M1GAS476_1448
ko:K00931	spym:M1GAS476_1449
ko:K00615	spym:M1GAS476_1453
ko:K02440	spym:M1GAS476_1457
ko:K00864	spym:M1GAS476_1459
ko:K01879	spym:M1GAS476_1462
ko:K01878	spym:M1GAS476_1463
ko:K01443	spym:M1GAS476_1466
ko:K03324	spym:M1GAS476_1467
ko:K02519	spym:M1GAS476_1488
ko:K02600	spym:M1GAS476_1491
ko:K09748	spym:M1GAS476_1492
ko:K03439	spym:M1GAS476_1547
ko:K02503	spym:M1GAS476_1551
ko:K06901	spym:M1GAS476_1556
ko:K01875	spym:M1GAS476_1562
ko:K01962	spym:M1GAS476_1563
ko:K01963	spym:M1GAS476_1564
ko:K01809	spym:M1GAS476_1616
ko:K00847	spym:M1GAS476_1617
ko:K01193	spym:M1GAS476_1620
ko:K03484	spym:M1GAS476_1621
ko:K03625	spym:M1GAS476_1622
ko:K02356	spym:M1GAS476_1624
ko:K03284	spym:M1GAS476_1629
ko:K02990	spym:M1GAS476_1633
ko:K03575	spym:M1GAS476_1634
ko:K03671	spym:M1GAS476_1636
ko:K07456	spym:M1GAS476_1638
ko:K03100	spym:M1GAS476_1643
ko:K00656	spym:M1GAS476_1649
ko:K02440	spym:M1GAS476_1653
ko:K09747	spym:M1GAS476_1660
ko:K07007	spym:M1GAS476_1664
ko:K06153	spym:M1GAS476_1719
ko:K00134	spym:M1GAS476_1723
ko:K02355	spym:M1GAS476_1724
ko:K02992	spym:M1GAS476_1725
ko:K02950	spym:M1GAS476_1726
ko:K01783	spym:M1GAS476_1732
ko:K06949	spym:M1GAS476_1733
ko:K02528	spym:M1GAS476_1734
ko:K03424	spym:M1GAS476_1736
ko:K03217	spym:M1GAS476_1747
ko:K03536	spym:M1GAS476_1748
ko:K07707	spym:M1GAS476_1749
ko:K01673	spym:M1GAS476_1754
ko:K04485	spym:M1GAS476_1755
ko:K09765	spym:M1GAS476_1757
ko:K00057	spym:M1GAS476_1761
ko:K00963	spym:M1GAS476_1762
ko:K01421	spym:M1GAS476_1878
ko:K02986	spym:M1GAS476_1880
ko:K02939	spym:M1GAS476_1885
ko:K03495	spym:M1GAS476_1887
ko:K00566	spym:M1GAS476_1889
ko:K01752	spym:M1GAS476_1890
ko:K01752	spym:M1GAS476_1891
ko:K16785	spym:M1GAS476_1893
ko:K00963	spym:M1GAS476_1905
ko:K03629	spym:M1GAS476_1907
ko:K05340	spym:M1GAS476_1908
ko:K01867	spym:M1GAS476_1910
ko:K00783	spym:M1GAS476_1919
ko:K01961	spym:M1GAS476_1565
ko:K02372	spym:M1GAS476_1566
ko:K02160	spym:M1GAS476_1567
ko:K09458	spym:M1GAS476_1568
ko:K00645	spym:M1GAS476_1570
ko:K00648	spym:M1GAS476_1573
ko:K03686	spym:M1GAS476_1576
ko:K04043	spym:M1GAS476_1577
ko:K03705	spym:M1GAS476_1580
ko:K02434	spym:M1GAS476_1585
ko:K02435	spym:M1GAS476_1587
ko:K03706	spym:M1GAS476_1590
ko:K14260	spym:M1GAS476_1591
ko:K03655	spym:M1GAS476_1597
ko:K02013	spym:M1GAS476_1604
ko:K01775	spym:M1GAS476_1611
ko:K00997	spym:M1GAS476_1612
ko:K03070	spym:M1GAS476_1613
ko:K00757	spym:M1GAS476_1667
ko:K02954	spym:M1GAS476_1669
ko:K01915	spym:M1GAS476_1675
ko:K00927	spym:M1GAS476_1678
ko:K01624	spym:M1GAS476_1686
ko:K01937	spym:M1GAS476_1689
ko:K03545	spym:M1GAS476_1691
ko:K00868	spym:M1GAS476_1695
ko:K06173	spym:M1GAS476_1696
ko:K15581	spym:M1GAS476_1707
ko:K15580	spym:M1GAS476_1708
ko:K11717	spym:M1GAS476_1714
ko:K09015	spym:M1GAS476_1715
ko:K09013	spym:M1GAS476_1716
ko:K16511	spym:M1GAS476_1718
ko:K00005	spym:M1GAS476_1789
ko:K02761	spym:M1GAS476_1793
ko:K02760	spym:M1GAS476_1794
ko:K02759	spym:M1GAS476_1795
ko:K04069	spym:M1GAS476_1798
ko:K06180	spym:M1GAS476_1805
ko:K04077	spym:M1GAS476_1810
ko:K04078	spym:M1GAS476_1811
ko:K03696	spym:M1GAS476_1812
ko:K03387	spym:M1GAS476_1817
ko:K01468	spym:M1GAS476_1818
ko:K01712	spym:M1GAS476_1819
ko:K01938	spym:M1GAS476_1822
ko:K01745	spym:M1GAS476_1826
ko:K02967	spym:M1GAS476_1829
ko:K02357	spym:M1GAS476_1830
ko:K09861	spym:M1GAS476_1837
ko:K07447	spym:M1GAS476_1845
ko:K03550	spym:M1GAS476_1851
ko:K03572	spym:M1GAS476_1853
ko:K03555	spym:M1GAS476_1854
ko:K03402	spym:M1GAS476_1856
ko:K01887	spym:M1GAS476_1857
ko:K01876	spym:M1GAS476_1863
ko:K01892	spym:M1GAS476_1864
