ko:K03602	ftd:AS84_1349
ko:K12978	ftd:AS84_409
ko:K14227	ftd:AS84_1204
ko:K14227	ftd:AS84_764
ko:K14227	ftd:AS84_216
ko:K14219	ftd:AS84_958
ko:K14235	ftd:AS84_922
ko:K19416	ftd:AS84_1486
ko:K19561	ftd:AS84_1722
ko:K07666	ftd:AS84_1037
ko:K22468	ftd:AS84_1028
ko:K09889	ftd:AS84_1256
ko:K01442	ftd:AS84_1262
ko:K03305	ftd:AS84_1263
ko:K04075	ftd:AS84_1264
ko:K00058	ftd:AS84_1265
ko:K13292	ftd:AS84_1267
ko:K08300	ftd:AS84_1268
ko:K04487	ftd:AS84_1269
ko:K03584	ftd:AS84_1271
ko:K03975	ftd:AS84_1272
ko:K03975	ftd:AS84_1273
ko:K05527	ftd:AS84_1274
ko:K01934	ftd:AS84_1275
ko:K09895	ftd:AS84_1276
ko:K03185	ftd:AS84_1277
ko:K18800	ftd:AS84_1278
ko:K07568	ftd:AS84_1281
ko:K09125	ftd:AS84_1283
ko:K01759	ftd:AS84_1284
ko:K06966	ftd:AS84_1287
ko:K00020	ftd:AS84_679
ko:K03837	ftd:AS84_681
ko:K07733	ftd:AS84_684
ko:K16074	ftd:AS84_696
ko:K03762	ftd:AS84_698
ko:K02338	ftd:AS84_699
ko:K02313	ftd:AS84_700
ko:K08301	ftd:AS84_701
ko:K03720	ftd:AS84_704
ko:K01657	ftd:AS84_705
ko:K01658	ftd:AS84_706
ko:K00766	ftd:AS84_707
ko:K07304	ftd:AS84_711
ko:K13498	ftd:AS84_714
ko:K13993	ftd:AS84_713
ko:K01256	ftd:AS84_715
ko:K05596	ftd:AS84_717
ko:K06895	ftd:AS84_719
ko:K03778	ftd:AS84_727
ko:K03564	ftd:AS84_728
ko:K04652	ftd:AS84_730
ko:K12262	ftd:AS84_732
ko:K03313	ftd:AS84_734
ko:K06193	ftd:AS84_1558
ko:K02342	ftd:AS84_1561
ko:K07260	ftd:AS84_1562
ko:K12941	ftd:AS84_1564
ko:K00128	ftd:AS84_1566
ko:K04761	ftd:AS84_1570
ko:K00945	ftd:AS84_1573
ko:K00831	ftd:AS84_1574
ko:K00228	ftd:AS84_1576
ko:K02990	ftd:AS84_1578
ko:K02963	ftd:AS84_1579
ko:K02939	ftd:AS84_1580
ko:K06941	ftd:AS84_1582
ko:K02656	ftd:AS84_1583
ko:K06178	ftd:AS84_1584
ko:K03789	ftd:AS84_1586
ko:K01953	ftd:AS84_1593
ko:K00957	ftd:AS84_1600
ko:K07481	ftd:AS84_1602
ko:K00956	ftd:AS84_1605
ko:K00860	ftd:AS84_1606
ko:K02523	ftd:AS84_1612
ko:K00208	ftd:AS84_1288
ko:K06041	ftd:AS84_1289
ko:K01783	ftd:AS84_1290
ko:K01784	ftd:AS84_1292
ko:K12995	ftd:AS84_1293
ko:K00012	ftd:AS84_1296
ko:K01784	ftd:AS84_1297
ko:K01711	ftd:AS84_1301
ko:K02377	ftd:AS84_1302
ko:K07025	ftd:AS84_1306
ko:K13282	ftd:AS84_1308
ko:K01424	ftd:AS84_1309
ko:K03762	ftd:AS84_1315
ko:K06187	ftd:AS84_1320
ko:K09747	ftd:AS84_1321
ko:K02563	ftd:AS84_1322
ko:K02437	ftd:AS84_1323
ko:K01868	ftd:AS84_1326
ko:K02520	ftd:AS84_1327
ko:K02916	ftd:AS84_1328
ko:K02887	ftd:AS84_1329
ko:K01807	ftd:AS84_1331
ko:K03495	ftd:AS84_1334
ko:K01141	ftd:AS84_1339
ko:K03702	ftd:AS84_1340
ko:K02469	ftd:AS84_1016
ko:K00099	ftd:AS84_1017
ko:K07277	ftd:AS84_1018
ko:K06142	ftd:AS84_1019
ko:K02536	ftd:AS84_1020
ko:K02372	ftd:AS84_1021
ko:K00677	ftd:AS84_1022
ko:K00748	ftd:AS84_1023
ko:K01207	ftd:AS84_1026
ko:K01004	ftd:AS84_1029
ko:K00795	ftd:AS84_1030
ko:K02527	ftd:AS84_1031
ko:K02428	ftd:AS84_1032
ko:K00286	ftd:AS84_1033
ko:K07481	ftd:AS84_1035
ko:K03100	ftd:AS84_1038
ko:K03685	ftd:AS84_1039
ko:K03177	ftd:AS84_1040
ko:K12573	ftd:AS84_1041
ko:K00574	ftd:AS84_1046
ko:K09701	ftd:AS84_1047
ko:K07337	ftd:AS84_1053
ko:K09859	ftd:AS84_1056
ko:K09794	ftd:AS84_1060
ko:K07481	ftd:AS84_1062
ko:K07516	ftd:AS84_1067
ko:K01897	ftd:AS84_1069
ko:K00537	ftd:AS84_1070
ko:K00655	ftd:AS84_736
ko:K00655	ftd:AS84_737
ko:K05524	ftd:AS84_738
ko:K08289	ftd:AS84_742
ko:K01183	ftd:AS84_743
ko:K03695	ftd:AS84_744
ko:K03811	ftd:AS84_745
ko:K01695	ftd:AS84_747
ko:K01696	ftd:AS84_748
ko:K01299	ftd:AS84_749
ko:K03281	ftd:AS84_750
ko:K03811	ftd:AS84_754
ko:K03424	ftd:AS84_755
ko:K01259	ftd:AS84_756
ko:K00928	ftd:AS84_757
ko:K00215	ftd:AS84_758
ko:K01714	ftd:AS84_759
ko:K00674	ftd:AS84_760
ko:K01586	ftd:AS84_761
ko:K00812	ftd:AS84_762
ko:K00122	ftd:AS84_769
ko:K01546	ftd:AS84_770
ko:K01547	ftd:AS84_771
ko:K01548	ftd:AS84_772
ko:K07646	ftd:AS84_773
ko:K07667	ftd:AS84_774
ko:K03979	ftd:AS84_778
ko:K02471	ftd:AS84_781
ko:K18552	ftd:AS84_782
ko:K08303	ftd:AS84_783
ko:K00573	ftd:AS84_784
ko:K12340	ftd:AS84_785
ko:K06133	ftd:AS84_786
ko:K01580	ftd:AS84_787
ko:K00764	ftd:AS84_788
ko:K01952	ftd:AS84_789
ko:K07481	ftd:AS84_791
ko:K03773	ftd:AS84_1613
ko:K14058	ftd:AS84_1614
ko:K07107	ftd:AS84_1615
ko:K07259	ftd:AS84_1617
ko:K02970	ftd:AS84_1618
ko:K09117	ftd:AS84_1619
ko:K03086	ftd:AS84_1621
ko:K03885	ftd:AS84_1622
ko:K15922	ftd:AS84_1623
ko:K16210	ftd:AS84_1624
ko:K07481	ftd:AS84_1625
ko:K03574	ftd:AS84_1632
ko:K07735	ftd:AS84_1633
ko:K07447	ftd:AS84_1634
ko:K01869	ftd:AS84_1637
ko:K03643	ftd:AS84_1638
ko:K16053	ftd:AS84_1639
ko:K01494	ftd:AS84_1640
ko:K03593	ftd:AS84_1641
ko:K06131	ftd:AS84_1643
ko:K06131	ftd:AS84_1644
ko:K09823	ftd:AS84_1648
ko:K01890	ftd:AS84_1649
ko:K01889	ftd:AS84_1650
ko:K03305	ftd:AS84_1652
ko:K07727	ftd:AS84_1656
ko:K03551	ftd:AS84_1658
ko:K01662	ftd:AS84_1663
ko:K01951	ftd:AS84_1664
ko:K01776	ftd:AS84_1342
ko:K03601	ftd:AS84_1348
ko:K03762	ftd:AS84_1350
ko:K14058	ftd:AS84_1352
ko:K03664	ftd:AS84_1353
ko:K09801	ftd:AS84_1355
ko:K04754	ftd:AS84_1357
ko:K00681	ftd:AS84_1358
ko:K06207	ftd:AS84_1360
ko:K14540	ftd:AS84_1363
ko:K01443	ftd:AS84_1364
ko:K14742	ftd:AS84_1365
ko:K00812	ftd:AS84_1367
ko:K00939	ftd:AS84_1371
ko:K02663	ftd:AS84_1373
ko:K02664	ftd:AS84_1374
ko:K02665	ftd:AS84_1375
ko:K02666	ftd:AS84_1376
ko:K00891	ftd:AS84_1377
ko:K01735	ftd:AS84_1378
ko:K09159	ftd:AS84_1381
ko:K13821	ftd:AS84_1382
ko:K07481	ftd:AS84_1385
ko:K13038	ftd:AS84_1388
ko:K01785	ftd:AS84_1389
ko:K01000	ftd:AS84_139
ko:K00797	ftd:AS84_157
ko:K00703	ftd:AS84_170
ko:K00605	ftd:AS84_179
ko:K07481	ftd:AS84_135
ko:K01929	ftd:AS84_164
ko:K02337	ftd:AS84_185
ko:K01610	ftd:AS84_140
ko:K04042	ftd:AS84_202
ko:K07574	ftd:AS84_126
ko:K01886	ftd:AS84_141
ko:K02341	ftd:AS84_127
ko:K01611	ftd:AS84_158
ko:K00014	ftd:AS84_175
ko:K08309	ftd:AS84_188
ko:K00820	ftd:AS84_201
ko:K04774	ftd:AS84_128
ko:K03588	ftd:AS84_137
ko:K12308	ftd:AS84_159
ko:K03599	ftd:AS84_129
ko:K01733	ftd:AS84_160
ko:K00283	ftd:AS84_176
ko:K06190	ftd:AS84_230
ko:K01925	ftd:AS84_138
ko:K00872	ftd:AS84_161
ko:K09810	ftd:AS84_181
ko:K00020	ftd:AS84_220
ko:K11179	ftd:AS84_130
ko:K01928	ftd:AS84_166
ko:K18284	ftd:AS84_190
ko:K01613	ftd:AS84_206
ko:K01574	ftd:AS84_221
ko:K03218	ftd:AS84_149
ko:K00975	ftd:AS84_171
ko:K00282	ftd:AS84_177
ko:K03183	ftd:AS84_234
ko:K03305	ftd:AS84_143
ko:K02558	ftd:AS84_150
ko:K12251	ftd:AS84_154
ko:K12524	ftd:AS84_162
ko:K00762	ftd:AS84_151
ko:K09808	ftd:AS84_182
ko:K03690	ftd:AS84_235
ko:K10536	ftd:AS84_155
ko:K01878	ftd:AS84_167
ko:K01835	ftd:AS84_172
ko:K01265	ftd:AS84_196
ko:K03688	ftd:AS84_236
ko:K15738	ftd:AS84_144
ko:K00133	ftd:AS84_163
ko:K00705	ftd:AS84_168
ko:K00700	ftd:AS84_173
ko:K02437	ftd:AS84_178
ko:K02503	ftd:AS84_237
ko:K00688	ftd:AS84_169
ko:K03704	ftd:AS84_198
ko:K03269	ftd:AS84_152
ko:K01585	ftd:AS84_156
ko:K01462	ftd:AS84_184
ko:K02970	ftd:AS84_200
ko:K01874	ftd:AS84_226
ko:K01756	ftd:AS84_796
ko:K02435	ftd:AS84_799
ko:K02433	ftd:AS84_800
ko:K02434	ftd:AS84_801
ko:K01586	ftd:AS84_806
ko:K03711	ftd:AS84_809
ko:K00330	ftd:AS84_810
ko:K00331	ftd:AS84_811
ko:K00332	ftd:AS84_812
ko:K00333	ftd:AS84_813
ko:K00334	ftd:AS84_814
ko:K00335	ftd:AS84_815
ko:K00336	ftd:AS84_816
ko:K00337	ftd:AS84_817
ko:K00338	ftd:AS84_818
ko:K00339	ftd:AS84_819
ko:K00340	ftd:AS84_820
ko:K00341	ftd:AS84_821
ko:K00342	ftd:AS84_822
ko:K00343	ftd:AS84_823
ko:K09806	ftd:AS84_824
ko:K07391	ftd:AS84_825
ko:K01599	ftd:AS84_826
ko:K09748	ftd:AS84_828
ko:K02600	ftd:AS84_829
ko:K02519	ftd:AS84_830
ko:K02834	ftd:AS84_831
ko:K01892	ftd:AS84_832
ko:K06916	ftd:AS84_834
ko:K06179	ftd:AS84_835
ko:K02108	ftd:AS84_838
ko:K02110	ftd:AS84_839
ko:K02109	ftd:AS84_840
ko:K02113	ftd:AS84_841
ko:K02111	ftd:AS84_842
ko:K02115	ftd:AS84_843
ko:K02112	ftd:AS84_844
ko:K02114	ftd:AS84_845
ko:K06173	ftd:AS84_1666
ko:K06861	ftd:AS84_1670
ko:K11719	ftd:AS84_1672
ko:K03270	ftd:AS84_1673
ko:K01507	ftd:AS84_1674
ko:K07258	ftd:AS84_1675
ko:K09158	ftd:AS84_1676
ko:K03801	ftd:AS84_1677
ko:K07481	ftd:AS84_1678
ko:K02205	ftd:AS84_1680
ko:K03671	ftd:AS84_1684
ko:K09015	ftd:AS84_1687
ko:K09013	ftd:AS84_1688
ko:K09014	ftd:AS84_1689
ko:K03499	ftd:AS84_1691
ko:K02518	ftd:AS84_1694
ko:K07090	ftd:AS84_1695
