ko:K01992	plo:C548_054
ko:K04043	plo:C548_001
ko:K03686	plo:C548_002
ko:K01814	plo:C548_269
ko:K02501	plo:C548_271
ko:K01693	plo:C548_272
ko:K06180	plo:C548_273
ko:K01652	plo:C548_275
ko:K01653	plo:C548_276
ko:K00053	plo:C548_277
ko:K02959	plo:C548_278
ko:K02860	plo:C548_279
ko:K02884	plo:C548_280
ko:K00003	plo:C548_281
ko:K01733	plo:C548_282
ko:K03664	plo:C548_284
ko:K03687	plo:C548_285
ko:K00343	plo:C548_003
ko:K00342	plo:C548_004
ko:K00341	plo:C548_005
ko:K00340	plo:C548_006
ko:K00339	plo:C548_007
ko:K00338	plo:C548_008
ko:K00337	plo:C548_009
ko:K00334	plo:C548_012
ko:K13378	plo:C548_013
ko:K00331	plo:C548_014
ko:K00330	plo:C548_015
ko:K02914	plo:C548_017
ko:K02470	plo:C548_018
ko:K01878	plo:C548_019
ko:K01754	plo:C548_020
ko:K00528	plo:C548_021
ko:K02108	plo:C548_022
ko:K02110	plo:C548_023
ko:K02109	plo:C548_024
ko:K02113	plo:C548_025
ko:K02111	plo:C548_026
ko:K02115	plo:C548_027
ko:K02112	plo:C548_028
ko:K02114	plo:C548_029
ko:K00611	plo:C548_030
ko:K01704	plo:C548_032
ko:K00052	plo:C548_033
ko:K00133	plo:C548_034
ko:K06173	plo:C548_035
ko:K01817	plo:C548_036
ko:K06895	plo:C548_037
ko:K01875	plo:C548_038
ko:K03977	plo:C548_039
ko:K01892	plo:C548_040
ko:K01338	plo:C548_041
ko:K01687	plo:C548_042
ko:K02502	plo:C548_046
ko:K09014	plo:C548_047
ko:K09013	plo:C548_048
ko:K09015	plo:C548_049
ko:K11717	plo:C548_050
ko:K00566	plo:C548_051
ko:K02518	plo:C548_052
ko:K03073	plo:C548_056
ko:K02601	plo:C548_057
ko:K02867	plo:C548_058
ko:K02863	plo:C548_059
ko:K02864	plo:C548_060
ko:K02935	plo:C548_061
ko:K03043	plo:C548_062
ko:K03046	plo:C548_063
ko:K02950	plo:C548_064
ko:K02992	plo:C548_065
ko:K02355	plo:C548_066
ko:K02358	plo:C548_067
ko:K02946	plo:C548_068
ko:K02906	plo:C548_069
ko:K02926	plo:C548_070
ko:K02892	plo:C548_071
ko:K02886	plo:C548_072
ko:K02965	plo:C548_073
ko:K02890	plo:C548_074
ko:K02982	plo:C548_075
ko:K02878	plo:C548_076
ko:K02904	plo:C548_077
ko:K02961	plo:C548_078
ko:K02874	plo:C548_079
ko:K02895	plo:C548_080
ko:K02931	plo:C548_081
ko:K02954	plo:C548_082
ko:K02994	plo:C548_083
ko:K02933	plo:C548_084
ko:K02881	plo:C548_085
ko:K02988	plo:C548_086
ko:K02876	plo:C548_087
ko:K03076	plo:C548_088
ko:K02919	plo:C548_089
ko:K02952	plo:C548_090
ko:K02948	plo:C548_091
ko:K02986	plo:C548_092
ko:K03040	plo:C548_093
ko:K02879	plo:C548_094
ko:K02888	plo:C548_095
ko:K02899	plo:C548_096
ko:K03979	plo:C548_097
ko:K02968	plo:C548_098
ko:K01870	plo:C548_099
ko:K02836	plo:C548_100
ko:K04567	plo:C548_101
ko:K03089	plo:C548_103
ko:K02902	plo:C548_104
ko:K02913	plo:C548_105
ko:K00164	plo:C548_110
ko:K00658	plo:C548_111
ko:K00382	plo:C548_112
ko:K02990	plo:C548_115
ko:K02963	plo:C548_116
ko:K02939	plo:C548_117
ko:K03086	plo:C548_121
ko:K02297	plo:C548_122
ko:K02298	plo:C548_123
ko:K02299	plo:C548_124
ko:K02300	plo:C548_125
ko:K02956	plo:C548_129
ko:K00962	plo:C548_130
ko:K07400	plo:C548_132
ko:K02426	plo:C548_133
ko:K00627	plo:C548_138
ko:K00163	plo:C548_139
ko:K01714	plo:C548_140
ko:K02945	plo:C548_141
ko:K00800	plo:C548_142
ko:K14170	plo:C548_143
ko:K02469	plo:C548_144
ko:K03070	plo:C548_145
ko:K01703	plo:C548_146
ko:K01736	plo:C548_147
ko:K03704	plo:C548_149
ko:K01649	plo:C548_150
ko:K02078	plo:C548_151
ko:K02911	plo:C548_152
ko:K08300	plo:C548_154
ko:K01735	plo:C548_156
ko:K00891	plo:C548_157
ko:K02909	plo:C548_158
ko:K01419	plo:C548_159
ko:K03667	plo:C548_160
ko:K00549	plo:C548_162
ko:K01626	plo:C548_163
ko:K03628	plo:C548_164
ko:K04075	plo:C548_165
ko:K02337	plo:C548_166
ko:K02357	plo:C548_167
ko:K02967	plo:C548_168
ko:K01265	plo:C548_169
ko:K02221	plo:C548_173
ko:K00215	plo:C548_174
ko:K01956	plo:C548_176
ko:K01955	plo:C548_177
ko:K03624	plo:C548_178
ko:K03798	plo:C548_179
ko:K02600	plo:C548_180
ko:K02519	plo:C548_182
ko:K02834	plo:C548_184
ko:K01890	plo:C548_186
ko:K01889	plo:C548_187
ko:K02887	plo:C548_188
ko:K02916	plo:C548_189
ko:K02520	plo:C548_190
ko:K02471	plo:C548_194
ko:K01881	plo:C548_195
ko:K03786	plo:C548_196
ko:K11102	plo:C548_197
ko:K00297	plo:C548_198
ko:K08137	plo:C548_200
ko:K00036	plo:C548_203
ko:K01462	plo:C548_205
ko:K00014	plo:C548_206
ko:K01886	plo:C548_207
ko:K01883	plo:C548_208
ko:K01358	plo:C548_211
ko:K06131	plo:C548_215
ko:K06213	plo:C548_216
ko:K01876	plo:C548_217
ko:K03644	plo:C548_221
ko:K00928	plo:C548_223
ko:K01872	plo:C548_224
ko:K01869	plo:C548_225
ko:K07042	plo:C548_226
ko:K01696	plo:C548_227
ko:K01695	plo:C548_228
ko:K01873	plo:C548_231
ko:K03596	plo:C548_233
ko:K04077	plo:C548_234
ko:K04078	plo:C548_235
ko:K01940	plo:C548_236
ko:K07390	plo:C548_240
ko:K01657	plo:C548_243
ko:K00766	plo:C548_245
ko:K01609	plo:C548_246
ko:K02897	plo:C548_248
ko:K00948	plo:C548_249
ko:K02835	plo:C548_250
ko:K06443	plo:C548_251
ko:K02434	plo:C548_254
ko:K00765	plo:C548_257
ko:K02871	plo:C548_258
ko:K02996	plo:C548_259
ko:K03438	plo:C548_260
ko:K03555	plo:C548_262
ko:K02204	plo:C548_266
ko:K00817	plo:C548_267
ko:K02500	plo:C548_268
ko:K00033	plo:C548_055
ko:K01885	plo:C548_109
ko:K01409	plo:C548_119
ko:K01496	plo:C548_134
ko:K06179	plo:C548_153
ko:K01523	plo:C548_161
ko:K00674	plo:C548_170
ko:K01439	plo:C548_171
ko:K00845	plo:C548_204
ko:K14219	plo:C548_307
ko:K14224	plo:C548_288
ko:K14225	plo:C548_289
ko:K14225	plo:C548_291
ko:K14233	plo:C548_309
ko:K14232	plo:C548_306
ko:K14226	plo:C548_308
ko:K14222	plo:C548_312
ko:K14229	plo:C548_315
ko:K14220	plo:C548_316
ko:K14231	plo:C548_319
ko:K14223	plo:C548_320
ko:K03386	plo:C548_230
ko:K03593	plo:C548_241
ko:K02433	plo:C548_255
ko:K05595	plo:C548_274
ko:K14230	plo:C548_286
ko:K14230	plo:C548_305
ko:K14230	plo:C548_317
ko:K14219	plo:C548_287
ko:K14219	plo:C548_302
ko:K14233	plo:C548_310
ko:K14233	plo:C548_311
ko:K14234	plo:C548_292
ko:K14234	plo:C548_321
ko:K14234	plo:C548_318
ko:K14235	plo:C548_293
ko:K14227	plo:C548_295
ko:K01980	plo:C548_296
ko:K01985	plo:C548_297
ko:K14236	plo:C548_298
ko:K14228	plo:C548_304
ko:K14228	plo:C548_313
ko:K14221	plo:C548_300
ko:K14237	plo:C548_301
ko:K14237	plo:C548_314
ko:K14218	plo:C548_303
ko:K08316	plo:C548_102
ko:K01977	plo:C548_294
ko:K10027	plo:C548_253
ko:K01990	plo:C548_053
ko:K01658	plo:C548_244
ko:K02970	plo:C548_120
ko:K01866	plo:C548_172
ko:K01358	plo:C548_212
ko:K03544	plo:C548_213
ko:K03640	plo:C548_219
ko:K00335	plo:C548_011
ko:K00336	plo:C548_010
ko:K00821	plo:C548_232
ko:K02314	plo:C548_118
ko:K02257	plo:C548_126
