ko:K06896	spnn:T308_03550
ko:K12292	spnn:T308_00145
ko:K08643	spnn:T308_03135
ko:K13925	spnn:T308_08315
ko:K01155	spnn:T308_08385
ko:K01985	spnn:T308_00010
ko:K01985	spnn:T308_08740
ko:K01985	spnn:T308_09860
ko:K01985	spnn:T308_09485
ko:K01215	spnn:T308_01725
ko:K19689	spnn:T308_01355
ko:K01271	spnn:T308_07250
ko:K01390	spnn:T308_05505
ko:K12574	spnn:T308_00595
ko:K02027	spnn:T308_07710
ko:K00131	spnn:T308_05430
ko:K01467	spnn:T308_10845
ko:K14230	spnn:T308_08690
ko:K01101	spnn:T308_03995
ko:K14223	spnn:T308_06320
ko:K14220	spnn:T308_00015
ko:K14220	spnn:T308_10755
ko:K14219	spnn:T308_04320
ko:K14219	spnn:T308_04535
ko:K14219	spnn:T308_08700
ko:K14234	spnn:T308_04965
ko:K14233	spnn:T308_06255
ko:K14228	spnn:T308_08705
ko:K14228	spnn:T308_09805
ko:K14225	spnn:T308_08665
ko:K14225	spnn:T308_09850
ko:K14235	spnn:T308_09820
ko:K14229	spnn:T308_08725
ko:K14229	spnn:T308_09470
ko:K01977	spnn:T308_08755
ko:K01977	spnn:T308_09875
ko:K01977	spnn:T308_10875
ko:K01977	spnn:T308_09500
ko:K01791	spnn:T308_01785
ko:K01980	spnn:T308_00005
ko:K01980	spnn:T308_09865
ko:K01980	spnn:T308_09490
ko:K01980	spnn:T308_08745
ko:K00226	spnn:T308_03565
ko:K01658	spnn:T308_08240
ko:K03767	spnn:T308_03600
ko:K00290	spnn:T308_05995
ko:K07284	spnn:T308_04685
ko:K17828	spnn:T308_05800
ko:K00537	spnn:T308_03740
ko:K01739	spnn:T308_06925
ko:K02027	spnn:T308_07675
ko:K14234	spnn:T308_08715
ko:K14234	spnn:T308_09460
ko:K01190	spnn:T308_03055
ko:K14231	spnn:T308_08670
ko:K14231	spnn:T308_09830
ko:K14223	spnn:T308_09810
ko:K14219	spnn:T308_09445
ko:K14236	spnn:T308_06325
ko:K14228	spnn:T308_07210
ko:K14228	spnn:T308_09450
ko:K14229	spnn:T308_08130
ko:K14227	spnn:T308_08660
ko:K14227	spnn:T308_09845
ko:K14230	spnn:T308_08675
ko:K14230	spnn:T308_09835
ko:K14233	spnn:T308_08680
ko:K14233	spnn:T308_09840
ko:K14221	spnn:T308_08730
ko:K14221	spnn:T308_09475
ko:K14218	spnn:T308_08750
ko:K14218	spnn:T308_09495
ko:K14218	spnn:T308_09870
ko:K14218	spnn:T308_10880
ko:K14224	spnn:T308_08765
ko:K14224	spnn:T308_10760
ko:K14224	spnn:T308_09505
ko:K14224	spnn:T308_09880
ko:K14224	spnn:T308_10870
ko:K14222	spnn:T308_09215
ko:K14226	spnn:T308_09815
ko:K14236	spnn:T308_09825
ko:K01939	spnn:T308_00035
ko:K11991	spnn:T308_00040
ko:K04485	spnn:T308_00055
ko:K01673	spnn:T308_00060
ko:K00948	spnn:T308_00070
ko:K06929	spnn:T308_00090
ko:K00841	spnn:T308_00105
ko:K03584	spnn:T308_00110
ko:K03621	spnn:T308_00115
ko:K02078	spnn:T308_00120
ko:K01923	spnn:T308_00155
ko:K01952	spnn:T308_00160
ko:K00764	spnn:T308_00165
ko:K01933	spnn:T308_00170
ko:K11175	spnn:T308_00175
ko:K00602	spnn:T308_00185
ko:K01945	spnn:T308_00190
ko:K01588	spnn:T308_00200
ko:K01589	spnn:T308_00205
ko:K01756	spnn:T308_00215
ko:K12373	spnn:T308_00220
ko:K12308	spnn:T308_00230
ko:K02795	spnn:T308_00240
ko:K02793	spnn:T308_00250
ko:K02082	spnn:T308_00255
ko:K01785	spnn:T308_00260
ko:K07104	spnn:T308_00265
ko:K03498	spnn:T308_00300
ko:K03499	spnn:T308_00305
ko:K17686	spnn:T308_03415
ko:K00158	spnn:T308_03420
ko:K01223	spnn:T308_03435
ko:K01809	spnn:T308_03440
ko:K03308	spnn:T308_03445
ko:K07007	spnn:T308_03460
ko:K00761	spnn:T308_03480
ko:K01358	spnn:T308_03485
ko:K01999	spnn:T308_03495
ko:K01997	spnn:T308_03505
ko:K01998	spnn:T308_03510
ko:K01995	spnn:T308_03515
ko:K01996	spnn:T308_03520
ko:K04767	spnn:T308_03525
ko:K02836	spnn:T308_03530
ko:K09812	spnn:T308_03535
ko:K09811	spnn:T308_03540
ko:K01126	spnn:T308_05645
ko:K02342	spnn:T308_05650
ko:K01243	spnn:T308_05660
ko:K01515	spnn:T308_05670
ko:K04042	spnn:T308_05675
ko:K07273	spnn:T308_05680
ko:K08974	spnn:T308_05685
ko:K03976	spnn:T308_05690
ko:K07533	spnn:T308_05715
ko:K08602	spnn:T308_05725
ko:K06198	spnn:T308_05730
ko:K16868	spnn:T308_05735
ko:K03664	spnn:T308_05740
ko:K12573	spnn:T308_05745
ko:K03075	spnn:T308_05750
ko:K02913	spnn:T308_05755
ko:K00859	spnn:T308_05765
ko:K10563	spnn:T308_05770
ko:K00847	spnn:T308_07860
ko:K02808	spnn:T308_07865
ko:K02809	spnn:T308_07865
ko:K02810	spnn:T308_07865
ko:K01193	spnn:T308_07870
ko:K03484	spnn:T308_07875
ko:K00054	spnn:T308_07880
ko:K01641	spnn:T308_07885
ko:K02035	spnn:T308_01815
ko:K17624	spnn:T308_01820
ko:K05366	spnn:T308_01825
ko:K03700	spnn:T308_01830
ko:K07444	spnn:T308_01850
ko:K00033	spnn:T308_01860
ko:K00869	spnn:T308_01895
ko:K01597	spnn:T308_01900
ko:K00938	spnn:T308_01905
ko:K01823	spnn:T308_01910
ko:K11617	spnn:T308_01920
ko:K11618	spnn:T308_01925
ko:K03545	spnn:T308_01950
ko:K03581	spnn:T308_01955
ko:K03100	spnn:T308_01960
ko:K03471	spnn:T308_01965
ko:K07456	spnn:T308_01980
ko:K03310	spnn:T308_01985
ko:K11041	spnn:T308_01995
ko:K01875	spnn:T308_02000
ko:K00928	spnn:T308_02010
ko:K00648	spnn:T308_02025
ko:K02078	spnn:T308_02030
ko:K01624	spnn:T308_02850
ko:K10040	spnn:T308_02865
ko:K10040	spnn:T308_02870
ko:K10039	spnn:T308_02875
ko:K10041	spnn:T308_02880
ko:K07462	spnn:T308_02885
ko:K03930	spnn:T308_02895
ko:K05363	spnn:T308_02900
ko:K12554	spnn:T308_02905
ko:K03703	spnn:T308_02915
ko:K02030	spnn:T308_02925
ko:K03311	spnn:T308_02955
ko:K03588	spnn:T308_05165
ko:K01595	spnn:T308_05170
ko:K01989	spnn:T308_05175
ko:K05832	spnn:T308_05180
ko:K05833	spnn:T308_05185
ko:K03086	spnn:T308_05195
ko:K13678	spnn:T308_05205
ko:K03979	spnn:T308_05225
ko:K06967	spnn:T308_07330
ko:K00615	spnn:T308_07350
ko:K17195	spnn:T308_07355
ko:K02768	spnn:T308_07370
