ko:K22213	mabo:NF82_01505
ko:K09796	mabo:NF82_11355
ko:K02113	mabo:NF82_07310
ko:K02109	mabo:NF82_07310
ko:K00561	mabo:NF82_11485
ko:K11741	mabo:NF82_13175
ko:K18958	mabo:NF82_17580
ko:K18955	mabo:NF82_18065
ko:K19311	mabo:NF82_17625
ko:K19746	mabo:NF82_23725
ko:K21480	mabo:NF82_23900
ko:K21688	mabo:NF82_05705
ko:K21689	mabo:NF82_20440
ko:K19302	mabo:NF82_01005
ko:K00897	mabo:NF82_00820
ko:K00864	mabo:NF82_01915
ko:K03924	mabo:NF82_01950
ko:K07454	mabo:NF82_01990
ko:K03581	mabo:NF82_01995
ko:K03582	mabo:NF82_02000
ko:K03583	mabo:NF82_02005
ko:K01738	mabo:NF82_02045
ko:K06994	mabo:NF82_06490
ko:K11065	mabo:NF82_06505
ko:K13669	mabo:NF82_06575
ko:K01433	mabo:NF82_06585
ko:K01724	mabo:NF82_06590
ko:K03574	mabo:NF82_06595
ko:K06207	mabo:NF82_06600
ko:K07506	mabo:NF82_06615
ko:K15525	mabo:NF82_06630
ko:K00545	mabo:NF82_06645
ko:K11779	mabo:NF82_06650
ko:K00219	mabo:NF82_06675
ko:K00294	mabo:NF82_06700
ko:K00318	mabo:NF82_06705
ko:K12429	mabo:NF82_06710
ko:K04091	mabo:NF82_11090
ko:K06978	mabo:NF82_11105
ko:K03710	mabo:NF82_11190
ko:K02051	mabo:NF82_11200
ko:K02050	mabo:NF82_11205
ko:K02049	mabo:NF82_11210
ko:K04781	mabo:NF82_11220
ko:K04787	mabo:NF82_11230
ko:K04789	mabo:NF82_11235
ko:K04793	mabo:NF82_11240
ko:K00604	mabo:NF82_11295
ko:K14699	mabo:NF82_11300
ko:K14698	mabo:NF82_11305
ko:K03762	mabo:NF82_11310
ko:K10674	mabo:NF82_11315
ko:K06720	mabo:NF82_11320
ko:K00836	mabo:NF82_11325
ko:K06718	mabo:NF82_11330
ko:K03449	mabo:NF82_11365
