ko:K09796	mak:LH56_12580
ko:K02113	mak:LH56_15865
ko:K02109	mak:LH56_15865
ko:K11741	mak:LH56_10825
ko:K14225	mak:LH56_15185
ko:K18958	mak:LH56_06565
ko:K18955	mak:LH56_06190
ko:K14219	mak:LH56_21240
ko:K19311	mak:LH56_06520
ko:K19746	mak:LH56_00670
ko:K22552	mak:LH56_16740
ko:K21688	mak:LH56_17440
ko:K21689	mak:LH56_03790
ko:K19302	mak:LH56_21355
ko:K00897	mak:LH56_21540
ko:K18688	mak:LH56_03370
ko:K10531	mak:LH56_13910
ko:K01978	mak:LH56_22350
ko:K01977	mak:LH56_15825
ko:K14230	mak:LH56_06610
ko:K05337	mak:LH56_00070
ko:K02914	mak:LH56_00005
ko:K03536	mak:LH56_00010
ko:K03217	mak:LH56_00020
ko:K03671	mak:LH56_00080
ko:K06346	mak:LH56_00025
ko:K03501	mak:LH56_00030
ko:K00384	mak:LH56_00085
ko:K01669	mak:LH56_02940
ko:K03316	mak:LH56_02955
ko:K08289	mak:LH56_02960
ko:K10764	mak:LH56_02975
ko:K06994	mak:LH56_02985
ko:K02029	mak:LH56_02995
ko:K02028	mak:LH56_03000
ko:K02030	mak:LH56_03005
ko:K01191	mak:LH56_03050
ko:K13788	mak:LH56_03055
ko:K00925	mak:LH56_03060
ko:K14949	mak:LH56_03065
ko:K02030	mak:LH56_03070
ko:K03574	mak:LH56_03080
ko:K00788	mak:LH56_03090
ko:K03153	mak:LH56_03095
ko:K03154	mak:LH56_03100
ko:K03149	mak:LH56_03105
ko:K01703	mak:LH56_07640
ko:K01704	mak:LH56_07645
ko:K03530	mak:LH56_07650
ko:K03574	mak:LH56_07655
ko:K00937	mak:LH56_07660
ko:K14941	mak:LH56_07665
ko:K00057	mak:LH56_07670
ko:K01758	mak:LH56_07675
ko:K01921	mak:LH56_07680
ko:K00946	mak:LH56_07690
ko:K03648	mak:LH56_07695
ko:K15866	mak:LH56_07705
ko:K02902	mak:LH56_07710
ko:K07030	mak:LH56_07715
ko:K03655	mak:LH56_07720
ko:K01958	mak:LH56_07775
ko:K08316	mak:LH56_07780
ko:K01061	mak:LH56_07790
ko:K14953	mak:LH56_07810
ko:K00954	mak:LH56_07820
ko:K07040	mak:LH56_07830
ko:K03685	mak:LH56_07835
ko:K10563	mak:LH56_07840
ko:K01546	mak:LH56_07855
ko:K01547	mak:LH56_07860
ko:K01548	mak:LH56_07865
ko:K07646	mak:LH56_07870
ko:K07667	mak:LH56_07875
ko:K03529	mak:LH56_07895
ko:K01823	mak:LH56_07915
ko:K03631	mak:LH56_12140
ko:K00858	mak:LH56_12145
ko:K06442	mak:LH56_12150
ko:K01866	mak:LH56_12175
ko:K03652	mak:LH56_12185
ko:K01755	mak:LH56_12230
ko:K01940	mak:LH56_12235
ko:K03402	mak:LH56_12240
ko:K00611	mak:LH56_12245
ko:K00930	mak:LH56_12255
ko:K00620	mak:LH56_12260
ko:K00145	mak:LH56_12265
ko:K01890	mak:LH56_12270
ko:K01889	mak:LH56_12275
ko:K13529	mak:LH56_12280
ko:K00567	mak:LH56_12285
ko:K03437	mak:LH56_12320
ko:K02887	mak:LH56_12325
ko:K02916	mak:LH56_12330
ko:K02520	mak:LH56_12335
ko:K04567	mak:LH56_12345
ko:K03701	mak:LH56_12365
ko:K13639	mak:LH56_12395
ko:K03702	mak:LH56_12400
ko:K09146	mak:LH56_12405
ko:K00219	mak:LH56_16470
ko:K11779	mak:LH56_16495
ko:K00545	mak:LH56_16500
ko:K15525	mak:LH56_16515
ko:K06207	mak:LH56_16545
ko:K03574	mak:LH56_16550
ko:K01724	mak:LH56_16555
ko:K01433	mak:LH56_16560
ko:K13669	mak:LH56_16570
ko:K11065	mak:LH56_16645
ko:K06994	mak:LH56_16660
ko:K01738	mak:LH56_16730
ko:K06942	mak:LH56_16750
ko:K01689	mak:LH56_20920
ko:K00574	mak:LH56_20930
ko:K02343	mak:LH56_20935
ko:K13063	mak:LH56_20980
ko:K00216	mak:LH56_20990
ko:K01626	mak:LH56_20995
ko:K01857	mak:LH56_21015
ko:K13671	mak:LH56_21070
ko:K01885	mak:LH56_21085
ko:K00773	mak:LH56_21105
ko:K11991	mak:LH56_21130
ko:K04517	mak:LH56_21140
ko:K09957	mak:LH56_21145
ko:K05846	mak:LH56_21150
ko:K05846	mak:LH56_21155
ko:K05847	mak:LH56_21160
ko:K05845	mak:LH56_21165
ko:K00135	mak:LH56_03145
