ko:K19744	paeb:NCGM1900_1111
ko:K14220	paeb:NCGM1900_4732
ko:K14230	paeb:NCGM1900_5395
ko:K19591	paeb:NCGM1900_5513
ko:K19595	paeb:NCGM1900_2761
ko:K22617	paeb:NCGM1900_2179
ko:K19593	paeb:NCGM1900_2763
ko:K16238	paeb:NCGM1900_0939
ko:K01046	paeb:NCGM1900_3450
ko:K19291	paeb:NCGM1900_2742
ko:K03446	paeb:NCGM1900_3481
ko:K18816	paeb:NCGM1900_3707
ko:K21429	paeb:NCGM1900_0584
ko:K00638	paeb:NCGM1900_2061
ko:K12960	paeb:NCGM1900_3133
ko:K19735	paeb:NCGM1900_1665
ko:K19611	paeb:NCGM1900_1787
ko:K21430	paeb:NCGM1900_1488
ko:K01990	paeb:NCGM1900_6123
ko:K11209	paeb:NCGM1900_4951
ko:K19609	paeb:NCGM1900_3811
ko:K06884	paeb:NCGM1900_4335
ko:K11209	paeb:NCGM1900_1576
ko:K07497	paeb:NCGM1900_1406
ko:K07497	paeb:NCGM1900_3680
ko:K07497	paeb:NCGM1900_3713
ko:K07497	paeb:NCGM1900_6129
ko:K09788	paeb:NCGM1900_1983
ko:K18291	paeb:NCGM1900_1844
ko:K19746	paeb:NCGM1900_1110
ko:K00249	paeb:NCGM1900_5045
ko:K00344	paeb:NCGM1900_0021
ko:K12976	paeb:NCGM1900_5371
ko:K18131	paeb:NCGM1900_0432
ko:K18130	paeb:NCGM1900_2555
ko:K09017	paeb:NCGM1900_0445
ko:K01007	paeb:NCGM1900_4793
ko:K12979	paeb:NCGM1900_2345
ko:K12979	paeb:NCGM1900_1782
ko:K00344	paeb:NCGM1900_3831
ko:K16638	paeb:NCGM1900_1678
ko:K06600	paeb:NCGM1900_0424
ko:K04057	paeb:NCGM1900_4871
ko:K01802	paeb:NCGM1900_2559
ko:K00091	paeb:NCGM1900_2477
ko:K07092	paeb:NCGM1900_5531
ko:K01980	paeb:NCGM1900_0672
ko:K01980	paeb:NCGM1900_6216
ko:K01980	paeb:NCGM1900_5415
ko:K01980	paeb:NCGM1900_2102
ko:K02625	paeb:NCGM1900_0220
ko:K09017	paeb:NCGM1900_5080
ko:K11919	paeb:NCGM1900_4162
ko:K08085	paeb:NCGM1900_2388
ko:K00249	paeb:NCGM1900_1843
ko:K00984	paeb:NCGM1900_3708
ko:K20258	paeb:NCGM1900_3949
ko:K00130	paeb:NCGM1900_6223
ko:K05799	paeb:NCGM1900_5503
ko:K22589	paeb:NCGM1900_3828
ko:K00249	paeb:NCGM1900_2265
ko:K00249	paeb:NCGM1900_3972
ko:K00248	paeb:NCGM1900_5774
ko:K18473	paeb:NCGM1900_5965
ko:K00632	paeb:NCGM1900_2816
ko:K18001	paeb:NCGM1900_1671
ko:K03293	paeb:NCGM1900_1987
ko:K00100	paeb:NCGM1900_1448
ko:K00042	paeb:NCGM1900_5084
ko:K01505	paeb:NCGM1900_3212
ko:K00114	paeb:NCGM1900_4505
ko:K01139	paeb:NCGM1900_6181
ko:K09690	paeb:NCGM1900_6306
ko:K09691	paeb:NCGM1900_6305
ko:K00433	paeb:NCGM1900_3778
ko:K00130	paeb:NCGM1900_3818
ko:K09017	paeb:NCGM1900_0160
ko:K19296	paeb:NCGM1900_2733
ko:K14230	paeb:NCGM1900_5478
ko:K14230	paeb:NCGM1900_1796
ko:K01800	paeb:NCGM1900_4057
ko:K01800	paeb:NCGM1900_4480
ko:K07216	paeb:NCGM1900_4894
ko:K11917	paeb:NCGM1900_4172
ko:K00249	paeb:NCGM1900_1397
ko:K00249	paeb:NCGM1900_5746
ko:K00632	paeb:NCGM1900_3292
ko:K02675	paeb:NCGM1900_2393
ko:K19092	paeb:NCGM1900_1727
ko:K11894	paeb:NCGM1900_4902
ko:K14228	paeb:NCGM1900_5479
ko:K21645	paeb:NCGM1900_6280
ko:K20862	paeb:NCGM1900_6081
ko:K22468	paeb:NCGM1900_4101
ko:K00525	paeb:NCGM1900_1438
ko:K00525	paeb:NCGM1900_6356
ko:K15539	paeb:NCGM1900_1173
ko:K03526	paeb:NCGM1900_1174
ko:K01892	paeb:NCGM1900_1175
ko:K17713	paeb:NCGM1900_1177
ko:K03977	paeb:NCGM1900_1178
ko:K14287	paeb:NCGM1900_1179
ko:K01649	paeb:NCGM1900_1185
ko:K02014	paeb:NCGM1900_1189
ko:K08641	paeb:NCGM1900_1198
ko:K03601	paeb:NCGM1900_1203
ko:K07090	paeb:NCGM1900_1205
ko:K00088	paeb:NCGM1900_1210
ko:K01951	paeb:NCGM1900_1211
ko:K09965	paeb:NCGM1900_1216
ko:K18691	paeb:NCGM1900_1217
ko:K01952	paeb:NCGM1900_1218
ko:K02803	paeb:NCGM1900_1221
ko:K02804	paeb:NCGM1900_1221
ko:K11189	paeb:NCGM1900_1222
ko:K00820	paeb:NCGM1900_1223
ko:K01443	paeb:NCGM1900_1224
ko:K07746	paeb:NCGM1900_1726
ko:K07483	paeb:NCGM1900_1730
ko:K03657	paeb:NCGM1900_1734
ko:K07462	paeb:NCGM1900_2551
ko:K07687	paeb:NCGM1900_2562
ko:K00316	paeb:NCGM1900_2563
ko:K13487	paeb:NCGM1900_2568
ko:K13488	paeb:NCGM1900_2569
ko:K13486	paeb:NCGM1900_2570
ko:K13489	paeb:NCGM1900_2571
ko:K13490	paeb:NCGM1900_2572
ko:K13491	paeb:NCGM1900_2573
ko:K11444	paeb:NCGM1900_2574
ko:K02836	paeb:NCGM1900_2575
ko:K04567	paeb:NCGM1900_2576
ko:K06889	paeb:NCGM1900_2581
ko:K01534	paeb:NCGM1900_2586
ko:K10680	paeb:NCGM1900_3378
ko:K10017	paeb:NCGM1900_3385
ko:K10015	paeb:NCGM1900_3386
ko:K10016	paeb:NCGM1900_3387
ko:K10014	paeb:NCGM1900_3388
ko:K03406	paeb:NCGM1900_3391
ko:K02015	paeb:NCGM1900_3397
ko:K02016	paeb:NCGM1900_3398
ko:K02013	paeb:NCGM1900_3399
ko:K02014	paeb:NCGM1900_3400
ko:K05895	paeb:NCGM1900_3402
ko:K02188	paeb:NCGM1900_3403
ko:K00595	paeb:NCGM1900_3404
ko:K02229	paeb:NCGM1900_3405
ko:K06042	paeb:NCGM1900_3406
ko:K03394	paeb:NCGM1900_3407
ko:K13541	paeb:NCGM1900_3408
ko:K02030	paeb:NCGM1900_3409
ko:K03088	paeb:NCGM1900_3415
ko:K13776	paeb:NCGM1900_3418
ko:K13777	paeb:NCGM1900_3420
ko:K13779	paeb:NCGM1900_3421
ko:K11731	paeb:NCGM1900_3422
ko:K13778	paeb:NCGM1900_3423
ko:K13774	paeb:NCGM1900_3424
ko:K03119	paeb:NCGM1900_4220
ko:K02051	paeb:NCGM1900_4221
ko:K02049	paeb:NCGM1900_4222
ko:K02050	paeb:NCGM1900_4223
ko:K03710	paeb:NCGM1900_4231
ko:K07267	paeb:NCGM1900_4238
ko:K00117	paeb:NCGM1900_4239
ko:K02014	paeb:NCGM1900_4241
ko:K11811	paeb:NCGM1900_4250
ko:K03893	paeb:NCGM1900_4252
ko:K13979	paeb:NCGM1900_4255
ko:K13639	paeb:NCGM1900_4257
