ko:K12978	fty:CH70_1787
ko:K01977	fty:CH70_615
ko:K01977	fty:CH70_1597
ko:K01977	fty:CH70_181
ko:K14227	fty:CH70_1596
ko:K14227	fty:CH70_182
ko:K14227	fty:CH70_616
ko:K14219	fty:CH70_375
ko:K14235	fty:CH70_339
ko:K03602	fty:CH70_763
ko:K19416	fty:CH70_906
ko:K19561	fty:CH70_1204
ko:K07666	fty:CH70_465
ko:K22468	fty:CH70_458
ko:K03720	fty:CH70_120
ko:K01657	fty:CH70_121
ko:K01658	fty:CH70_122
ko:K00766	fty:CH70_123
ko:K07304	fty:CH70_127
ko:K13498	fty:CH70_130
ko:K13993	fty:CH70_129
ko:K01256	fty:CH70_131
ko:K05596	fty:CH70_133
ko:K06895	fty:CH70_135
ko:K03778	fty:CH70_143
ko:K03564	fty:CH70_144
ko:K04652	fty:CH70_146
ko:K12262	fty:CH70_148
ko:K03313	fty:CH70_150
ko:K00655	fty:CH70_152
ko:K00655	fty:CH70_153
ko:K05524	fty:CH70_154
ko:K08289	fty:CH70_158
ko:K01183	fty:CH70_159
ko:K03695	fty:CH70_160
ko:K03811	fty:CH70_161
ko:K01695	fty:CH70_163
ko:K01696	fty:CH70_164
ko:K01299	fty:CH70_165
ko:K03281	fty:CH70_166
ko:K03811	fty:CH70_170
ko:K03424	fty:CH70_171
ko:K01259	fty:CH70_172
ko:K00928	fty:CH70_173
ko:K00957	fty:CH70_1025
ko:K07481	fty:CH70_1027
ko:K03386	fty:CH70_1031
ko:K06193	fty:CH70_1033
ko:K02342	fty:CH70_1036
ko:K07260	fty:CH70_1037
ko:K12941	fty:CH70_1039
ko:K00128	fty:CH70_1041
ko:K04761	fty:CH70_1045
ko:K00945	fty:CH70_1048
ko:K00831	fty:CH70_1049
ko:K00228	fty:CH70_1051
ko:K02990	fty:CH70_1053
ko:K02963	fty:CH70_1054
ko:K02939	fty:CH70_1055
ko:K06941	fty:CH70_1057
ko:K02656	fty:CH70_1058
ko:K06178	fty:CH70_1059
ko:K03789	fty:CH70_1061
ko:K01953	fty:CH70_1068
ko:K01207	fty:CH70_456
ko:K01004	fty:CH70_459
ko:K00795	fty:CH70_460
ko:K02527	fty:CH70_461
ko:K02428	fty:CH70_462
ko:K00286	fty:CH70_463
ko:K03100	fty:CH70_466
ko:K03685	fty:CH70_467
ko:K03177	fty:CH70_468
ko:K12573	fty:CH70_469
ko:K00574	fty:CH70_474
ko:K09701	fty:CH70_475
ko:K07337	fty:CH70_481
ko:K09859	fty:CH70_484
ko:K09794	fty:CH70_488
ko:K07481	fty:CH70_490
ko:K07516	fty:CH70_495
ko:K01897	fty:CH70_497
ko:K00537	fty:CH70_498
ko:K00031	fty:CH70_499
ko:K07481	fty:CH70_500
ko:K03578	fty:CH70_502
ko:K03578	fty:CH70_503
ko:K07481	fty:CH70_504
ko:K03578	fty:CH70_505
ko:K13012	fty:CH70_507
ko:K01784	fty:CH70_508
ko:K17716	fty:CH70_510
ko:K19068	fty:CH70_511
ko:K03427	fty:CH70_1340
ko:K07481	fty:CH70_1345
ko:K00432	fty:CH70_1349
ko:K01488	fty:CH70_1351
ko:K00278	fty:CH70_1353
ko:K00767	fty:CH70_1354
ko:K03517	fty:CH70_1355
ko:K00942	fty:CH70_1356
ko:K05592	fty:CH70_1357
ko:K03769	fty:CH70_1358
ko:K08137	fty:CH70_1360
ko:K00965	fty:CH70_1361
ko:K00849	fty:CH70_1363
ko:K00979	fty:CH70_1364
ko:K09791	fty:CH70_1365
ko:K03703	fty:CH70_1368
ko:K03684	fty:CH70_1369
ko:K09966	fty:CH70_1370
ko:K02899	fty:CH70_1372
ko:K02888	fty:CH70_1373
ko:K00865	fty:CH70_1375
ko:K01246	fty:CH70_1374
ko:K03070	fty:CH70_1376
ko:K03784	fty:CH70_1378
ko:K03798	fty:CH70_1380
ko:K03701	fty:CH70_1382
ko:K03624	fty:CH70_1383
ko:K08084	fty:CH70_1384
ko:K01810	fty:CH70_1385
ko:K00949	fty:CH70_1386
ko:K00088	fty:CH70_1387
ko:K01255	fty:CH70_1388
ko:K07091	fty:CH70_1389
ko:K11720	fty:CH70_1390
ko:K07263	fty:CH70_1391
ko:K00215	fty:CH70_174
ko:K07481	fty:CH70_175
ko:K01714	fty:CH70_176
ko:K00674	fty:CH70_177
ko:K01586	fty:CH70_178
ko:K00812	fty:CH70_179
ko:K00122	fty:CH70_187
ko:K01546	fty:CH70_188
ko:K01547	fty:CH70_189
ko:K01548	fty:CH70_190
ko:K07646	fty:CH70_191
ko:K07667	fty:CH70_192
ko:K03979	fty:CH70_196
ko:K02471	fty:CH70_199
ko:K18552	fty:CH70_200
ko:K08303	fty:CH70_201
ko:K00573	fty:CH70_202
ko:K12340	fty:CH70_203
ko:K06133	fty:CH70_204
ko:K01580	fty:CH70_205
ko:K00764	fty:CH70_206
ko:K01952	fty:CH70_207
ko:K07481	fty:CH70_209
ko:K01756	fty:CH70_215
ko:K02435	fty:CH70_218
ko:K02433	fty:CH70_219
ko:K02434	fty:CH70_220
ko:K01586	fty:CH70_227
ko:K03711	fty:CH70_230
ko:K00330	fty:CH70_231
ko:K00957	fty:CH70_1075
ko:K07481	fty:CH70_1077
ko:K00956	fty:CH70_1080
ko:K02665	fty:CH70_791
ko:K02666	fty:CH70_792
ko:K00891	fty:CH70_793
ko:K01735	fty:CH70_794
ko:K09159	fty:CH70_797
ko:K13821	fty:CH70_798
ko:K07481	fty:CH70_801
ko:K13038	fty:CH70_806
ko:K01785	fty:CH70_807
ko:K01669	fty:CH70_817
ko:K01772	fty:CH70_818
ko:K02653	fty:CH70_822
ko:K02652	fty:CH70_823
ko:K01126	fty:CH70_825
ko:K03802	fty:CH70_826
ko:K01770	fty:CH70_828
ko:K02071	fty:CH70_832
ko:K08591	fty:CH70_833
ko:K07481	fty:CH70_836
ko:K00773	fty:CH70_840
ko:K01589	fty:CH70_1653
ko:K01588	fty:CH70_1655
ko:K11175	fty:CH70_1656
ko:K01933	fty:CH70_1658
ko:K07461	fty:CH70_1659
ko:K01491	fty:CH70_1660
ko:K03631	fty:CH70_1665
ko:K00812	fty:CH70_1667
ko:K00121	fty:CH70_1668
ko:K04565	fty:CH70_1672
ko:K07305	fty:CH70_1673
ko:K01736	fty:CH70_1675
ko:K04485	fty:CH70_1678
ko:K00057	fty:CH70_1679
ko:K01534	fty:CH70_1683
ko:K03744	fty:CH70_1686
ko:K03799	fty:CH70_1687
ko:K00989	fty:CH70_1690
ko:K03181	fty:CH70_1691
ko:K03179	fty:CH70_1692
ko:K07481	fty:CH70_1695
ko:K07481	fty:CH70_1698
ko:K03453	fty:CH70_1702
ko:K06876	fty:CH70_1705
ko:K00860	fty:CH70_1081
ko:K02523	fty:CH70_1087
ko:K03773	fty:CH70_1088
ko:K14058	fty:CH70_1089
ko:K07107	fty:CH70_1090
ko:K07259	fty:CH70_1092
ko:K02970	fty:CH70_1093
ko:K09117	fty:CH70_1094
ko:K03086	fty:CH70_1096
ko:K03885	fty:CH70_1097
ko:K15922	fty:CH70_1098
ko:K16210	fty:CH70_1099
ko:K07481	fty:CH70_1100
ko:K03574	fty:CH70_1106
ko:K07735	fty:CH70_1107
ko:K07447	fty:CH70_1108
ko:K01869	fty:CH70_1111
ko:K03643	fty:CH70_1112
ko:K16053	fty:CH70_1113
ko:K01494	fty:CH70_1114
ko:K03593	fty:CH70_1115
ko:K06131	fty:CH70_1117
ko:K06131	fty:CH70_1122
ko:K06131	fty:CH70_1123
ko:K01791	fty:CH70_512
ko:K00973	fty:CH70_519
ko:K01710	fty:CH70_521
ko:K00971	fty:CH70_522
ko:K01840	fty:CH70_523
ko:K03628	fty:CH70_524
ko:K03671	fty:CH70_525
ko:K01524	fty:CH70_526
ko:K07478	fty:CH70_527
ko:K03040	fty:CH70_528
ko:K03594	fty:CH70_531
ko:K03424	fty:CH70_533
ko:K11312	fty:CH70_534
ko:K11312	fty:CH70_535
ko:K01990	fty:CH70_536
ko:K01992	fty:CH70_537
ko:K00858	fty:CH70_540
ko:K03439	fty:CH70_541
ko:K07090	fty:CH70_552
ko:K07394	fty:CH70_551
ko:K09160	fty:CH70_553
ko:K03625	fty:CH70_557
ko:K14287	fty:CH70_560
ko:K01881	fty:CH70_563
ko:K02426	fty:CH70_566
ko:K01719	fty:CH70_567
ko:K08316	fty:CH70_1393
ko:K06169	fty:CH70_1395
ko:K00757	fty:CH70_1396
ko:K01489	fty:CH70_1397
ko:K15633	fty:CH70_1400
ko:K01875	fty:CH70_1401
ko:K00847	fty:CH70_1402
ko:K16013	fty:CH70_1407
ko:K16012	fty:CH70_1408
ko:K11103	fty:CH70_1409
ko:K03321	fty:CH70_1411
ko:K01992	fty:CH70_1412
ko:K01990	fty:CH70_1413
ko:K01993	fty:CH70_1414
ko:K01126	fty:CH70_1415
ko:K02445	fty:CH70_1416
ko:K07259	fty:CH70_1417
ko:K07481	fty:CH70_1419
ko:K03782	fty:CH70_1422
ko:K01129	fty:CH70_1424
ko:K01433	fty:CH70_1426
ko:K00761	fty:CH70_1427
ko:K01183	fty:CH70_1429
ko:K00639	fty:CH70_1431
ko:K00060	fty:CH70_1432
ko:K00991	fty:CH70_1434
ko:K05589	fty:CH70_1435
ko:K01689	fty:CH70_1436
ko:K03811	fty:CH70_1438
ko:K00845	fty:CH70_1439
ko:K00845	fty:CH70_1440
ko:K03215	fty:CH70_1441
ko:K07481	fty:CH70_1443
ko:K00331	fty:CH70_232
ko:K00332	fty:CH70_233
ko:K00333	fty:CH70_234
ko:K00334	fty:CH70_235
ko:K00335	fty:CH70_236
ko:K00336	fty:CH70_237
ko:K00337	fty:CH70_238
ko:K00338	fty:CH70_239
ko:K00339	fty:CH70_240
ko:K00340	fty:CH70_241
ko:K00341	fty:CH70_242
ko:K00342	fty:CH70_243
ko:K00343	fty:CH70_244
ko:K09806	fty:CH70_245
ko:K07391	fty:CH70_246
ko:K01599	fty:CH70_247
ko:K09748	fty:CH70_249
ko:K02600	fty:CH70_250
ko:K02519	fty:CH70_251
ko:K02834	fty:CH70_252
ko:K01892	fty:CH70_253
ko:K06916	fty:CH70_255
ko:K06179	fty:CH70_256
ko:K02108	fty:CH70_259
ko:K02110	fty:CH70_260
ko:K02109	fty:CH70_261
ko:K02113	fty:CH70_262
ko:K02111	fty:CH70_263
ko:K02115	fty:CH70_264
ko:K02112	fty:CH70_265
ko:K02114	fty:CH70_266
ko:K07390	fty:CH70_268
ko:K04564	fty:CH70_269
ko:K08218	fty:CH70_270
