ko:K19744	paei:N296_3988
ko:K11741	paei:N296_812
ko:K01851	paei:N296_4363
ko:K18979	paei:N296_5122
ko:K19591	paei:N296_4944
ko:K19595	paei:N296_3646
ko:K03297	paei:N296_5163
ko:K21147	paei:N296_2168
ko:K00800	paei:N296_3275
ko:K18540	paei:N296_3722
ko:K22617	paei:N296_4494
ko:K19593	paei:N296_3644
ko:K16238	paei:N296_4152
ko:K19291	paei:N296_3665
ko:K10815	paei:N296_2267
ko:K10816	paei:N296_2268
ko:K00344	paei:N296_23
ko:K02625	paei:N296_235
ko:K14234	paei:N296_4671
ko:K14234	paei:N296_5337
ko:K14236	paei:N296_4413
ko:K14238	paei:N296_4969
ko:K14231	paei:N296_5325
ko:K14233	paei:N296_1047
ko:K14228	paei:N296_2647
ko:K14219	paei:N296_3487
ko:K01729	paei:N296_3670
ko:K11741	paei:N296_1941
ko:K11741	paei:N296_3381
ko:K03446	paei:N296_2937
ko:K21429	paei:N296_585
ko:K00638	paei:N296_727
ko:K03111	paei:N296_4364
ko:K12960	paei:N296_3281
ko:K07483	paei:N296_1998
ko:K19735	paei:N296_1035
ko:K19611	paei:N296_963
ko:K07497	paei:N296_1999
ko:K07497	paei:N296_1012
ko:K18135	paei:N296_3699
ko:K21430	paei:N296_1149
ko:K15856	paei:N296_5642
ko:K11209	paei:N296_1668
ko:K19609	paei:N296_2769
ko:K16011	paei:N296_3674
ko:K11209	paei:N296_1069
ko:K01399	paei:N296_3847
ko:K09788	paei:N296_820
ko:K18291	paei:N296_906
ko:K19746	paei:N296_3989
ko:K12253	paei:N296_5149
ko:K16636	paei:N296_47
ko:K01007	paei:N296_1818
ko:K06148	paei:N296_887
ko:K07092	paei:N296_4961
ko:K20258	paei:N296_2646
ko:K04057	paei:N296_1742
ko:K22589	paei:N296_2764
ko:K18473	paei:N296_5351
ko:K00100	paei:N296_1186
ko:K00114	paei:N296_2045
ko:K07341	paei:N296_59
ko:K07559	paei:N296_60
ko:K09983	paei:N296_61
ko:K07396	paei:N296_64
ko:K04063	paei:N296_65
ko:K01091	paei:N296_71
ko:K01414	paei:N296_73
ko:K07070	paei:N296_74
ko:K02004	paei:N296_78
ko:K02003	paei:N296_79
ko:K11912	paei:N296_80
ko:K11890	paei:N296_82
ko:K11891	paei:N296_83
ko:K11892	paei:N296_84
ko:K11893	paei:N296_85
ko:K11906	paei:N296_86
ko:K11913	paei:N296_87
ko:K11902	paei:N296_88
ko:K11901	paei:N296_89
ko:K11900	paei:N296_90
ko:K11903	paei:N296_91
ko:K11898	paei:N296_92
ko:K11897	paei:N296_93
ko:K11896	paei:N296_94
ko:K11895	paei:N296_95
ko:K11907	paei:N296_96
ko:K11904	paei:N296_97
ko:K11904	paei:N296_101
ko:K00647	paei:N296_104
ko:K01673	paei:N296_108
ko:K02275	paei:N296_111
ko:K02274	paei:N296_112
ko:K02258	paei:N296_113
ko:K02276	paei:N296_114
ko:K06213	paei:N296_944
ko:K14441	paei:N296_947
ko:K03549	paei:N296_948
ko:K12262	paei:N296_949
ko:K14205	paei:N296_951
ko:K02346	paei:N296_955
ko:K07014	paei:N296_956
ko:K03778	paei:N296_959
ko:K07678	paei:N296_960
ko:K12339	paei:N296_964
ko:K03215	paei:N296_965
ko:K00951	paei:N296_966
ko:K04765	paei:N296_967
ko:K09912	paei:N296_969
ko:K11175	paei:N296_977
ko:K01933	paei:N296_978
ko:K09938	paei:N296_979
ko:K10763	paei:N296_980
