ko:K00986	bant:A16_59740
ko:K19310	bant:A16_03190
ko:K16654	bant:A16_13110
ko:K07496	bant:A16_54100
ko:K18925	bant:A16_09170
ko:K18924	bant:A16_09160
ko:K02031	bant:A16_02510
ko:K07149	bant:A16_56650
ko:K06979	bant:A16_16300
ko:K03547	bant:A16_10770
ko:K17910	bant:A16_14430
ko:K19689	bant:A16_03660
ko:K07050	bant:A16_17630
ko:K07149	bant:A16_38790
ko:K03297	bant:A16_03650
ko:K03297	bant:A16_33680
ko:K08153	bant:A16_09190
ko:K05592	bant:A16_57180
ko:K06147	bant:A16_24750
ko:K11638	bant:A16_10000
ko:K07260	bant:A16_47430
ko:K18926	bant:A16_11040
ko:K18926	bant:A16_10180
ko:K18682	bant:A16_39220
ko:K01400	bant:A16_06580
ko:K20107	bant:A16_04130
ko:K20108	bant:A16_04130
ko:K19975	bant:A16_32160
ko:K19973	bant:A16_32180
ko:K09692	bant:A16_55220
ko:K07260	bant:A16_25580
ko:K01992	bant:A16_14230
ko:K01980	bant:A16_00080
ko:K01980	bant:A16_03240
ko:K01980	bant:A16_01640
ko:K01980	bant:A16_02860
ko:K01980	bant:A16_00300
ko:K01980	bant:A16_00860
ko:K01980	bant:A16_03160
ko:K01980	bant:A16_07840
ko:K01980	bant:A16_05800
ko:K01980	bant:A16_03050
ko:K01980	bant:A16_51440
ko:K14227	bant:A16_00280
ko:K14227	bant:A16_51240
ko:K14227	bant:A16_08020
ko:K14234	bant:A16_01670
ko:K14232	bant:A16_02830
ko:K14232	bant:A16_51350
ko:K14232	bant:A16_07930
ko:K14233	bant:A16_05830
ko:K14231	bant:A16_05880
ko:K14231	bant:A16_07990
ko:K14231	bant:A16_51280
ko:K14231	bant:A16_57320
ko:K01992	bant:A16_56610
ko:K01990	bant:A16_18320
ko:K01990	bant:A16_47660
ko:K19309	bant:A16_03200
ko:K02827	bant:A16_07650
ko:K02479	bant:A16_23010
ko:K01759	bant:A16_54650
ko:K07149	bant:A16_32830
ko:K06901	bant:A16_08310
ko:K00847	bant:A16_08360
ko:K01193	bant:A16_08370
ko:K02809	bant:A16_08380
ko:K02810	bant:A16_08380
ko:K03484	bant:A16_08390
ko:K03611	bant:A16_08420
ko:K03707	bant:A16_08100
ko:K15600	bant:A16_08110
ko:K15599	bant:A16_08120
ko:K15598	bant:A16_08130
ko:K10810	bant:A16_08140
ko:K03153	bant:A16_08150
ko:K03154	bant:A16_08160
ko:K03149	bant:A16_08170
ko:K00941	bant:A16_08190
ko:K01546	bant:A16_08220
ko:K01547	bant:A16_08230
ko:K01548	bant:A16_08250
ko:K07646	bant:A16_08260
ko:K02826	bant:A16_07660
ko:K03307	bant:A16_07700
ko:K06310	bant:A16_07710
ko:K06311	bant:A16_07720
ko:K06312	bant:A16_07730
ko:K04759	bant:A16_07750
ko:K04758	bant:A16_07770
ko:K02040	bant:A16_07780
ko:K02037	bant:A16_07790
ko:K02038	bant:A16_07800
ko:K21379	bant:A16_35870
ko:K18220	bant:A16_30690
ko:K06153	bant:A16_03180
ko:K01588	bant:A16_03260
ko:K01589	bant:A16_03270
ko:K01756	bant:A16_03280
ko:K01923	bant:A16_03290
ko:K01952	bant:A16_03300
ko:K01952	bant:A16_03310
ko:K01952	bant:A16_03320
ko:K00764	bant:A16_03330
ko:K01933	bant:A16_03340
ko:K11175	bant:A16_03350
ko:K00602	bant:A16_03360
ko:K01945	bant:A16_03370
ko:K07094	bant:A16_03410
ko:K03657	bant:A16_03420
ko:K01972	bant:A16_03430
ko:K07090	bant:A16_03450
ko:K00294	bant:A16_03460
ko:K02071	bant:A16_03490
ko:K02072	bant:A16_03500
ko:K02073	bant:A16_03510
ko:K02435	bant:A16_03570
ko:K02433	bant:A16_03580
ko:K02434	bant:A16_03590
ko:K01183	bant:A16_04270
ko:K07729	bant:A16_04330
ko:K06902	bant:A16_04350
ko:K01881	bant:A16_04380
ko:K05795	bant:A16_04420
ko:K05795	bant:A16_04430
ko:K01537	bant:A16_04470
ko:K01104	bant:A16_04490
ko:K07058	bant:A16_04510
ko:K01534	bant:A16_04520
ko:K08978	bant:A16_04590
ko:K07300	bant:A16_04620
ko:K01676	bant:A16_04660
ko:K01247	bant:A16_04690
ko:K06422	bant:A16_05630
ko:K07586	bant:A16_05670
ko:K11085	bant:A16_05680
ko:K00265	bant:A16_05700
ko:K01845	bant:A16_05710
ko:K01990	bant:A16_05720
ko:K01992	bant:A16_05730
ko:K01992	bant:A16_05740
ko:K08713	bant:A16_05750
ko:K03564	bant:A16_05760
ko:K09825	bant:A16_05770
ko:K03574	bant:A16_05990
ko:K03216	bant:A16_06050
ko:K07180	bant:A16_06070
ko:K09786	bant:A16_06080
ko:K01387	bant:A16_06120
ko:K07192	bant:A16_06140
ko:K03406	bant:A16_06150
ko:K03300	bant:A16_06190
ko:K05816	bant:A16_06240
ko:K02443	bant:A16_06230
ko:K05814	bant:A16_06250
ko:K05815	bant:A16_06260
ko:K05813	bant:A16_06270
ko:K03406	bant:A16_06330
ko:K11614	bant:A16_06340
ko:K11616	bant:A16_06360
ko:K00027	bant:A16_06370
ko:K00375	bant:A16_06400
ko:K02379	bant:A16_06460
ko:K00123	bant:A16_06470
ko:K01126	bant:A16_06500
ko:K00259	bant:A16_06510
ko:K03294	bant:A16_06520
ko:K01534	bant:A16_06540
ko:K00763	bant:A16_06550
ko:K11535	bant:A16_06650
ko:K01744	bant:A16_06680
ko:K03303	bant:A16_06690
ko:K06425	bant:A16_06710
ko:K03305	bant:A16_06720
ko:K02016	bant:A16_06730
ko:K02015	bant:A16_06740
ko:K02015	bant:A16_06750
ko:K02013	bant:A16_06760
ko:K00639	bant:A16_06790
ko:K03574	bant:A16_06810
ko:K04748	bant:A16_06840
ko:K06131	bant:A16_06850
ko:K03758	bant:A16_06890
ko:K02818	bant:A16_06910
ko:K02819	bant:A16_06910
ko:K01226	bant:A16_06930
ko:K06295	bant:A16_06960
ko:K07052	bant:A16_06970
ko:K03310	bant:A16_06990
ko:K10041	bant:A16_07000
ko:K10039	bant:A16_07010
ko:K10040	bant:A16_07020
ko:K02313	bant:A16_00010
ko:K02338	bant:A16_00020
ko:K03629	bant:A16_00040
ko:K02470	bant:A16_00050
ko:K02469	bant:A16_00060
ko:K00088	bant:A16_00110
ko:K07258	bant:A16_00120
ko:K06215	bant:A16_00130
ko:K08681	bant:A16_00140
ko:K01875	bant:A16_00150
ko:K15519	bant:A16_00180
ko:K15518	bant:A16_00190
ko:K11991	bant:A16_00210
ko:K02343	bant:A16_00220
ko:K09747	bant:A16_00230
ko:K06187	bant:A16_00240
ko:K06317	bant:A16_00260
ko:K00943	bant:A16_00340
ko:K02341	bant:A16_00350
ko:K07461	bant:A16_00390
ko:K07056	bant:A16_00400
ko:K06284	bant:A16_00410
ko:K01874	bant:A16_00420
ko:K03424	bant:A16_00430
ko:K05985	bant:A16_00440
ko:K02528	bant:A16_00450
ko:K06436	bant:A16_00460
ko:K06423	bant:A16_00480
ko:K00919	bant:A16_00490
ko:K09685	bant:A16_00500
ko:K09022	bant:A16_00520
ko:K06412	bant:A16_00530
ko:K04042	bant:A16_00540
ko:K00948	bant:A16_00550
ko:K01056	bant:A16_00560
ko:K03723	bant:A16_00580
ko:K04769	bant:A16_00590
ko:K02499	bant:A16_00610
ko:K07571	bant:A16_00660
ko:K06382	bant:A16_00690
ko:K04075	bant:A16_00700
ko:K00760	bant:A16_00710
ko:K03798	bant:A16_00720
ko:K03525	bant:A16_00730
ko:K04083	bant:A16_00740
ko:K01738	bant:A16_00750
ko:K01665	bant:A16_00760
ko:K01664	bant:A16_00770
ko:K02619	bant:A16_00780
ko:K00796	bant:A16_00790
ko:K01633	bant:A16_00800
ko:K00950	bant:A16_00810
ko:K04567	bant:A16_00840
ko:K03708	bant:A16_00880
ko:K04485	bant:A16_00930
ko:K07067	bant:A16_00940
ko:K00991	bant:A16_00960
ko:K01770	bant:A16_00970
ko:K09698	bant:A16_00980
ko:K00640	bant:A16_00990
ko:K01883	bant:A16_01000
ko:K11145	bant:A16_01010
ko:K03218	bant:A16_01020
ko:K06962	bant:A16_01030
ko:K03091	bant:A16_01040
ko:K03073	bant:A16_01050
ko:K02601	bant:A16_01060
ko:K02867	bant:A16_01070
ko:K02863	bant:A16_01080
ko:K02935	bant:A16_01100
ko:K00564	bant:A16_01110
ko:K03046	bant:A16_01140
ko:K07590	bant:A16_01150
ko:K02950	bant:A16_01160
ko:K02992	bant:A16_01170
ko:K02355	bant:A16_01180
ko:K02358	bant:A16_01190
ko:K02946	bant:A16_01200
ko:K02906	bant:A16_01210
