ko:K07489	ypr:BZ20_2878
ko:K13060	ypr:BZ20_2855
ko:K08723	ypr:BZ20_4032
ko:K21029	ypr:BZ20_455
ko:K01990	ypr:BZ20_781
ko:K19298	ypr:BZ20_1720
ko:K15634	ypr:BZ20_1499
ko:K19734	ypr:BZ20_3711
ko:K19734	ypr:BZ20_2856
ko:K19230	ypr:BZ20_3975
ko:K19227	ypr:BZ20_3978
ko:K15669	ypr:BZ20_1033
ko:K20866	ypr:BZ20_2095
ko:K02495	ypr:BZ20_2100
ko:K19229	ypr:BZ20_3976
ko:K19789	ypr:BZ20_681
ko:K00344	ypr:BZ20_1738
ko:K21908	ypr:BZ20_2649
ko:K01271	ypr:BZ20_1856
ko:K04057	ypr:BZ20_4214
ko:K11904	ypr:BZ20_2875
ko:K07493	ypr:BZ20_2447
ko:K01138	ypr:BZ20_3077
ko:K01593	ypr:BZ20_754
ko:K07713	ypr:BZ20_787
ko:K00130	ypr:BZ20_796
ko:K07493	ypr:BZ20_2109
ko:K03973	ypr:BZ20_3983
ko:K00632	ypr:BZ20_1858
ko:K02081	ypr:BZ20_3088
ko:K02032	ypr:BZ20_3226
ko:K03892	ypr:BZ20_1271
ko:K05799	ypr:BZ20_1374
ko:K03293	ypr:BZ20_1945
ko:K11894	ypr:BZ20_2474
ko:K04753	ypr:BZ20_2735
ko:K05874	ypr:BZ20_3801
ko:K05874	ypr:BZ20_3112
ko:K14232	ypr:BZ20_1941
ko:K14232	ypr:BZ20_2245
ko:K14235	ypr:BZ20_1990
ko:K20881	ypr:BZ20_2335
ko:K00632	ypr:BZ20_3573
ko:K11937	ypr:BZ20_165
ko:K11936	ypr:BZ20_166
ko:K11931	ypr:BZ20_167
ko:K11935	ypr:BZ20_168
ko:K16868	ypr:BZ20_171
ko:K02003	ypr:BZ20_174
ko:K02004	ypr:BZ20_175
ko:K02004	ypr:BZ20_176
ko:K07230	ypr:BZ20_178
ko:K07243	ypr:BZ20_179
ko:K01425	ypr:BZ20_181
ko:K11738	ypr:BZ20_183
ko:K00350	ypr:BZ20_185
ko:K00285	ypr:BZ20_36
ko:K03603	ypr:BZ20_38
ko:K03314	ypr:BZ20_39
ko:K03611	ypr:BZ20_40
ko:K07491	ypr:BZ20_41
ko:K04487	ypr:BZ20_44
ko:K09160	ypr:BZ20_46
ko:K08305	ypr:BZ20_48
ko:K09902	ypr:BZ20_49
ko:K03610	ypr:BZ20_50
ko:K03609	ypr:BZ20_51
ko:K03608	ypr:BZ20_52
ko:K03684	ypr:BZ20_53
ko:K01897	ypr:BZ20_54
ko:K07285	ypr:BZ20_55
ko:K14742	ypr:BZ20_56
ko:K11742	ypr:BZ20_59
ko:K11743	ypr:BZ20_60
ko:K01625	ypr:BZ20_61
ko:K00036	ypr:BZ20_63
ko:K00873	ypr:BZ20_65
ko:K02560	ypr:BZ20_66
ko:K09815	ypr:BZ20_68
ko:K09817	ypr:BZ20_69
ko:K09816	ypr:BZ20_70
ko:K03551	ypr:BZ20_71
ko:K03550	ypr:BZ20_72
ko:K01159	ypr:BZ20_73
ko:K08310	ypr:BZ20_75
ko:K01876	ypr:BZ20_76
ko:K07136	ypr:BZ20_78
ko:K15256	ypr:BZ20_79
ko:K15257	ypr:BZ20_80
ko:K06201	ypr:BZ20_81
ko:K09907	ypr:BZ20_82
ko:K01887	ypr:BZ20_83
ko:K11016	ypr:BZ20_84
ko:K04050	ypr:BZ20_4203
ko:K07451	ypr:BZ20_1002
ko:K11748	ypr:BZ20_2380
ko:K19129	ypr:BZ20_3703
ko:K19221	ypr:BZ20_4115
ko:K19162	ypr:BZ20_1067
ko:K02777	ypr:BZ20_3484
ko:K19222	ypr:BZ20_3928
ko:K19226	ypr:BZ20_3979
ko:K03980	ypr:BZ20_86
ko:K03790	ypr:BZ20_89
ko:K08162	ypr:BZ20_90
ko:K04477	ypr:BZ20_93
ko:K02054	ypr:BZ20_98
ko:K02053	ypr:BZ20_99
ko:K02055	ypr:BZ20_100
ko:K03321	ypr:BZ20_103
ko:K01627	ypr:BZ20_104
ko:K02493	ypr:BZ20_107
ko:K02835	ypr:BZ20_108
ko:K02492	ypr:BZ20_109
ko:K02494	ypr:BZ20_110
ko:K00919	ypr:BZ20_111
ko:K00948	ypr:BZ20_112
ko:K01056	ypr:BZ20_114
ko:K06942	ypr:BZ20_115
ko:K06889	ypr:BZ20_119
ko:K07665	ypr:BZ20_120
ko:K07644	ypr:BZ20_121
ko:K01607	ypr:BZ20_122
ko:K07126	ypr:BZ20_134
ko:K11017	ypr:BZ20_85
ko:K00720	ypr:BZ20_139
ko:K00648	ypr:BZ20_144
ko:K09975	ypr:BZ20_146
ko:K05603	ypr:BZ20_147
ko:K05836	ypr:BZ20_148
ko:K01468	ypr:BZ20_149
ko:K01479	ypr:BZ20_150
ko:K05526	ypr:BZ20_152
ko:K01484	ypr:BZ20_153
ko:K06447	ypr:BZ20_154
ko:K00673	ypr:BZ20_155
ko:K00840	ypr:BZ20_156
ko:K07673	ypr:BZ20_160
ko:K07300	ypr:BZ20_161
ko:K19236	ypr:BZ20_3935
ko:K16078	ypr:BZ20_3342
ko:K19127	ypr:BZ20_3701
ko:K19165	ypr:BZ20_3315
ko:K01120	ypr:BZ20_3260
ko:K12341	ypr:BZ20_4171
ko:K01710	ypr:BZ20_1953
ko:K07480	ypr:BZ20_2874
ko:K07480	ypr:BZ20_2879
ko:K18838	ypr:BZ20_2886
ko:K18837	ypr:BZ20_2887
ko:K03630	ypr:BZ20_2889
ko:K06946	ypr:BZ20_2893
ko:K03497	ypr:BZ20_2903
ko:K11901	ypr:BZ20_2909
ko:K12149	ypr:BZ20_3726
ko:K01465	ypr:BZ20_3727
ko:K08300	ypr:BZ20_3729
