ko:K18917	cpk:Cp1002_0630
ko:K01992	cpk:Cp1002_0329
ko:K01992	cpk:Cp1002_1094
ko:K01992	cpk:Cp1002_1625
ko:K07776	cpk:Cp1002_0260
ko:K06207	cpk:Cp1002_0767
ko:K06966	cpk:Cp1002_0780
ko:K00796	cpk:Cp1002_0781
ko:K00563	cpk:Cp1002_0785
ko:K01193	cpk:Cp1002_0786
ko:K01575	cpk:Cp1002_0787
ko:K00975	cpk:Cp1002_0789
ko:K03088	cpk:Cp1002_0791
ko:K03117	cpk:Cp1002_0793
ko:K00014	cpk:Cp1002_0801
ko:K00965	cpk:Cp1002_0807
ko:K00849	cpk:Cp1002_0808
ko:K05592	cpk:Cp1002_0809
ko:K06911	cpk:Cp1002_1605
ko:K01808	cpk:Cp1002_1606
ko:K06886	cpk:Cp1002_1611
ko:K09936	cpk:Cp1002_1612
ko:K07107	cpk:Cp1002_1614
ko:K09136	cpk:Cp1002_1619
ko:K09136	cpk:Cp1002_1624
ko:K06200	cpk:Cp1002_1629
ko:K14645	cpk:Cp1002_1631
ko:K07124	cpk:Cp1002_1634
ko:K13288	cpk:Cp1002_1635
ko:K01714	cpk:Cp1002_1636
ko:K08281	cpk:Cp1002_1639
ko:K03564	cpk:Cp1002_1642
ko:K00997	cpk:Cp1002_1644
ko:K11533	cpk:Cp1002_1645
ko:K00989	cpk:Cp1002_1656
ko:K00782	cpk:Cp1002_0825
ko:K03303	cpk:Cp1002_0828
ko:K01887	cpk:Cp1002_0829
ko:K01586	cpk:Cp1002_0830
ko:K00872	cpk:Cp1002_0832
ko:K03628	cpk:Cp1002_0835
ko:K02835	cpk:Cp1002_0836
ko:K02493	cpk:Cp1002_0837
ko:K02108	cpk:Cp1002_0841
ko:K02110	cpk:Cp1002_0842
ko:K02109	cpk:Cp1002_0843
ko:K02113	cpk:Cp1002_0844
ko:K02111	cpk:Cp1002_0845
ko:K02115	cpk:Cp1002_0846
ko:K02112	cpk:Cp1002_0847
ko:K02114	cpk:Cp1002_0848
ko:K05606	cpk:Cp1002_0851
ko:K05838	cpk:Cp1002_0853
ko:K02013	cpk:Cp1002_0856
ko:K03521	cpk:Cp1002_0859
ko:K03522	cpk:Cp1002_0860
ko:K04487	cpk:Cp1002_0861
ko:K00566	cpk:Cp1002_0863
ko:K01972	cpk:Cp1002_0866
ko:K02435	cpk:Cp1002_0868
ko:K01776	cpk:Cp1002_1658
ko:K06891	cpk:Cp1002_1661
ko:K00763	cpk:Cp1002_1662
ko:K01079	cpk:Cp1002_1665
ko:K02217	cpk:Cp1002_1674
ko:K02919	cpk:Cp1002_1678
ko:K06199	cpk:Cp1002_1691
ko:K00003	cpk:Cp1002_0831
ko:K06199	cpk:Cp1002_1692
ko:K02003	cpk:Cp1002_1694
ko:K00790	cpk:Cp1002_1695
ko:K01738	cpk:Cp1002_1699
ko:K00640	cpk:Cp1002_1700
ko:K06975	cpk:Cp1002_1701
ko:K00005	cpk:Cp1002_1702
ko:K02015	cpk:Cp1002_0874
ko:K02013	cpk:Cp1002_0875
ko:K02016	cpk:Cp1002_0876
ko:K02434	cpk:Cp1002_0878
ko:K06895	cpk:Cp1002_0880
ko:K05596	cpk:Cp1002_0881
ko:K01653	cpk:Cp1002_0889
ko:K00053	cpk:Cp1002_0890
ko:K00052	cpk:Cp1002_0895
ko:K02361	cpk:Cp1002_0900
ko:K01012	cpk:Cp1002_0903
ko:K01703	cpk:Cp1002_0906
ko:K01704	cpk:Cp1002_0907
ko:K00057	cpk:Cp1002_0909
ko:K01921	cpk:Cp1002_0910
ko:K00946	cpk:Cp1002_0912
ko:K03648	cpk:Cp1002_0913
ko:K03655	cpk:Cp1002_0915
ko:K00954	cpk:Cp1002_0918
ko:K02029	cpk:Cp1002_0922
ko:K00425	cpk:Cp1002_1703
ko:K00426	cpk:Cp1002_1704
ko:K02039	cpk:Cp1002_1709
ko:K02036	cpk:Cp1002_1711
ko:K02037	cpk:Cp1002_1713
ko:K02040	cpk:Cp1002_1714
ko:K06980	cpk:Cp1002_1720
ko:K01933	cpk:Cp1002_1722
ko:K00764	cpk:Cp1002_1723
ko:K11068	cpk:Cp1002_1727
ko:K01952	cpk:Cp1002_1728
ko:K01952	cpk:Cp1002_1729
ko:K01952	cpk:Cp1002_1730
ko:K00432	cpk:Cp1002_1731
ko:K01354	cpk:Cp1002_1732
ko:K01923	cpk:Cp1002_1734
ko:K01756	cpk:Cp1002_1735
ko:K01945	cpk:Cp1002_1738
ko:K00156	cpk:Cp1002_1748
ko:K00697	cpk:Cp1002_1752
ko:K01087	cpk:Cp1002_1754
ko:K02945	cpk:Cp1002_0928
ko:K00859	cpk:Cp1002_0931
ko:K03702	cpk:Cp1002_0933
ko:K03701	cpk:Cp1002_0938
ko:K02520	cpk:Cp1002_0939
ko:K02916	cpk:Cp1002_0940
ko:K02887	cpk:Cp1002_0941
ko:K03437	cpk:Cp1002_0943
ko:K01889	cpk:Cp1002_0944
ko:K01890	cpk:Cp1002_0945
ko:K00145	cpk:Cp1002_0946
ko:K00620	cpk:Cp1002_0947
ko:K00930	cpk:Cp1002_0948
ko:K00611	cpk:Cp1002_0950
ko:K03402	cpk:Cp1002_0951
ko:K01940	cpk:Cp1002_0952
ko:K01755	cpk:Cp1002_0953
ko:K09791	cpk:Cp1002_0954
ko:K01866	cpk:Cp1002_0955
ko:K06442	cpk:Cp1002_0959
ko:K00858	cpk:Cp1002_0960
ko:K03631	cpk:Cp1002_0961
