ko:K19744	paeo:M801_3854
ko:K11741	paeo:M801_812
ko:K01851	paeo:M801_4229
ko:K18979	paeo:M801_4987
ko:K19591	paeo:M801_4809
ko:K19595	paeo:M801_3511
ko:K03297	paeo:M801_5028
ko:K10954	paeo:M801_746
ko:K21147	paeo:M801_2167
ko:K00800	paeo:M801_3140
ko:K18540	paeo:M801_3587
ko:K22617	paeo:M801_4360
ko:K19593	paeo:M801_3509
ko:K16238	paeo:M801_4018
ko:K19291	paeo:M801_3530
ko:K10815	paeo:M801_2266
ko:K10816	paeo:M801_2267
ko:K00344	paeo:M801_23
ko:K02625	paeo:M801_235
ko:K14234	paeo:M801_4536
ko:K14234	paeo:M801_5202
ko:K14236	paeo:M801_4279
ko:K14238	paeo:M801_4834
ko:K14231	paeo:M801_5190
ko:K14233	paeo:M801_1047
ko:K14228	paeo:M801_2512
ko:K14225	paeo:M801_2527
ko:K14225	paeo:M801_2785
ko:K14225	paeo:M801_2784
ko:K14219	paeo:M801_3352
ko:K01729	paeo:M801_3535
ko:K11741	paeo:M801_3246
ko:K11741	paeo:M801_1940
ko:K21429	paeo:M801_585
ko:K03111	paeo:M801_4230
ko:K12960	paeo:M801_3146
ko:K07483	paeo:M801_1997
ko:K19735	paeo:M801_1035
ko:K19611	paeo:M801_963
ko:K18135	paeo:M801_3564
ko:K21430	paeo:M801_1149
ko:K15856	paeo:M801_5507
ko:K11209	paeo:M801_1667
ko:K19609	paeo:M801_2635
ko:K16011	paeo:M801_3539
ko:K11209	paeo:M801_1069
ko:K01399	paeo:M801_3712
ko:K09788	paeo:M801_820
ko:K18291	paeo:M801_906
ko:K19746	paeo:M801_3855
ko:K12253	paeo:M801_5014
ko:K16636	paeo:M801_47
ko:K01007	paeo:M801_1817
ko:K00638	paeo:M801_726
ko:K06148	paeo:M801_887
ko:K07092	paeo:M801_4826
ko:K20444	paeo:M801_1128
ko:K22589	paeo:M801_2630
ko:K18473	paeo:M801_5216
ko:K00100	paeo:M801_1186
ko:K04057	paeo:M801_1741
ko:K00114	paeo:M801_2044
ko:K13292	paeo:M801_350
ko:K01126	paeo:M801_356
ko:K07095	paeo:M801_360
ko:K16345	paeo:M801_361
ko:K01687	paeo:M801_362
ko:K06969	paeo:M801_363
ko:K05520	paeo:M801_364
ko:K10563	paeo:M801_366
ko:K07126	paeo:M801_369
ko:K00954	paeo:M801_372
ko:K00154	paeo:M801_375
ko:K07019	paeo:M801_378
ko:K08316	paeo:M801_380
ko:K07263	paeo:M801_381
ko:K07263	paeo:M801_382
ko:K03110	paeo:M801_383
ko:K09812	paeo:M801_384
ko:K09811	paeo:M801_385
ko:K03089	paeo:M801_386
ko:K03814	paeo:M801_388
ko:K03154	paeo:M801_390
ko:K03149	paeo:M801_391
ko:K03439	paeo:M801_392
ko:K02428	paeo:M801_397
ko:K00641	paeo:M801_400
ko:K09131	paeo:M801_402
ko:K02221	paeo:M801_403
ko:K14058	paeo:M801_1230
ko:K03758	paeo:M801_1232
ko:K01482	paeo:M801_1233
ko:K06714	paeo:M801_1234
ko:K12410	paeo:M801_1235
ko:K07397	paeo:M801_1241
ko:K06911	paeo:M801_1243
ko:K11747	paeo:M801_1245
ko:K06911	paeo:M801_1248
