ko:K04042	bmc:BAbS19_II06140
ko:K02409	bmc:BAbS19_II10300
ko:K01991	bmc:BAbS19_II07430
ko:K14981	bmc:BAbS19_I19590
ko:K02412	bmc:BAbS19_II01200
ko:K00568	bmc:BAbS19_I17550
ko:K06998	bmc:BAbS19_I13020
ko:K11719	bmc:BAbS19_I01470
ko:K00161	bmc:BAbS19_I10700
ko:K00162	bmc:BAbS19_I10690
ko:K07270	bmc:BAbS19_I15140
ko:K02338	bmc:BAbS19_I00020
ko:K01889	bmc:BAbS19_I19880
ko:K11381	bmc:BAbS19_II00300
ko:K03787	bmc:BAbS19_I08450
ko:K05366	bmc:BAbS19_I05680
ko:K00833	bmc:BAbS19_II06950
ko:K02052	bmc:BAbS19_II01010
ko:K00001	bmc:BAbS19_II07600
ko:K09699	bmc:BAbS19_II06650
ko:K11381	bmc:BAbS19_II09710
ko:K01448	bmc:BAbS19_I08710
ko:K01447	bmc:BAbS19_I13670
ko:K03587	bmc:BAbS19_I13620
ko:K01610	bmc:BAbS19_I19580
ko:K14980	bmc:BAbS19_I19600
ko:K02417	bmc:BAbS19_II01130
ko:K05366	bmc:BAbS19_I08720
ko:K03798	bmc:BAbS19_I15930
ko:K02361	bmc:BAbS19_II00140
ko:K18893	bmc:BAbS19_I14590
ko:K03609	bmc:BAbS19_II08150
ko:K09973	bmc:BAbS19_I17980
ko:K01963	bmc:BAbS19_I19720
ko:K06024	bmc:BAbS19_I08400
ko:K03610	bmc:BAbS19_II08160
ko:K01673	bmc:BAbS19_I17170
ko:K01961	bmc:BAbS19_I08640
ko:K02600	bmc:BAbS19_I20240
ko:K06147	bmc:BAbS19_II09370
ko:K03592	bmc:BAbS19_II01950
ko:K02621	bmc:BAbS19_I07260
ko:K03629	bmc:BAbS19_I00030
ko:K02470	bmc:BAbS19_I01160
ko:K03608	bmc:BAbS19_II08140
ko:K02160	bmc:BAbS19_I08650
ko:K03601	bmc:BAbS19_II04490
ko:K03602	bmc:BAbS19_I04220
ko:K03666	bmc:BAbS19_I10530
ko:K02313	bmc:BAbS19_I00010
ko:K01933	bmc:BAbS19_I06840
ko:K02275	bmc:BAbS19_I04550
ko:K01993	bmc:BAbS19_I12810
ko:K02340	bmc:BAbS19_I19260
ko:K02342	bmc:BAbS19_I19400
ko:K13541	bmc:BAbS19_I12200
ko:K04565	bmc:BAbS19_II05060
ko:K13747	bmc:BAbS19_I03330
ko:K02509	bmc:BAbS19_II10410
ko:K03640	bmc:BAbS19_I15960
ko:K03641	bmc:BAbS19_I15970
ko:K03562	bmc:BAbS19_I16000
ko:K07107	bmc:BAbS19_I16010
ko:K03550	bmc:BAbS19_I16030
ko:K00788	bmc:BAbS19_I16070
ko:K02356	bmc:BAbS19_I16090
ko:K02557	bmc:BAbS19_I16130
ko:K02909	bmc:BAbS19_I16150
ko:K03523	bmc:BAbS19_I16180
ko:K09769	bmc:BAbS19_I16210
ko:K00615	bmc:BAbS19_I16250
ko:K00134	bmc:BAbS19_I16260
ko:K00927	bmc:BAbS19_I16270
ko:K07043	bmc:BAbS19_II03700
ko:K00817	bmc:BAbS19_I18660
ko:K02221	bmc:BAbS19_I18700
ko:K00655	bmc:BAbS19_I18720
ko:K09811	bmc:BAbS19_I18740
ko:K09812	bmc:BAbS19_I18750
ko:K06188	bmc:BAbS19_I18770
ko:K01142	bmc:BAbS19_I18790
ko:K09125	bmc:BAbS19_I18880
ko:K02902	bmc:BAbS19_I18890
ko:K09883	bmc:BAbS19_I18950
ko:K09882	bmc:BAbS19_I18960
ko:K01735	bmc:BAbS19_I19000
ko:K00891	bmc:BAbS19_I19010
ko:K00648	bmc:BAbS19_II06960
ko:K00651	bmc:BAbS19_II06980
ko:K03310	bmc:BAbS19_II07000
ko:K01999	bmc:BAbS19_II07610
ko:K00014	bmc:BAbS19_II07640
ko:K01996	bmc:BAbS19_II07660
ko:K01995	bmc:BAbS19_II07670
ko:K01998	bmc:BAbS19_II07670
ko:K01997	bmc:BAbS19_II07680
ko:K01999	bmc:BAbS19_II07690
ko:K00925	bmc:BAbS19_II07730
ko:K07243	bmc:BAbS19_II07760
ko:K02051	bmc:BAbS19_II07120
ko:K02049	bmc:BAbS19_II07130
ko:K02050	bmc:BAbS19_II07140
ko:K01993	bmc:BAbS19_II07180
ko:K07112	bmc:BAbS19_II07220
ko:K07112	bmc:BAbS19_II07230
ko:K09781	bmc:BAbS19_II07250
ko:K01462	bmc:BAbS19_II07260
ko:K07712	bmc:BAbS19_I10580
ko:K07305	bmc:BAbS19_II07340
ko:K00864	bmc:BAbS19_II07380
ko:K02377	bmc:BAbS19_II07420
ko:K02035	bmc:BAbS19_II07510
ko:K02033	bmc:BAbS19_II07530
ko:K02034	bmc:BAbS19_II07540
ko:K01714	bmc:BAbS19_II07550
ko:K00334	bmc:BAbS19_I07700
ko:K00335	bmc:BAbS19_I07710
ko:K00336	bmc:BAbS19_I07720
ko:K00337	bmc:BAbS19_I07730
ko:K00338	bmc:BAbS19_I07740
ko:K00339	bmc:BAbS19_I07750
ko:K00340	bmc:BAbS19_I07760
ko:K00342	bmc:BAbS19_I07780
ko:K01881	bmc:BAbS19_I07840
ko:K09808	bmc:BAbS19_I07850
ko:K02986	bmc:BAbS19_I07930
ko:K07552	bmc:BAbS19_I07960
ko:K07390	bmc:BAbS19_I07970
ko:K01952	bmc:BAbS19_I07990
ko:K01952	bmc:BAbS19_I08020
ko:K01952	bmc:BAbS19_I08030
ko:K03832	bmc:BAbS19_I15730
ko:K01520	bmc:BAbS19_I15780
ko:K05800	bmc:BAbS19_I15790
ko:K01939	bmc:BAbS19_I15860
ko:K00831	bmc:BAbS19_I15890
