ko:K03219	cmx:DNC_00230
ko:K02221	cmx:DNC_00075
ko:K01698	cmx:DNC_00005
ko:K00346	cmx:DNC_00010
ko:K00813	cmx:DNC_00030
ko:K03582	cmx:DNC_00040
ko:K03168	cmx:DNC_00065
ko:K03583	cmx:DNC_00045
ko:K01934	cmx:DNC_00095
ko:K03581	cmx:DNC_00110
ko:K06180	cmx:DNC_00150
ko:K02469	cmx:DNC_00160
ko:K01627	cmx:DNC_00130
ko:K06960	cmx:DNC_00155
ko:K02470	cmx:DNC_00165
ko:K02492	cmx:DNC_00170
ko:K06861	cmx:DNC_00120
ko:K02417	cmx:DNC_00220
ko:K03224	cmx:DNC_00205
ko:K02357	cmx:DNC_00270
ko:K02967	cmx:DNC_00275
ko:K02838	cmx:DNC_00260
ko:K09903	cmx:DNC_00265
ko:K03162	cmx:DNC_00285
ko:K09013	cmx:DNC_00305
ko:K09015	cmx:DNC_00310
ko:K03544	cmx:DNC_00410
ko:K07220	cmx:DNC_00335
ko:K03306	cmx:DNC_00340
ko:K00927	cmx:DNC_00345
ko:K10773	cmx:DNC_00365
ko:K03650	cmx:DNC_00370
ko:K01613	cmx:DNC_00380
ko:K03070	cmx:DNC_00390
ko:K03977	cmx:DNC_00400
ko:K00970	cmx:DNC_00405
ko:K01358	cmx:DNC_00415
ko:K03545	cmx:DNC_00420
ko:K03569	cmx:DNC_00435
ko:K11717	cmx:DNC_00315
ko:K01596	cmx:DNC_00440
ko:K01214	cmx:DNC_01565
ko:K02313	cmx:DNC_02645
ko:K03217	cmx:DNC_02650
ko:K07052	cmx:DNC_02665
ko:K04487	cmx:DNC_02685
ko:K02342	cmx:DNC_02700
ko:K07083	cmx:DNC_02705
ko:K01962	cmx:DNC_02720
ko:K01448	cmx:DNC_02735
ko:K01928	cmx:DNC_02740
ko:K03587	cmx:DNC_02750
ko:K03438	cmx:DNC_02760
ko:K02313	cmx:DNC_02775
ko:K00347	cmx:DNC_02790
ko:K00348	cmx:DNC_02795
ko:K00349	cmx:DNC_02800
