ko:K10563	ypp:YPDSF_3853
ko:K02015	ypp:YPDSF_2385
ko:K01703	ypp:YPDSF_3108
ko:K07552	ypp:YPDSF_0985
ko:K10773	ypp:YPDSF_0896
ko:K09767	ypp:YPDSF_2805
ko:K07791	ypp:YPDSF_3626
ko:K01755	ypp:YPDSF_3535
ko:K00884	ypp:YPDSF_1820
ko:K11733	ypp:YPDSF_2388
ko:K07052	ypp:YPDSF_0535
ko:K01779	ypp:YPDSF_2002
ko:K02849	ypp:YPDSF_3215
ko:K07391	ypp:YPDSF_3514
ko:K03555	ypp:YPDSF_3006
ko:K01962	ypp:YPDSF_1652
ko:K07106	ypp:YPDSF_2268
ko:K03774	ypp:YPDSF_3155
ko:K00757	ypp:YPDSF_3403
ko:K03043	ypp:YPDSF_3745
ko:K00059	ypp:YPDSF_1848
ko:K00645	ypp:YPDSF_1849
ko:K09903	ypp:YPDSF_1666
ko:K02113	ypp:YPDSF_3911
ko:K05788	ypp:YPDSF_2302
ko:K03575	ypp:YPDSF_0562
ko:K05787	ypp:YPDSF_3729
ko:K04764	ypp:YPDSF_0723
ko:K09774	ypp:YPDSF_0317
ko:K02902	ypp:YPDSF_3855
ko:K03630	ypp:YPDSF_3856
ko:K05775	ypp:YPDSF_0190
ko:K03673	ypp:YPDSF_3887
ko:K03752	ypp:YPDSF_3890
ko:K10544	ypp:YPDSF_3777
ko:K00859	ypp:YPDSF_2925
ko:K00163	ypp:YPDSF_2935
ko:K06901	ypp:YPDSF_3928
ko:K03558	ypp:YPDSF_1990
ko:K02196	ypp:YPDSF_2023
ko:K02195	ypp:YPDSF_2024
ko:K02194	ypp:YPDSF_2025
ko:K02193	ypp:YPDSF_2026
ko:K03528	ypp:YPDSF_2098
ko:K02777	ypp:YPDSF_2103
ko:K03187	ypp:YPDSF_1608
ko:K07286	ypp:YPDSF_2796
ko:K09912	ypp:YPDSF_1401
ko:K03530	ypp:YPDSF_2790
ko:K02421	ypp:YPDSF_1306
ko:K02532	ypp:YPDSF_1393
