ko:K18925	bcef:BcrFT9_00768
ko:K18924	bcef:BcrFT9_00767
ko:K03547	bcef:BcrFT9_00882
ko:K17910	bcef:BcrFT9_01166
ko:K19689	bcef:BcrFT9_00330
ko:K22278	bcef:BcrFT9_00813
ko:K03297	bcef:BcrFT9_02543
ko:K08153	bcef:BcrFT9_00770
ko:K07480	bcef:BcrFT9_03612
ko:K20107	bcef:BcrFT9_00406
ko:K20108	bcef:BcrFT9_00406
ko:K01990	bcef:BcrFT9_01470
ko:K01990	bcef:BcrFT9_03588
ko:K01992	bcef:BcrFT9_01151
ko:K02479	bcef:BcrFT9_01801
ko:K01759	bcef:BcrFT9_04173
ko:K21379	bcef:BcrFT9_01596
ko:K08221	bcef:BcrFT9_04314
ko:K21472	bcef:BcrFT9_03967
ko:K21993	bcef:BcrFT9_02866
ko:K19302	bcef:BcrFT9_02090
ko:K07571	bcef:BcrFT9_00064
ko:K06382	bcef:BcrFT9_00067
ko:K04075	bcef:BcrFT9_00068
ko:K00760	bcef:BcrFT9_00069
ko:K03798	bcef:BcrFT9_00070
ko:K03525	bcef:BcrFT9_00071
ko:K04083	bcef:BcrFT9_00072
ko:K01738	bcef:BcrFT9_00073
ko:K01665	bcef:BcrFT9_00074
ko:K01664	bcef:BcrFT9_00075
ko:K02619	bcef:BcrFT9_00076
ko:K00796	bcef:BcrFT9_00077
ko:K01633	bcef:BcrFT9_00078
ko:K04567	bcef:BcrFT9_00081
ko:K03708	bcef:BcrFT9_00085
ko:K03696	bcef:BcrFT9_00088
ko:K04485	bcef:BcrFT9_00089
ko:K07067	bcef:BcrFT9_00090
ko:K00991	bcef:BcrFT9_00092
ko:K01770	bcef:BcrFT9_00093
ko:K09698	bcef:BcrFT9_00094
ko:K00640	bcef:BcrFT9_00095
ko:K01883	bcef:BcrFT9_00096
ko:K11145	bcef:BcrFT9_00097
ko:K03218	bcef:BcrFT9_00098
ko:K06962	bcef:BcrFT9_00099
ko:K03091	bcef:BcrFT9_00100
ko:K02913	bcef:BcrFT9_00101
ko:K02601	bcef:BcrFT9_00102
ko:K02867	bcef:BcrFT9_00103
ko:K02863	bcef:BcrFT9_00104
ko:K02864	bcef:BcrFT9_00105
ko:K06372	bcef:BcrFT9_01085
