ko:K07016	sthe:T303_05865
ko:K01940	sthe:T303_00025
ko:K03217	sthe:T303_00010
ko:K01755	sthe:T303_00020
ko:K02863	sthe:T303_00040
ko:K09698	sthe:T303_00030
ko:K03293	sthe:T303_03645
ko:K19689	sthe:T303_01570
ko:K14230	sthe:T303_01530
ko:K14230	sthe:T303_01260
ko:K14230	sthe:T303_01250
ko:K13677	sthe:T303_03990
ko:K01271	sthe:T303_04315
ko:K06148	sthe:T303_04990
ko:K07012	sthe:T303_06250
ko:K06346	sthe:T303_00005
ko:K03536	sthe:T303_00015
ko:K02867	sthe:T303_00045
ko:K01673	sthe:T303_00055
ko:K07124	sthe:T303_06990
ko:K00784	sthe:T303_06995
ko:K03665	sthe:T303_07005
ko:K05837	sthe:T303_07015
ko:K01523	sthe:T303_07020
ko:K01496	sthe:T303_07025
ko:K02500	sthe:T303_07030
ko:K01814	sthe:T303_07035
ko:K02501	sthe:T303_07040
ko:K01693	sthe:T303_07045
ko:K00013	sthe:T303_07050
ko:K00765	sthe:T303_07055
ko:K02502	sthe:T303_07060
ko:K00817	sthe:T303_07065
ko:K09861	sthe:T303_00800
ko:K08987	sthe:T303_00925
ko:K04486	sthe:T303_07100
ko:K01790	sthe:T303_07160
ko:K00973	sthe:T303_07165
ko:K06967	sthe:T303_07185
ko:K03431	sthe:T303_07195
ko:K18672	sthe:T303_07205
ko:K01928	sthe:T303_07210
ko:K07009	sthe:T303_07215
ko:K14205	sthe:T303_07220
ko:K06158	sthe:T303_07235
ko:K00876	sthe:T303_07240
ko:K00131	sthe:T303_07255
ko:K08483	sthe:T303_07265
ko:K11189	sthe:T303_07270
ko:K00031	sthe:T303_07275
ko:K01647	sthe:T303_07280
ko:K01681	sthe:T303_07285
ko:K07284	sthe:T303_07335
ko:K02469	sthe:T303_07340
ko:K00016	sthe:T303_07345
ko:K01890	sthe:T303_07395
ko:K01889	sthe:T303_07405
ko:K03529	sthe:T303_07415
ko:K03685	sthe:T303_07420
ko:K01714	sthe:T303_07425
ko:K00133	sthe:T303_07430
ko:K03823	sthe:T303_07435
ko:K06131	sthe:T303_07445
ko:K03703	sthe:T303_07450
ko:K07025	sthe:T303_07455
ko:K01752	sthe:T303_07460
ko:K01992	sthe:T303_07475
ko:K07778	sthe:T303_07500
ko:K01992	sthe:T303_07505
ko:K01990	sthe:T303_07510
ko:K01990	sthe:T303_07560
ko:K06940	sthe:T303_07575
ko:K02004	sthe:T303_07580
ko:K02003	sthe:T303_07585
ko:K16169	sthe:T303_07610
ko:K03327	sthe:T303_07615
ko:K12267	sthe:T303_07620
ko:K03311	sthe:T303_07625
ko:K03294	sthe:T303_07640
ko:K07078	sthe:T303_07645
ko:K07104	sthe:T303_07650
ko:K02761	sthe:T303_07665
ko:K02004	sthe:T303_07770
ko:K02003	sthe:T303_07775
ko:K03547	sthe:T303_07860
ko:K01190	sthe:T303_07865
ko:K16209	sthe:T303_07870
ko:K01785	sthe:T303_07875
ko:K01784	sthe:T303_07880
ko:K00965	sthe:T303_07885
ko:K00849	sthe:T303_07890
ko:K02529	sthe:T303_07895
ko:K06147	sthe:T303_07920
ko:K01919	sthe:T303_07930
ko:K03466	sthe:T303_07955
ko:K00554	sthe:T303_07965
ko:K02860	sthe:T303_07970
ko:K11618	sthe:T303_07985
ko:K11617	sthe:T303_07990
ko:K10716	sthe:T303_08000
ko:K03500	sthe:T303_08015
ko:K00604	sthe:T303_08020
ko:K04066	sthe:T303_08025
ko:K03060	sthe:T303_08030
ko:K00942	sthe:T303_08035
ko:K03110	sthe:T303_08040
ko:K01990	sthe:T303_08060
ko:K10823	sthe:T303_08070
ko:K15583	sthe:T303_08075
ko:K15582	sthe:T303_08080
ko:K15581	sthe:T303_08085
ko:K15580	sthe:T303_08100
ko:K03424	sthe:T303_08120
ko:K08177	sthe:T303_08125
ko:K00625	sthe:T303_08140
ko:K06180	sthe:T303_08145
ko:K00858	sthe:T303_08150
ko:K07816	sthe:T303_08155
ko:K00948	sthe:T303_08165
ko:K04487	sthe:T303_08170
ko:K01926	sthe:T303_08180
ko:K07010	sthe:T303_08185
ko:K03630	sthe:T303_08190
ko:K07272	sthe:T303_08195
ko:K01990	sthe:T303_08205
