ko:K01271	lhd:HUO_03225
ko:K00980	lhd:HUO_09440
ko:K00364	lhd:HUO_00375
ko:K09963	lhd:HUO_00390
ko:K01914	lhd:HUO_00400
ko:K03100	lhd:HUO_00435
ko:K03697	lhd:HUO_00440
ko:K02761	lhd:HUO_00450
ko:K02003	lhd:HUO_00455
ko:K02004	lhd:HUO_00460
ko:K03740	lhd:HUO_00570
ko:K14188	lhd:HUO_00575
ko:K03739	lhd:HUO_00580
ko:K03367	lhd:HUO_00585
ko:K19159	lhd:HUO_00635
ko:K19158	lhd:HUO_00640
ko:K07052	lhd:HUO_00665
ko:K03705	lhd:HUO_05420
ko:K03687	lhd:HUO_05425
ko:K04043	lhd:HUO_05430
ko:K03686	lhd:HUO_05435
ko:K03596	lhd:HUO_05450
ko:K07284	lhd:HUO_05455
ko:K07462	lhd:HUO_05460
ko:K00759	lhd:HUO_05465
ko:K01738	lhd:HUO_05470
ko:K00651	lhd:HUO_05475
ko:K05964	lhd:HUO_05515
ko:K09773	lhd:HUO_05565
ko:K02970	lhd:HUO_05570
ko:K09117	lhd:HUO_05575
ko:K07042	lhd:HUO_05585
ko:K03584	lhd:HUO_05595
ko:K01878	lhd:HUO_05600
ko:K01879	lhd:HUO_05605
ko:K03086	lhd:HUO_05615
ko:K03574	lhd:HUO_05630
ko:K06967	lhd:HUO_05635
ko:K01258	lhd:HUO_05645
ko:K01990	lhd:HUO_05655
ko:K03100	lhd:HUO_05685
ko:K01823	lhd:HUO_05705
ko:K00938	lhd:HUO_05710
ko:K01597	lhd:HUO_05715
ko:K00869	lhd:HUO_05720
ko:K06921	lhd:HUO_10175
ko:K00942	lhd:HUO_10185
ko:K03817	lhd:HUO_10245
ko:K08602	lhd:HUO_10260
ko:K06956	lhd:HUO_10275
ko:K02075	lhd:HUO_10280
ko:K02074	lhd:HUO_10285
ko:K02077	lhd:HUO_10290
ko:K02768	lhd:HUO_10300
ko:K02769	lhd:HUO_10300
ko:K02770	lhd:HUO_10300
ko:K00882	lhd:HUO_10305
ko:K03436	lhd:HUO_10310
ko:K07727	lhd:HUO_10335
ko:K06921	lhd:HUO_10345
ko:K01779	lhd:HUO_10355
ko:K01928	lhd:HUO_10360
ko:K06147	lhd:HUO_10375
ko:K06147	lhd:HUO_10380
ko:K06942	lhd:HUO_10390
ko:K03497	lhd:HUO_10400
ko:K03496	lhd:HUO_10405
ko:K03497	lhd:HUO_10410
ko:K03501	lhd:HUO_10415
ko:K03734	lhd:HUO_10425
ko:K01104	lhd:HUO_10430
ko:K07173	lhd:HUO_00005
ko:K00549	lhd:HUO_00010
