ko:K06896	efd:EFD32_0770
ko:K19509	efd:EFD32_2611
ko:K00105	efd:EFD32_1589
ko:K07171	efd:EFD32_1860
ko:K17320	efd:EFD32_1034
ko:K10040	efd:EFD32_0925
ko:K07171	efd:EFD32_2793
ko:K19689	efd:EFD32_1792
ko:K08153	efd:EFD32_0888
ko:K15771	efd:EFD32_1158
ko:K07029	efd:EFD32_0545
ko:K00887	efd:EFD32_2029
ko:K04771	efd:EFD32_2609
ko:K07260	efd:EFD32_2462
ko:K13677	efd:EFD32_2495
ko:K03322	efd:EFD32_0869
ko:K16786	efd:EFD32_2383
ko:K16787	efd:EFD32_2383
ko:K15580	efd:EFD32_2622
ko:K02747	efd:EFD32_2623
ko:K02746	efd:EFD32_2624
ko:K01443	efd:EFD32_2625
ko:K01246	efd:EFD32_2631
ko:K03571	efd:EFD32_2642
ko:K03570	efd:EFD32_2643
ko:K00962	efd:EFD32_2644
ko:K02956	efd:EFD32_2645
ko:K01462	efd:EFD32_2646
ko:K02986	efd:EFD32_2650
ko:K03523	efd:EFD32_2651
ko:K03100	efd:EFD32_2652
ko:K02016	efd:EFD32_2661
ko:K02013	efd:EFD32_2662
ko:K02015	efd:EFD32_2663
ko:K02015	efd:EFD32_2664
ko:K01919	efd:EFD32_2668
ko:K03110	efd:EFD32_2673
ko:K03529	efd:EFD32_2675
ko:K03685	efd:EFD32_2677
ko:K02034	efd:EFD32_2679
ko:K02078	efd:EFD32_2683
ko:K03621	efd:EFD32_2684
ko:K03655	efd:EFD32_2685
ko:K07707	efd:EFD32_2688
ko:K02902	efd:EFD32_2692
ko:K01783	efd:EFD32_2694
ko:K06949	efd:EFD32_2695
ko:K03500	efd:EFD32_2698
ko:K00604	efd:EFD32_2699
ko:K01462	efd:EFD32_2700
ko:K04066	efd:EFD32_2701
ko:K03060	efd:EFD32_2702
ko:K00942	efd:EFD32_2703
ko:K01625	efd:EFD32_2709
ko:K01686	efd:EFD32_2710
ko:K08317	efd:EFD32_2715
ko:K00995	efd:EFD32_2720
ko:K03282	efd:EFD32_2730
ko:K00948	efd:EFD32_2735
ko:K06287	efd:EFD32_2737
ko:K03572	efd:EFD32_2738
ko:K03555	efd:EFD32_2739
ko:K09769	efd:EFD32_2741
ko:K07118	efd:EFD32_2746
ko:K03088	efd:EFD32_2752
ko:K05339	efd:EFD32_2762
ko:K05338	efd:EFD32_2763
ko:K07704	efd:EFD32_2765
ko:K02073	efd:EFD32_2766
ko:K02072	efd:EFD32_2767
ko:K02071	efd:EFD32_2768
ko:K02954	efd:EFD32_2770
ko:K02913	efd:EFD32_2771
ko:K02996	efd:EFD32_2785
ko:K02871	efd:EFD32_2786
ko:K04047	efd:EFD32_2787
