ko:K07062	xci:XCAW_04684
ko:K10112	xci:XCAW_01750
ko:K07799	xci:XCAW_04610
ko:K14230	xci:XCAW_00903
ko:K10747	xci:XCAW_03007
ko:K07483	xci:XCAW_02098
ko:K07172	xci:XCAW_02430
ko:K18335	xci:XCAW_00109
ko:K02487	xci:XCAW_01673
ko:K14231	xci:XCAW_02240
ko:K14232	xci:XCAW_02267
ko:K14230	xci:XCAW_01487
ko:K14228	xci:XCAW_01472
ko:K14229	xci:XCAW_03423
ko:K14225	xci:XCAW_01027
ko:K01980	xci:XCAW_04654
ko:K01980	xci:XCAW_00386
ko:K14230	xci:XCAW_04546
ko:K07464	xci:XCAW_04602
ko:K16238	xci:XCAW_02029
ko:K18138	xci:XCAW_02174
ko:K18377	xci:XCAW_00827
ko:K07497	xci:XCAW_02037
ko:K07497	xci:XCAW_02285
ko:K17836	xci:XCAW_03448
ko:K11741	xci:XCAW_00897
ko:K01436	xci:XCAW_04609
ko:K14223	xci:XCAW_03633
ko:K14232	xci:XCAW_02004
ko:K14218	xci:XCAW_02083
ko:K14218	xci:XCAW_00384
ko:K14218	xci:XCAW_04656
ko:K01977	xci:XCAW_00383
ko:K01977	xci:XCAW_04657
ko:K14218	xci:XCAW_00339
ko:K14234	xci:XCAW_00286
ko:K16011	xci:XCAW_04280
ko:K18334	xci:XCAW_00107
ko:K09691	xci:XCAW_04302
ko:K19736	xci:XCAW_00650
ko:K05802	xci:XCAW_00831
ko:K05710	xci:XCAW_03218
ko:K19611	xci:XCAW_04322
ko:K07481	xci:XCAW_01719
ko:K07481	xci:XCAW_02090
ko:K01156	xci:XCAW_01058
ko:K18321	xci:XCAW_00730
ko:K18322	xci:XCAW_00731
ko:K05889	xci:XCAW_00095
ko:K14232	xci:XCAW_03532
ko:K14219	xci:XCAW_03531
ko:K14229	xci:XCAW_01116
ko:K14228	xci:XCAW_01173
ko:K14233	xci:XCAW_01190
ko:K14237	xci:XCAW_01234
ko:K14237	xci:XCAW_02649
ko:K14228	xci:XCAW_02896
ko:K14228	xci:XCAW_02761
ko:K14233	xci:XCAW_02667
ko:K14233	xci:XCAW_02324
ko:K14219	xci:XCAW_02317
ko:K07012	xci:XCAW_04597
ko:K00128	xci:XCAW_00057
ko:K00128	xci:XCAW_02596
