ko:K19078	suj:SAA6159_00613
ko:K19079	suj:SAA6159_00615
ko:K09022	suj:SAA6159_00448
ko:K04940	suj:SAA6159_02205
ko:K19285	suj:SAA6159_00357
ko:K07145	suj:SAA6159_00149
ko:K11737	suj:SAA6159_01620
ko:K01154	suj:SAA6159_00055
ko:K01153	suj:SAA6159_00056
ko:K08170	suj:SAA6159_00087
ko:K03324	suj:SAA6159_00090
ko:K03303	suj:SAA6159_00093
ko:K02015	suj:SAA6159_00096
ko:K14445	suj:SAA6159_01848
ko:K11102	suj:SAA6159_02287
ko:K07696	suj:SAA6159_02292
ko:K00373	suj:SAA6159_02296
ko:K00371	suj:SAA6159_02297
ko:K00370	suj:SAA6159_02298
ko:K00363	suj:SAA6159_02300
ko:K00362	suj:SAA6159_02301
ko:K01012	suj:SAA6159_02326
ko:K00833	suj:SAA6159_02327
ko:K01935	suj:SAA6159_02328
ko:K02015	suj:SAA6159_00097
ko:K02016	suj:SAA6159_00098
ko:K01586	suj:SAA6159_00106
ko:K02250	suj:SAA6159_00881
ko:K03800	suj:SAA6159_00883
ko:K02003	suj:SAA6159_00889
ko:K15977	suj:SAA6159_00893
ko:K02016	suj:SAA6159_00894
ko:K02548	suj:SAA6159_00898
ko:K02551	suj:SAA6159_00900
ko:K01661	suj:SAA6159_00902
ko:K02829	suj:SAA6159_00914
ko:K02828	suj:SAA6159_00915
ko:K02827	suj:SAA6159_00916
ko:K02826	suj:SAA6159_00917
ko:K01491	suj:SAA6159_00919
ko:K01588	suj:SAA6159_00920
ko:K01589	suj:SAA6159_00921
ko:K01923	suj:SAA6159_00922
ko:K01952	suj:SAA6159_00924
ko:K01952	suj:SAA6159_00925
ko:K00764	suj:SAA6159_00926
ko:K01933	suj:SAA6159_00927
ko:K11175	suj:SAA6159_00928
ko:K03564	suj:SAA6159_01794
ko:K01845	suj:SAA6159_01795
ko:K03575	suj:SAA6159_01799
ko:K03817	suj:SAA6159_00316
ko:K07224	suj:SAA6159_00317
ko:K07243	suj:SAA6159_00319
ko:K03118	suj:SAA6159_00320
ko:K03116	suj:SAA6159_00321
ko:K00549	suj:SAA6159_00330
ko:K06942	suj:SAA6159_00337
ko:K02990	suj:SAA6159_00339
