ko:K19405	ctrp:L11322_00711
ko:K14233	ctrp:L11322_00890
ko:K11645	ctrp:L11322_00219
ko:K01159	ctrp:L11322_00528
ko:K00134	ctrp:L11322_00532
ko:K02879	ctrp:L11322_00533
ko:K03040	ctrp:L11322_00534
ko:K02948	ctrp:L11322_00535
ko:K02952	ctrp:L11322_00536
ko:K03076	ctrp:L11322_00537
ko:K02876	ctrp:L11322_00538
ko:K02988	ctrp:L11322_00539
ko:K02881	ctrp:L11322_00540
ko:K02933	ctrp:L11322_00541
ko:K02994	ctrp:L11322_00542
ko:K02931	ctrp:L11322_00543
ko:K02895	ctrp:L11322_00544
ko:K02874	ctrp:L11322_00545
ko:K02961	ctrp:L11322_00546
ko:K02904	ctrp:L11322_00547
ko:K02878	ctrp:L11322_00548
ko:K02982	ctrp:L11322_00549
ko:K02890	ctrp:L11322_00550
ko:K02965	ctrp:L11322_00551
ko:K02886	ctrp:L11322_00552
ko:K02892	ctrp:L11322_00553
ko:K02926	ctrp:L11322_00554
ko:K02906	ctrp:L11322_00555
ko:K00604	ctrp:L11322_00557
ko:K00677	ctrp:L11322_00558
ko:K02372	ctrp:L11322_00559
ko:K02535	ctrp:L11322_00560
ko:K03820	ctrp:L11322_00561
ko:K06925	ctrp:L11322_00564
ko:K03671	ctrp:L11322_00567
ko:K03216	ctrp:L11322_00568
ko:K01876	ctrp:L11322_00570
ko:K01892	ctrp:L11322_00571
ko:K07783	ctrp:L11322_00572
ko:K02337	ctrp:L11322_00573
ko:K09779	ctrp:L11322_00002
ko:K02435	ctrp:L11322_00003
ko:K02434	ctrp:L11322_00005
ko:K02517	ctrp:L11322_00011
ko:K00425	ctrp:L11322_00014
ko:K00426	ctrp:L11322_00015
ko:K07175	ctrp:L11322_00016
ko:K01870	ctrp:L11322_00021
ko:K03100	ctrp:L11322_00022
ko:K02909	ctrp:L11322_00024
ko:K02835	ctrp:L11322_00025
ko:K02493	ctrp:L11322_00026
ko:K03106	ctrp:L11322_00027
ko:K02959	ctrp:L11322_00028
ko:K00554	ctrp:L11322_00029
ko:K02884	ctrp:L11322_00030
ko:K03470	ctrp:L11322_00031
ko:K00942	ctrp:L11322_00032
ko:K01874	ctrp:L11322_00034
ko:K03581	ctrp:L11322_00035
ko:K01494	ctrp:L11322_00041
ko:K02939	ctrp:L11322_00852
ko:K00919	ctrp:L11322_00853
ko:K00630	ctrp:L11322_00857
ko:K08301	ctrp:L11322_00858
ko:K02911	ctrp:L11322_00861
ko:K03621	ctrp:L11322_00862
ko:K03431	ctrp:L11322_00867
ko:K00820	ctrp:L11322_00868
ko:K03834	ctrp:L11322_00869
ko:K03834	ctrp:L11322_00871
ko:K06890	ctrp:L11322_00872
ko:K03110	ctrp:L11322_00873
ko:K01903	ctrp:L11322_00874
ko:K01902	ctrp:L11322_00875
ko:K09760	ctrp:L11322_00878
ko:K00075	ctrp:L11322_00884
ko:K02520	ctrp:L11322_00886
ko:K02916	ctrp:L11322_00887
ko:K02887	ctrp:L11322_00888
ko:K01889	ctrp:L11322_00889
ko:K11720	ctrp:L11322_00892
ko:K07091	ctrp:L11322_00893
ko:K04075	ctrp:L11322_00894
ko:K03798	ctrp:L11322_00895
ko:K00962	ctrp:L11322_00896
ko:K02956	ctrp:L11322_00897
ko:K01265	ctrp:L11322_00906
ko:K04487	ctrp:L11322_00264
ko:K07083	ctrp:L11322_00268
ko:K01962	ctrp:L11322_00271
ko:K01448	ctrp:L11322_00274
ko:K01928	ctrp:L11322_00275
ko:K03587	ctrp:L11322_00276
ko:K03438	ctrp:L11322_00278
ko:K02313	ctrp:L11322_00281
ko:K00347	ctrp:L11322_00284
ko:K00348	ctrp:L11322_00285
ko:K00349	ctrp:L11322_00286
ko:K00350	ctrp:L11322_00287
ko:K02437	ctrp:L11322_00288
ko:K03800	ctrp:L11322_00291
ko:K03696	ctrp:L11322_00292
ko:K00566	ctrp:L11322_00293
ko:K01963	ctrp:L11322_00299
ko:K04564	ctrp:L11322_00300
ko:K03685	ctrp:L11322_00303
ko:K04485	ctrp:L11322_00304
ko:K01749	ctrp:L11322_00305
ko:K01873	ctrp:L11322_00308
ko:K03559	ctrp:L11322_00626
ko:K01214	ctrp:L11322_00044
ko:K03046	ctrp:L11322_00320
ko:K03043	ctrp:L11322_00321
ko:K02935	ctrp:L11322_00322
ko:K02864	ctrp:L11322_00323
ko:K02863	ctrp:L11322_00324
ko:K02867	ctrp:L11322_00325
ko:K02601	ctrp:L11322_00326
ko:K03073	ctrp:L11322_00327
ko:K02358	ctrp:L11322_00329
ko:K02518	ctrp:L11322_00331
ko:K01803	ctrp:L11322_00338
ko:K03601	ctrp:L11322_00339
ko:K03602	ctrp:L11322_00340
ko:K01662	ctrp:L11322_00342
ko:K00873	ctrp:L11322_00343
ko:K03701	ctrp:L11322_00344
ko:K02343	ctrp:L11322_00345
ko:K09747	ctrp:L11322_00346
ko:K11381	ctrp:L11322_00352
ko:K03686	ctrp:L11322_00353
ko:K02970	ctrp:L11322_00354
ko:K01338	ctrp:L11322_00356
ko:K03733	ctrp:L11322_00359
ko:K06287	ctrp:L11322_00361
ko:K03075	ctrp:L11322_00364
ko:K01462	ctrp:L11322_00365
ko:K03311	ctrp:L11322_00582
ko:K00382	ctrp:L11322_00585
ko:K03644	ctrp:L11322_00586
ko:K03222	ctrp:L11322_00587
ko:K03223	ctrp:L11322_00589
