ko:K00054	spw:SPCG_1698
ko:K04042	spw:SPCG_0962
ko:K01704	spw:SPCG_1048
ko:K07560	spw:SPCG_1617
ko:K06153	spw:SPCG_0452
ko:K00656	spw:SPCG_0456
ko:K03498	spw:SPCG_0460
ko:K03216	spw:SPCG_0467
ko:K03713	spw:SPCG_0479
ko:K01154	spw:SPCG_0482
ko:K01154	spw:SPCG_0483
ko:K03427	spw:SPCG_0484
ko:K01153	spw:SPCG_0485
ko:K02503	spw:SPCG_0493
ko:K01990	spw:SPCG_0494
ko:K01992	spw:SPCG_0495
ko:K07707	spw:SPCG_0498
ko:K07706	spw:SPCG_0499
ko:K07052	spw:SPCG_0510
ko:K07052	spw:SPCG_0512
ko:K03439	spw:SPCG_0514
ko:K09748	spw:SPCG_0515
ko:K07742	spw:SPCG_0517
ko:K09155	spw:SPCG_0524
ko:K03488	spw:SPCG_0542
ko:K01223	spw:SPCG_0544
ko:K00297	spw:SPCG_0552
ko:K00962	spw:SPCG_0553
ko:K00640	spw:SPCG_0554
ko:K02004	spw:SPCG_0560
ko:K02003	spw:SPCG_0561
ko:K02004	spw:SPCG_0562
ko:K10819	spw:SPCG_0565
ko:K10040	spw:SPCG_0569
ko:K10039	spw:SPCG_0570
ko:K10041	spw:SPCG_0571
ko:K03930	spw:SPCG_0574
ko:K02030	spw:SPCG_0581
ko:K03311	spw:SPCG_0587
ko:K01190	spw:SPCG_0603
ko:K03316	spw:SPCG_0612
ko:K07058	spw:SPCG_0613
ko:K06196	spw:SPCG_0614
ko:K07718	spw:SPCG_0618
ko:K08643	spw:SPCG_0620
ko:K07124	spw:SPCG_0632
ko:K02004	spw:SPCG_0641
ko:K03581	spw:SPCG_0400
ko:K01687	spw:SPCG_2095
ko:K03706	spw:SPCG_1567
ko:K03437	spw:SPCG_1937
ko:K01652	spw:SPCG_0439
ko:K01653	spw:SPCG_0440
ko:K02519	spw:SPCG_0519
ko:K02600	spw:SPCG_0516
ko:K02834	spw:SPCG_0520
ko:K03438	spw:SPCG_0337
ko:K05366	spw:SPCG_0365
ko:K02240	spw:SPCG_2175
ko:K02242	spw:SPCG_2174
ko:K03565	spw:SPCG_1877
ko:K02440	spw:SPCG_2152
ko:K03739	spw:SPCG_2143
ko:K03740	spw:SPCG_2141
ko:K09014	spw:SPCG_0816
ko:K02902	spw:SPCG_0436
ko:K02760	spw:SPCG_0260
ko:K02124	spw:SPCG_0858
ko:K02914	spw:SPCG_1958
ko:K02469	spw:SPCG_1082
ko:K01938	spw:SPCG_1073
ko:K00016	spw:SPCG_1081
ko:K07284	spw:SPCG_1083
ko:K01740	spw:SPCG_1085
ko:K01740	spw:SPCG_1086
ko:K01819	spw:SPCG_1105
ko:K01819	spw:SPCG_1106
ko:K01635	spw:SPCG_1108
ko:K02531	spw:SPCG_1109
ko:K02787	spw:SPCG_1111
ko:K02788	spw:SPCG_1111
ko:K01220	spw:SPCG_1112
ko:K02530	spw:SPCG_1114
ko:K07025	spw:SPCG_1126
ko:K03574	spw:SPCG_1129
ko:K01465	spw:SPCG_1130
ko:K03327	spw:SPCG_1131
ko:K00627	spw:SPCG_1135
ko:K00382	spw:SPCG_1136
ko:K03800	spw:SPCG_1137
ko:K01689	spw:SPCG_1150
ko:K00865	spw:SPCG_1153
ko:K00703	spw:SPCG_1156
ko:K00975	spw:SPCG_1157
ko:K00975	spw:SPCG_1158
ko:K00700	spw:SPCG_1159
ko:K02622	spw:SPCG_0796
ko:K01807	spw:SPCG_0770
ko:K02316	spw:SPCG_1208
ko:K06286	spw:SPCG_0756
ko:K02470	spw:SPCG_0755
ko:K02836	spw:SPCG_0705
ko:K06187	spw:SPCG_1644
ko:K02838	spw:SPCG_0919
ko:K03466	spw:SPCG_0827
ko:K04075	spw:SPCG_0010
ko:K00760	spw:SPCG_0011
ko:K00948	spw:SPCG_0029
ko:K01952	spw:SPCG_0047
ko:K00764	spw:SPCG_0048
ko:K01933	spw:SPCG_0049
ko:K00131	spw:SPCG_1160
ko:K01200	spw:SPCG_1162
ko:K01972	spw:SPCG_1163
ko:K03530	spw:SPCG_1168
ko:K02899	spw:SPCG_1174
ko:K07584	spw:SPCG_1175
ko:K09747	spw:SPCG_1178
ko:K00625	spw:SPCG_1179
ko:K00858	spw:SPCG_1181
ko:K07816	spw:SPCG_1182
ko:K00948	spw:SPCG_1184
ko:K04487	spw:SPCG_1185
ko:K07010	spw:SPCG_1189
ko:K03657	spw:SPCG_1191
ko:K01265	spw:SPCG_1194
ko:K00790	spw:SPCG_1197
ko:K03086	spw:SPCG_1207
ko:K05833	spw:SPCG_1209
ko:K01876	spw:SPCG_2079
ko:K02822	spw:SPCG_2099
ko:K03789	spw:SPCG_0131
ko:K02005	spw:SPCG_0734
ko:K02004	spw:SPCG_0736
ko:K00059	spw:SPCG_0742
ko:K03152	spw:SPCG_0753
ko:K01839	spw:SPCG_0771
ko:K03783	spw:SPCG_0774
ko:K03784	spw:SPCG_0778
ko:K07335	spw:SPCG_0787
ko:K02056	spw:SPCG_0788
ko:K02057	spw:SPCG_0789
ko:K02057	spw:SPCG_0790
ko:K00826	spw:SPCG_0800
ko:K01304	spw:SPCG_0804
ko:K09013	spw:SPCG_0812
ko:K07258	spw:SPCG_0817
ko:K03436	spw:SPCG_0824
ko:K00882	spw:SPCG_0825
ko:K04487	spw:SPCG_0829
ko:K01154	spw:SPCG_0836
ko:K01154	spw:SPCG_0837
ko:K01788	spw:SPCG_0849
ko:K01639	spw:SPCG_0850
ko:K03307	spw:SPCG_0851
ko:K01186	spw:SPCG_0853
ko:K02119	spw:SPCG_0860
ko:K02122	spw:SPCG_0861
ko:K02117	spw:SPCG_0862
ko:K02118	spw:SPCG_0863
ko:K02120	spw:SPCG_0864
ko:K03402	spw:SPCG_0869
ko:K01281	spw:SPCG_0870
ko:K00873	spw:SPCG_0873
ko:K08986	spw:SPCG_0881
ko:K06959	spw:SPCG_0885
ko:K03095	spw:SPCG_0886
ko:K02003	spw:SPCG_0889
ko:K02004	spw:SPCG_0890
ko:K00797	spw:SPCG_0895
ko:K00290	spw:SPCG_0896
ko:K03101	spw:SPCG_0903
ko:K07056	spw:SPCG_0912
ko:K04094	spw:SPCG_0917
ko:K00243	spw:SPCG_0920
ko:K06217	spw:SPCG_0922
ko:K00259	spw:SPCG_0927
ko:K00259	spw:SPCG_0928
ko:K02237	spw:SPCG_0930
ko:K02238	spw:SPCG_0931
ko:K01759	spw:SPCG_0938
ko:K01227	spw:SPCG_0941
ko:K07042	spw:SPCG_0943
ko:K00859	spw:SPCG_0947
ko:K06198	spw:SPCG_0953
ko:K08602	spw:SPCG_0954
ko:K07533	spw:SPCG_0956
ko:K03976	spw:SPCG_0959
ko:K08974	spw:SPCG_0960
ko:K07273	spw:SPCG_0961
ko:K01515	spw:SPCG_0963
ko:K02342	spw:SPCG_0967
ko:K01126	spw:SPCG_0968
ko:K06196	spw:SPCG_0973
ko:K03294	spw:SPCG_0975
ko:K09815	spw:SPCG_0976
ko:K01258	spw:SPCG_0984
ko:K01772	spw:SPCG_0985
ko:K03282	spw:SPCG_0989
ko:K00133	spw:SPCG_0993
ko:K03650	spw:SPCG_0995
ko:K00857	spw:SPCG_0997
ko:K07566	spw:SPCG_1000
ko:K02016	spw:SPCG_1009
ko:K02015	spw:SPCG_1011
ko:K02015	spw:SPCG_1012
ko:K02013	spw:SPCG_1013
ko:K06400	spw:SPCG_1020
ko:K09790	spw:SPCG_1041
ko:K00364	spw:SPCG_1054
ko:K03529	spw:SPCG_1056
ko:K03110	spw:SPCG_1059
ko:K00036	spw:SPCG_1060
ko:K03574	spw:SPCG_1067
ko:K07105	spw:SPCG_1068
ko:K01696	spw:SPCG_1796
ko:K01695	spw:SPCG_1795
ko:K03686	spw:SPCG_0491
ko:K02786	spw:SPCG_1110
ko:K03498	spw:SPCG_0074
ko:K02341	spw:SPCG_0910
ko:K02114	spw:SPCG_1491
ko:K02112	spw:SPCG_1492
ko:K02111	spw:SPCG_1494
ko:K02109	spw:SPCG_1496
ko:K02110	spw:SPCG_1498
ko:K06191	spw:SPCG_1119
ko:K00525	spw:SPCG_1118
ko:K00526	spw:SPCG_1117
ko:K10563	spw:SPCG_0946
ko:K03177	spw:SPCG_1089
ko:K02039	spw:SPCG_1384
ko:K02968	spw:SPCG_0780
ko:K00867	spw:SPCG_0781
ko:K00756	spw:SPCG_0784
ko:K02768	spw:SPCG_0826
ko:K02769	spw:SPCG_0826
ko:K02770	spw:SPCG_0826
ko:K03544	spw:SPCG_1554
ko:K02835	spw:SPCG_0998
ko:K03816	spw:SPCG_1821
ko:K03734	spw:SPCG_1459
ko:K02864	spw:SPCG_1344
ko:K01714	spw:SPCG_0994
ko:K06180	spw:SPCG_1180
ko:K01926	spw:SPCG_1188
ko:K03630	spw:SPCG_1190
ko:K02945	spw:SPCG_0806
ko:K03497	spw:SPCG_2206
ko:K00604	spw:SPCG_1708
ko:K02563	spw:SPCG_0644
ko:K03590	spw:SPCG_1639
ko:K03531	spw:SPCG_1638
ko:K03601	spw:SPCG_1093
ko:K03602	spw:SPCG_1094
ko:K03631	spw:SPCG_1098
ko:K03595	spw:SPCG_0945
ko:K03075	spw:SPCG_0949
ko:K03664	spw:SPCG_0951
ko:K06023	spw:SPCG_1401
ko:K03685	spw:SPCG_1055
ko:K03151	spw:SPCG_0830
ko:K02888	spw:SPCG_1176
ko:K03596	spw:SPCG_1100
ko:K03703	spw:SPCG_0578
ko:K02909	spw:SPCG_1266
ko:K03979	spw:SPCG_1201
ko:K02343	spw:SPCG_0810
ko:K00876	spw:SPCG_1092
ko:K06201	spw:SPCG_1042
ko:K03076	spw:SPCG_1739
ko:K03665	spw:SPCG_0629
ko:K00784	spw:SPCG_0631
ko:K07462	spw:SPCG_0572
ko:K02520	spw:SPCG_0935
ko:K03500	spw:SPCG_1707
ko:K04517	spw:SPCG_1363
ko:K02867	spw:SPCG_0591
ko:K10536	spw:SPCG_0898
ko:K02863	spw:SPCG_0592
ko:K00943	spw:SPCG_0909
ko:K00845	spw:SPCG_0624
ko:K00560	spw:SPCG_0625
ko:K00600	spw:SPCG_1002
ko:K03106	spw:SPCG_1250
ko:K03470	spw:SPCG_1140
ko:K00917	spw:SPCG_1107
ko:K01915	spw:SPCG_0480
ko:K06942	spw:SPCG_0004
ko:K01056	spw:SPCG_0005
ko:K01923	spw:SPCG_0046
ko:K04086	spw:SPCG_0342
ko:K03625	spw:SPCG_0427
ko:K02356	spw:SPCG_0429
ko:K02963	spw:SPCG_1525
ko:K03550	spw:SPCG_0193
ko:K03723	spw:SPCG_0006
ko:K02003	spw:SPCG_0642
ko:K03589	spw:SPCG_0645
ko:K01591	spw:SPCG_0653
ko:K00762	spw:SPCG_0654
ko:K10530	spw:SPCG_0663
ko:K00788	spw:SPCG_0667
ko:K00878	spw:SPCG_0673
ko:K00788	spw:SPCG_0674
ko:K02761	spw:SPCG_0318
ko:K02759	spw:SPCG_0316
ko:K02760	spw:SPCG_0314
ko:K02340	spw:SPCG_0714
ko:K02837	spw:SPCG_0433
ko:K03499	spw:SPCG_0461
ko:K06178	spw:SPCG_1847
ko:K02793	spw:SPCG_0295
ko:K02794	spw:SPCG_0295
ko:K08303	spw:SPCG_1416
ko:K07461	spw:SPCG_1521
ko:K07104	spw:SPCG_0068
ko:K10682	spw:SPCG_0081
ko:K10681	spw:SPCG_0082
ko:K07146	spw:SPCG_0090
ko:K01091	spw:SPCG_0100
ko:K02003	spw:SPCG_0107
ko:K01940	spw:SPCG_0109
ko:K06148	spw:SPCG_0138
ko:K00012	spw:SPCG_0142
ko:K07052	spw:SPCG_0148
ko:K07052	spw:SPCG_0149
ko:K02030	spw:SPCG_0152
ko:K02073	spw:SPCG_0153
ko:K07467	spw:SPCG_0162
ko:K03647	spw:SPCG_0184
ko:K03572	spw:SPCG_0188
ko:K00794	spw:SPCG_0189
ko:K00793	spw:SPCG_0191
ko:K07052	spw:SPCG_0196
ko:K02871	spw:SPCG_0308
ko:K03284	spw:SPCG_0200
ko:K01262	spw:SPCG_0202
ko:K07447	spw:SPCG_0206
ko:K06131	spw:SPCG_0210
ko:K02954	spw:SPCG_0231
ko:K09157	spw:SPCG_0246
ko:K02011	spw:SPCG_0248
ko:K02011	spw:SPCG_0250
ko:K02761	spw:SPCG_0261
ko:K00005	spw:SPCG_0264
ko:K01869	spw:SPCG_0265
ko:K09962	spw:SPCG_0270
ko:K00981	spw:SPCG_0272
ko:K01881	spw:SPCG_0274
ko:K06183	spw:SPCG_0291
ko:K01372	spw:SPCG_0292
ko:K06901	spw:SPCG_0300
ko:K07052	spw:SPCG_0301
ko:K00796	spw:SPCG_0302
ko:K01495	spw:SPCG_0304
ko:K02996	spw:SPCG_0309
ko:K01223	spw:SPCG_0312
ko:K00432	spw:SPCG_0321
ko:K00874	spw:SPCG_0324
ko:K01819	spw:SPCG_0325
ko:K02744	spw:SPCG_0327
ko:K02745	spw:SPCG_0329
ko:K02746	spw:SPCG_0330
ko:K02747	spw:SPCG_0331
ko:K03210	spw:SPCG_0332
ko:K07173	spw:SPCG_0343
ko:K01215	spw:SPCG_0345
ko:K01104	spw:SPCG_0347
ko:K03700	spw:SPCG_0366
ko:K07444	spw:SPCG_0369
ko:K00869	spw:SPCG_0376
ko:K01597	spw:SPCG_0377
ko:K00938	spw:SPCG_0378
ko:K01823	spw:SPCG_0379
ko:K02799	spw:SPCG_0394
ko:K02800	spw:SPCG_0394
ko:K03483	spw:SPCG_0395
ko:K02798	spw:SPCG_0396
ko:K00009	spw:SPCG_0397
ko:K03100	spw:SPCG_0401
ko:K03471	spw:SPCG_0402
ko:K03310	spw:SPCG_0407
ko:K01875	spw:SPCG_0410
ko:K02078	spw:SPCG_0416
ko:K02371	spw:SPCG_0417
ko:K02160	spw:SPCG_0421
ko:K01963	spw:SPCG_0424
ko:K01962	spw:SPCG_0425
ko:K02434	spw:SPCG_0430
ko:K02433	spw:SPCG_0431
ko:K02435	spw:SPCG_0432
ko:K07030	spw:SPCG_0438
ko:K01754	spw:SPCG_0444
ko:K07473	spw:SPCG_0286
ko:K06442	spw:SPCG_1096
ko:K00963	spw:SPCG_2058
ko:K15580	spw:SPCG_1514
ko:K03449	spw:SPCG_0096
ko:K01756	spw:SPCG_0058
ko:K03722	spw:SPCG_0751
ko:K00651	spw:SPCG_1562
ko:K00791	spw:SPCG_0628
ko:K01929	spw:SPCG_1642
ko:K01868	spw:SPCG_1606
ko:K00773	spw:SPCG_2025
ko:K02982	spw:SPCG_0224
ko:K02890	spw:SPCG_0223
ko:K02965	spw:SPCG_0222
ko:K02886	spw:SPCG_0221
ko:K02892	spw:SPCG_0220
ko:K02926	spw:SPCG_0219
ko:K02906	spw:SPCG_0218
ko:K02946	spw:SPCG_0217
ko:K01866	spw:SPCG_2065
ko:K01821	spw:SPCG_0996
ko:K06967	spw:SPCG_1592
ko:K01997	spw:SPCG_0700
ko:K02879	spw:SPCG_0244
ko:K03040	spw:SPCG_0243
ko:K02948	spw:SPCG_0242
ko:K02952	spw:SPCG_0241
ko:K02518	spw:SPCG_0240
ko:K00939	spw:SPCG_0239
ko:K03076	spw:SPCG_0238
ko:K02876	spw:SPCG_0237
ko:K02907	spw:SPCG_0236
ko:K02988	spw:SPCG_0235
ko:K02933	spw:SPCG_0233
ko:K02994	spw:SPCG_0232
ko:K03707	spw:SPCG_0671
ko:K02313	spw:SPCG_0001
ko:K02338	spw:SPCG_0002
ko:K00088	spw:SPCG_2194
ko:K00995	spw:SPCG_2188
ko:K01752	spw:SPCG_0101
ko:K01752	spw:SPCG_0102
ko:K00566	spw:SPCG_0121
ko:K03495	spw:SPCG_0123
ko:K03584	spw:SPCG_0038
ko:K02939	spw:SPCG_2171
ko:K02314	spw:SPCG_2170
ko:K03621	spw:SPCG_0039
ko:K02078	spw:SPCG_0040
ko:K02794	spw:SPCG_0062
ko:K02795	spw:SPCG_0063
ko:K02796	spw:SPCG_0064
ko:K02793	spw:SPCG_0065
ko:K07089	spw:SPCG_0882
ko:K04069	spw:SPCG_0256
ko:K03551	spw:SPCG_0269
ko:K02895	spw:SPCG_0229
ko:K02874	spw:SPCG_0228
ko:K02961	spw:SPCG_0227
ko:K02904	spw:SPCG_0226
ko:K02878	spw:SPCG_0225
ko:K00790	spw:SPCG_1930
ko:K02121	spw:SPCG_0859
ko:K03168	spw:SPCG_1040
ko:K02357	spw:SPCG_2180
ko:K02967	spw:SPCG_2181
ko:K02601	spw:SPCG_1973
ko:K03073	spw:SPCG_1974
ko:K01998	spw:SPCG_0701
ko:K04068	spw:SPCG_0215
ko:K02911	spw:SPCG_2103
ko:K02913	spw:SPCG_2104
ko:K02986	spw:SPCG_0083
ko:K03798	spw:SPCG_0012
ko:K02881	spw:SPCG_0234
ko:K02931	spw:SPCG_0230
ko:K00287	spw:SPCG_1556
ko:K00783	spw:SPCG_2204
ko:K02755	spw:SPCG_0543
ko:K02756	spw:SPCG_0543
ko:K02757	spw:SPCG_0543
ko:K01995	spw:SPCG_0702
ko:K00656	spw:SPCG_0262
ko:K00158	spw:SPCG_0679
ko:K01809	spw:SPCG_0685
ko:K03308	spw:SPCG_0687
ko:K03574	spw:SPCG_0690
ko:K07007	spw:SPCG_0691
ko:K01493	spw:SPCG_0694
ko:K00761	spw:SPCG_0695
ko:K01358	spw:SPCG_0696
ko:K01999	spw:SPCG_0699
ko:K04767	spw:SPCG_0704
ko:K09812	spw:SPCG_0706
ko:K00789	spw:SPCG_0712
ko:K04564	spw:SPCG_0715
ko:K03767	spw:SPCG_0720
ko:K02959	spw:SPCG_0723
ko:K06960	spw:SPCG_0724
ko:K11189	spw:SPCG_1120
ko:K00554	spw:SPCG_0727
ko:K03523	spw:SPCG_0732
ko:K00383	spw:SPCG_0733
ko:K02335	spw:SPCG_0032
ko:K06941	spw:SPCG_0717
ko:K01996	spw:SPCG_0703
ko:K04485	spw:SPCG_0023
ko:K00558	spw:SPCG_1339
ko:K01874	spw:SPCG_1227
ko:K01104	spw:SPCG_1993
ko:K03210	spw:SPCG_1994
ko:K00615	spw:SPCG_1995
ko:K03476	spw:SPCG_1996
ko:K03493	spw:SPCG_1997
ko:K02821	spw:SPCG_2002
ko:K02822	spw:SPCG_2003
ko:K03217	spw:SPCG_2007
ko:K00925	spw:SPCG_2010
ko:K00571	spw:SPCG_2011
ko:K02248	spw:SPCG_2015
ko:K02246	spw:SPCG_2017
ko:K02245	spw:SPCG_2018
ko:K02244	spw:SPCG_2019
ko:K02243	spw:SPCG_2020
ko:K01304	spw:SPCG_2027
ko:K01443	spw:SPCG_2023
ko:K01736	spw:SPCG_1364
ko:K02440	spw:SPCG_1475
ko:K02030	spw:SPCG_1485
ko:K02028	spw:SPCG_1486
ko:K02029	spw:SPCG_1487
ko:K07082	spw:SPCG_1503
ko:K01924	spw:SPCG_1506
ko:K01739	spw:SPCG_1510
ko:K03111	spw:SPCG_1526
ko:K01893	spw:SPCG_1528
ko:K00215	spw:SPCG_1542
ko:K03431	spw:SPCG_1545
ko:K09762	spw:SPCG_1549
ko:K06958	spw:SPCG_1551
ko:K03978	spw:SPCG_1553
ko:K04047	spw:SPCG_1557
ko:K01803	spw:SPCG_1560
ko:K02086	spw:SPCG_1561
ko:K10112	spw:SPCG_1565
ko:K05592	spw:SPCG_1568
ko:K08177	spw:SPCG_1569
ko:K01928	spw:SPCG_1571
ko:K07009	spw:SPCG_1572
ko:K01271	spw:SPCG_1573
ko:K00945	spw:SPCG_1583
ko:K05337	spw:SPCG_1585
ko:K01784	spw:SPCG_1588
ko:K00655	spw:SPCG_1599
ko:K07118	spw:SPCG_1603
ko:K03709	spw:SPCG_1612
ko:K00951	spw:SPCG_1618
ko:K07386	spw:SPCG_1620
ko:K02004	spw:SPCG_1625
ko:K02003	spw:SPCG_1626
ko:K01834	spw:SPCG_1628
ko:K01870	spw:SPCG_1631
ko:K04074	spw:SPCG_1633
ko:K02221	spw:SPCG_1635
ko:K09772	spw:SPCG_1636
ko:K06997	spw:SPCG_1637
ko:K01921	spw:SPCG_1643
ko:K10947	spw:SPCG_0738
ko:K03060	spw:SPCG_1711
ko:K01639	spw:SPCG_1648
ko:K02026	spw:SPCG_1654
ko:K02025	spw:SPCG_1655
ko:K02027	spw:SPCG_1656
ko:K02778	spw:SPCG_1657
ko:K02779	spw:SPCG_1657
ko:K01788	spw:SPCG_1658
ko:K01186	spw:SPCG_1660
ko:K02026	spw:SPCG_1661
ko:K02025	spw:SPCG_1662
