ko:K19079	sauj:SAI2T2_1005130
ko:K00130	sauj:SAI2T2_1019520
ko:K19005	sauj:SAI2T2_1005580
ko:K07498	sauj:SAI2T2_20160
ko:K19285	sauj:SAI2T2_1002890
ko:K05352	sauj:SAI2T2_1001970
ko:K00561	sauj:SAI2T2_1006350
ko:K18938	sauj:SAI2T2_20070
ko:K18934	sauj:SAI2T2_1016100
ko:K18934	sauj:SAI2T2_1016110
ko:K11442	sauj:SAI2T2_1016150
ko:K08168	sauj:SAI2T2_1000920
ko:K18936	sauj:SAI2T2_1017910
ko:K18935	sauj:SAI2T2_1016130
ko:K03328	sauj:SAI2T2_1000870
ko:K03328	sauj:SAI2T2_1003750
ko:K18940	sauj:SAI2T2_1010240
ko:K19975	sauj:SAI2T2_1004870
ko:K19973	sauj:SAI2T2_1004890
ko:K19080	sauj:SAI2T2_1005140
ko:K02479	sauj:SAI2T2_1013680
ko:K02483	sauj:SAI2T2_1017510
ko:K14204	sauj:SAI2T2_1014710
ko:K01046	sauj:SAI2T2_1020040
ko:K03293	sauj:SAI2T2_1009600
ko:K13714	sauj:SAI2T2_1007460
ko:K22580	sauj:SAI2T2_1007500
ko:K21462	sauj:SAI2T2_1020030
ko:K21463	sauj:SAI2T2_1017470
ko:K07498	sauj:SAI2T2_20010
ko:K03118	sauj:SAI2T2_1002670
ko:K01990	sauj:SAI2T2_1002690
ko:K00626	sauj:SAI2T2_1002720
ko:K00549	sauj:SAI2T2_1002740
ko:K01760	sauj:SAI2T2_1002760
ko:K01739	sauj:SAI2T2_1002770
ko:K06942	sauj:SAI2T2_1002800
ko:K01834	sauj:SAI2T2_1002850
ko:K03387	sauj:SAI2T2_1002870
ko:K03386	sauj:SAI2T2_1002880
ko:K06956	sauj:SAI2T2_1002900
ko:K03816	sauj:SAI2T2_1002950
ko:K16169	sauj:SAI2T2_1002960
ko:K00088	sauj:SAI2T2_1002970
ko:K01951	sauj:SAI2T2_1002980
ko:K11042	sauj:SAI2T2_1003020
ko:K03427	sauj:SAI2T2_1003120
ko:K01154	sauj:SAI2T2_1003130
ko:K02563	sauj:SAI2T2_1010270
ko:K03797	sauj:SAI2T2_1010290
ko:K07304	sauj:SAI2T2_1010310
ko:K09125	sauj:SAI2T2_1010360
ko:K08170	sauj:SAI2T2_1010380
ko:K03294	sauj:SAI2T2_1010390
ko:K01754	sauj:SAI2T2_1010400
ko:K00259	sauj:SAI2T2_1010410
ko:K07444	sauj:SAI2T2_1010450
ko:K03700	sauj:SAI2T2_1010470
ko:K05366	sauj:SAI2T2_1010480
ko:K10773	sauj:SAI2T2_1010490
ko:K02086	sauj:SAI2T2_1010500
ko:K01893	sauj:SAI2T2_1010510
ko:K03524	sauj:SAI2T2_1010530
ko:K00974	sauj:SAI2T2_1010540
ko:K06973	sauj:SAI2T2_1010560
ko:K00800	sauj:SAI2T2_1010600
ko:K01735	sauj:SAI2T2_1010610
ko:K01736	sauj:SAI2T2_1010620
ko:K00940	sauj:SAI2T2_1010630
ko:K00805	sauj:SAI2T2_1010640
ko:K03183	sauj:SAI2T2_1010650
ko:K00057	sauj:SAI2T2_1010670
ko:K03977	sauj:SAI2T2_1010680
ko:K02945	sauj:SAI2T2_1010690
ko:K00945	sauj:SAI2T2_1010700
ko:K01424	sauj:SAI2T2_1010710
ko:K02809	sauj:SAI2T2_1017640
ko:K02810	sauj:SAI2T2_1017640
ko:K11102	sauj:SAI2T2_1017670
ko:K10850	sauj:SAI2T2_1017690
ko:K07696	sauj:SAI2T2_1017720
ko:K07683	sauj:SAI2T2_1017730
ko:K00374	sauj:SAI2T2_1017740
ko:K00373	sauj:SAI2T2_1017750
ko:K00371	sauj:SAI2T2_1017760
ko:K00370	sauj:SAI2T2_1017770
ko:K02303	sauj:SAI2T2_1017780
ko:K00362	sauj:SAI2T2_1017790
ko:K09815	sauj:SAI2T2_1017840
ko:K10010	sauj:SAI2T2_1017880
ko:K10009	sauj:SAI2T2_1017890
ko:K02424	sauj:SAI2T2_1017900
ko:K01834	sauj:SAI2T2_1017920
ko:K14197	sauj:SAI2T2_1017940
ko:K00652	sauj:SAI2T2_1018000
ko:K01012	sauj:SAI2T2_1018010
ko:K00833	sauj:SAI2T2_1018020
ko:K01935	sauj:SAI2T2_1018030
ko:K06147	sauj:SAI2T2_1018040
ko:K00641	sauj:SAI2T2_1000100
ko:K01939	sauj:SAI2T2_1000140
ko:K07668	sauj:SAI2T2_1000170
ko:K07652	sauj:SAI2T2_1000180
ko:K00783	sauj:SAI2T2_1000240
ko:K01126	sauj:SAI2T2_1000260
ko:K02545	sauj:SAI2T2_1000270
ko:K07090	sauj:SAI2T2_1000380
ko:K00712	sauj:SAI2T2_1000400
ko:K01929	sauj:SAI2T2_1000420
ko:K07090	sauj:SAI2T2_1000440
ko:K17218	sauj:SAI2T2_1000470
ko:K01771	sauj:SAI2T2_1000520
ko:K08170	sauj:SAI2T2_1000600
ko:K03324	sauj:SAI2T2_1000610
ko:K10254	sauj:SAI2T2_1000620
ko:K01462	sauj:SAI2T2_1007760
ko:K00161	sauj:SAI2T2_1007780
ko:K00162	sauj:SAI2T2_1007790
ko:K00627	sauj:SAI2T2_1007800
ko:K00382	sauj:SAI2T2_1007810
ko:K11072	sauj:SAI2T2_1007830
ko:K11071	sauj:SAI2T2_1007840
ko:K11070	sauj:SAI2T2_1007850
ko:K11069	sauj:SAI2T2_1007860
ko:K03322	sauj:SAI2T2_1007880
ko:K01092	sauj:SAI2T2_1007900
ko:K06207	sauj:SAI2T2_1007910
ko:K03588	sauj:SAI2T2_1007930
ko:K01958	sauj:SAI2T2_1007940
ko:K02259	sauj:SAI2T2_1007950
ko:K01126	sauj:SAI2T2_1007980
ko:K00954	sauj:SAI2T2_1008000
ko:K07040	sauj:SAI2T2_1008020
ko:K14193	sauj:SAI2T2_1008040
ko:K02016	sauj:SAI2T2_1008070
ko:K02015	sauj:SAI2T2_1008080
ko:K08600	sauj:SAI2T2_1008090
ko:K03437	sauj:SAI2T2_1008100
ko:K01889	sauj:SAI2T2_1008110
ko:K01890	sauj:SAI2T2_1008120
ko:K03471	sauj:SAI2T2_1008130
ko:K02347	sauj:SAI2T2_1008150
ko:K07456	sauj:SAI2T2_1008160
ko:K03703	sauj:SAI2T2_1008170
ko:K00241	sauj:SAI2T2_1008180
ko:K00239	sauj:SAI2T2_1008190
ko:K00240	sauj:SAI2T2_1008200
ko:K01776	sauj:SAI2T2_1008210
ko:K02428	sauj:SAI2T2_1008220
ko:K07095	sauj:SAI2T2_1008230
ko:K00052	sauj:SAI2T2_1015130
ko:K01703	sauj:SAI2T2_1015140
ko:K01704	sauj:SAI2T2_1015150
ko:K01754	sauj:SAI2T2_1015160
ko:K06959	sauj:SAI2T2_1015210
ko:K03090	sauj:SAI2T2_1015220
ko:K04757	sauj:SAI2T2_1015230
ko:K07315	sauj:SAI2T2_1015240
ko:K01775	sauj:SAI2T2_1015250
ko:K09167	sauj:SAI2T2_1015260
ko:K08981	sauj:SAI2T2_1015270
ko:K01548	sauj:SAI2T2_1015290
ko:K01547	sauj:SAI2T2_1015300
ko:K01546	sauj:SAI2T2_1015310
ko:K07646	sauj:SAI2T2_1015320
ko:K07667	sauj:SAI2T2_1015330
ko:K01929	sauj:SAI2T2_1015360
ko:K01921	sauj:SAI2T2_1015370
ko:K05837	sauj:SAI2T2_1015380
ko:K06131	sauj:SAI2T2_1015390
ko:K06950	sauj:SAI2T2_1015400
ko:K03217	sauj:SAI2T2_1015410
ko:K00788	sauj:SAI2T2_1015420
ko:K00878	sauj:SAI2T2_1015430
ko:K00941	sauj:SAI2T2_1015440
ko:K03707	sauj:SAI2T2_1015450
ko:K00790	sauj:SAI2T2_1015480
ko:K02112	sauj:SAI2T2_1015490
ko:K02115	sauj:SAI2T2_1015500
ko:K02111	sauj:SAI2T2_1015510
ko:K02113	sauj:SAI2T2_1015520
ko:K02109	sauj:SAI2T2_1015530
ko:K02108	sauj:SAI2T2_1015540
ko:K01791	sauj:SAI2T2_1015550
ko:K00761	sauj:SAI2T2_1015560
ko:K00600	sauj:SAI2T2_1015570
ko:K07566	sauj:SAI2T2_1015590
ko:K02493	sauj:SAI2T2_1015600
ko:K05577	sauj:SAI2T2_1003290
ko:K09822	sauj:SAI2T2_1003300
ko:K03928	sauj:SAI2T2_1003330
ko:K03308	sauj:SAI2T2_1003340
ko:K17216	sauj:SAI2T2_1003350
ko:K17217	sauj:SAI2T2_1003360
ko:K02071	sauj:SAI2T2_1003370
ko:K02072	sauj:SAI2T2_1003380
ko:K02073	sauj:SAI2T2_1003390
ko:K00265	sauj:SAI2T2_1003450
ko:K03303	sauj:SAI2T2_1000660
ko:K14196	sauj:SAI2T2_1000670
ko:K02015	sauj:SAI2T2_1000690
ko:K02015	sauj:SAI2T2_1000700
ko:K02016	sauj:SAI2T2_1000710
ko:K01586	sauj:SAI2T2_1000790
ko:K03366	sauj:SAI2T2_1000820
ko:K01784	sauj:SAI2T2_1000830
ko:K04564	sauj:SAI2T2_1000880
ko:K03784	sauj:SAI2T2_1000910
ko:K01619	sauj:SAI2T2_1000930
ko:K01839	sauj:SAI2T2_1000940
ko:K02042	sauj:SAI2T2_1000950
ko:K02042	sauj:SAI2T2_1000960
ko:K02041	sauj:SAI2T2_1000970
ko:K02044	sauj:SAI2T2_1000980
ko:K04072	sauj:SAI2T2_1001030
ko:K01104	sauj:SAI2T2_1001060
ko:K17716	sauj:SAI2T2_1001080
ko:K01791	sauj:SAI2T2_1001100
ko:K14200	sauj:SAI2T2_1008250
ko:K11032	sauj:SAI2T2_1008270
ko:K00611	sauj:SAI2T2_1008310
ko:K00926	sauj:SAI2T2_1008320
ko:K11041	sauj:SAI2T2_1008340
ko:K07025	sauj:SAI2T2_1008360
ko:K03438	sauj:SAI2T2_1008380
ko:K12552	sauj:SAI2T2_1008390
ko:K01000	sauj:SAI2T2_1008400
ko:K01925	sauj:SAI2T2_1008410
ko:K03589	sauj:SAI2T2_1008420
ko:K03590	sauj:SAI2T2_1008430
ko:K03531	sauj:SAI2T2_1008440
ko:K05810	sauj:SAI2T2_1008450
ko:K06997	sauj:SAI2T2_1008460
ko:K09772	sauj:SAI2T2_1008470
ko:K04074	sauj:SAI2T2_1008490
ko:K01870	sauj:SAI2T2_1008500
ko:K03101	sauj:SAI2T2_1008510
ko:K06180	sauj:SAI2T2_1008520
ko:K02825	sauj:SAI2T2_1008530
ko:K02824	sauj:SAI2T2_1008540
ko:K00609	sauj:SAI2T2_1008550
ko:K01465	sauj:SAI2T2_1008560
ko:K01956	sauj:SAI2T2_1008570
ko:K01955	sauj:SAI2T2_1008580
ko:K01591	sauj:SAI2T2_1008590
ko:K00762	sauj:SAI2T2_1008600
ko:K00942	sauj:SAI2T2_1008620
ko:K13038	sauj:SAI2T2_1008630
ko:K04066	sauj:SAI2T2_1008640
ko:K01462	sauj:SAI2T2_1008660
ko:K00604	sauj:SAI2T2_1008670
ko:K03500	sauj:SAI2T2_1008680
ko:K06941	sauj:SAI2T2_1008690
ko:K06949	sauj:SAI2T2_1008720
ko:K01783	sauj:SAI2T2_1008730
ko:K00266	sauj:SAI2T2_1003460
ko:K02818	sauj:SAI2T2_1003480
ko:K02819	sauj:SAI2T2_1003480
ko:K01226	sauj:SAI2T2_1003490
ko:K03486	sauj:SAI2T2_1003500
ko:K02343	sauj:SAI2T2_1003520
ko:K06187	sauj:SAI2T2_1003530
ko:K00943	sauj:SAI2T2_1003590
ko:K02341	sauj:SAI2T2_1003600
ko:K07056	sauj:SAI2T2_1003630
ko:K01874	sauj:SAI2T2_1003640
ko:K03424	sauj:SAI2T2_1003650
ko:K05985	sauj:SAI2T2_1003660
ko:K02528	sauj:SAI2T2_1003670
ko:K00919	sauj:SAI2T2_1003680
ko:K09685	sauj:SAI2T2_1003690
ko:K04042	sauj:SAI2T2_1003700
ko:K03654	sauj:SAI2T2_1010740
ko:K07651	sauj:SAI2T2_1010830
ko:K07775	sauj:SAI2T2_1010840
ko:K06178	sauj:SAI2T2_1010850
ko:K06024	sauj:SAI2T2_1010860
ko:K05896	sauj:SAI2T2_1010870
ko:K09763	sauj:SAI2T2_1010880
ko:K04763	sauj:SAI2T2_1010890
ko:K01515	sauj:SAI2T2_1010900
ko:K07124	sauj:SAI2T2_1010920
ko:K00286	sauj:SAI2T2_1010930
ko:K00784	sauj:SAI2T2_1010940
ko:K00036	sauj:SAI2T2_1010950
ko:K01187	sauj:SAI2T2_1010970
ko:K00033	sauj:SAI2T2_1011000
ko:K09699	sauj:SAI2T2_1011030
ko:K00167	sauj:SAI2T2_1011040
ko:K00166	sauj:SAI2T2_1011050
ko:K00382	sauj:SAI2T2_1011060
ko:K03631	sauj:SAI2T2_1011070
ko:K13789	sauj:SAI2T2_1011080
ko:K03601	sauj:SAI2T2_1011090
ko:K01961	sauj:SAI2T2_1011100
ko:K02160	sauj:SAI2T2_1011110
ko:K02356	sauj:SAI2T2_1011120
ko:K01262	sauj:SAI2T2_1011130
ko:K03800	sauj:SAI2T2_1011150
ko:K00283	sauj:SAI2T2_1011160
ko:K00282	sauj:SAI2T2_1011170
ko:K00605	sauj:SAI2T2_1011180
ko:K00891	sauj:SAI2T2_1011190
ko:K02244	sauj:SAI2T2_1011210
ko:K06147	sauj:SAI2T2_1018050
ko:K00865	sauj:SAI2T2_1018060
ko:K11737	sauj:SAI2T2_1018120
ko:K00077	sauj:SAI2T2_1018170
ko:K08170	sauj:SAI2T2_1018180
ko:K05846	sauj:SAI2T2_1018190
ko:K05845	sauj:SAI2T2_1018200
ko:K05846	sauj:SAI2T2_1018210
ko:K05847	sauj:SAI2T2_1018220
ko:K03929	sauj:SAI2T2_1018250
ko:K02069	sauj:SAI2T2_1018270
ko:K02068	sauj:SAI2T2_1018280
ko:K10824	sauj:SAI2T2_1018340
ko:K15587	sauj:SAI2T2_1018350
ko:K15586	sauj:SAI2T2_1018360
ko:K15585	sauj:SAI2T2_1018370
ko:K15584	sauj:SAI2T2_1018380
ko:K12942	sauj:SAI2T2_1018440
ko:K07030	sauj:SAI2T2_1008750
ko:K02835	sauj:SAI2T2_1015610
ko:K03628	sauj:SAI2T2_1015630
ko:K00128	sauj:SAI2T2_1015640
