ko:K02495	vcx:VAA049_100
ko:K01985	vcx:VAA049_403
ko:K19416	vcx:VAA049_1443
ko:K01980	vcx:VAA049_146
ko:K14233	vcx:VAA049_1060
ko:K01046	vcx:VAA049_1700
ko:K19736	vcx:VAA049_1066
ko:K01990	vcx:VAA049_1144
ko:K11209	vcx:VAA049_2352
ko:K14225	vcx:VAA049_2524
ko:K14225	vcx:VAA049_2526
ko:K14225	vcx:VAA049_3346
ko:K14225	vcx:VAA049_3349
ko:K14225	vcx:VAA049_3350
ko:K14225	vcx:VAA049_3348
ko:K14225	vcx:VAA049_3351
ko:K19789	vcx:VAA049_1168
ko:K19745	vcx:VAA049_15
ko:K14220	vcx:VAA049_3225
ko:K14234	vcx:VAA049_3219
ko:K14234	vcx:VAA049_3224
ko:K14234	vcx:VAA049_3376
ko:K14234	vcx:VAA049_3226
ko:K01007	vcx:VAA049_2009
ko:K14226	vcx:VAA049_3519
ko:K14226	vcx:VAA049_3521
ko:K14223	vcx:VAA049_697
ko:K14234	vcx:VAA049_402
ko:K20949	vcx:VAA049_2806
ko:K20962	vcx:VAA049_2179
ko:K20977	vcx:VAA049_1921
ko:K09796	vcx:VAA049_1862
ko:K20862	vcx:VAA049_111
ko:K02482	vcx:VAA049_1276
ko:K22468	vcx:VAA049_2964
ko:K01800	vcx:VAA049_1450
ko:K10918	vcx:VAA049_2703
ko:K03973	vcx:VAA049_1127
ko:K01992	vcx:VAA049_1143
ko:K01992	vcx:VAA049_1195
ko:K00020	vcx:VAA049_1888
ko:K10917	vcx:VAA049_252
ko:K10948	vcx:VAA049_1702
ko:K10916	vcx:VAA049_2421
ko:K10915	vcx:VAA049_2420
ko:K01582	vcx:VAA049_3416
ko:K10123	vcx:VAA049_804
ko:K08604	vcx:VAA049_2123
ko:K19337	vcx:VAA049_2591
ko:K10912	vcx:VAA049_2730
ko:K19302	vcx:VAA049_410
ko:K01175	vcx:VAA049_784
ko:K22042	vcx:VAA049_3014
ko:K19334	vcx:VAA049_1244
ko:K02475	vcx:VAA049_1201
ko:K02031	vcx:VAA049_3076
ko:K06142	vcx:VAA049_627
ko:K02536	vcx:VAA049_628
ko:K02372	vcx:VAA049_629
ko:K00677	vcx:VAA049_630
ko:K00748	vcx:VAA049_631
ko:K03470	vcx:VAA049_632
ko:K02337	vcx:VAA049_633
ko:K01962	vcx:VAA049_634
ko:K04075	vcx:VAA049_635
ko:K13727	vcx:VAA049_637
ko:K04751	vcx:VAA049_638
ko:K08307	vcx:VAA049_640
ko:K01069	vcx:VAA049_641
ko:K03469	vcx:VAA049_643
ko:K02342	vcx:VAA049_644
ko:K06445	vcx:VAA049_646
ko:K03271	vcx:VAA049_647
ko:K11175	vcx:VAA049_649
ko:K01933	vcx:VAA049_650
ko:K00761	vcx:VAA049_651
ko:K06182	vcx:VAA049_653
ko:K09973	vcx:VAA049_658
ko:K12373	vcx:VAA049_659
ko:K17686	vcx:VAA049_661
ko:K01885	vcx:VAA049_662
ko:K03286	vcx:VAA049_663
ko:K09860	vcx:VAA049_670
ko:K02399	vcx:VAA049_671
ko:K02398	vcx:VAA049_672
ko:K02386	vcx:VAA049_673
ko:K03415	vcx:VAA049_674
ko:K00575	vcx:VAA049_675
ko:K02387	vcx:VAA049_676
ko:K02388	vcx:VAA049_677
ko:K02389	vcx:VAA049_678
ko:K02390	vcx:VAA049_679
ko:K02391	vcx:VAA049_680
ko:K03413	vcx:VAA049_1479
ko:K14445	vcx:VAA049_1481
ko:K03406	vcx:VAA049_1482
ko:K01775	vcx:VAA049_1483
ko:K11939	vcx:VAA049_1484
ko:K03790	vcx:VAA049_1486
ko:K03721	vcx:VAA049_1487
ko:K08990	vcx:VAA049_1488
ko:K06918	vcx:VAA049_1489
ko:K01676	vcx:VAA049_1491
ko:K01665	vcx:VAA049_1492
ko:K03837	vcx:VAA049_1494
ko:K01752	vcx:VAA049_1495
ko:K01737	vcx:VAA049_1496
ko:K03406	vcx:VAA049_1497
ko:K01893	vcx:VAA049_1498
ko:K00941	vcx:VAA049_1499
ko:K00832	vcx:VAA049_1501
ko:K07182	vcx:VAA049_1502
ko:K02342	vcx:VAA049_1503
ko:K03406	vcx:VAA049_1504
ko:K03670	vcx:VAA049_1505
ko:K03669	vcx:VAA049_1506
ko:K03478	vcx:VAA049_1508
ko:K01222	vcx:VAA049_1509
ko:K02759	vcx:VAA049_1510
ko:K02761	vcx:VAA049_1511
ko:K02760	vcx:VAA049_1512
ko:K18454	vcx:VAA049_1513
ko:K03451	vcx:VAA049_1514
ko:K02480	vcx:VAA049_1517
ko:K09947	vcx:VAA049_1526
ko:K07338	vcx:VAA049_1527
ko:K07120	vcx:VAA049_2311
ko:K00615	vcx:VAA049_2316
ko:K00616	vcx:VAA049_2317
ko:K01011	vcx:VAA049_2320
ko:K03750	vcx:VAA049_2323
ko:K01495	vcx:VAA049_2324
ko:K12267	vcx:VAA049_2325
ko:K01938	vcx:VAA049_2326
ko:K03282	vcx:VAA049_2327
ko:K06140	vcx:VAA049_2331
ko:K05306	vcx:VAA049_2332
ko:K00823	vcx:VAA049_2333
ko:K03430	vcx:VAA049_2334
ko:K02012	vcx:VAA049_2335
ko:K02010	vcx:VAA049_2336
ko:K02011	vcx:VAA049_2337
ko:K09712	vcx:VAA049_2342
ko:K13893	vcx:VAA049_2345
ko:K13894	vcx:VAA049_2346
ko:K13895	vcx:VAA049_2347
ko:K13896	vcx:VAA049_2348
ko:K06934	vcx:VAA049_2349
ko:K02030	vcx:VAA049_2353
ko:K14761	vcx:VAA049_2354
ko:K11925	vcx:VAA049_2358
ko:K16087	vcx:VAA049_2359
ko:K01919	vcx:VAA049_3133
ko:K07263	vcx:VAA049_3134
ko:K07223	vcx:VAA049_740
ko:K02406	vcx:VAA049_741
ko:K02406	vcx:VAA049_742
ko:K02406	vcx:VAA049_743
ko:K06603	vcx:VAA049_744
ko:K02407	vcx:VAA049_745
ko:K06604	vcx:VAA049_746
ko:K02422	vcx:VAA049_747
ko:K10941	vcx:VAA049_748
ko:K10942	vcx:VAA049_749
ko:K10943	vcx:VAA049_750
ko:K02408	vcx:VAA049_751
ko:K02409	vcx:VAA049_752
ko:K02410	vcx:VAA049_753
ko:K02411	vcx:VAA049_754
ko:K02412	vcx:VAA049_755
ko:K02413	vcx:VAA049_756
ko:K02414	vcx:VAA049_757
ko:K02415	vcx:VAA049_758
ko:K02416	vcx:VAA049_759
ko:K02417	vcx:VAA049_760
ko:K02418	vcx:VAA049_761
ko:K02419	vcx:VAA049_762
ko:K02420	vcx:VAA049_763
ko:K02421	vcx:VAA049_764
ko:K02401	vcx:VAA049_765
ko:K07320	vcx:VAA049_767
ko:K01736	vcx:VAA049_768
ko:K09906	vcx:VAA049_770
ko:K15461	vcx:VAA049_773
ko:K00647	vcx:VAA049_774
ko:K03473	vcx:VAA049_775
ko:K00133	vcx:VAA049_776
ko:K03711	vcx:VAA049_777
ko:K06518	vcx:VAA049_780
ko:K03839	vcx:VAA049_782
ko:K03645	vcx:VAA049_785
ko:K01835	vcx:VAA049_786
ko:K09977	vcx:VAA049_787
ko:K01647	vcx:VAA049_789
ko:K00241	vcx:VAA049_790
ko:K00242	vcx:VAA049_791
ko:K00239	vcx:VAA049_792
ko:K00240	vcx:VAA049_793
ko:K09962	vcx:VAA049_1587
ko:K02887	vcx:VAA049_1595
ko:K02916	vcx:VAA049_1596
ko:K02520	vcx:VAA049_1597
ko:K01868	vcx:VAA049_1598
ko:K03549	vcx:VAA049_2415
ko:K14540	vcx:VAA049_2416
ko:K03281	vcx:VAA049_2418
ko:K03547	vcx:VAA049_2423
ko:K03435	vcx:VAA049_2424
ko:K02768	vcx:VAA049_2425
ko:K11183	vcx:VAA049_2425
ko:K00882	vcx:VAA049_2426
ko:K02769	vcx:VAA049_2427
ko:K02770	vcx:VAA049_2427
ko:K00813	vcx:VAA049_2429
ko:K02899	vcx:VAA049_3239
ko:K02888	vcx:VAA049_3240
ko:K02523	vcx:VAA049_3241
ko:K03758	vcx:VAA049_3242
ko:K00024	vcx:VAA049_3243
ko:K03402	vcx:VAA049_3244
ko:K07080	vcx:VAA049_3245
ko:K09893	vcx:VAA049_3250
ko:K01478	vcx:VAA049_3252
ko:K03568	vcx:VAA049_3253
ko:K08301	vcx:VAA049_3256
ko:K06287	vcx:VAA049_3257
ko:K03571	vcx:VAA049_3258
ko:K03570	vcx:VAA049_3259
ko:K03569	vcx:VAA049_3260
ko:K12287	vcx:VAA049_3261
ko:K12286	vcx:VAA049_3262
ko:K12285	vcx:VAA049_3263
ko:K10927	vcx:VAA049_3264
ko:K10926	vcx:VAA049_3265
ko:K10924	vcx:VAA049_3266
ko:K10925	vcx:VAA049_3267
ko:K12277	vcx:VAA049_3268
ko:K12278	vcx:VAA049_3269
ko:K12284	vcx:VAA049_3272
ko:K12283	vcx:VAA049_3273
ko:K12282	vcx:VAA049_3274
ko:K12281	vcx:VAA049_3275
ko:K12280	vcx:VAA049_3276
ko:K12279	vcx:VAA049_3277
ko:K18765	vcx:VAA049_3278
ko:K03111	vcx:VAA049_3279
ko:K00963	vcx:VAA049_3281
ko:K03701	vcx:VAA049_3282
ko:K13009	vcx:VAA049_3283
ko:K00830	vcx:VAA049_3284
ko:K00928	vcx:VAA049_3285
ko:K00548	vcx:VAA049_3286
ko:K03316	vcx:VAA049_3287
ko:K01572	vcx:VAA049_3137
ko:K01652	vcx:VAA049_414
ko:K01653	vcx:VAA049_415
ko:K00058	vcx:VAA049_416
ko:K01807	vcx:VAA049_417
ko:K01934	vcx:VAA049_418
ko:K09888	vcx:VAA049_419
ko:K09895	vcx:VAA049_420
ko:K03185	vcx:VAA049_421
ko:K18800	vcx:VAA049_422
ko:K06980	vcx:VAA049_424
ko:K09159	vcx:VAA049_425
ko:K00278	vcx:VAA049_427
ko:K03088	vcx:VAA049_428
ko:K03597	vcx:VAA049_429
ko:K03598	vcx:VAA049_430
ko:K03803	vcx:VAA049_431
ko:K03596	vcx:VAA049_432
ko:K03100	vcx:VAA049_433
ko:K03685	vcx:VAA049_434
ko:K03584	vcx:VAA049_436
ko:K03474	vcx:VAA049_437
ko:K00997	vcx:VAA049_438
ko:K07678	vcx:VAA049_441
ko:K03215	vcx:VAA049_443
ko:K00951	vcx:VAA049_444
ko:K04765	vcx:VAA049_445
ko:K01937	vcx:VAA049_446
ko:K01689	vcx:VAA049_447
ko:K00974	vcx:VAA049_448
ko:K02450	vcx:VAA049_449
ko:K02451	vcx:VAA049_450
ko:K07184	vcx:VAA049_451
ko:K03306	vcx:VAA049_452
ko:K07220	vcx:VAA049_453
ko:K18446	vcx:VAA049_454
ko:K03406	vcx:VAA049_456
ko:K00982	vcx:VAA049_457
ko:K03272	vcx:VAA049_458
ko:K12340	vcx:VAA049_459
ko:K01515	vcx:VAA049_460
ko:K09920	vcx:VAA049_461
ko:K03651	vcx:VAA049_462
ko:K07000	vcx:VAA049_463
ko:K02622	vcx:VAA049_464
ko:K02621	vcx:VAA049_465
ko:K09862	vcx:VAA049_466
ko:K18778	vcx:VAA049_467
ko:K00859	vcx:VAA049_468
ko:K00884	vcx:VAA049_1267
ko:K02030	vcx:VAA049_1269
ko:K03750	vcx:VAA049_1270
ko:K03752	vcx:VAA049_1271
ko:K06857	vcx:VAA049_1272
ko:K05773	vcx:VAA049_1273
ko:K05772	vcx:VAA049_1274
ko:K02379	vcx:VAA049_1278
ko:K00123	vcx:VAA049_1284
ko:K00124	vcx:VAA049_1285
ko:K00127	vcx:VAA049_1286
ko:K12410	vcx:VAA049_1288
ko:K09767	vcx:VAA049_1289
ko:K01626	vcx:VAA049_1290
ko:K00243	vcx:VAA049_1293
ko:K11392	vcx:VAA049_1294
ko:K03808	vcx:VAA049_1296
ko:K03607	vcx:VAA049_1299
ko:K03797	vcx:VAA049_1300
ko:K01256	vcx:VAA049_1302
ko:K15371	vcx:VAA049_1303
ko:K00254	vcx:VAA049_1304
ko:K18657	vcx:VAA049_1305
ko:K12297	vcx:VAA049_1306
ko:K15738	vcx:VAA049_1308
ko:K03812	vcx:VAA049_1310
ko:K01716	vcx:VAA049_1311
ko:K04770	vcx:VAA049_1312
ko:K09911	vcx:VAA049_1313
ko:K01442	vcx:VAA049_2111
ko:K13636	vcx:VAA049_2112
ko:K01753	vcx:VAA049_2113
ko:K00426	vcx:VAA049_2116
ko:K00425	vcx:VAA049_2117
ko:K07262	vcx:VAA049_2119
ko:K07275	vcx:VAA049_2122
ko:K03406	vcx:VAA049_2124
ko:K06076	vcx:VAA049_2126
ko:K01176	vcx:VAA049_2127
ko:K16263	vcx:VAA049_2131
ko:K00134	vcx:VAA049_2134
ko:K07397	vcx:VAA049_2136
ko:K00661	vcx:VAA049_2138
ko:K01907	vcx:VAA049_2145
ko:K00500	vcx:VAA049_2146
ko:K01724	vcx:VAA049_2147
ko:K06718	vcx:VAA049_2148
ko:K00836	vcx:VAA049_2149
ko:K06720	vcx:VAA049_2150
ko:K00928	vcx:VAA049_2151
ko:K04077	vcx:VAA049_2153
ko:K04078	vcx:VAA049_2154
ko:K06213	vcx:VAA049_2155
ko:K03601	vcx:VAA049_2932
ko:K01872	vcx:VAA049_2933
ko:K03977	vcx:VAA049_2934
ko:K17713	vcx:VAA049_2935
ko:K01892	vcx:VAA049_2937
ko:K03526	vcx:VAA049_2938
ko:K15539	vcx:VAA049_2939
ko:K06941	vcx:VAA049_2940
ko:K00940	vcx:VAA049_2941
ko:K07751	vcx:VAA049_2942
ko:K04755	vcx:VAA049_2944
ko:K04044	vcx:VAA049_2945
ko:K04082	vcx:VAA049_2946
ko:K13628	vcx:VAA049_2947
ko:K04488	vcx:VAA049_2948
ko:K04487	vcx:VAA049_2949
ko:K13643	vcx:VAA049_2950
ko:K15396	vcx:VAA049_2951
ko:K01092	vcx:VAA049_2952
ko:K03074	vcx:VAA049_2953
ko:K03072	vcx:VAA049_2954
ko:K03210	vcx:VAA049_2955
ko:K00773	vcx:VAA049_2956
ko:K07568	vcx:VAA049_2957
ko:K01637	vcx:VAA049_2959
ko:K01638	vcx:VAA049_2960
ko:K04761	vcx:VAA049_2961
ko:K03386	vcx:VAA049_2962
ko:K06201	vcx:VAA049_2963
ko:K02039	vcx:VAA049_2965
ko:K02036	vcx:VAA049_2966
ko:K02038	vcx:VAA049_2967
ko:K07648	vcx:VAA049_520
ko:K07773	vcx:VAA049_521
ko:K02553	vcx:VAA049_524
ko:K12524	vcx:VAA049_525
ko:K00872	vcx:VAA049_526
ko:K01733	vcx:VAA049_527
ko:K01151	vcx:VAA049_529
ko:K03648	vcx:VAA049_530
ko:K03310	vcx:VAA049_533
ko:K09861	vcx:VAA049_534
ko:K03424	vcx:VAA049_536
ko:K03317	vcx:VAA049_537
ko:K01619	vcx:VAA049_538
ko:K00758	vcx:VAA049_539
ko:K01839	vcx:VAA049_540
ko:K03784	vcx:VAA049_541
ko:K07186	vcx:VAA049_542
ko:K01079	vcx:VAA049_543
ko:K04485	vcx:VAA049_545
ko:K02355	vcx:VAA049_546
ko:K07240	vcx:VAA049_549
ko:K01190	vcx:VAA049_550
ko:K02529	vcx:VAA049_551
ko:K06878	vcx:VAA049_553
ko:K16074	vcx:VAA049_554
ko:K07234	vcx:VAA049_558
ko:K00674	vcx:VAA049_559
ko:K09918	vcx:VAA049_560
ko:K03583	vcx:VAA049_563
