ko:K22213	may:LA62_01510
ko:K09796	may:LA62_11560
ko:K02313	may:LA62_00005
ko:K02338	may:LA62_00010
ko:K03629	may:LA62_00020
ko:K02470	may:LA62_00030
ko:K00033	may:LA62_00015
ko:K00675	may:LA62_00070
ko:K02469	may:LA62_00100
ko:K01664	may:LA62_00170
ko:K03767	may:LA62_00130
ko:K01265	may:LA62_00475
ko:K00265	may:LA62_00460
ko:K00266	may:LA62_00465
ko:K01011	may:LA62_00360
ko:K17883	may:LA62_00315
ko:K08987	may:LA62_00355
ko:K15982	may:LA62_00405
ko:K01077	may:LA62_00440
ko:K03578	may:LA62_00285
ko:K01725	may:LA62_00275
ko:K11921	may:LA62_00280
ko:K07044	may:LA62_00450
ko:K07684	may:LA62_00305
ko:K02480	may:LA62_00310
ko:K02113	may:LA62_07350
ko:K02109	may:LA62_07350
ko:K11741	may:LA62_13390
ko:K14225	may:LA62_08030
ko:K18958	may:LA62_17845
ko:K18955	may:LA62_18330
ko:K14219	may:LA62_01125
ko:K19311	may:LA62_17890
ko:K19746	may:LA62_24055
ko:K22552	may:LA62_06440
ko:K21480	may:LA62_24230
ko:K21689	may:LA62_20735
ko:K21688	may:LA62_05715
ko:K19302	may:LA62_01010
ko:K00897	may:LA62_00825
ko:K10531	may:LA62_09870
ko:K01978	may:LA62_25160
ko:K01977	may:LA62_07390
ko:K14230	may:LA62_17790
ko:K14225	may:LA62_21930
ko:K18701	may:LA62_24690
ko:K01980	may:LA62_07395
ko:K01875	may:LA62_00775
ko:K14952	may:LA62_00790
ko:K00459	may:LA62_00805
ko:K01854	may:LA62_00860
ko:K16650	may:LA62_00865
ko:K14136	may:LA62_00875
ko:K13687	may:LA62_00880
ko:K12428	may:LA62_00905
ko:K12437	may:LA62_00910
ko:K16264	may:LA62_00925
ko:K11386	may:LA62_00935
ko:K11385	may:LA62_00940
ko:K11387	may:LA62_00955
ko:K13686	may:LA62_00960
ko:K16652	may:LA62_00965
ko:K16653	may:LA62_00970
ko:K00375	may:LA62_00995
ko:K16649	may:LA62_01025
ko:K05571	may:LA62_03185
ko:K05570	may:LA62_03190
ko:K05569	may:LA62_03195
ko:K05568	may:LA62_03200
ko:K05567	may:LA62_03205
ko:K05565	may:LA62_03210
ko:K13525	may:LA62_03215
ko:K17103	may:LA62_03220
ko:K01613	may:LA62_03225
ko:K03750	may:LA62_03230
ko:K04077	may:LA62_03280
ko:K03924	may:LA62_03295
ko:K12422	may:LA62_03335
ko:K00389	may:LA62_03385
ko:K02484	may:LA62_03405
ko:K15268	may:LA62_03415
ko:K01945	may:LA62_03440
ko:K01756	may:LA62_03465
ko:K01923	may:LA62_03475
ko:K01354	may:LA62_03480
ko:K11717	may:LA62_01100
ko:K00817	may:LA62_01115
ko:K05845	may:LA62_01310
ko:K05847	may:LA62_01315
ko:K05846	may:LA62_01320
ko:K05846	may:LA62_01325
ko:K09957	may:LA62_01330
ko:K04517	may:LA62_01335
ko:K11991	may:LA62_01345
ko:K00275	may:LA62_04710
ko:K12423	may:LA62_04720
ko:K06994	may:LA62_04730
ko:K01647	may:LA62_04765
ko:K00059	may:LA62_04805
ko:K03710	may:LA62_04810
ko:K07671	may:LA62_04825
ko:K01692	may:LA62_04840
ko:K01647	may:LA62_04705
ko:K00138	may:LA62_04905
ko:K09959	may:LA62_04910
ko:K09861	may:LA62_04920
ko:K06996	may:LA62_04925
ko:K02346	may:LA62_04930
ko:K07107	may:LA62_04955
ko:K06994	may:LA62_04980
ko:K00537	may:LA62_05000
ko:K00773	may:LA62_01385
ko:K01885	may:LA62_01405
ko:K13671	may:LA62_01420
ko:K01857	may:LA62_01470
ko:K01626	may:LA62_01490
ko:K00216	may:LA62_01495
ko:K13063	may:LA62_01505
ko:K03929	may:LA62_01520
ko:K02343	may:LA62_01555
ko:K00574	may:LA62_01560
ko:K01689	may:LA62_01570
ko:K01448	may:LA62_01600
ko:K09747	may:LA62_01605
ko:K06187	may:LA62_01610
ko:K07009	may:LA62_01625
ko:K02342	may:LA62_01655
ko:K07090	may:LA62_05620
ko:K07006	may:LA62_05630
ko:K07044	may:LA62_05645
ko:K02078	may:LA62_08605
ko:K00666	may:LA62_08610
ko:K02066	may:LA62_08615
ko:K02066	may:LA62_08620
ko:K02067	may:LA62_08630
ko:K07044	may:LA62_08655
ko:K01880	may:LA62_08660
ko:K15372	may:LA62_08665
ko:K01129	may:LA62_08685
ko:K06889	may:LA62_08705
ko:K07397	may:LA62_08705
ko:K16786	may:LA62_08720
ko:K16787	may:LA62_08720
ko:K16785	may:LA62_08725
ko:K02027	may:LA62_08730
ko:K02026	may:LA62_08735
ko:K02025	may:LA62_08740
ko:K03568	may:LA62_08745
ko:K01673	may:LA62_13475
