ko:K01212	ppoy:RE92_08210
ko:K21613	ppoy:RE92_01420
ko:K19540	ppoy:RE92_09180
ko:K19551	ppoy:RE92_07300
ko:K22278	ppoy:RE92_21960
ko:K01977	ppoy:RE92_16180
ko:K01977	ppoy:RE92_24560
ko:K01977	ppoy:RE92_10960
ko:K14230	ppoy:RE92_16210
ko:K14230	ppoy:RE92_17970
ko:K14230	ppoy:RE92_09375
ko:K14230	ppoy:RE92_09935
ko:K08153	ppoy:RE92_16270
ko:K03574	ppoy:RE92_05080
ko:K17882	ppoy:RE92_04325
ko:K19548	ppoy:RE92_08905
ko:K01992	ppoy:RE92_22565
ko:K19309	ppoy:RE92_12800
ko:K02032	ppoy:RE92_11810
ko:K01985	ppoy:RE92_07810
ko:K01985	ppoy:RE92_11260
ko:K01985	ppoy:RE92_00360
ko:K01985	ppoy:RE92_09835
ko:K01985	ppoy:RE92_14650
ko:K01985	ppoy:RE92_08595
ko:K01985	ppoy:RE92_09975
ko:K01985	ppoy:RE92_15030
ko:K01985	ppoy:RE92_01220
ko:K01985	ppoy:RE92_11635
ko:K01985	ppoy:RE92_15055
ko:K01985	ppoy:RE92_10955
ko:K01985	ppoy:RE92_09405
ko:K01985	ppoy:RE92_24550
ko:K01985	ppoy:RE92_17945
ko:K01985	ppoy:RE92_24565
ko:K08221	ppoy:RE92_08315
ko:K22579	ppoy:RE92_24140
ko:K22579	ppoy:RE92_24145
ko:K21472	ppoy:RE92_16535
ko:K19576	ppoy:RE92_10365
ko:K07658	ppoy:RE92_13485
ko:K22579	ppoy:RE92_23965
ko:K07149	ppoy:RE92_00155
ko:K14225	ppoy:RE92_04770
ko:K14225	ppoy:RE92_15110
ko:K14225	ppoy:RE92_09320
ko:K14225	ppoy:RE92_09870
ko:K01612	ppoy:RE92_09795
ko:K03892	ppoy:RE92_17435
ko:K03816	ppoy:RE92_03185
ko:K06183	ppoy:RE92_03210
ko:K09763	ppoy:RE92_03225
ko:K07816	ppoy:RE92_03230
ko:K00254	ppoy:RE92_03235
ko:K05337	ppoy:RE92_03245
ko:K02346	ppoy:RE92_03250
ko:K01649	ppoy:RE92_03255
ko:K02342	ppoy:RE92_03265
ko:K07182	ppoy:RE92_03270
ko:K03320	ppoy:RE92_03275
ko:K06973	ppoy:RE92_03290
