ko:K18929	hey:MWE_0206
ko:K18928	hey:MWE_0207
ko:K14225	hey:MWE_1102
ko:K14228	hey:MWE_1104
ko:K16091	hey:MWE_0823
ko:K16091	hey:MWE_1727
ko:K03168	hey:MWE_p22
ko:K03203	hey:MWE_p20
ko:K03204	hey:MWE_p19
ko:K03196	hey:MWE_p14
ko:K03205	hey:MWE_p10
ko:K03496	hey:MWE_p04
ko:K14221	hey:MWE_0009
ko:K14237	hey:MWE_0010
ko:K14224	hey:MWE_0011
ko:K14229	hey:MWE_0012
ko:K14237	hey:MWE_0112
ko:K14220	hey:MWE_0304
ko:K14233	hey:MWE_0462
ko:K14232	hey:MWE_0523
ko:K14230	hey:MWE_0751
ko:K14230	hey:MWE_1051
ko:K14223	hey:MWE_1052
ko:K14222	hey:MWE_1105
ko:K14219	hey:MWE_1210
ko:K14227	hey:MWE_1274
ko:K14218	hey:MWE_1275
ko:K14230	hey:MWE_1374
ko:K14234	hey:MWE_1403
ko:K14236	hey:MWE_1405
ko:K14231	hey:MWE_1712
ko:K03625	hey:MWE_0001
ko:K01627	hey:MWE_0004
ko:K01673	hey:MWE_0005
ko:K01591	hey:MWE_0006
ko:K01918	hey:MWE_0007
ko:K04077	hey:MWE_0014
ko:K04078	hey:MWE_0015
ko:K00566	hey:MWE_0017
ko:K09859	hey:MWE_0022
ko:K03415	hey:MWE_0023
ko:K13747	hey:MWE_0024
ko:K03760	hey:MWE_0026
ko:K01338	hey:MWE_0032
ko:K13626	hey:MWE_0035
ko:K02372	hey:MWE_0036
ko:K00677	hey:MWE_0037
ko:K03544	hey:MWE_0038
ko:K03569	hey:MWE_0039
ko:K03570	hey:MWE_0040
ko:K03179	hey:MWE_0055
ko:K01613	hey:MWE_0058
ko:K03517	hey:MWE_0059
ko:K00767	hey:MWE_0060
ko:K03797	hey:MWE_0068
ko:K03648	hey:MWE_0072
ko:K00134	hey:MWE_0073
ko:K00927	hey:MWE_0074
ko:K03284	hey:MWE_0075
ko:K13821	hey:MWE_0084
ko:K03190	hey:MWE_0104
ko:K03189	hey:MWE_0105
ko:K03188	hey:MWE_0106
ko:K03187	hey:MWE_0107
ko:K01428	hey:MWE_0110
ko:K03101	hey:MWE_0113
ko:K03431	hey:MWE_0114
ko:K02968	hey:MWE_0115
ko:K02835	hey:MWE_0116
ko:K02996	hey:MWE_0125
ko:K02871	hey:MWE_0126
ko:K00116	hey:MWE_0128
ko:K03086	hey:MWE_0130
ko:K02887	hey:MWE_0145
ko:K02916	hey:MWE_0146
ko:K02520	hey:MWE_0147
ko:K01868	hey:MWE_0148
ko:K03168	hey:MWE_0155
ko:K02406	hey:MWE_0157
ko:K01628	hey:MWE_0160
ko:K03687	hey:MWE_0162
ko:K04043	hey:MWE_0163
ko:K07173	hey:MWE_0168
ko:K09765	hey:MWE_0174
ko:K01733	hey:MWE_0176
ko:K00645	hey:MWE_0185
ko:K01752	hey:MWE_0199
ko:K03837	hey:MWE_0200
ko:K01626	hey:MWE_0201
ko:K03564	hey:MWE_0204
ko:K00782	hey:MWE_0205
ko:K03303	hey:MWE_0208
ko:K03303	hey:MWE_0209
ko:K00404	hey:MWE_0213
ko:K00405	hey:MWE_0214
ko:K00407	hey:MWE_0215
ko:K00406	hey:MWE_0216
ko:K00891	hey:MWE_0228
ko:K01698	hey:MWE_0234
ko:K08303	hey:MWE_0241
ko:K02836	hey:MWE_0243
ko:K02421	hey:MWE_0246
ko:K01624	hey:MWE_0250
ko:K02356	hey:MWE_0251
ko:K03820	hey:MWE_0254
ko:K03558	hey:MWE_0255
ko:K04567	hey:MWE_0256
ko:K00600	hey:MWE_0257
ko:K00246	hey:MWE_0267
ko:K01803	hey:MWE_0268
ko:K01939	hey:MWE_0333
ko:K11749	hey:MWE_0336
ko:K03601	hey:MWE_0337
ko:K01465	hey:MWE_0344
ko:K06168	hey:MWE_0347
ko:K09778	hey:MWE_0348
ko:K06940	hey:MWE_0352
ko:K01609	hey:MWE_0354
ko:K01524	hey:MWE_0356
ko:K02841	hey:MWE_0357
ko:K02517	hey:MWE_0358
ko:K00773	hey:MWE_0359
ko:K09944	hey:MWE_0360
ko:K01735	hey:MWE_0361
ko:K01586	hey:MWE_0368
ko:K02397	hey:MWE_0375
ko:K02888	hey:MWE_0376
ko:K02899	hey:MWE_0377
ko:K12368	hey:MWE_0378
ko:K03979	hey:MWE_0383
ko:K01845	hey:MWE_0386
ko:K07226	hey:MWE_0396
ko:K01887	hey:MWE_0397
ko:K03116	hey:MWE_0398
ko:K00942	hey:MWE_0399
ko:K08602	hey:MWE_0535
ko:K06207	hey:MWE_0548
ko:K01159	hey:MWE_0563
ko:K03781	hey:MWE_0565
ko:K01521	hey:MWE_0569
ko:K04651	hey:MWE_0572
ko:K00748	hey:MWE_0574
ko:K03624	hey:MWE_0575
ko:K03525	hey:MWE_0579
ko:K09792	hey:MWE_0580
ko:K03273	hey:MWE_0581
