ko:K03465	bah:BAMEG_0822
ko:K07697	bah:BAMEG_1947
ko:K02033	bah:BAMEG_2204
ko:K07697	bah:BAMEG_3238
ko:K02862	bah:BAMEG_4193
ko:K11535	bah:BAMEG_5351
ko:K07729	bah:BAMEG_5457
ko:K01448	bah:BAMEG_B0048
ko:K05739	bah:BAMEG_3070
ko:K07260	bah:BAMEG_5138
ko:K08153	bah:BAMEG_3722
ko:K19310	bah:BAMEG_0337
ko:K14665	bah:BAMEG_0402
ko:K15770	bah:BAMEG_4270
ko:K06310	bah:BAMEG_3878
ko:K02236	bah:BAMEG_3279
ko:K01961	bah:BAMEG_4443
ko:K07213	bah:BAMEG_0772
ko:K00703	bah:BAMEG_5153
ko:K12263	bah:BAMEG_5469
ko:K02242	bah:BAMEG_5476
ko:K02254	bah:BAMEG_3404
ko:K01259	bah:BAMEG_2379
ko:K02239	bah:BAMEG_4591
ko:K08964	bah:BAMEG_4298
ko:K08965	bah:BAMEG_4296
ko:K08966	bah:BAMEG_4297
ko:K04780	bah:BAMEG_2228
ko:K07105	bah:BAMEG_4698
ko:K07304	bah:BAMEG_2745
ko:K06950	bah:BAMEG_2432
ko:K07220	bah:BAMEG_3120
ko:K03306	bah:BAMEG_3121
ko:K07090	bah:BAMEG_3122
ko:K05916	bah:BAMEG_3125
ko:K03311	bah:BAMEG_3132
ko:K11618	bah:BAMEG_3134
ko:K11617	bah:BAMEG_3135
ko:K11622	bah:BAMEG_3136
ko:K11102	bah:BAMEG_3142
ko:K03308	bah:BAMEG_3144
ko:K00366	bah:BAMEG_3149
ko:K00860	bah:BAMEG_3150
ko:K00390	bah:BAMEG_3152
ko:K01586	bah:BAMEG_3155
ko:K04486	bah:BAMEG_3162
ko:K01523	bah:BAMEG_3163
ko:K01496	bah:BAMEG_3164
ko:K02500	bah:BAMEG_3165
ko:K01814	bah:BAMEG_3166
ko:K02501	bah:BAMEG_3167
ko:K01693	bah:BAMEG_3168
ko:K00013	bah:BAMEG_3169
ko:K00765	bah:BAMEG_3170
ko:K02502	bah:BAMEG_3171
ko:K01704	bah:BAMEG_3172
ko:K06416	bah:BAMEG_2438
