ko:K01990	ssut:TL13_0284
ko:K06148	ssut:TL13_0885
ko:K19689	ssut:TL13_1756
ko:K09022	ssut:TL13_1168
ko:K12574	ssut:TL13_0206
ko:K13677	ssut:TL13_0628
ko:K07260	ssut:TL13_1056
ko:K01791	ssut:TL13_1187
ko:K00537	ssut:TL13_1257
ko:K11753	ssut:TL13_0843
ko:K10716	ssut:TL13_0844
ko:K02037	ssut:TL13_0850
ko:K02038	ssut:TL13_0851
ko:K02036	ssut:TL13_0852
ko:K02036	ssut:TL13_0853
ko:K02039	ssut:TL13_0854
ko:K02968	ssut:TL13_0859
ko:K00756	ssut:TL13_0862
ko:K07335	ssut:TL13_0865
ko:K02057	ssut:TL13_0867
ko:K02057	ssut:TL13_0868
ko:K02469	ssut:TL13_0871
ko:K03630	ssut:TL13_0873
ko:K07010	ssut:TL13_0874
ko:K01926	ssut:TL13_0875
ko:K04487	ssut:TL13_0878
ko:K00948	ssut:TL13_0879
ko:K00858	ssut:TL13_0882
ko:K06180	ssut:TL13_0883
ko:K02040	ssut:TL13_0849
ko:K07089	ssut:TL13_0784
ko:K01972	ssut:TL13_0786
ko:K02110	ssut:TL13_0788
ko:K02108	ssut:TL13_0789
ko:K02109	ssut:TL13_0790
ko:K02113	ssut:TL13_0791
ko:K02111	ssut:TL13_0792
ko:K02115	ssut:TL13_0793
ko:K02112	ssut:TL13_0794
ko:K02114	ssut:TL13_0795
ko:K00790	ssut:TL13_0797
ko:K00874	ssut:TL13_0801
ko:K01195	ssut:TL13_0802
ko:K01625	ssut:TL13_0804
ko:K01812	ssut:TL13_0805
ko:K01686	ssut:TL13_0806
ko:K01207	ssut:TL13_0809
ko:K01207	ssut:TL13_0810
ko:K01889	ssut:TL13_0811
ko:K01890	ssut:TL13_0813
ko:K01495	ssut:TL13_0819
ko:K00796	ssut:TL13_0820
ko:K01633	ssut:TL13_0821
ko:K08987	ssut:TL13_0827
ko:K07088	ssut:TL13_0831
ko:K08986	ssut:TL13_0783
ko:K08316	ssut:TL13_1485
ko:K02358	ssut:TL13_0553
ko:K01803	ssut:TL13_0554
ko:K06885	ssut:TL13_0557
ko:K02836	ssut:TL13_0565
ko:K09812	ssut:TL13_0566
ko:K09811	ssut:TL13_0567
ko:K04759	ssut:TL13_0568
ko:K04758	ssut:TL13_0569
ko:K07042	ssut:TL13_0578
ko:K00859	ssut:TL13_0582
ko:K02913	ssut:TL13_0584
ko:K03075	ssut:TL13_0585
ko:K12573	ssut:TL13_0587
ko:K03664	ssut:TL13_0588
