ko:K13613	bamb:BAPNAU_2047
ko:K01212	bamb:BAPNAU_3952
ko:K08153	bamb:BAPNAU_2722
ko:K19310	bamb:BAPNAU_0749
ko:K15665	bamb:BAPNAU_1899
ko:K21900	bamb:BAPNAU_3679
ko:K02277	bamb:BAPNAU_2275
ko:K15327	bamb:BAPNAU_2056
ko:K06292	bamb:BAPNAU_3490
ko:K22044	bamb:BAPNAU_2359
ko:K06979	bamb:BAPNAU_0229
ko:K19302	bamb:BAPNAU_0750
ko:K19689	bamb:BAPNAU_2338
ko:K03297	bamb:BAPNAU_0414
ko:K05592	bamb:BAPNAU_3819
ko:K11741	bamb:BAPNAU_0547
ko:K18924	bamb:BAPNAU_0548
ko:K19417	bamb:BAPNAU_3349
ko:K18939	bamb:BAPNAU_0239
ko:K18939	bamb:BAPNAU_3413
ko:K18926	bamb:BAPNAU_0238
ko:K14229	bamb:BAPNAU_t010
ko:K14229	bamb:BAPNAU_t084
ko:K14229	bamb:BAPNAU_t036
ko:K14229	bamb:BAPNAU_t092
ko:K01732	bamb:BAPNAU_3827
ko:K19427	bamb:BAPNAU_3338
ko:K07260	bamb:BAPNAU_1804
ko:K03296	bamb:BAPNAU_0638
ko:K15656	bamb:BAPNAU_0312
ko:K00571	bamb:BAPNAU_0909
ko:K18682	bamb:BAPNAU_2071
ko:K09022	bamb:BAPNAU_0048
ko:K07448	bamb:BAPNAU_3887
ko:K07029	bamb:BAPNAU_0639
ko:K00059	bamb:BAPNAU_0915
ko:K02337	bamb:BAPNAU_0923
ko:K00027	bamb:BAPNAU_0924
ko:K01963	bamb:BAPNAU_0925
ko:K01962	bamb:BAPNAU_0926
ko:K00850	bamb:BAPNAU_0927
ko:K00873	bamb:BAPNAU_0928
ko:K07113	bamb:BAPNAU_0929
ko:K01647	bamb:BAPNAU_0935
ko:K00031	bamb:BAPNAU_0936
ko:K00024	bamb:BAPNAU_0937
ko:K07658	bamb:BAPNAU_0938
ko:K07636	bamb:BAPNAU_0939
ko:K10563	bamb:BAPNAU_0941
ko:K00859	bamb:BAPNAU_0943
ko:K00134	bamb:BAPNAU_0947
ko:K01611	bamb:BAPNAU_0948
ko:K07738	bamb:BAPNAU_0949
ko:K03346	bamb:BAPNAU_0950
ko:K11144	bamb:BAPNAU_0951
ko:K01868	bamb:BAPNAU_0954
ko:K07025	bamb:BAPNAU_0955
ko:K07704	bamb:BAPNAU_0956
ko:K05338	bamb:BAPNAU_0958
ko:K05339	bamb:BAPNAU_0959
ko:K02520	bamb:BAPNAU_0960
ko:K02916	bamb:BAPNAU_0961
ko:K02887	bamb:BAPNAU_0962
ko:K07090	bamb:BAPNAU_1756
ko:K17218	bamb:BAPNAU_1759
ko:K06359	bamb:BAPNAU_1762
ko:K07727	bamb:BAPNAU_1768
ko:K01083	bamb:BAPNAU_1780
ko:K06319	bamb:BAPNAU_1782
ko:K06322	bamb:BAPNAU_1784
ko:K01034	bamb:BAPNAU_1789
ko:K01438	bamb:BAPNAU_1791
ko:K06359	bamb:BAPNAU_2545
ko:K07090	bamb:BAPNAU_2547
ko:K09767	bamb:BAPNAU_2693
ko:K16043	bamb:BAPNAU_2698
ko:K02291	bamb:BAPNAU_2702
ko:K01953	bamb:BAPNAU_2703
ko:K06299	bamb:BAPNAU_2708
ko:K06300	bamb:BAPNAU_2709
ko:K06301	bamb:BAPNAU_2710
ko:K06302	bamb:BAPNAU_2711
ko:K06303	bamb:BAPNAU_2712
ko:K06304	bamb:BAPNAU_2713
ko:K03547	bamb:BAPNAU_2716
ko:K00243	bamb:BAPNAU_2692
ko:K16898	bamb:BAPNAU_2717
ko:K16899	bamb:BAPNAU_2718
ko:K07120	bamb:BAPNAU_2723
ko:K03100	bamb:BAPNAU_2726
ko:K03307	bamb:BAPNAU_2730
ko:K05937	bamb:BAPNAU_2735
ko:K02250	bamb:BAPNAU_2737
ko:K16705	bamb:BAPNAU_3469
ko:K00012	bamb:BAPNAU_3470
ko:K01448	bamb:BAPNAU_3474
ko:K00963	bamb:BAPNAU_3479
ko:K09693	bamb:BAPNAU_3480
ko:K05946	bamb:BAPNAU_3485
ko:K01809	bamb:BAPNAU_3488
ko:K07282	bamb:BAPNAU_3499
ko:K06295	bamb:BAPNAU_3502
ko:K02529	bamb:BAPNAU_3505
ko:K00852	bamb:BAPNAU_3506
ko:K06726	bamb:BAPNAU_3507
ko:K10441	bamb:BAPNAU_3508
ko:K10440	bamb:BAPNAU_3509
ko:K10439	bamb:BAPNAU_3510
ko:K01575	bamb:BAPNAU_3513
ko:K01652	bamb:BAPNAU_3514
ko:K01712	bamb:BAPNAU_3835
ko:K01468	bamb:BAPNAU_3836
ko:K01479	bamb:BAPNAU_3837
ko:K00756	bamb:BAPNAU_3839
ko:K11535	bamb:BAPNAU_3840
ko:K01619	bamb:BAPNAU_3841
ko:K05346	bamb:BAPNAU_3842
ko:K02016	bamb:BAPNAU_3849
ko:K11636	bamb:BAPNAU_3851
ko:K11635	bamb:BAPNAU_3852
ko:K14338	bamb:BAPNAU_0670
ko:K01990	bamb:BAPNAU_0673
ko:K01992	bamb:BAPNAU_0674
ko:K00978	bamb:BAPNAU_0676
ko:K01709	bamb:BAPNAU_0677
ko:K08223	bamb:BAPNAU_0681
ko:K03294	bamb:BAPNAU_0682
ko:K15738	bamb:BAPNAU_0687
ko:K01728	bamb:BAPNAU_0696
ko:K03319	bamb:BAPNAU_0697
ko:K11637	bamb:BAPNAU_0706
ko:K00491	bamb:BAPNAU_0711
ko:K01512	bamb:BAPNAU_0712
ko:K01265	bamb:BAPNAU_0717
ko:K02803	bamb:BAPNAU_0718
ko:K02804	bamb:BAPNAU_0718
ko:K00945	bamb:BAPNAU_1482
ko:K02945	bamb:BAPNAU_1483
ko:K02069	bamb:BAPNAU_2558
ko:K01719	bamb:BAPNAU_2559
ko:K00123	bamb:BAPNAU_2564
ko:K01685	bamb:BAPNAU_2548
ko:K00041	bamb:BAPNAU_2549
ko:K07507	bamb:BAPNAU_2568
ko:K02530	bamb:BAPNAU_2573
ko:K01220	bamb:BAPNAU_2574
ko:K02786	bamb:BAPNAU_2575
ko:K02787	bamb:BAPNAU_2576
ko:K02788	bamb:BAPNAU_2576
ko:K00849	bamb:BAPNAU_2577
ko:K01784	bamb:BAPNAU_2578
ko:K00965	bamb:BAPNAU_2579
ko:K01224	bamb:BAPNAU_2580
ko:K03088	bamb:BAPNAU_2589
ko:K00851	bamb:BAPNAU_3323
ko:K03299	bamb:BAPNAU_3324
ko:K00782	bamb:BAPNAU_3325
ko:K05825	bamb:BAPNAU_3328
ko:K03303	bamb:BAPNAU_3330
ko:K03092	bamb:BAPNAU_3331
ko:K03929	bamb:BAPNAU_3350
ko:K13727	bamb:BAPNAU_3355
ko:K01193	bamb:BAPNAU_3363
ko:K02532	bamb:BAPNAU_3364
ko:K03484	bamb:BAPNAU_3365
ko:K01358	bamb:BAPNAU_3366
ko:K01182	bamb:BAPNAU_3368
ko:K00691	bamb:BAPNAU_3369
ko:K02529	bamb:BAPNAU_2550
ko:K01812	bamb:BAPNAU_2552
ko:K03885	bamb:BAPNAU_2553
ko:K02068	bamb:BAPNAU_2557
ko:K08303	bamb:BAPNAU_1117
ko:K08303	bamb:BAPNAU_1118
ko:K02205	bamb:BAPNAU_3692
ko:K00294	bamb:BAPNAU_3694
ko:K00260	bamb:BAPNAU_3695
ko:K01790	bamb:BAPNAU_3701
ko:K00067	bamb:BAPNAU_3702
ko:K00973	bamb:BAPNAU_3704
ko:K07257	bamb:BAPNAU_3706
ko:K06113	bamb:BAPNAU_0966
ko:K01804	bamb:BAPNAU_0967
ko:K00853	bamb:BAPNAU_0968
ko:K00096	bamb:BAPNAU_0971
ko:K17234	bamb:BAPNAU_0972
ko:K17235	bamb:BAPNAU_0973
ko:K17236	bamb:BAPNAU_0974
ko:K01209	bamb:BAPNAU_0975
ko:K06200	bamb:BAPNAU_0976
ko:K11473	bamb:BAPNAU_0977
ko:K02647	bamb:BAPNAU_0979
ko:K06426	bamb:BAPNAU_0980
ko:K03437	bamb:BAPNAU_0981
ko:K01889	bamb:BAPNAU_0982
ko:K01890	bamb:BAPNAU_0983
ko:K03471	bamb:BAPNAU_0984
ko:K09888	bamb:BAPNAU_0985
ko:K02347	bamb:BAPNAU_0987
ko:K07456	bamb:BAPNAU_0988
ko:K08989	bamb:BAPNAU_0989
ko:K01897	bamb:BAPNAU_0991
ko:K13770	bamb:BAPNAU_0992
ko:K13767	bamb:BAPNAU_0993
ko:K03521	bamb:BAPNAU_0994
ko:K03522	bamb:BAPNAU_0995
ko:K01209	bamb:BAPNAU_0996
ko:K03671	bamb:BAPNAU_0997
ko:K03703	bamb:BAPNAU_0998
ko:K00928	bamb:BAPNAU_0999
ko:K00241	bamb:BAPNAU_1001
ko:K00239	bamb:BAPNAU_1002
ko:K00240	bamb:BAPNAU_1003
ko:K07107	bamb:BAPNAU_1004
ko:K01994	bamb:BAPNAU_1005
ko:K01776	bamb:BAPNAU_1007
ko:K06298	bamb:BAPNAU_1008
ko:K00989	bamb:BAPNAU_1009
ko:K02428	bamb:BAPNAU_1010
ko:K07095	bamb:BAPNAU_1011
ko:K01153	bamb:BAPNAU_1013
ko:K03427	bamb:BAPNAU_1014
ko:K03784	bamb:BAPNAU_1803
ko:K03797	bamb:BAPNAU_1807
ko:K03489	bamb:BAPNAU_1808
ko:K01223	bamb:BAPNAU_1809
ko:K01201	bamb:BAPNAU_1810
ko:K03307	bamb:BAPNAU_1811
ko:K15975	bamb:BAPNAU_1813
ko:K06999	bamb:BAPNAU_1814
ko:K05786	bamb:BAPNAU_1821
ko:K03327	bamb:BAPNAU_1826
ko:K00164	bamb:BAPNAU_1833
ko:K00658	bamb:BAPNAU_1834
ko:K03453	bamb:BAPNAU_1836
ko:K03308	bamb:BAPNAU_1837
ko:K04564	bamb:BAPNAU_1838
ko:K00876	bamb:BAPNAU_1119
ko:K03624	bamb:BAPNAU_1120
ko:K17462	bamb:BAPNAU_1124
ko:K01243	bamb:BAPNAU_1125
ko:K17216	bamb:BAPNAU_1126
ko:K17217	bamb:BAPNAU_1127
ko:K00123	bamb:BAPNAU_1130
ko:K14338	bamb:BAPNAU_1137
ko:K08224	bamb:BAPNAU_1138
ko:K03976	bamb:BAPNAU_1140
ko:K02768	bamb:BAPNAU_1143
ko:K02769	bamb:BAPNAU_1143
ko:K02770	bamb:BAPNAU_1143
ko:K01809	bamb:BAPNAU_1144
ko:K07148	bamb:BAPNAU_1165
ko:K13256	bamb:BAPNAU_1168
ko:K02621	bamb:BAPNAU_1951
ko:K02622	bamb:BAPNAU_1952
ko:K08591	bamb:BAPNAU_1954
ko:K07107	bamb:BAPNAU_1957
ko:K06434	bamb:BAPNAU_1958
ko:K06431	bamb:BAPNAU_1959
ko:K01681	bamb:BAPNAU_1962
ko:K06432	bamb:BAPNAU_1963
ko:K06433	bamb:BAPNAU_1964
ko:K06335	bamb:BAPNAU_1965
ko:K03413	bamb:BAPNAU_1968
ko:K06196	bamb:BAPNAU_1969
ko:K09976	bamb:BAPNAU_1971
ko:K00615	bamb:BAPNAU_1973
ko:K01356	bamb:BAPNAU_1977
ko:K03523	bamb:BAPNAU_2742
ko:K00626	bamb:BAPNAU_2744
ko:K02016	bamb:BAPNAU_2746
ko:K01897	bamb:BAPNAU_2752
ko:K03800	bamb:BAPNAU_2754
ko:K07010	bamb:BAPNAU_0521
ko:K00005	bamb:BAPNAU_0525
ko:K07552	bamb:BAPNAU_0526
ko:K09458	bamb:BAPNAU_0527
ko:K07090	bamb:BAPNAU_0529
ko:K00657	bamb:BAPNAU_0530
ko:K07246	bamb:BAPNAU_0535
ko:K03492	bamb:BAPNAU_0544
ko:K03449	bamb:BAPNAU_0546
ko:K07217	bamb:BAPNAU_0551
ko:K00946	bamb:BAPNAU_0555
ko:K06925	bamb:BAPNAU_0556
ko:K03789	bamb:BAPNAU_0558
ko:K01409	bamb:BAPNAU_0559
ko:K06158	bamb:BAPNAU_0560
ko:K03637	bamb:BAPNAU_0561
ko:K01926	bamb:BAPNAU_0562
ko:K03116	bamb:BAPNAU_0563
ko:K03118	bamb:BAPNAU_0564
ko:K06399	bamb:BAPNAU_1327
ko:K07699	bamb:BAPNAU_1328
ko:K13993	bamb:BAPNAU_1846
ko:K01118	bamb:BAPNAU_1850
ko:K01760	bamb:BAPNAU_2600
ko:K01990	bamb:BAPNAU_2606
ko:K03657	bamb:BAPNAU_2610
ko:K06341	bamb:BAPNAU_2617
ko:K06342	bamb:BAPNAU_2618
ko:K00208	bamb:BAPNAU_2622
ko:K00941	bamb:BAPNAU_2623
ko:K03149	bamb:BAPNAU_2625
ko:K03154	bamb:BAPNAU_2626
ko:K03153	bamb:BAPNAU_2627
ko:K10810	bamb:BAPNAU_2628
ko:K03707	bamb:BAPNAU_2629
ko:K03455	bamb:BAPNAU_2630
ko:K06180	bamb:BAPNAU_2632
ko:K00858	bamb:BAPNAU_2633
ko:K07816	bamb:BAPNAU_2634
ko:K06886	bamb:BAPNAU_2638
ko:K08602	bamb:BAPNAU_2641
ko:K15772	bamb:BAPNAU_3372
ko:K15771	bamb:BAPNAU_3373
ko:K15770	bamb:BAPNAU_3374
ko:K06966	bamb:BAPNAU_3377
ko:K03321	bamb:BAPNAU_3379
ko:K01673	bamb:BAPNAU_3380
ko:K00090	bamb:BAPNAU_3382
ko:K00675	bamb:BAPNAU_3384
ko:K11184	bamb:BAPNAU_3385
ko:K09762	bamb:BAPNAU_3386
ko:K06958	bamb:BAPNAU_3388
ko:K03574	bamb:BAPNAU_3389
ko:K00384	bamb:BAPNAU_3390
ko:K11755	bamb:BAPNAU_3397
ko:K02500	bamb:BAPNAU_3398
ko:K01814	bamb:BAPNAU_3399
ko:K02501	bamb:BAPNAU_3400
ko:K01693	bamb:BAPNAU_3401
ko:K00013	bamb:BAPNAU_3402
ko:K00765	bamb:BAPNAU_3403
ko:K02502	bamb:BAPNAU_3404
ko:K06019	bamb:BAPNAU_3407
ko:K13292	bamb:BAPNAU_3408
ko:K06023	bamb:BAPNAU_3409
ko:K01443	bamb:BAPNAU_3410
ko:K02564	bamb:BAPNAU_3411
ko:K03710	bamb:BAPNAU_3412
ko:K08972	bamb:BAPNAU_3415
ko:K00648	bamb:BAPNAU_2758
ko:K01421	bamb:BAPNAU_2759
ko:K00231	bamb:BAPNAU_2762
ko:K01772	bamb:BAPNAU_2763
ko:K01599	bamb:BAPNAU_2764
ko:K01992	bamb:BAPNAU_2770
ko:K11102	bamb:BAPNAU_2756
ko:K01990	bamb:BAPNAU_2771
ko:K02503	bamb:BAPNAU_2772
ko:K00831	bamb:BAPNAU_2773
ko:K09682	bamb:BAPNAU_2777
ko:K07533	bamb:BAPNAU_2783
ko:K03698	bamb:BAPNAU_2785
ko:K01992	bamb:BAPNAU_2788
ko:K01990	bamb:BAPNAU_2789
ko:K03893	bamb:BAPNAU_3516
ko:K06325	bamb:BAPNAU_3518
ko:K06330	bamb:BAPNAU_3519
ko:K07240	bamb:BAPNAU_3525
ko:K07240	bamb:BAPNAU_3526
ko:K05982	bamb:BAPNAU_3530
ko:K00012	bamb:BAPNAU_3540
ko:K01104	bamb:BAPNAU_3541
ko:K03282	bamb:BAPNAU_3554
ko:K02372	bamb:BAPNAU_3555
ko:K02392	bamb:BAPNAU_3557
ko:K02392	bamb:BAPNAU_3558
ko:K03569	bamb:BAPNAU_3559
ko:K06283	bamb:BAPNAU_3560
ko:K03457	bamb:BAPNAU_3563
ko:K13653	bamb:BAPNAU_1171
ko:K03091	bamb:BAPNAU_1174
ko:K06371	bamb:BAPNAU_1180
ko:K07015	bamb:BAPNAU_1181
ko:K06948	bamb:BAPNAU_1182
ko:K00014	bamb:BAPNAU_1183
ko:K07574	bamb:BAPNAU_1184
ko:K00969	bamb:BAPNAU_1185
ko:K09710	bamb:BAPNAU_1187
ko:K02239	bamb:BAPNAU_1189
ko:K02237	bamb:BAPNAU_1190
ko:K02238	bamb:BAPNAU_1192
ko:K02340	bamb:BAPNAU_1194
ko:K02968	bamb:BAPNAU_1195
ko:K06012	bamb:BAPNAU_1196
ko:K06385	bamb:BAPNAU_1197
ko:K01775	bamb:BAPNAU_1329
ko:K01448	bamb:BAPNAU_1338
ko:K01126	bamb:BAPNAU_1339
ko:K00626	bamb:BAPNAU_1340
ko:K00074	bamb:BAPNAU_1341
ko:K01647	bamb:BAPNAU_1343
ko:K01720	bamb:BAPNAU_1344
ko:K03417	bamb:BAPNAU_1345
ko:K00263	bamb:BAPNAU_1349
ko:K00929	bamb:BAPNAU_1350
ko:K00382	bamb:BAPNAU_1351
ko:K00166	bamb:BAPNAU_1352
ko:K00167	bamb:BAPNAU_1353
ko:K09699	bamb:BAPNAU_1354
ko:K02030	bamb:BAPNAU_1357
ko:K02029	bamb:BAPNAU_1358
ko:K02028	bamb:BAPNAU_1359
ko:K05606	bamb:BAPNAU_1362
ko:K01966	bamb:BAPNAU_1363
ko:K03217	bamb:BAPNAU_1365
ko:K02346	bamb:BAPNAU_1367
ko:K00033	bamb:BAPNAU_1368
ko:K00036	bamb:BAPNAU_1369
ko:K00784	bamb:BAPNAU_1370
ko:K02913	bamb:BAPNAU_1371
ko:K02388	bamb:BAPNAU_2149
ko:K02387	bamb:BAPNAU_2150
ko:K03706	bamb:BAPNAU_2151
ko:K03667	bamb:BAPNAU_2152
ko:K01419	bamb:BAPNAU_2153
ko:K03733	bamb:BAPNAU_2154
ko:K04094	bamb:BAPNAU_2155
ko:K03168	bamb:BAPNAU_2156
ko:K04096	bamb:BAPNAU_2157
ko:K01902	bamb:BAPNAU_2158
ko:K01903	bamb:BAPNAU_2159
ko:K04061	bamb:BAPNAU_2160
ko:K03470	bamb:BAPNAU_2162
ko:K14540	bamb:BAPNAU_2163
ko:K02884	bamb:BAPNAU_2164
ko:K00554	bamb:BAPNAU_2165
ko:K02860	bamb:BAPNAU_2166
ko:K06960	bamb:BAPNAU_2168
ko:K02959	bamb:BAPNAU_2169
