ko:K18929	cjx:BN867_00670
ko:K06921	cjx:BN867_07930
ko:K18928	cjx:BN867_00680
ko:K18139	cjx:BN867_03390
ko:K18682	cjx:BN867_12030
ko:K02031	cjx:BN867_15460
ko:K11782	cjx:BN867_12780
ko:K12574	cjx:BN867_16820
ko:K07216	cjx:BN867_00630
ko:K07216	cjx:BN867_00640
ko:K07216	cjx:BN867_00650
ko:K07216	cjx:BN867_09630
ko:K07216	cjx:BN867_09640
ko:K01977	cjx:SSU_rRNA-1
ko:K01977	cjx:SSU_rRNA-3
ko:K01977	cjx:SSU_rRNA-2
ko:K08173	cjx:BN867_03140
ko:K11928	cjx:BN867_14710
ko:K05540	cjx:BN867_01140
ko:K02027	cjx:BN867_16570
ko:K02026	cjx:BN867_16550
ko:K07318	cjx:BN867_01920
ko:K01497	cjx:BN867_09840
ko:K00290	cjx:BN867_01610
ko:K01985	cjx:5S_RNA-1
ko:K01985	cjx:5S_RNA-3
ko:K01985	cjx:5S_RNA-2
ko:K02313	cjx:BN867_00010
ko:K02338	cjx:BN867_00020
ko:K02470	cjx:BN867_00030
ko:K07084	cjx:BN867_00060
ko:K00266	cjx:BN867_00080
ko:K03470	cjx:BN867_00090
ko:K02237	cjx:BN867_00100
ko:K01687	cjx:BN867_00120
ko:K08996	cjx:BN867_00130
ko:K07023	cjx:BN867_00140
ko:K06920	cjx:BN867_00150
ko:K03406	cjx:BN867_00180
ko:K00428	cjx:BN867_00190
ko:K06180	cjx:BN867_00210
ko:K01756	cjx:BN867_00220
ko:K06956	cjx:BN867_00240
ko:K01937	cjx:BN867_00260
ko:K07462	cjx:BN867_00270
ko:K01424	cjx:BN867_00280
ko:K03550	cjx:BN867_08000
ko:K03980	cjx:BN867_08020
ko:K01883	cjx:BN867_08030
ko:K11085	cjx:BN867_08040
ko:K01714	cjx:BN867_08070
ko:K00076	cjx:BN867_08080
ko:K01916	cjx:BN867_08110
ko:K00912	cjx:BN867_08120
ko:K01733	cjx:BN867_08130
ko:K00979	cjx:BN867_08140
ko:K02030	cjx:BN867_08160
ko:K02419	cjx:BN867_08170
ko:K04042	cjx:BN867_08180
ko:K13038	cjx:BN867_08190
ko:K00806	cjx:BN867_08210
ko:K02654	cjx:BN867_08220
ko:K07091	cjx:BN867_08230
ko:K06173	cjx:BN867_08240
ko:K01754	cjx:BN867_08250
ko:K06929	cjx:BN867_08260
ko:K09943	cjx:BN867_08270
ko:K01682	cjx:BN867_08320
ko:K00567	cjx:BN867_08330
ko:K01772	cjx:BN867_08340
ko:K01874	cjx:BN867_08350
ko:K03841	cjx:BN867_08370
ko:K03753	cjx:BN867_08380
ko:K08309	cjx:BN867_08390
ko:K02221	cjx:BN867_08400
ko:K01885	cjx:BN867_08410
ko:K07098	cjx:BN867_08420
ko:K01613	cjx:BN867_08430
ko:K04061	cjx:BN867_08440
ko:K01845	cjx:BN867_08490
ko:K02835	cjx:BN867_15810
ko:K07226	cjx:BN867_15820
ko:K02014	cjx:BN867_15830
ko:K02015	cjx:BN867_15840
ko:K02013	cjx:BN867_15850
ko:K02016	cjx:BN867_15860
ko:K03575	cjx:BN867_15890
ko:K11752	cjx:BN867_15910
ko:K01752	cjx:BN867_15930
ko:K03837	cjx:BN867_15940
ko:K03561	cjx:BN867_15970
ko:K03559	cjx:BN867_15980
ko:K03832	cjx:BN867_15990
ko:K00566	cjx:BN867_16020
ko:K01736	cjx:BN867_16030
ko:K03685	cjx:BN867_16040
ko:K03469	cjx:BN867_16050
ko:K01928	cjx:BN867_16100
ko:K09747	cjx:BN867_16110
ko:K00795	cjx:BN867_16130
ko:K00615	cjx:BN867_16140
ko:K02066	cjx:BN867_16150
ko:K02065	cjx:BN867_16160
