ko:K01006	fts:F92_00730
ko:K14742	fts:F92_04335
ko:K18930	fts:F92_05370
ko:K03316	fts:F92_00030
ko:K07464	fts:F92_07310
ko:K03602	fts:F92_04155
ko:K01840	fts:F92_03325
ko:K18552	fts:F92_10320
ko:K19416	fts:F92_05055
ko:K18930	fts:F92_05365
ko:K19561	fts:F92_07025
ko:K01990	fts:F92_08385
ko:K02428	fts:F92_02990
ko:K03177	fts:F92_03025
ko:K01784	fts:F92_03240
ko:K00639	fts:F92_08430
ko:K10563	fts:F92_08540
ko:K01424	fts:F92_08650
ko:K06201	fts:F92_08680
ko:K00567	fts:F92_01490
ko:K03316	fts:F92_01640
ko:K03499	fts:F92_06840
ko:K00383	fts:F92_06925
ko:K03342	fts:F92_07005
ko:K00652	fts:F92_07060
ko:K00845	fts:F92_07080
ko:K03469	fts:F92_04710
ko:K01424	fts:F92_04715
ko:K01262	fts:F92_04845
ko:K01104	fts:F92_04990
ko:K06179	fts:F92_09990
ko:K09806	fts:F92_10060
ko:K03711	fts:F92_10135
ko:K02433	fts:F92_10185
ko:K02050	fts:F92_00810
ko:K02049	fts:F92_00815
ko:K01092	fts:F92_06265
ko:K00059	fts:F92_06300
ko:K07305	fts:F92_02050
ko:K00845	fts:F92_02185
ko:K01488	fts:F92_07740
ko:K03769	fts:F92_07775
ko:K01719	fts:F92_03585
ko:K03548	fts:F92_08770
ko:K01525	fts:F92_08825
ko:K01424	fts:F92_08855
ko:K04774	fts:F92_08880
ko:K11179	fts:F92_08890
ko:K00568	fts:F92_09070
ko:K07323	fts:F92_02805
ko:K14229	fts:F92_t10984
ko:K02427	fts:F92_02335
ko:K01424	fts:F92_07910
ko:K07025	fts:F92_07925
ko:K01784	fts:F92_07970
ko:K14230	fts:F92_t10988
ko:K09966	fts:F92_08085
ko:K03784	fts:F92_08135
ko:K14219	fts:F92_t10990
ko:K14235	fts:F92_t10992
ko:K14234	fts:F92_t10994
ko:K03616	fts:F92_05080
ko:K03455	fts:F92_05185
ko:K00101	fts:F92_05350
ko:K07052	fts:F92_10515
ko:K07122	fts:F92_02800
ko:K14234	fts:F92_t11006
ko:K03560	fts:F92_01795
ko:K07126	fts:F92_07240
ko:K13628	fts:F92_07370
ko:K04518	fts:F92_07390
ko:K01916	fts:F92_03755
ko:K02067	fts:F92_03810
ko:K15583	fts:F92_09135
ko:K03317	fts:F92_09205
ko:K01619	fts:F92_09210
ko:K11085	fts:F92_09235
ko:K00974	fts:F92_09240
ko:K00569	fts:F92_00190
ko:K04517	fts:F92_00280
ko:K03386	fts:F92_05505
ko:K02342	fts:F92_05545
ko:K02238	fts:F92_10610
ko:K02075	fts:F92_10710
ko:K02074	fts:F92_10715
ko:K02077	fts:F92_10720
ko:K07304	fts:F92_10875
ko:K00058	fts:F92_03920
ko:K01934	fts:F92_03975
ko:K01759	fts:F92_04015
ko:K02446	fts:F92_09425
ko:K03498	fts:F92_09465
ko:K04763	fts:F92_09610
ko:K01409	fts:F92_09645
ko:K07114	fts:F92_01135
ko:K07114	fts:F92_01140
ko:K07114	fts:F92_01145
ko:K00101	fts:F92_01190
ko:K01679	fts:F92_01205
ko:K01885	fts:F92_01210
ko:K02806	fts:F92_06530
ko:K02533	fts:F92_06535
ko:K03593	fts:F92_06680
ko:K00700	fts:F92_02620
ko:K01835	fts:F92_02625
ko:K01585	fts:F92_02720
ko:K02067	fts:F92_02810
ko:K01156	fts:F92_02885
ko:K00949	fts:F92_08205
ko:K00088	fts:F92_08210
ko:K01489	fts:F92_08260
ko:K16013	fts:F92_08295
ko:K16012	fts:F92_08300
ko:K05524	fts:F92_00500
ko:K07258	fts:F92_05860
ko:K01507	fts:F92_05865
ko:K00616	fts:F92_06115
ko:K00939	fts:F92_04380
ko:K02665	fts:F92_04400
