ko:K10563	vco:VC0395_A2602
ko:K07791	vco:VC0395_A2271
ko:K02475	vco:VC0395_A1209
ko:K02476	vco:VC0395_A1210
ko:K02412	vco:VC0395_A1714
ko:K03406	vco:VC0395_A1741
ko:K03637	vco:VC0395_A0546
ko:K10961	vco:VC0395_A0350
ko:K10962	vco:VC0395_A0355
ko:K10963	vco:VC0395_A0357
ko:K10964	vco:VC0395_A0359
ko:K10965	vco:VC0395_A0360
ko:K09903	vco:VC0395_A1849
ko:K02356	vco:VC0395_A2234
ko:K05788	vco:VC0395_A1504
ko:K03575	vco:VC0395_A0003
ko:K01962	vco:VC0395_A1835
ko:K05787	vco:VC0395_A2650
ko:K03530	vco:VC0395_A1509
ko:K04764	vco:VC0395_A0846
ko:K02567	vco:VC0395_0617
ko:K01515	vco:VC0395_0705
ko:K02014	vco:VC0395_A2662
ko:K02478	vco:VC0395_A0225
ko:K01589	vco:VC0395_A2468
ko:K08722	vco:VC0395_A1564
ko:K05810	vco:VC0395_A0239
ko:K03495	vco:VC0395_A2517
ko:K07088	vco:VC0395_0109
ko:K05590	vco:VC0395_A0191
ko:K01665	vco:VC0395_A0921
ko:K04564	vco:VC0395_A1632
ko:K07462	vco:VC0395_A1993
ko:K03594	vco:VC0395_A2776
ko:K02500	vco:VC0395_A0708
ko:K03665	vco:VC0395_A2759
ko:K02518	vco:VC0395_A1338
ko:K03631	vco:VC0395_A0378
ko:K03111	vco:VC0395_A2815
ko:K02501	vco:VC0395_A0706
ko:K02342	vco:VC0395_A0909
ko:K03746	vco:VC0395_A0700
ko:K02884	vco:VC0395_A0098
ko:K03658	vco:VC0395_0656
ko:K01664	vco:VC0395_A2196
ko:K02990	vco:VC0395_A2777
ko:K02939	vco:VC0395_A2780
ko:K00954	vco:VC0395_A2603
ko:K03557	vco:VC0395_A2685
ko:K03654	vco:VC0395_A2576
ko:K02946	vco:VC0395_A2175
ko:K03574	vco:VC0395_A1971
ko:K02316	vco:VC0395_A0045
ko:K02892	vco:VC0395_A2172
ko:K03656	vco:VC0395_A2555
ko:K02454	vco:VC0395_A2305
ko:K02453	vco:VC0395_A2306
ko:K02838	vco:VC0395_A1848
ko:K02904	vco:VC0395_A2166
ko:K00266	vco:VC0395_A1955
ko:K02477	vco:VC0395_A0224
ko:K02760	vco:VC0395_A0900
ko:K00610	vco:VC0395_A2093
ko:K07678	vco:VC0395_A2032
ko:K02160	vco:VC0395_A2689
ko:K00133	vco:VC0395_A1691
ko:K01443	vco:VC0395_A0515
ko:K01886	vco:VC0395_A0517
ko:K00764	vco:VC0395_A0525
ko:K01759	vco:VC0395_A0531
ko:K00757	vco:VC0395_A0552
ko:K00876	vco:VC0395_A0556
ko:K01104	vco:VC0395_A0559
ko:K00759	vco:VC0395_A0571
ko:K00134	vco:VC0395_A0587
ko:K00925	vco:VC0395_A0616
ko:K01875	vco:VC0395_A0628
ko:K00833	vco:VC0395_A0629
ko:K01012	vco:VC0395_A0630
ko:K00652	vco:VC0395_A0631
