ko:K18137	abaz:P795_6965
ko:K03602	abaz:P795_11365
ko:K00799	abaz:P795_0080
ko:K02313	abaz:P795_0005
ko:K02338	abaz:P795_0010
ko:K15536	abaz:P795_0025
ko:K03629	abaz:P795_0015
ko:K02470	abaz:P795_0020
ko:K06158	abaz:P795_0035
ko:K03308	abaz:P795_0095
ko:K01866	abaz:P795_0070
ko:K09001	abaz:P795_0065
ko:K15724	abaz:P795_0055
ko:K20319	abaz:P795_5090
ko:K18138	abaz:P795_3460
ko:K03297	abaz:P795_2925
ko:K03297	abaz:P795_5415
ko:K03297	abaz:P795_7955
ko:K18145	abaz:P795_8285
ko:K18146	abaz:P795_8290
ko:K21029	abaz:P795_6230
ko:K19302	abaz:P795_17245
ko:K16238	abaz:P795_6440
ko:K07278	abaz:P795_6295
ko:K11741	abaz:P795_14160
ko:K08151	abaz:P795_18075
ko:K03327	abaz:P795_0300
ko:K01990	abaz:P795_8905
ko:K16235	abaz:P795_1360
ko:K22617	abaz:P795_2445
ko:K19611	abaz:P795_12805
ko:K11209	abaz:P795_14455
ko:K00821	abaz:P795_7205
ko:K01708	abaz:P795_11840
ko:K00154	abaz:P795_11865
ko:K11737	abaz:P795_11900
ko:K00673	abaz:P795_11905
ko:K00840	abaz:P795_11910
ko:K01755	abaz:P795_15955
ko:K02039	abaz:P795_15965
ko:K12340	abaz:P795_15970
ko:K03298	abaz:P795_15975
ko:K03147	abaz:P795_15990
ko:K01515	abaz:P795_15995
ko:K03651	abaz:P795_16000
ko:K06204	abaz:P795_16005
ko:K01894	abaz:P795_16010
ko:K03588	abaz:P795_16015
ko:K01925	abaz:P795_16020
ko:K04759	abaz:P795_16030
ko:K04758	abaz:P795_16035
ko:K04763	abaz:P795_16040
ko:K03981	abaz:P795_16045
ko:K00003	abaz:P795_16050
ko:K01733	abaz:P795_16055
ko:K07262	abaz:P795_16060
ko:K02668	abaz:P795_16070
ko:K02667	abaz:P795_16075
ko:K03797	abaz:P795_16080
ko:K15633	abaz:P795_16085
ko:K11720	abaz:P795_16090
ko:K07091	abaz:P795_16095
ko:K01255	abaz:P795_16100
ko:K02339	abaz:P795_16105
ko:K00793	abaz:P795_16120
ko:K07318	abaz:P795_16125
ko:K11752	abaz:P795_16130
ko:K07738	abaz:P795_16135
ko:K03320	abaz:P795_16140
ko:K04752	abaz:P795_16145
ko:K09806	abaz:P795_16150
ko:K07391	abaz:P795_16155
ko:K00375	abaz:P795_16160
ko:K01628	abaz:P795_16165
ko:K01714	abaz:P795_16170
ko:K01507	abaz:P795_16190
ko:K01897	abaz:P795_16205
ko:K02621	abaz:P795_16210
ko:K08369	abaz:P795_16215
ko:K09858	abaz:P795_16225
ko:K00299	abaz:P795_0900
ko:K14393	abaz:P795_0925
ko:K02168	abaz:P795_0935
ko:K03701	abaz:P795_0950
ko:K16137	abaz:P795_0955
ko:K08987	abaz:P795_0965
ko:K02442	abaz:P795_0970
ko:K03707	abaz:P795_0975
ko:K09799	abaz:P795_0980
ko:K11735	abaz:P795_1010
ko:K00375	abaz:P795_1015
ko:K00823	abaz:P795_1020
ko:K00135	abaz:P795_1025
ko:K06911	abaz:P795_1040
ko:K08224	abaz:P795_1080
ko:K03549	abaz:P795_1160
ko:K01173	abaz:P795_1170
ko:K06879	abaz:P795_5335
ko:K01992	abaz:P795_5340
ko:K01990	abaz:P795_5345
ko:K10857	abaz:P795_5355
ko:K00600	abaz:P795_5365
ko:K10016	abaz:P795_5400
ko:K10015	abaz:P795_5405
ko:K10017	abaz:P795_5410
ko:K08303	abaz:P795_5425
ko:K00528	abaz:P795_5440
ko:K02454	abaz:P795_5460
ko:K03574	abaz:P795_5485
ko:K05365	abaz:P795_5495
ko:K00858	abaz:P795_5500
ko:K09916	abaz:P795_5505
ko:K11103	abaz:P795_5515
ko:K07017	abaz:P795_5525
ko:K14170	abaz:P795_5530
ko:K01270	abaz:P795_5545
ko:K01974	abaz:P795_5550
ko:K14415	abaz:P795_5565
ko:K00784	abaz:P795_5570
ko:K14414	abaz:P795_5575
ko:K07018	abaz:P795_5580
ko:K09861	abaz:P795_5585
ko:K03149	abaz:P795_5595
ko:K03154	abaz:P795_5600
ko:K03089	abaz:P795_5610
ko:K10002	abaz:P795_9750
ko:K10003	abaz:P795_9755
ko:K10001	abaz:P795_9760
ko:K00799	abaz:P795_9765
ko:K02073	abaz:P795_9785
ko:K02073	abaz:P795_9790
ko:K02071	abaz:P795_9795
ko:K02072	abaz:P795_9800
ko:K06942	abaz:P795_9805
ko:K08289	abaz:P795_9845
ko:K00990	abaz:P795_9850
ko:K14267	abaz:P795_9855
ko:K00432	abaz:P795_9870
ko:K07305	abaz:P795_9875
ko:K14260	abaz:P795_9880
ko:K05597	abaz:P795_9890
ko:K02337	abaz:P795_9895
ko:K15396	abaz:P795_9900
ko:K00640	abaz:P795_9905
ko:K07240	abaz:P795_9920
ko:K07240	abaz:P795_9925
ko:K03325	abaz:P795_9935
ko:K00537	abaz:P795_9945
ko:K03457	abaz:P795_9975
ko:K16841	abaz:P795_9980
ko:K03119	abaz:P795_9985
ko:K15552	abaz:P795_9990
ko:K10831	abaz:P795_9995
ko:K15551	abaz:P795_10000
ko:K00252	abaz:P795_14125
ko:K01488	abaz:P795_14140
ko:K03517	abaz:P795_14145
ko:K00620	abaz:P795_14150
ko:K00567	abaz:P795_14155
ko:K07233	abaz:P795_14170
ko:K01783	abaz:P795_14190
ko:K09956	abaz:P795_14195
ko:K01070	abaz:P795_14200
ko:K15984	abaz:P795_14210
ko:K01665	abaz:P795_14265
ko:K00817	abaz:P795_14270
ko:K00013	abaz:P795_14275
ko:K00765	abaz:P795_14280
ko:K00790	abaz:P795_14285
ko:K05808	abaz:P795_14295
ko:K03092	abaz:P795_14300
ko:K04754	abaz:P795_14305
ko:K02454	abaz:P795_14340
ko:K02665	abaz:P795_1445
ko:K02666	abaz:P795_1450
ko:K00891	abaz:P795_1455
ko:K01735	abaz:P795_1460
ko:K00265	abaz:P795_1470
ko:K00266	abaz:P795_1475
ko:K07044	abaz:P795_1480
ko:K03744	abaz:P795_1485
ko:K06872	abaz:P795_1490
ko:K03594	abaz:P795_1520
ko:K02192	abaz:P795_1525
ko:K03060	abaz:P795_1540
ko:K00942	abaz:P795_1545
ko:K03527	abaz:P795_1550
ko:K08084	abaz:P795_1555
ko:K02671	abaz:P795_1560
ko:K02672	abaz:P795_1565
ko:K02674	abaz:P795_1575
ko:K02655	abaz:P795_1580
ko:K02655	abaz:P795_1585
ko:K02959	abaz:P795_1590
ko:K02860	abaz:P795_1595
ko:K00554	abaz:P795_1600
ko:K02884	abaz:P795_1605
ko:K03177	abaz:P795_1620
ko:K07090	abaz:P795_1625
ko:K11939	abaz:P795_1640
ko:K00058	abaz:P795_1645
ko:K03923	abaz:P795_1665
ko:K08160	abaz:P795_1675
ko:K03762	abaz:P795_5895
ko:K03808	abaz:P795_5925
ko:K03808	abaz:P795_5930
ko:K06192	abaz:P795_5935
ko:K09857	abaz:P795_5940
ko:K01779	abaz:P795_5955
ko:K11103	abaz:P795_5985
ko:K01069	abaz:P795_5995
ko:K02072	abaz:P795_6000
ko:K02071	abaz:P795_6005
ko:K02073	abaz:P795_6010
ko:K01945	abaz:P795_6015
ko:K00602	abaz:P795_6020
ko:K03557	abaz:P795_6025
ko:K02687	abaz:P795_6035
ko:K03495	abaz:P795_6045
ko:K07395	abaz:P795_6075
ko:K01775	abaz:P795_6080
ko:K02939	abaz:P795_6090
ko:K02963	abaz:P795_6095
ko:K02990	abaz:P795_6100
ko:K02300	abaz:P795_6110
