ko:K12108	hpc:HPPC_02695
ko:K14652	hpc:HPPC_04055
ko:K12099	hpc:HPPC_02640
ko:K12101	hpc:HPPC_02655
ko:K18929	hpc:HPPC_00700
ko:K14224	hpc:HPPC_t08123
ko:K14229	hpc:HPPC_t08125
ko:K14233	hpc:HPPC_t08129
ko:K14232	hpc:HPPC_t08163
ko:K14226	hpc:HPPC_t08161
ko:K14220	hpc:HPPC_t08131
ko:K14218	hpc:HPPC_t08169
ko:K14231	hpc:HPPC_t08187
ko:K04517	hpc:HPPC_06810
ko:K01916	hpc:HPPC_01670
ko:K00459	hpc:HPPC_03910
ko:K00290	hpc:HPPC_07395
ko:K01990	hpc:HPPC_05960
ko:K14232	hpc:HPPC_t08139
ko:K14230	hpc:HPPC_t08145
ko:K14233	hpc:HPPC_t08137
ko:K14222	hpc:HPPC_t08153
ko:K14221	hpc:HPPC_t08119
ko:K14234	hpc:HPPC_t08175
ko:K06882	hpc:HPPC_03780
ko:K02484	hpc:HPPC_06710
ko:K09943	hpc:HPPC_07370
ko:K07791	hpc:HPPC_03660
ko:K02484	hpc:HPPC_00835
ko:K14228	hpc:HPPC_t08151
ko:K14223	hpc:HPPC_t08147
ko:K14219	hpc:HPPC_t08157
ko:K14228	hpc:HPPC_t08183
ko:K14230	hpc:HPPC_t08141
ko:K14234	hpc:HPPC_t08181
ko:K14237	hpc:HPPC_t08127
ko:K03296	hpc:HPPC_03065
ko:K03605	hpc:HPPC_03200
ko:K14228	hpc:HPPC_t08165
ko:K14218	hpc:HPPC_t08133
ko:K08077	hpc:HPPC_02485
ko:K05540	hpc:HPPC_03675
ko:K14219	hpc:HPPC_t08159
ko:K07491	hpc:HPPC_02975
ko:K14224	hpc:HPPC_t08117
ko:K14237	hpc:HPPC_t08121
ko:K14219	hpc:HPPC_t08135
ko:K14219	hpc:HPPC_t08143
ko:K14225	hpc:HPPC_t08149
ko:K14233	hpc:HPPC_t08155
ko:K14227	hpc:HPPC_t08167
ko:K14230	hpc:HPPC_t08171
ko:K14235	hpc:HPPC_t08173
ko:K14236	hpc:HPPC_t08179
ko:K14228	hpc:HPPC_t08185
ko:K12109	hpc:HPPC_02700
ko:K14445	hpc:HPPC_01070
ko:K07100	hpc:HPPC_05940
ko:K02483	hpc:HPPC_00840
ko:K05922	hpc:HPPC_03190
ko:K12090	hpc:HPPC_02575
ko:K12089	hpc:HPPC_02570
ko:K12086	hpc:HPPC_02560
ko:K01497	hpc:HPPC_04045
ko:K12095	hpc:HPPC_02615
ko:K12097	hpc:HPPC_02625
ko:K01524	hpc:HPPC_01410
ko:K01173	hpc:HPPC_06815
ko:K07097	hpc:HPPC_02045
ko:K14225	hpc:HPPC_t08177
ko:K00104	hpc:HPPC_02495
ko:K19302	hpc:HPPC_04305
ko:K05927	hpc:HPPC_03185
ko:K12052	hpc:HPPC_00175
ko:K12051	hpc:HPPC_00180
ko:K12050	hpc:HPPC_00185
ko:K12049	hpc:HPPC_00190
ko:K12048	hpc:HPPC_00195
ko:K03191	hpc:HPPC_00355
ko:K01426	hpc:HPPC_01490
ko:K12053	hpc:HPPC_00085
ko:K12977	hpc:HPPC_00105
ko:K04093	hpc:HPPC_01475
ko:K12093	hpc:HPPC_02605
ko:K12102	hpc:HPPC_02660
ko:K12103	hpc:HPPC_02665
ko:K12104	hpc:HPPC_02670
ko:K12105	hpc:HPPC_02675
ko:K12106	hpc:HPPC_02685
ko:K13797	hpc:HPPC_05845
ko:K18928	hpc:HPPC_00705
ko:K02242	hpc:HPPC_07220
ko:K07226	hpc:HPPC_01610
ko:K01887	hpc:HPPC_01615
ko:K03798	hpc:HPPC_01905
ko:K02687	hpc:HPPC_01910
ko:K03413	hpc:HPPC_01915
ko:K03760	hpc:HPPC_00110
ko:K03086	hpc:HPPC_00445
ko:K00645	hpc:HPPC_00455
ko:K09805	hpc:HPPC_00465
ko:K01733	hpc:HPPC_00500
ko:K09765	hpc:HPPC_00510
ko:K07173	hpc:HPPC_00535
ko:K00407	hpc:HPPC_00740
ko:K00406	hpc:HPPC_00745
ko:K01689	hpc:HPPC_00785
ko:K00891	hpc:HPPC_00800
ko:K01698	hpc:HPPC_00830
