ko:K11707	cfw:FSW5_0681
ko:K19405	cfw:FSW5_6871
ko:K02433	cfw:FSW5_0031
ko:K03471	cfw:FSW5_0081
ko:K08483	cfw:FSW5_3401
ko:K11189	cfw:FSW5_3411
ko:K00784	cfw:FSW5_3511
ko:K01719	cfw:FSW5_4411
ko:K00380	cfw:FSW5_4431
ko:K01885	cfw:FSW5_4541
ko:K07098	cfw:FSW5_4701
ko:K00567	cfw:FSW5_4861
ko:K02033	cfw:FSW5_4881
ko:K02035	cfw:FSW5_4891
ko:K02030	cfw:FSW5_4951
ko:K02342	cfw:FSW5_5461
ko:K07258	cfw:FSW5_5611
ko:K03227	cfw:FSW5_5731
ko:K06179	cfw:FSW5_1071
ko:K00939	cfw:FSW5_1291
ko:K02035	cfw:FSW5_1401
ko:K06889	cfw:FSW5_1501
ko:K02035	cfw:FSW5_1761
ko:K02049	cfw:FSW5_1811
ko:K01409	cfw:FSW5_1981
ko:K15582	cfw:FSW5_2011
ko:K06889	cfw:FSW5_2071
ko:K00059	cfw:FSW5_2391
ko:K07052	cfw:FSW5_2561
ko:K02342	cfw:FSW5_2631
ko:K02806	cfw:FSW5_2921
ko:K02806	cfw:FSW5_2931
ko:K02124	cfw:FSW5_3061
ko:K02123	cfw:FSW5_3071
ko:K02120	cfw:FSW5_3081
ko:K02118	cfw:FSW5_3091
ko:K02117	cfw:FSW5_3101
ko:K02121	cfw:FSW5_3121
ko:K00616	cfw:FSW5_3151
ko:K03856	cfw:FSW5_3871
ko:K00970	cfw:FSW5_4161
ko:K09815	cfw:FSW5_4211
ko:K02454	cfw:FSW5_5811
ko:K01262	cfw:FSW5_5841
ko:K07315	cfw:FSW5_5981
ko:K03386	cfw:FSW5_6131
ko:K02428	cfw:FSW5_6161
ko:K00813	cfw:FSW5_6481
ko:K01934	cfw:FSW5_6601
ko:K00970	cfw:FSW5_7161
ko:K01596	cfw:FSW5_7221
ko:K00972	cfw:FSW5_7271
ko:K06910	cfw:FSW5_7481
ko:K07117	cfw:FSW5_7491
ko:K01507	cfw:FSW5_7841
ko:K01082	cfw:FSW5_7861
ko:K01909	cfw:FSW5_7881
ko:K00652	cfw:FSW5_7891
ko:K01679	cfw:FSW5_8711
ko:K00033	cfw:FSW5_0641
ko:K03177	cfw:FSW5_0951
ko:K01840	cfw:FSW5_2971
ko:K01696	cfw:FSW5_1711
ko:K02435	cfw:FSW5_0021
ko:K02434	cfw:FSW5_0041
ko:K02517	cfw:FSW5_0101
ko:K00425	cfw:FSW5_0131
ko:K00426	cfw:FSW5_0141
ko:K07175	cfw:FSW5_0151
ko:K01870	cfw:FSW5_0191
ko:K03100	cfw:FSW5_0201
ko:K02909	cfw:FSW5_0221
ko:K02835	cfw:FSW5_0231
ko:K02493	cfw:FSW5_0241
ko:K03106	cfw:FSW5_0251
ko:K02959	cfw:FSW5_0261
ko:K00554	cfw:FSW5_0271
ko:K02884	cfw:FSW5_0281
ko:K03470	cfw:FSW5_0291
ko:K00942	cfw:FSW5_0301
ko:K01874	cfw:FSW5_0321
ko:K03581	cfw:FSW5_0331
ko:K01494	cfw:FSW5_0391
ko:K03551	cfw:FSW5_0411
ko:K01255	cfw:FSW5_0461
ko:K02340	cfw:FSW5_0481
ko:K07056	cfw:FSW5_0491
ko:K00164	cfw:FSW5_0551
ko:K00658	cfw:FSW5_0561
ko:K05810	cfw:FSW5_0571
ko:K03526	cfw:FSW5_0581
