ko:K11707	ces:ESW3_0681
ko:K19405	ces:ESW3_6871
ko:K01679	ces:ESW3_8711
ko:K04763	ces:ESW3_8801
ko:K00700	ces:ESW3_8821
ko:K08719	ces:ESW3_7251
ko:K02433	ces:ESW3_0031
ko:K03471	ces:ESW3_0081
ko:K00033	ces:ESW3_0641
ko:K06889	ces:ESW3_2071
ko:K00059	ces:ESW3_2391
ko:K03177	ces:ESW3_0951
ko:K06179	ces:ESW3_1071
ko:K00939	ces:ESW3_1291
ko:K02035	ces:ESW3_1401
ko:K07052	ces:ESW3_2561
ko:K02342	ces:ESW3_2631
ko:K02806	ces:ESW3_2921
ko:K02806	ces:ESW3_2931
ko:K06889	ces:ESW3_1501
ko:K02035	ces:ESW3_1761
ko:K02049	ces:ESW3_1811
ko:K01409	ces:ESW3_1981
ko:K15582	ces:ESW3_2011
ko:K02124	ces:ESW3_3061
ko:K02123	ces:ESW3_3071
ko:K02120	ces:ESW3_3081
ko:K02118	ces:ESW3_3091
ko:K02117	ces:ESW3_3101
ko:K02121	ces:ESW3_3121
ko:K00616	ces:ESW3_3151
ko:K11189	ces:ESW3_3411
ko:K00784	ces:ESW3_3511
ko:K03856	ces:ESW3_3871
ko:K01719	ces:ESW3_4411
ko:K00380	ces:ESW3_4431
ko:K01885	ces:ESW3_4541
ko:K07098	ces:ESW3_4701
ko:K08483	ces:ESW3_3401
ko:K00970	ces:ESW3_4161
ko:K09815	ces:ESW3_4211
ko:K00567	ces:ESW3_4861
ko:K02033	ces:ESW3_4881
ko:K02035	ces:ESW3_4891
ko:K02030	ces:ESW3_4951
ko:K01840	ces:ESW3_2971
ko:K01696	ces:ESW3_1711
ko:K02435	ces:ESW3_0021
ko:K09779	ces:ESW3_0011
ko:K02434	ces:ESW3_0041
ko:K03575	ces:ESW3_1081
ko:K04077	ces:ESW3_1111
ko:K04078	ces:ESW3_1121
ko:K08602	ces:ESW3_1131
ko:K03695	ces:ESW3_1141
ko:K01783	ces:ESW3_1221
ko:K02356	ces:ESW3_1231
ko:K02160	ces:ESW3_1241
ko:K01961	ces:ESW3_1251
ko:K02871	ces:ESW3_1261
ko:K02996	ces:ESW3_1271
ko:K02029	ces:ESW3_1301
ko:K07058	ces:ESW3_1331
ko:K00208	ces:ESW3_1051
ko:K06999	ces:ESW3_1371
ko:K07566	ces:ESW3_1381
ko:K09125	ces:ESW3_1411
ko:K07039	ces:ESW3_1421
ko:K01972	ces:ESW3_1471
ko:K02913	ces:ESW3_1511
ko:K09808	ces:ESW3_1521
ko:K03720	ces:ESW3_1701
ko:K01695	ces:ESW3_1721
ko:K03611	ces:ESW3_1771
ko:K00979	ces:ESW3_1831
ko:K01937	ces:ESW3_1841
ko:K07447	ces:ESW3_1851
ko:K00036	ces:ESW3_1861
ko:K01057	ces:ESW3_1871
ko:K02343	ces:ESW3_1881
ko:K00943	ces:ESW3_1891
ko:K02469	ces:ESW3_1901
ko:K02470	ces:ESW3_1911
ko:K00773	ces:ESW3_1941
ko:K06213	ces:ESW3_1951
ko:K15580	ces:ESW3_1991
ko:K15581	ces:ESW3_2001
ko:K03319	ces:ESW3_2051
ko:K02527	ces:ESW3_2091
ko:K01869	ces:ESW3_2101
ko:K01845	ces:ESW3_2111
ko:K07735	ces:ESW3_2121
ko:K02517	ces:ESW3_0101
ko:K00425	ces:ESW3_0131
ko:K00426	ces:ESW3_0141
ko:K07175	ces:ESW3_0151
ko:K01870	ces:ESW3_0191
ko:K03100	ces:ESW3_0201
ko:K02909	ces:ESW3_0221
ko:K02835	ces:ESW3_0231
ko:K02493	ces:ESW3_0241
ko:K03106	ces:ESW3_0251
ko:K02959	ces:ESW3_0261
ko:K00554	ces:ESW3_0271
ko:K02884	ces:ESW3_0281
ko:K03470	ces:ESW3_0291
ko:K00942	ces:ESW3_0301
ko:K01874	ces:ESW3_0321
ko:K03581	ces:ESW3_0331
ko:K01494	ces:ESW3_0391
ko:K03551	ces:ESW3_0411
ko:K01255	ces:ESW3_0461
ko:K02340	ces:ESW3_0481
ko:K07056	ces:ESW3_0491
ko:K00164	ces:ESW3_0551
ko:K00658	ces:ESW3_0561
ko:K05810	ces:ESW3_0571
ko:K03526	ces:ESW3_0581
ko:K02400	ces:ESW3_0611
ko:K01866	ces:ESW3_0631
ko:K03596	ces:ESW3_0651
ko:K03301	ces:ESW3_0661
ko:K00099	ces:ESW3_0721
ko:K03629	ces:ESW3_0751
ko:K02338	ces:ESW3_0761
ko:K03664	ces:ESW3_0771
ko:K03734	ces:ESW3_0781
ko:K01491	ces:ESW3_0791
ko:K02405	ces:ESW3_0621
ko:K02902	ces:ESW3_0871
ko:K00705	ces:ESW3_0881
ko:K04058	ces:ESW3_0901
ko:K03230	ces:ESW3_0911
ko:K03229	ces:ESW3_0921
ko:K06942	ces:ESW3_0931
ko:K11753	ces:ESW3_0941
ko:K02834	ces:ESW3_0961
ko:K02519	ces:ESW3_0971
ko:K02600	ces:ESW3_0981
ko:K02945	ces:ESW3_0991
ko:K00384	ces:ESW3_1001
ko:K00997	ces:ESW3_1011
ko:K08999	ces:ESW3_2131
ko:K01807	ces:ESW3_2141
ko:K03787	ces:ESW3_2191
ko:K03179	ces:ESW3_2201
ko:K03186	ces:ESW3_2211
ko:K03217	ces:ESW3_2531
ko:K04487	ces:ESW3_2601
ko:K07083	ces:ESW3_2641
ko:K01962	ces:ESW3_2671
ko:K01448	ces:ESW3_2701
ko:K01928	ces:ESW3_2711
ko:K03587	ces:ESW3_2721
ko:K03438	ces:ESW3_2741
ko:K02313	ces:ESW3_2771
ko:K00347	ces:ESW3_2801
ko:K00348	ces:ESW3_2811
