ko:K02495	sfn:SFy_5623
ko:K18919	sfn:SFy_0020
ko:K18928	sfn:SFy_0352
ko:K18922	sfn:SFy_0638
ko:K21905	sfn:SFy_5123
ko:K03761	sfn:SFy_3761
ko:K07012	sfn:SFy_3950
ko:K03275	sfn:SFy_5228
ko:K03297	sfn:SFy_2830
ko:K21907	sfn:SFy_5042
ko:K21901	sfn:SFy_5036
ko:K21908	sfn:SFy_5041
ko:K21906	sfn:SFy_5124
ko:K21029	sfn:SFy_1055
ko:K18922	sfn:SFy_0636
ko:K02345	sfn:SFy_2655
ko:K08151	sfn:SFy_1434
ko:K01990	sfn:SFy_1010
ko:K03111	sfn:SFy_5958
ko:K07497	sfn:SFy_0291
ko:K07497	sfn:SFy_2731
ko:K07480	sfn:SFy_1453
ko:K18968	sfn:SFy_0402
ko:K10906	sfn:SFy_1973
ko:K07497	sfn:SFy_0288
ko:K07497	sfn:SFy_0330
ko:K07497	sfn:SFy_0614
ko:K07497	sfn:SFy_0914
ko:K07497	sfn:SFy_1122
ko:K07497	sfn:SFy_1190
ko:K07497	sfn:SFy_1276
ko:K07497	sfn:SFy_1522
ko:K07497	sfn:SFy_1686
ko:K07497	sfn:SFy_1925
ko:K07497	sfn:SFy_1976
ko:K07497	sfn:SFy_2092
ko:K07497	sfn:SFy_2264
ko:K07497	sfn:SFy_2277
ko:K07497	sfn:SFy_2381
ko:K07497	sfn:SFy_2875
ko:K07497	sfn:SFy_3291
ko:K07497	sfn:SFy_3716
ko:K07497	sfn:SFy_3826
ko:K07497	sfn:SFy_4087
ko:K07497	sfn:SFy_4252
ko:K07497	sfn:SFy_4880
ko:K07497	sfn:SFy_4989
ko:K07497	sfn:SFy_5281
ko:K07497	sfn:SFy_5303
ko:K07497	sfn:SFy_5425
ko:K07497	sfn:SFy_5529
ko:K07497	sfn:SFy_5702
ko:K07497	sfn:SFy_5876
ko:K07497	sfn:SFy_6009
ko:K14744	sfn:SFy_0943
ko:K00526	sfn:SFy_3295
ko:K00287	sfn:SFy_0060
ko:K08348	sfn:SFy_2508
ko:K08348	sfn:SFy_2509
ko:K07483	sfn:SFy_3624
ko:K07483	sfn:SFy_0327
ko:K07483	sfn:SFy_0398
ko:K07483	sfn:SFy_5418
ko:K09472	sfn:SFy_1874
ko:K07483	sfn:SFy_3082
ko:K07483	sfn:SFy_1172
ko:K19234	sfn:SFy_2450
ko:K19230	sfn:SFy_1862
ko:K19353	sfn:SFy_5768
ko:K11209	sfn:SFy_3382
ko:K02031	sfn:SFy_2494
ko:K19789	sfn:SFy_3222
