ko:K11707	ctd:CTDEC_0067
ko:K09779	ctd:CTDEC_0001
ko:K02517	ctd:CTDEC_0010
ko:K00425	ctd:CTDEC_0013
ko:K03471	ctd:CTDEC_0008
ko:K00426	ctd:CTDEC_0014
ko:K02435	ctd:CTDEC_0002
ko:K02433	ctd:CTDEC_0003
ko:K02434	ctd:CTDEC_0004
ko:K00099	ctd:CTDEC_0071
ko:K03629	ctd:CTDEC_0074
ko:K02338	ctd:CTDEC_0075
ko:K07175	ctd:CTDEC_0015
ko:K01870	ctd:CTDEC_0019
ko:K03100	ctd:CTDEC_0020
ko:K02909	ctd:CTDEC_0022
ko:K02835	ctd:CTDEC_0023
ko:K02493	ctd:CTDEC_0024
ko:K03106	ctd:CTDEC_0025
ko:K02959	ctd:CTDEC_0026
ko:K00554	ctd:CTDEC_0027
ko:K02884	ctd:CTDEC_0028
ko:K03470	ctd:CTDEC_0029
ko:K00942	ctd:CTDEC_0030
ko:K01874	ctd:CTDEC_0032
ko:K03581	ctd:CTDEC_0033
ko:K01494	ctd:CTDEC_0039
ko:K03551	ctd:CTDEC_0040
ko:K01255	ctd:CTDEC_0045
ko:K02340	ctd:CTDEC_0047
ko:K07056	ctd:CTDEC_0048
ko:K00164	ctd:CTDEC_0054
ko:K00658	ctd:CTDEC_0055
ko:K05810	ctd:CTDEC_0056
ko:K03526	ctd:CTDEC_0057
ko:K02400	ctd:CTDEC_0060
ko:K02405	ctd:CTDEC_0061
ko:K01866	ctd:CTDEC_0062
ko:K00033	ctd:CTDEC_0063
ko:K03596	ctd:CTDEC_0064
ko:K03301	ctd:CTDEC_0065
ko:K03523	ctd:CTDEC_0359
ko:K01714	ctd:CTDEC_0361
ko:K00928	ctd:CTDEC_0362
ko:K01057	ctd:CTDEC_0186
ko:K06213	ctd:CTDEC_0194
ko:K01409	ctd:CTDEC_0197
ko:K15580	ctd:CTDEC_0198
ko:K02343	ctd:CTDEC_0187
ko:K00943	ctd:CTDEC_0188
ko:K15581	ctd:CTDEC_0199
ko:K15582	ctd:CTDEC_0200
ko:K03319	ctd:CTDEC_0204
ko:K02469	ctd:CTDEC_0189
ko:K06889	ctd:CTDEC_0206
ko:K02527	ctd:CTDEC_0208
ko:K01869	ctd:CTDEC_0209
ko:K01845	ctd:CTDEC_0210
ko:K07735	ctd:CTDEC_0211
ko:K08999	ctd:CTDEC_0212
ko:K01807	ctd:CTDEC_0213
ko:K02470	ctd:CTDEC_0190
ko:K00773	ctd:CTDEC_0193
ko:K00566	ctd:CTDEC_0287
ko:K02806	ctd:CTDEC_0290
ko:K02806	ctd:CTDEC_0291
ko:K01963	ctd:CTDEC_0293
ko:K04564	ctd:CTDEC_0294
ko:K03685	ctd:CTDEC_0297
ko:K04485	ctd:CTDEC_0298
ko:K01749	ctd:CTDEC_0299
ko:K01873	ctd:CTDEC_0302
ko:K03696	ctd:CTDEC_0286
ko:K03075	ctd:CTDEC_035101
ko:K02123	ctd:CTDEC_0305
ko:K02120	ctd:CTDEC_0306
ko:K02118	ctd:CTDEC_0307
ko:K02117	ctd:CTDEC_0308
ko:K02121	ctd:CTDEC_0310
ko:K00616	ctd:CTDEC_0313
ko:K03046	ctd:CTDEC_0314
ko:K03043	ctd:CTDEC_0315
ko:K02935	ctd:CTDEC_0316
ko:K02864	ctd:CTDEC_0317
ko:K02863	ctd:CTDEC_0318
ko:K02867	ctd:CTDEC_0319
ko:K02601	ctd:CTDEC_0320
ko:K03073	ctd:CTDEC_0321
ko:K02358	ctd:CTDEC_0322
ko:K02518	ctd:CTDEC_0323
ko:K01803	ctd:CTDEC_0328
ko:K03601	ctd:CTDEC_0329
ko:K01662	ctd:CTDEC_0331
ko:K00873	ctd:CTDEC_0332
ko:K03701	ctd:CTDEC_0333
ko:K02343	ctd:CTDEC_0334
ko:K09747	ctd:CTDEC_0335
ko:K08483	ctd:CTDEC_0336
ko:K11189	ctd:CTDEC_0337
ko:K11381	ctd:CTDEC_0340
ko:K03686	ctd:CTDEC_0341
ko:K01338	ctd:CTDEC_0344
ko:K00784	ctd:CTDEC_0346
ko:K03733	ctd:CTDEC_0347
ko:K06287	ctd:CTDEC_0349
ko:K01462	ctd:CTDEC_0353
ko:K02124	ctd:CTDEC_0304
ko:K02528	ctd:CTDEC_0354
ko:K06888	ctd:CTDEC_0356
ko:K03664	ctd:CTDEC_0076
ko:K03179	ctd:CTDEC_0219
ko:K03186	ctd:CTDEC_0220
ko:K03787	ctd:CTDEC_0218
ko:K03308	ctd:CTDEC_0231
ko:K02078	ctd:CTDEC_0236
ko:K00059	ctd:CTDEC_0237
ko:K00645	ctd:CTDEC_0238
ko:K00648	ctd:CTDEC_0239
ko:K06187	ctd:CTDEC_0240
ko:K07277	ctd:CTDEC_0241
ko:K06142	ctd:CTDEC_0242
ko:K02536	ctd:CTDEC_0243
ko:K00161	ctd:CTDEC_0245
ko:K00162	ctd:CTDEC_0246
ko:K00627	ctd:CTDEC_0247
ko:K00688	ctd:CTDEC_0248
ko:K02313	ctd:CTDEC_0250
ko:K03217	ctd:CTDEC_0251
ko:K07052	ctd:CTDEC_0254
ko:K04487	ctd:CTDEC_0258
ko:K02342	ctd:CTDEC_0261
ko:K07083	ctd:CTDEC_0262
ko:K03734	ctd:CTDEC_0077
ko:K01491	ctd:CTDEC_0078
ko:K02902	ctd:CTDEC_0086
ko:K00705	ctd:CTDEC_0087
ko:K04058	ctd:CTDEC_0089
ko:K03230	ctd:CTDEC_0090
ko:K03229	ctd:CTDEC_0091
ko:K03587	ctd:CTDEC_0270
ko:K06942	ctd:CTDEC_0092
ko:K11753	ctd:CTDEC_0093
ko:K03177	ctd:CTDEC_0094
ko:K02834	ctd:CTDEC_0095
ko:K01962	ctd:CTDEC_0265
ko:K01448	ctd:CTDEC_0268
ko:K01928	ctd:CTDEC_0269
ko:K03438	ctd:CTDEC_0272
ko:K02313	ctd:CTDEC_0275
ko:K00347	ctd:CTDEC_0278
ko:K00348	ctd:CTDEC_0279
ko:K00349	ctd:CTDEC_0280
ko:K00350	ctd:CTDEC_0281
ko:K02437	ctd:CTDEC_0282
ko:K03800	ctd:CTDEC_0285
ko:K02519	ctd:CTDEC_0096
ko:K02600	ctd:CTDEC_0097
ko:K02945	ctd:CTDEC_0098
ko:K00384	ctd:CTDEC_0099
ko:K00997	ctd:CTDEC_0100
ko:K00208	ctd:CTDEC_0104
ko:K06179	ctd:CTDEC_0106
ko:K03575	ctd:CTDEC_0107
ko:K04077	ctd:CTDEC_0110
ko:K04078	ctd:CTDEC_0111
ko:K08602	ctd:CTDEC_0112
ko:K03695	ctd:CTDEC_0113
ko:K01783	ctd:CTDEC_0121
ko:K02356	ctd:CTDEC_0122
ko:K02160	ctd:CTDEC_0123
ko:K01961	ctd:CTDEC_0124
ko:K02871	ctd:CTDEC_0125
ko:K02996	ctd:CTDEC_0126
ko:K00939	ctd:CTDEC_0128
ko:K02029	ctd:CTDEC_0129
ko:K07058	ctd:CTDEC_0132
ko:K06999	ctd:CTDEC_0136
ko:K07566	ctd:CTDEC_0137
ko:K02035	ctd:CTDEC_0139
ko:K09125	ctd:CTDEC_0140
ko:K07039	ctd:CTDEC_0141
ko:K01972	ctd:CTDEC_0146
ko:K06889	ctd:CTDEC_0149
ko:K02913	ctd:CTDEC_0150
ko:K09808	ctd:CTDEC_0151
ko:K03720	ctd:CTDEC_0169
ko:K01696	ctd:CTDEC_0170
ko:K01695	ctd:CTDEC_0171
ko:K02035	ctd:CTDEC_0175
ko:K03611	ctd:CTDEC_0176
ko:K02049	ctd:CTDEC_0180
ko:K00979	ctd:CTDEC_0182
ko:K01937	ctd:CTDEC_0183
ko:K07447	ctd:CTDEC_0184
ko:K00036	ctd:CTDEC_0185
ko:K03550	ctd:CTDEC_0501
ko:K01159	ctd:CTDEC_0502
ko:K00134	ctd:CTDEC_0505
ko:K02879	ctd:CTDEC_0506
ko:K03040	ctd:CTDEC_0507
ko:K02948	ctd:CTDEC_0508
ko:K02952	ctd:CTDEC_0509
ko:K03076	ctd:CTDEC_0510
ko:K02876	ctd:CTDEC_0511
ko:K02988	ctd:CTDEC_0512
