ko:K19504	senl:IY59_22800
ko:K00632	senl:IY59_19990
ko:K19595	senl:IY59_01740
ko:K01990	senl:IY59_04010
ko:K18816	senl:IY59_07610
ko:K21430	senl:IY59_04250
ko:K19611	senl:IY59_13890
ko:K02495	senl:IY59_20100
ko:K19697	senl:IY59_10665
ko:K19789	senl:IY59_11515
ko:K08348	senl:IY59_07860
ko:K03292	senl:IY59_20425
ko:K04103	senl:IY59_12435
ko:K00001	senl:IY59_20315
ko:K12979	senl:IY59_21490
ko:K01007	senl:IY59_08970
ko:K21469	senl:IY59_12805
ko:K08156	senl:IY59_01965
ko:K10678	senl:IY59_04320
ko:K19597	senl:IY59_01745
ko:K07005	senl:IY59_03465
ko:K07493	senl:IY59_06205
ko:K01801	senl:IY59_11270
ko:K08970	senl:IY59_15170
ko:K12453	senl:IY59_10835
ko:K00984	senl:IY59_09475
ko:K04753	senl:IY59_15940
ko:K01023	senl:IY59_16040
ko:K05874	senl:IY59_22770
ko:K21645	senl:IY59_22620
ko:K20861	senl:IY59_04285
ko:K20866	senl:IY59_20205
ko:K20881	senl:IY59_17575
ko:K20862	senl:IY59_19830
ko:K00068	senl:IY59_14190
ko:K02466	senl:IY59_14195
ko:K02468	senl:IY59_14205
ko:K02467	senl:IY59_14210
ko:K12266	senl:IY59_14215
ko:K12264	senl:IY59_14220
ko:K12265	senl:IY59_14225
ko:K04656	senl:IY59_14230
ko:K05796	senl:IY59_14235
ko:K08315	senl:IY59_14245
ko:K15834	senl:IY59_14250
ko:K15832	senl:IY59_14255
ko:K15831	senl:IY59_14260
ko:K15830	senl:IY59_14265
ko:K15829	senl:IY59_14270
ko:K15828	senl:IY59_14275
ko:K15827	senl:IY59_14280
ko:K15833	senl:IY59_14285
ko:K04651	senl:IY59_14290
ko:K04652	senl:IY59_14295
ko:K04653	senl:IY59_14300
ko:K04654	senl:IY59_14305
ko:K04655	senl:IY59_14310
ko:K15836	senl:IY59_14315
ko:K11604	senl:IY59_14325
ko:K11607	senl:IY59_14330
ko:K11605	senl:IY59_14335
ko:K11606	senl:IY59_14340
ko:K08598	senl:IY59_14345
ko:K03221	senl:IY59_14385
ko:K02798	senl:IY59_18550
ko:K02799	senl:IY59_18550
ko:K02800	senl:IY59_18550
ko:K00009	senl:IY59_18555
ko:K02562	senl:IY59_18560
ko:K14762	senl:IY59_18570
ko:K00427	senl:IY59_18585
ko:K14348	senl:IY59_18590
ko:K00101	senl:IY59_18595
ko:K03216	senl:IY59_18600
ko:K06145	senl:IY59_18605
ko:K03535	senl:IY59_18615
ko:K00640	senl:IY59_18620
ko:K00057	senl:IY59_18625
ko:K03071	senl:IY59_18630
ko:K15633	senl:IY59_18645
ko:K09798	senl:IY59_18655
ko:K00060	senl:IY59_18665
ko:K00639	senl:IY59_18670
ko:K03274	senl:IY59_18675
ko:K02843	senl:IY59_18680
ko:K02841	senl:IY59_18685
ko:K02847	senl:IY59_18690
ko:K03280	senl:IY59_18695
ko:K12981	senl:IY59_18700
ko:K02850	senl:IY59_18705
ko:K03279	senl:IY59_18710
ko:K03278	senl:IY59_18715
ko:K02840	senl:IY59_18720
ko:K02848	senl:IY59_18730
ko:K02844	senl:IY59_18735
ko:K02849	senl:IY59_18740
ko:K02527	senl:IY59_18745
ko:K00954	senl:IY59_18750
ko:K10563	senl:IY59_18755
ko:K02913	senl:IY59_18760
ko:K02902	senl:IY59_18765
ko:K03630	senl:IY59_18770
ko:K13038	senl:IY59_18775
ko:K05501	senl:IY59_18785
ko:K00762	senl:IY59_18790
ko:K00989	senl:IY59_18795
ko:K17837	senl:IY59_18810
ko:K00343	senl:IY59_11945
ko:K00342	senl:IY59_11950
ko:K00341	senl:IY59_11955
ko:K00340	senl:IY59_11960
ko:K00339	senl:IY59_11965
ko:K00338	senl:IY59_11970
ko:K00337	senl:IY59_11975
ko:K00336	senl:IY59_11980
ko:K00335	senl:IY59_11985
ko:K00334	senl:IY59_11990
ko:K13378	senl:IY59_11995
ko:K00331	senl:IY59_12000
ko:K00330	senl:IY59_12005
ko:K14260	senl:IY59_12025
ko:K08722	senl:IY59_12030
ko:K19270	senl:IY59_12040
ko:K09161	senl:IY59_12045
ko:K09899	senl:IY59_12050
ko:K00925	senl:IY59_12055
ko:K13788	senl:IY59_12060
ko:K00615	senl:IY59_12070
ko:K00615	senl:IY59_12075
ko:K03475	senl:IY59_12080
ko:K02822	senl:IY59_12085
ko:K02821	senl:IY59_12090
ko:K07095	senl:IY59_12110
ko:K07071	senl:IY59_12125
ko:K10017	senl:IY59_12130
ko:K10015	senl:IY59_12135
ko:K10016	senl:IY59_12140
ko:K10014	senl:IY59_12145
ko:K10013	senl:IY59_12150
ko:K01630	senl:IY59_16330
ko:K01708	senl:IY59_16335
ko:K08302	senl:IY59_16340
ko:K16371	senl:IY59_16345
ko:K02773	senl:IY59_16350
ko:K02774	senl:IY59_16355
ko:K02775	senl:IY59_16360
ko:K00094	senl:IY59_16365
ko:K02436	senl:IY59_16370
ko:K07056	senl:IY59_16375
