ko:K13967	babs:DK51_2253
ko:K22617	babs:DK51_1477
ko:K21909	babs:DK51_2949
ko:K13581	babs:DK51_949
ko:K00344	babs:DK51_2124
ko:K02031	babs:DK51_3026
ko:K07492	babs:DK51_927
ko:K07492	babs:DK51_910
ko:K22616	babs:DK51_2031
ko:K00035	babs:DK51_2874
ko:K14218	babs:DK51_1630
ko:K14218	babs:DK51_1751
ko:K14218	babs:DK51_2704
ko:K14218	babs:DK51_1952
ko:K14227	babs:DK51_1750
ko:K14227	babs:DK51_1951
ko:K14227	babs:DK51_2703
ko:K14218	babs:DK51_1422
ko:K14225	babs:DK51_226
ko:K14219	babs:DK51_731
ko:K14229	babs:DK51_148
ko:K14230	babs:DK51_20
ko:K01271	babs:DK51_2054
ko:K07005	babs:DK51_114
ko:K21911	babs:DK51_2945
ko:K02031	babs:DK51_2736
ko:K00130	babs:DK51_892
ko:K19231	babs:DK51_2670
ko:K19233	babs:DK51_1766
ko:K19232	babs:DK51_1378
ko:K11209	babs:DK51_817
ko:K00249	babs:DK51_1023
ko:K00001	babs:DK51_3073
ko:K00065	babs:DK51_2839
ko:K00076	babs:DK51_1972
ko:K01144	babs:DK51_102
ko:K11079	babs:DK51_2742
ko:K22616	babs:DK51_2032
ko:K00108	babs:DK51_891
ko:K07492	babs:DK51_2965
ko:K07492	babs:DK51_548
ko:K07492	babs:DK51_914
ko:K04771	babs:DK51_832
ko:K02483	babs:DK51_2402
ko:K00344	babs:DK51_2274
ko:K02483	babs:DK51_831
ko:K19270	babs:DK51_602
ko:K21686	babs:DK51_287
ko:K13010	babs:DK51_919
ko:K11077	babs:DK51_2740
ko:K14226	babs:DK51_1986
ko:K14230	babs:DK51_1988
ko:K03446	babs:DK51_2507
ko:K05799	babs:DK51_2453
ko:K01161	babs:DK51_3181
ko:K14222	babs:DK51_3183
ko:K14220	babs:DK51_3176
ko:K07498	babs:DK51_1760
ko:K19231	babs:DK51_2671
ko:K03324	babs:DK51_13
ko:K09807	babs:DK51_19
ko:K01442	babs:DK51_28
ko:K01955	babs:DK51_7
ko:K03086	babs:DK51_15
ko:K00812	babs:DK51_2
ko:K00799	babs:DK51_3
ko:K03704	babs:DK51_4
ko:K07054	babs:DK51_10
ko:K01956	babs:DK51_11
ko:K09160	babs:DK51_17
ko:K02471	babs:DK51_6
ko:K09117	babs:DK51_12
ko:K06193	babs:DK51_32
ko:K00479	babs:DK51_34
ko:K01442	babs:DK51_27
ko:K00598	babs:DK51_39
ko:K03761	babs:DK51_40
ko:K09799	babs:DK51_31
ko:K09988	babs:DK51_35
ko:K08281	babs:DK51_30
ko:K13642	babs:DK51_2337
ko:K02032	babs:DK51_2260
ko:K02032	babs:DK51_2714
ko:K04747	babs:DK51_2388
ko:K00529	babs:DK51_3078
ko:K00798	babs:DK51_1646
ko:K02055	babs:DK51_2316
ko:K03608	babs:DK51_2320
ko:K03609	babs:DK51_2321
ko:K03610	babs:DK51_2322
ko:K03647	babs:DK51_2325
ko:K10111	babs:DK51_2331
ko:K10238	babs:DK51_2332
ko:K10237	babs:DK51_2334
ko:K10236	babs:DK51_2335
ko:K02529	babs:DK51_2336
ko:K02575	babs:DK51_2338
ko:K00370	babs:DK51_2339
ko:K00371	babs:DK51_2340
ko:K00373	babs:DK51_2341
ko:K00374	babs:DK51_2342
ko:K03769	babs:DK51_2343
ko:K03186	babs:DK51_2345
ko:K03182	babs:DK51_2346
ko:K08303	babs:DK51_2348
ko:K02049	babs:DK51_2350
ko:K04756	babs:DK51_3098
ko:K14588	babs:DK51_3101
ko:K04565	babs:DK51_3102
ko:K02010	babs:DK51_3105
ko:K02012	babs:DK51_3106
ko:K02011	babs:DK51_3107
ko:K02379	babs:DK51_3110
ko:K00794	babs:DK51_3111
ko:K17315	babs:DK51_3112
ko:K17316	babs:DK51_3113
ko:K17317	babs:DK51_3114
ko:K10112	babs:DK51_3115
ko:K02427	babs:DK51_3118
ko:K01524	babs:DK51_3119
ko:K10010	babs:DK51_3120
ko:K10009	babs:DK51_3121
ko:K02424	babs:DK51_3122
ko:K01469	babs:DK51_3123
ko:K02013	babs:DK51_3125
ko:K02015	babs:DK51_3126
ko:K02015	babs:DK51_3127
ko:K02016	babs:DK51_3128
ko:K00128	babs:DK51_3129
ko:K07077	babs:DK51_3131
ko:K07090	babs:DK51_3132
ko:K00826	babs:DK51_3133
ko:K06901	babs:DK51_3138
ko:K05815	babs:DK51_3143
ko:K05814	babs:DK51_3144
ko:K05813	babs:DK51_3145
ko:K01273	babs:DK51_3146
ko:K01486	babs:DK51_3148
ko:K01996	babs:DK51_3147
ko:K02395	babs:DK51_1197
ko:K18334	babs:DK51_1211
ko:K18335	babs:DK51_1213
ko:K03534	babs:DK51_1216
ko:K10112	babs:DK51_1218
ko:K02026	babs:DK51_1219
ko:K02025	babs:DK51_1220
ko:K02027	babs:DK51_1221
ko:K00305	babs:DK51_1224
ko:K00303	babs:DK51_1228
ko:K00262	babs:DK51_1229
ko:K05845	babs:DK51_1231
ko:K05846	babs:DK51_1232
ko:K05847	babs:DK51_1233
ko:K05846	babs:DK51_1234
ko:K00941	babs:DK51_1238
ko:K03153	babs:DK51_1239
ko:K03154	babs:DK51_1240
ko:K03149	babs:DK51_1241
ko:K00788	babs:DK51_1242
ko:K15598	babs:DK51_1243
ko:K03707	babs:DK51_1244
ko:K15599	babs:DK51_1245
ko:K11075	babs:DK51_1982
ko:K11074	babs:DK51_1983
ko:K07289	babs:DK51_1984
ko:K07270	babs:DK51_1987
ko:K13584	babs:DK51_1992
ko:K13588	babs:DK51_1993
ko:K06975	babs:DK51_1996
ko:K00566	babs:DK51_1999
ko:K12368	babs:DK51_2002
ko:K12368	babs:DK51_2003
ko:K12369	babs:DK51_2004
ko:K12370	babs:DK51_2005
ko:K12371	babs:DK51_2006
ko:K12372	babs:DK51_2007
ko:K02000	babs:DK51_2008
ko:K02001	babs:DK51_2009
ko:K02002	babs:DK51_2010
ko:K03719	babs:DK51_2015
ko:K13503	babs:DK51_2016
ko:K01649	babs:DK51_2018
ko:K07275	babs:DK51_2021
ko:K07393	babs:DK51_2022
ko:K03924	babs:DK51_2027
ko:K09986	babs:DK51_2028
ko:K00970	babs:DK51_2030
ko:K03824	babs:DK51_2033
ko:K00329	babs:DK51_2781
ko:K00356	babs:DK51_2781
ko:K03596	babs:DK51_2782
ko:K07461	babs:DK51_2783
ko:K09760	babs:DK51_2784
ko:K01462	babs:DK51_2785
ko:K00604	babs:DK51_2786
ko:K06173	babs:DK51_2787
ko:K01439	babs:DK51_2789
ko:K00674	babs:DK51_2791
ko:K06966	babs:DK51_2792
ko:K07025	babs:DK51_2793
ko:K00930	babs:DK51_2794
ko:K03978	babs:DK51_2795
ko:K03217	babs:DK51_2796
ko:K03536	babs:DK51_2797
ko:K08169	babs:DK51_2802
ko:K00128	babs:DK51_2804
ko:K00059	babs:DK51_2805
ko:K02035	babs:DK51_2806
ko:K02033	babs:DK51_2807
ko:K02034	babs:DK51_2808
ko:K02433	babs:DK51_2811
ko:K02342	babs:DK51_2812
ko:K15736	babs:DK51_2813
ko:K00799	babs:DK51_2817
ko:K02014	babs:DK51_2820
ko:K10439	babs:DK51_2823
ko:K10441	babs:DK51_2824
ko:K10440	babs:DK51_2825
ko:K10440	babs:DK51_2826
ko:K17247	babs:DK51_2828
ko:K06999	babs:DK51_2830
ko:K01470	babs:DK51_2833
ko:K09773	babs:DK51_1555
ko:K01599	babs:DK51_1556
ko:K08973	babs:DK51_1557
ko:K03628	babs:DK51_1559
ko:K06888	babs:DK51_1560
ko:K03650	babs:DK51_1562
ko:K03495	babs:DK51_1563
ko:K03501	babs:DK51_1564
ko:K03496	babs:DK51_1565
ko:K03497	babs:DK51_1566
ko:K02340	babs:DK51_1567
ko:K05833	babs:DK51_1568
ko:K05832	babs:DK51_1569
ko:K01989	babs:DK51_1570
ko:K02529	babs:DK51_1574
ko:K00059	babs:DK51_1585
ko:K04085	babs:DK51_1591
ko:K01962	babs:DK51_1593
ko:K04763	babs:DK51_1594
ko:K00891	babs:DK51_1596
ko:K01735	babs:DK51_1597
ko:K05527	babs:DK51_1599
ko:K09883	babs:DK51_1602
ko:K01534	babs:DK51_1605
ko:K02050	babs:DK51_2351
ko:K02051	babs:DK51_2352
ko:K07234	babs:DK51_2353
ko:K03734	babs:DK51_2356
ko:K07218	babs:DK51_2360
ko:K00376	babs:DK51_2361
ko:K00039	babs:DK51_2367
ko:K10544	babs:DK51_2368
