ko:K22010	lmr:LMR479A_1193
ko:K11741	lmr:LMR479A_0872
ko:K11741	lmr:LMR479A_0873
ko:K18926	lmr:LMR479A_0526
ko:K03328	lmr:LMR479A_0224
ko:K19975	lmr:LMR479A_1957
ko:K19973	lmr:LMR479A_1959
ko:K01992	lmr:LMR479A_0776
ko:K18692	lmr:LMR479A_1539
ko:K08221	lmr:LMR479A_1497
ko:K01271	lmr:LMR479A_1672
ko:K08316	lmr:LMR479A_2164
ko:K01101	lmr:LMR479A_2527
ko:K06400	lmr:LMR479A_2451
ko:K07741	lmr:LMR479A_2436
ko:K22597	lmr:LMR479A_2978
ko:K22597	lmr:LMR479A_2872
ko:K05352	lmr:LMR479A_1115
ko:K09017	lmr:LMR479A_2072
ko:K22579	lmr:LMR479A_0421
ko:K02538	lmr:LMR479A_0435
ko:K03483	lmr:LMR479A_2787
ko:K01297	lmr:LMR479A_1735
ko:K02768	lmr:LMR479A_0644
ko:K07025	lmr:LMR479A_0648
ko:K01534	lmr:LMR479A_0657
ko:K03294	lmr:LMR479A_0661
ko:K07104	lmr:LMR479A_0662
ko:K03284	lmr:LMR479A_0665
ko:K01421	lmr:LMR479A_0667
ko:K08976	lmr:LMR479A_0673
ko:K07457	lmr:LMR479A_0675
ko:K00868	lmr:LMR479A_0680
ko:K00661	lmr:LMR479A_0682
ko:K01990	lmr:LMR479A_0685
ko:K01992	lmr:LMR479A_0686
ko:K02160	lmr:LMR479A_1443
ko:K01961	lmr:LMR479A_1444
ko:K03625	lmr:LMR479A_1446
ko:K01491	lmr:LMR479A_1447
ko:K03601	lmr:LMR479A_1448
ko:K03602	lmr:LMR479A_1449
ko:K13789	lmr:LMR479A_1450
ko:K03704	lmr:LMR479A_1451
ko:K01662	lmr:LMR479A_1452
ko:K06442	lmr:LMR479A_1453
ko:K03402	lmr:LMR479A_1454
ko:K03631	lmr:LMR479A_1455
ko:K00929	lmr:LMR479A_1457
ko:K00382	lmr:LMR479A_1458
ko:K00166	lmr:LMR479A_1459
ko:K00167	lmr:LMR479A_1460
ko:K09699	lmr:LMR479A_1461
ko:K00033	lmr:LMR479A_1464
ko:K03217	lmr:LMR479A_1467
ko:K01512	lmr:LMR479A_1469
ko:K01823	lmr:LMR479A_1471
ko:K07146	lmr:LMR479A_1472
ko:K03466	lmr:LMR479A_1474
ko:K00286	lmr:LMR479A_1475
ko:K07335	lmr:LMR479A_1476
ko:K02056	lmr:LMR479A_1477
ko:K02057	lmr:LMR479A_1478
ko:K02057	lmr:LMR479A_1479
ko:K00059	lmr:LMR479A_1482
ko:K00995	lmr:LMR479A_1484
ko:K03742	lmr:LMR479A_1485
ko:K03823	lmr:LMR479A_1488
ko:K09769	lmr:LMR479A_1489
ko:K07177	lmr:LMR479A_2162
ko:K00954	lmr:LMR479A_2163
ko:K02259	lmr:LMR479A_2169
ko:K10716	lmr:LMR479A_2170
ko:K14166	lmr:LMR479A_2173
ko:K03282	lmr:LMR479A_2175
ko:K01442	lmr:LMR479A_2178
ko:K04077	lmr:LMR479A_2179
ko:K04078	lmr:LMR479A_2180
ko:K07052	lmr:LMR479A_2181
ko:K01926	lmr:LMR479A_2183
ko:K06158	lmr:LMR479A_2185
ko:K06889	lmr:LMR479A_2186
ko:K01409	lmr:LMR479A_2187
ko:K03789	lmr:LMR479A_2188
ko:K06925	lmr:LMR479A_2190
ko:K06199	lmr:LMR479A_2193
ko:K06199	lmr:LMR479A_2194
ko:K01940	lmr:LMR479A_2202
ko:K01755	lmr:LMR479A_2203
ko:K05020	lmr:LMR479A_2204
ko:K01628	lmr:LMR479A_2205
ko:K00882	lmr:LMR479A_2206
ko:K02775	lmr:LMR479A_2207
ko:K02774	lmr:LMR479A_2208
ko:K06942	lmr:LMR479A_2916
ko:K02759	lmr:LMR479A_2917
ko:K05349	lmr:LMR479A_2918
ko:K02760	lmr:LMR479A_2919
ko:K02761	lmr:LMR479A_2920
ko:K03491	lmr:LMR479A_2921
ko:K03781	lmr:LMR479A_2922
ko:K02755	lmr:LMR479A_2924
ko:K02756	lmr:LMR479A_2924
ko:K02757	lmr:LMR479A_2924
ko:K03488	lmr:LMR479A_2925
ko:K02798	lmr:LMR479A_2934
ko:K02799	lmr:LMR479A_2936
ko:K02800	lmr:LMR479A_2936
ko:K01788	lmr:LMR479A_2938
ko:K03501	lmr:LMR479A_2939
ko:K03495	lmr:LMR479A_2947
ko:K03650	lmr:LMR479A_2948
ko:K00059	lmr:LMR479A_2953
ko:K08170	lmr:LMR479A_2956
ko:K02755	lmr:LMR479A_0027
ko:K02756	lmr:LMR479A_0027
ko:K02757	lmr:LMR479A_0027
ko:K01990	lmr:LMR479A_0030
ko:K02529	lmr:LMR479A_0038
ko:K02761	lmr:LMR479A_0041
ko:K13252	lmr:LMR479A_0043
ko:K10536	lmr:LMR479A_0045
ko:K00926	lmr:LMR479A_0046
ko:K10536	lmr:LMR479A_0047
ko:K03481	lmr:LMR479A_0048
ko:K03975	lmr:LMR479A_0049
ko:K01478	lmr:LMR479A_0050
ko:K02990	lmr:LMR479A_0051
ko:K02963	lmr:LMR479A_0053
ko:K07813	lmr:LMR479A_0055
ko:K07706	lmr:LMR479A_0057
ko:K07707	lmr:LMR479A_0058
ko:K02939	lmr:LMR479A_0060
ko:K01939	lmr:LMR479A_0063
ko:K03466	lmr:LMR479A_0069
ko:K00054	lmr:LMR479A_0843
ko:K03324	lmr:LMR479A_0844
ko:K03737	lmr:LMR479A_0847
ko:K04041	lmr:LMR479A_0848
ko:K07088	lmr:LMR479A_0849
ko:K13256	lmr:LMR479A_0854
ko:K06147	lmr:LMR479A_0855
ko:K07784	lmr:LMR479A_0856
ko:K09022	lmr:LMR479A_0862
ko:K02029	lmr:LMR479A_0865
ko:K02030	lmr:LMR479A_0865
ko:K02028	lmr:LMR479A_0866
ko:K01426	lmr:LMR479A_0867
ko:K01921	lmr:LMR479A_0874
ko:K01929	lmr:LMR479A_0875
ko:K02529	lmr:LMR479A_0877
ko:K02027	lmr:LMR479A_0878
ko:K02025	lmr:LMR479A_0879
ko:K02026	lmr:LMR479A_0880
ko:K01226	lmr:LMR479A_0881
ko:K01840	lmr:LMR479A_0884
ko:K05592	lmr:LMR479A_0885
ko:K07045	lmr:LMR479A_0889
ko:K03979	lmr:LMR479A_1630
ko:K00864	lmr:LMR479A_1631
ko:K02440	lmr:LMR479A_1632
ko:K02899	lmr:LMR479A_1633
ko:K07584	lmr:LMR479A_1634
ko:K02888	lmr:LMR479A_1635
ko:K08301	lmr:LMR479A_1636
ko:K03609	lmr:LMR479A_1637
ko:K03610	lmr:LMR479A_1638
ko:K03571	lmr:LMR479A_1639
ko:K03570	lmr:LMR479A_1640
ko:K03569	lmr:LMR479A_1641
ko:K03630	lmr:LMR479A_1642
ko:K02236	lmr:LMR479A_1643
ko:K11754	lmr:LMR479A_1644
ko:K01873	lmr:LMR479A_1645
ko:K01845	lmr:LMR479A_1646
ko:K02419	lmr:LMR479A_0694
ko:K02420	lmr:LMR479A_0695
ko:K02421	lmr:LMR479A_0696
ko:K02401	lmr:LMR479A_0697
ko:K02400	lmr:LMR479A_0698
ko:K02404	lmr:LMR479A_0699
ko:K02392	lmr:LMR479A_0700
ko:K00575	lmr:LMR479A_0701
ko:K02556	lmr:LMR479A_0703
ko:K02557	lmr:LMR479A_0704
ko:K03415	lmr:LMR479A_0707
ko:K02406	lmr:LMR479A_0708
ko:K03413	lmr:LMR479A_0709
ko:K03407	lmr:LMR479A_0710
