ko:K09796	mmv:MYCMA_1220
ko:K16786	mmv:MYCMA_0935
ko:K16787	mmv:MYCMA_0935
ko:K16264	mmv:MYCMA_0110
ko:K02554	mmv:MYCMA_0324
ko:K01066	mmv:MYCMA_06710
ko:K03574	mmv:MYCMA_0690
ko:K02113	mmv:MYCMA_0775
ko:K02109	mmv:MYCMA_0775
ko:K03321	mmv:MYCMA_2472
ko:K11741	mmv:MYCMA_1430
ko:K05556	mmv:MYCMA_0403
ko:K16301	mmv:MYCMA_0617
ko:K18958	mmv:MYCMA_06030
ko:K15733	mmv:MYCMA_1219
ko:K18955	mmv:MYCMA_05830
ko:K10215	mmv:MYCMA_0064
ko:K14698	mmv:MYCMA_1214
ko:K11717	mmv:MYCMA_0130
ko:K00817	mmv:MYCMA_0132
ko:K05845	mmv:MYCMA_0140
ko:K05847	mmv:MYCMA_0141
ko:K05846	mmv:MYCMA_0142
ko:K05846	mmv:MYCMA_0143
ko:K01857	mmv:MYCMA_0155
ko:K01626	mmv:MYCMA_0157
ko:K00216	mmv:MYCMA_0158
ko:K03568	mmv:MYCMA_0939
ko:K03781	mmv:MYCMA_0950
ko:K08641	mmv:MYCMA_0951
ko:K11731	mmv:MYCMA_0955
ko:K00688	mmv:MYCMA_0956
ko:K02078	mmv:MYCMA_0970
ko:K00645	mmv:MYCMA_0971
ko:K00163	mmv:MYCMA_0974
ko:K07241	mmv:MYCMA_0979
ko:K02227	mmv:MYCMA_0980
ko:K07164	mmv:MYCMA_0986
ko:K03924	mmv:MYCMA_0988
ko:K04096	mmv:MYCMA_1760
ko:K07391	mmv:MYCMA_1761
ko:K07460	mmv:MYCMA_1762
ko:K03470	mmv:MYCMA_1764
ko:K02884	mmv:MYCMA_1766
ko:K00554	mmv:MYCMA_1767
ko:K02860	mmv:MYCMA_1768
ko:K02959	mmv:MYCMA_1769
ko:K03106	mmv:MYCMA_1774
ko:K00990	mmv:MYCMA_1775
ko:K04751	mmv:MYCMA_1776
ko:K03110	mmv:MYCMA_1778
ko:K03529	mmv:MYCMA_1780
ko:K07667	mmv:MYCMA_1782
ko:K07646	mmv:MYCMA_1783
ko:K01548	mmv:MYCMA_1784
ko:K01547	mmv:MYCMA_1785
ko:K01546	mmv:MYCMA_1786
ko:K03685	mmv:MYCMA_1788
ko:K00954	mmv:MYCMA_1791
ko:K03655	mmv:MYCMA_1799
ko:K03648	mmv:MYCMA_1803
ko:K00946	mmv:MYCMA_1804
ko:K01921	mmv:MYCMA_1805
ko:K00057	mmv:MYCMA_1807
ko:K00937	mmv:MYCMA_1809
ko:K03975	mmv:MYCMA_2572
ko:K02003	mmv:MYCMA_2575
ko:K04487	mmv:MYCMA_2576
ko:K14347	mmv:MYCMA_2597
ko:K01644	mmv:MYCMA_2601
ko:K07001	mmv:MYCMA_2608
ko:K07001	mmv:MYCMA_2611
ko:K01421	mmv:MYCMA_2612
ko:K00790	mmv:MYCMA_0782
ko:K05606	mmv:MYCMA_0789
ko:K05838	mmv:MYCMA_0792
ko:K16147	mmv:MYCMA_0794
ko:K00688	mmv:MYCMA_0795
ko:K08281	mmv:MYCMA_0797
ko:K00763	mmv:MYCMA_0798
ko:K06891	mmv:MYCMA_0799
ko:K01776	mmv:MYCMA_0805
ko:K00989	mmv:MYCMA_0807
ko:K03710	mmv:MYCMA_0818
ko:K11081	mmv:MYCMA_0820
