ko:K22477	blx:GS08_00965
ko:K14227	blx:GS08_00095
ko:K14219	blx:GS08_02880
ko:K14219	blx:GS08_04100
ko:K14219	blx:GS08_04105
ko:K14235	blx:GS08_09465
ko:K14233	blx:GS08_08815
ko:K14233	blx:GS08_08935
ko:K18955	blx:GS08_03625
ko:K18955	blx:GS08_03645
ko:K14233	blx:GS08_09165
ko:K14219	blx:GS08_01505
ko:K14222	blx:GS08_05485
ko:K14228	blx:GS08_02050
ko:K14225	blx:GS08_09360
ko:K01802	blx:GS08_03590
ko:K02483	blx:GS08_07645
ko:K14218	blx:GS08_10095
ko:K14234	blx:GS08_10505
ko:K00991	blx:GS08_01745
ko:K01985	blx:GS08_06930
ko:K01985	blx:GS08_09430
ko:K01985	blx:GS08_10285
ko:K13059	blx:GS08_08735
ko:K03306	blx:GS08_04320
ko:K07220	blx:GS08_04325
ko:K03655	blx:GS08_04360
ko:K05995	blx:GS08_04390
ko:K08281	blx:GS08_04395
ko:K07727	blx:GS08_04420
ko:K03816	blx:GS08_04430
ko:K03657	blx:GS08_04435
ko:K02004	blx:GS08_04445
ko:K02003	blx:GS08_04450
ko:K02986	blx:GS08_04455
ko:K07010	blx:GS08_04460
ko:K01489	blx:GS08_04465
ko:K01872	blx:GS08_04510
ko:K07447	blx:GS08_04515
ko:K07082	blx:GS08_04520
ko:K02654	blx:GS08_04525
ko:K01736	blx:GS08_04530
ko:K13829	blx:GS08_04535
ko:K03786	blx:GS08_04540
ko:K01937	blx:GS08_04545
ko:K09014	blx:GS08_04550
ko:K09015	blx:GS08_04555
ko:K02946	blx:GS08_09100
ko:K01575	blx:GS08_09105
ko:K04072	blx:GS08_09115
ko:K02996	blx:GS08_09130
ko:K02871	blx:GS08_09135
ko:K00705	blx:GS08_09140
ko:K07282	blx:GS08_09160
ko:K11939	blx:GS08_09170
ko:K02346	blx:GS08_09175
ko:K03294	blx:GS08_09190
ko:K00075	blx:GS08_09195
ko:K02913	blx:GS08_09200
ko:K04078	blx:GS08_09230
ko:K03790	blx:GS08_09240
ko:K01934	blx:GS08_09245
ko:K02935	blx:GS08_09275
ko:K02864	blx:GS08_09280
ko:K06901	blx:GS08_09290
ko:K00962	blx:GS08_09295
ko:K02956	blx:GS08_09300
ko:K00997	blx:GS08_09370
ko:K11533	blx:GS08_09385
ko:K11263	blx:GS08_09395
ko:K03523	blx:GS08_09400
ko:K07243	blx:GS08_01075
ko:K07230	blx:GS08_01080
ko:K02004	blx:GS08_01090
ko:K02004	blx:GS08_01095
ko:K02003	blx:GS08_01100
ko:K01421	blx:GS08_01115
ko:K01421	blx:GS08_01120
ko:K00033	blx:GS08_01130
ko:K01057	blx:GS08_01135
ko:K00036	blx:GS08_01145
ko:K08659	blx:GS08_01155
ko:K03110	blx:GS08_01180
ko:K03320	blx:GS08_01185
ko:K04751	blx:GS08_01190
ko:K00990	blx:GS08_01195
ko:K07009	blx:GS08_01215
ko:K03688	blx:GS08_01225
ko:K03315	blx:GS08_03000
ko:K01952	blx:GS08_03050
ko:K01923	blx:GS08_03055
ko:K08289	blx:GS08_03065
ko:K01620	blx:GS08_03075
ko:K03453	blx:GS08_03085
ko:K02950	blx:GS08_03090
ko:K02992	blx:GS08_03095
ko:K02355	blx:GS08_03100
ko:K02358	blx:GS08_03105
ko:K06199	blx:GS08_03130
ko:K06199	blx:GS08_03135
ko:K07133	blx:GS08_03145
ko:K07220	blx:GS08_03150
ko:K01126	blx:GS08_03155
ko:K05813	blx:GS08_03160
ko:K05815	blx:GS08_03165
ko:K05814	blx:GS08_03170
ko:K03306	blx:GS08_03175
ko:K03701	blx:GS08_03215
ko:K07457	blx:GS08_03225
ko:K01195	blx:GS08_03245
ko:K01915	blx:GS08_03250
ko:K00382	blx:GS08_03260
ko:K16925	blx:GS08_03275
ko:K16786	blx:GS08_03280
ko:K16787	blx:GS08_03280
ko:K10440	blx:GS08_07910
ko:K10441	blx:GS08_07915
ko:K02529	blx:GS08_07920
ko:K06147	blx:GS08_07925
ko:K06147	blx:GS08_07930
ko:K06330	blx:GS08_07950
ko:K01784	blx:GS08_07975
ko:K05349	blx:GS08_07980
ko:K05349	blx:GS08_08005
ko:K01919	blx:GS08_08015
