ko:K18929	ccf:YSQ_00385
ko:K14228	ccf:YSQ_09530
ko:K14226	ccf:YSQ_09545
ko:K14232	ccf:YSQ_09550
ko:K18928	ccf:YSQ_00390
ko:K18139	ccf:YSQ_08060
ko:K03496	ccf:YSQ_09940
ko:K03196	ccf:YSQ_10030
ko:K18682	ccf:YSQ_02920
ko:K07171	ccf:YSQ_06525
ko:K02031	ccf:YSQ_00990
ko:K11015	ccf:YSQ_08455
ko:K11015	ccf:YSQ_08460
ko:K18291	ccf:YSQ_07650
ko:K11014	ccf:YSQ_08450
ko:K17248	ccf:YSQ_03335
ko:K11013	ccf:YSQ_08445
ko:K02482	ccf:YSQ_04885
ko:K01174	ccf:YSQ_04125
ko:K04753	ccf:YSQ_01305
ko:K06148	ccf:YSQ_03320
ko:K07216	ccf:YSQ_02835
ko:K06207	ccf:YSQ_00240
ko:K02389	ccf:YSQ_00255
ko:K02390	ccf:YSQ_00260
ko:K03319	ccf:YSQ_00275
ko:K00566	ccf:YSQ_00280
ko:K06966	ccf:YSQ_00285
ko:K02417	ccf:YSQ_00310
ko:K02416	ccf:YSQ_00315
ko:K02405	ccf:YSQ_00320
ko:K04562	ccf:YSQ_00330
ko:K02404	ccf:YSQ_00335
ko:K00950	ccf:YSQ_00340
ko:K03786	ccf:YSQ_00345
ko:K04773	ccf:YSQ_00355
ko:K00782	ccf:YSQ_00380
ko:K03303	ccf:YSQ_00395
ko:K00425	ccf:YSQ_00405
ko:K00426	ccf:YSQ_00410
ko:K01779	ccf:YSQ_00430
ko:K03648	ccf:YSQ_00435
ko:K01744	ccf:YSQ_00440
ko:K07791	ccf:YSQ_00445
ko:K09859	ccf:YSQ_00450
ko:K07337	ccf:YSQ_00455
ko:K02888	ccf:YSQ_00465
ko:K02899	ccf:YSQ_00470
ko:K03979	ccf:YSQ_00475
ko:K02003	ccf:YSQ_00490
ko:K02004	ccf:YSQ_00495
ko:K02004	ccf:YSQ_00500
ko:K07230	ccf:YSQ_00510
ko:K07243	ccf:YSQ_00515
ko:K03313	ccf:YSQ_00525
ko:K03313	ccf:YSQ_00530
ko:K07107	ccf:YSQ_05065
ko:K09815	ccf:YSQ_05120
ko:K03711	ccf:YSQ_05125
ko:K03100	ccf:YSQ_05130
ko:K01491	ccf:YSQ_05135
ko:K01845	ccf:YSQ_05145
ko:K04061	ccf:YSQ_05170
ko:K01613	ccf:YSQ_05175
ko:K07098	ccf:YSQ_05180
ko:K01885	ccf:YSQ_05185
ko:K02221	ccf:YSQ_05190
ko:K08309	ccf:YSQ_05195
ko:K03753	ccf:YSQ_05205
ko:K03841	ccf:YSQ_05210
ko:K01874	ccf:YSQ_05215
ko:K01772	ccf:YSQ_05220
ko:K00567	ccf:YSQ_05225
ko:K01682	ccf:YSQ_05230
ko:K09943	ccf:YSQ_05255
ko:K06929	ccf:YSQ_05260
ko:K01754	ccf:YSQ_05265
ko:K06173	ccf:YSQ_05270
ko:K07091	ccf:YSQ_05275
ko:K02654	ccf:YSQ_05280
ko:K13038	ccf:YSQ_05295
ko:K04042	ccf:YSQ_05300
ko:K02419	ccf:YSQ_05305
ko:K02030	ccf:YSQ_05320
ko:K00979	ccf:YSQ_05335
ko:K01733	ccf:YSQ_05340
ko:K00912	ccf:YSQ_05345
ko:K04744	ccf:YSQ_02640
ko:K01945	ccf:YSQ_02650
ko:K01951	ccf:YSQ_02670
ko:K03703	ccf:YSQ_02685
ko:K01599	ccf:YSQ_02700
ko:K00097	ccf:YSQ_02715
ko:K03474	ccf:YSQ_02720
ko:K01524	ccf:YSQ_02725
ko:K01879	ccf:YSQ_02750
ko:K01091	ccf:YSQ_02755
ko:K03455	ccf:YSQ_02765
ko:K13640	ccf:YSQ_02770
ko:K05516	ccf:YSQ_02775
ko:K02484	ccf:YSQ_02790
ko:K08738	ccf:YSQ_02815
ko:K02484	ccf:YSQ_02845
ko:K04077	ccf:YSQ_02860
ko:K04078	ccf:YSQ_02865
ko:K00793	ccf:YSQ_02875
ko:K05810	ccf:YSQ_02880
ko:K00104	ccf:YSQ_02900
ko:K07058	ccf:YSQ_02905
ko:K02238	ccf:YSQ_02910
ko:K01934	ccf:YSQ_02925
ko:K03110	ccf:YSQ_02935
ko:K03534	ccf:YSQ_07400
ko:K02429	ccf:YSQ_07410
ko:K18333	ccf:YSQ_07415
ko:K16850	ccf:YSQ_07425
ko:K16849	ccf:YSQ_07430
ko:K01714	ccf:YSQ_07435
ko:K03043	ccf:YSQ_07450
ko:K02935	ccf:YSQ_07455
ko:K02864	ccf:YSQ_07460
ko:K02863	ccf:YSQ_07465
ko:K02867	ccf:YSQ_07470
ko:K02601	ccf:YSQ_07475
ko:K03073	ccf:YSQ_07480
ko:K02913	ccf:YSQ_07490
ko:K02358	ccf:YSQ_07495
ko:K02028	ccf:YSQ_07520
ko:K02029	ccf:YSQ_07525
ko:K02029	ccf:YSQ_07530
ko:K06886	ccf:YSQ_07540
ko:K03655	ccf:YSQ_07545
ko:K11784	ccf:YSQ_07555
ko:K02600	ccf:YSQ_07565
ko:K06168	ccf:YSQ_07575
ko:K09778	ccf:YSQ_07580
ko:K03147	ccf:YSQ_07600
ko:K02342	ccf:YSQ_07605
ko:K01783	ccf:YSQ_07610
ko:K02902	ccf:YSQ_07615
ko:K09794	ccf:YSQ_07620
ko:K08077	ccf:YSQ_07630
ko:K16089	ccf:YSQ_07635
ko:K18289	ccf:YSQ_07645
ko:K01962	ccf:YSQ_07660
ko:K09458	ccf:YSQ_07665
ko:K02078	ccf:YSQ_07670
ko:K03707	ccf:YSQ_07675
ko:K01776	ccf:YSQ_00540
ko:K01265	ccf:YSQ_00545
ko:K18480	ccf:YSQ_00555
ko:K02067	ccf:YSQ_00560
ko:K02065	ccf:YSQ_00565
ko:K02066	ccf:YSQ_00570
ko:K00615	ccf:YSQ_00575
ko:K00795	ccf:YSQ_00580
ko:K09747	ccf:YSQ_00590
ko:K01928	ccf:YSQ_00595
ko:K03469	ccf:YSQ_00620
ko:K03685	ccf:YSQ_00625
ko:K01736	ccf:YSQ_00630
ko:K15125	ccf:YSQ_00650
ko:K00566	ccf:YSQ_00665
ko:K03559	ccf:YSQ_00680
ko:K03561	ccf:YSQ_00685
ko:K03837	ccf:YSQ_00700
ko:K01752	ccf:YSQ_00705
ko:K11752	ccf:YSQ_00715
ko:K03575	ccf:YSQ_00765
ko:K02016	ccf:YSQ_00780
ko:K02013	ccf:YSQ_00785
ko:K02015	ccf:YSQ_00790
ko:K02014	ccf:YSQ_00795
ko:K07226	ccf:YSQ_00800
ko:K02835	ccf:YSQ_00805
ko:K02968	ccf:YSQ_00810
ko:K00958	ccf:YSQ_00820
ko:K12506	ccf:YSQ_00830
ko:K03593	ccf:YSQ_00835
ko:K00674	ccf:YSQ_00840
ko:K01916	ccf:YSQ_05350
ko:K00076	ccf:YSQ_05365
ko:K01714	ccf:YSQ_05370
ko:K00254	ccf:YSQ_05380
ko:K11085	ccf:YSQ_05385
ko:K01883	ccf:YSQ_05390
ko:K03980	ccf:YSQ_05395
ko:K03550	ccf:YSQ_05405
ko:K01921	ccf:YSQ_05410
ko:K01929	ccf:YSQ_05425
ko:K05939	ccf:YSQ_05430
ko:K07088	ccf:YSQ_05435
ko:K01433	ccf:YSQ_05440
ko:K00974	ccf:YSQ_05445
ko:K02570	ccf:YSQ_05480
ko:K02568	ccf:YSQ_05490
ko:K02574	ccf:YSQ_05495
ko:K02573	ccf:YSQ_05500
ko:K02567	ccf:YSQ_05505
ko:K11065	ccf:YSQ_05510
ko:K03657	ccf:YSQ_05520
ko:K01873	ccf:YSQ_05530
ko:K02071	ccf:YSQ_05535
ko:K02072	ccf:YSQ_05540
ko:K02073	ccf:YSQ_05545
ko:K02073	ccf:YSQ_05550
ko:K02073	ccf:YSQ_05555
ko:K03186	ccf:YSQ_05565
ko:K00954	ccf:YSQ_05570
ko:K00943	ccf:YSQ_05575
ko:K01892	ccf:YSQ_05580
ko:K01585	ccf:YSQ_05585
ko:K00640	ccf:YSQ_05590
ko:K00812	ccf:YSQ_05595
ko:K02415	ccf:YSQ_05610
ko:K04043	ccf:YSQ_05615
ko:K03687	ccf:YSQ_05620
ko:K03705	ccf:YSQ_05625
ko:K16089	ccf:YSQ_05630
ko:K01591	ccf:YSQ_07980
ko:K17247	ccf:YSQ_07995
ko:K09767	ccf:YSQ_08015
ko:K02970	ccf:YSQ_08035
ko:K03585	ccf:YSQ_08050
ko:K08973	ccf:YSQ_08075
ko:K03101	ccf:YSQ_08080
ko:K03431	ccf:YSQ_08085
ko:K00428	ccf:YSQ_08090
ko:K08591	ccf:YSQ_08095
ko:K01633	ccf:YSQ_08100
ko:K01524	ccf:YSQ_08115
ko:K02417	ccf:YSQ_08125
ko:K01695	ccf:YSQ_08135
ko:K01696	ccf:YSQ_08140
ko:K01817	ccf:YSQ_08145
ko:K13497	ccf:YSQ_08150
ko:K01657	ccf:YSQ_08155
ko:K11755	ccf:YSQ_00850
ko:K02500	ccf:YSQ_00855
ko:K01814	ccf:YSQ_00860
ko:K02501	ccf:YSQ_00865
ko:K01089	ccf:YSQ_00870
ko:K00013	ccf:YSQ_00875
ko:K00765	ccf:YSQ_00880
ko:K02879	ccf:YSQ_00885
ko:K03040	ccf:YSQ_00890
ko:K02986	ccf:YSQ_00895
ko:K02948	ccf:YSQ_00900
ko:K02952	ccf:YSQ_00905
ko:K02919	ccf:YSQ_00910
ko:K02518	ccf:YSQ_00915
ko:K06159	ccf:YSQ_00960
ko:K02035	ccf:YSQ_00975
ko:K02033	ccf:YSQ_00980
ko:K02034	ccf:YSQ_00985
ko:K00330	ccf:YSQ_01000
ko:K00331	ccf:YSQ_01005
ko:K00332	ccf:YSQ_01010
ko:K00333	ccf:YSQ_01015
ko:K00334	ccf:YSQ_01020
ko:K00337	ccf:YSQ_01035
ko:K00338	ccf:YSQ_01040
ko:K00339	ccf:YSQ_01045
ko:K00340	ccf:YSQ_01050
ko:K00341	ccf:YSQ_01055
ko:K00342	ccf:YSQ_01060
ko:K00343	ccf:YSQ_01065
ko:K03781	ccf:YSQ_01105
ko:K02846	ccf:YSQ_01115
ko:K07002	ccf:YSQ_01120
ko:K03427	ccf:YSQ_01125
ko:K03832	ccf:YSQ_05635
ko:K02030	ccf:YSQ_05680
ko:K02052	ccf:YSQ_05690
ko:K02053	ccf:YSQ_05695
ko:K02054	ccf:YSQ_05700
ko:K02055	ccf:YSQ_05715
ko:K03284	ccf:YSQ_05720
ko:K03831	ccf:YSQ_05725
ko:K06013	ccf:YSQ_05735
ko:K02493	ccf:YSQ_05740
ko:K02406	ccf:YSQ_05750
ko:K06997	ccf:YSQ_05755
ko:K02337	ccf:YSQ_05760
ko:K01626	ccf:YSQ_05770
ko:K07127	ccf:YSQ_05775
ko:K02884	ccf:YSQ_05780
ko:K00554	ccf:YSQ_05785
ko:K02860	ccf:YSQ_05790
ko:K06960	ccf:YSQ_05795
ko:K02959	ccf:YSQ_05800
ko:K03106	ccf:YSQ_05805
ko:K06180	ccf:YSQ_05810
ko:K02527	ccf:YSQ_05815
ko:K07164	ccf:YSQ_05820
ko:K01878	ccf:YSQ_05830
ko:K01588	ccf:YSQ_05840
ko:K08303	ccf:YSQ_05845
ko:K01915	ccf:YSQ_05855
ko:K02392	ccf:YSQ_05860
ko:K02392	ccf:YSQ_05865
ko:K03531	ccf:YSQ_05870
ko:K03590	ccf:YSQ_05875
ko:K03770	ccf:YSQ_05880
ko:K03438	ccf:YSQ_05885
ko:K00925	ccf:YSQ_05900
ko:K13788	ccf:YSQ_05905
ko:K02393	ccf:YSQ_05910
ko:K02517	ccf:YSQ_03300
ko:K02841	ccf:YSQ_03305
ko:K07501	ccf:YSQ_03310
ko:K01784	ccf:YSQ_03315
ko:K03413	ccf:YSQ_03375
ko:K02687	ccf:YSQ_03380
ko:K03798	ccf:YSQ_03385
ko:K01613	ccf:YSQ_03390
ko:K17103	ccf:YSQ_03395
ko:K07305	ccf:YSQ_03405
ko:K05595	ccf:YSQ_03410
ko:K00684	ccf:YSQ_03415
ko:K03694	ccf:YSQ_03420
ko:K06891	ccf:YSQ_03425
ko:K03664	ccf:YSQ_03435
ko:K00919	ccf:YSQ_03440
ko:K03563	ccf:YSQ_03445
ko:K03177	ccf:YSQ_03450
ko:K03657	ccf:YSQ_03455
ko:K08602	ccf:YSQ_03465
ko:K00609	ccf:YSQ_03470
ko:K07862	ccf:YSQ_03475
ko:K00789	ccf:YSQ_03480
ko:K03820	ccf:YSQ_03505
ko:K03210	ccf:YSQ_03515
ko:K03072	ccf:YSQ_03520
ko:K03074	ccf:YSQ_03525
ko:K01869	ccf:YSQ_03530
ko:K07090	ccf:YSQ_08160
ko:K03701	ccf:YSQ_08165
ko:K02556	ccf:YSQ_08195
ko:K02557	ccf:YSQ_08200
ko:K02401	ccf:YSQ_08205
ko:K03386	ccf:YSQ_08210
ko:K00940	ccf:YSQ_08220
ko:K02911	ccf:YSQ_08230
ko:K03621	ccf:YSQ_08235
ko:K00648	ccf:YSQ_08240
ko:K00831	ccf:YSQ_08245
ko:K03601	ccf:YSQ_08250
ko:K07795	ccf:YSQ_08255
ko:K07793	ccf:YSQ_08265
ko:K03183	ccf:YSQ_08270
ko:K09825	ccf:YSQ_08280
ko:K01662	ccf:YSQ_08285
ko:K02411	ccf:YSQ_08290
ko:K02410	ccf:YSQ_08295
ko:K02409	ccf:YSQ_08300
ko:K00817	ccf:YSQ_08305
ko:K14170	ccf:YSQ_08310
ko:K02566	ccf:YSQ_08315
ko:K01586	ccf:YSQ_08320
ko:K11720	ccf:YSQ_08325
ko:K01056	ccf:YSQ_08330
ko:K02897	ccf:YSQ_08335
ko:K01935	ccf:YSQ_08350
ko:K00833	ccf:YSQ_08355
ko:K00652	ccf:YSQ_08360
ko:K09789	ccf:YSQ_08365
ko:K02169	ccf:YSQ_08370
ko:K02020	ccf:YSQ_08375
ko:K02018	ccf:YSQ_08385
ko:K02017	ccf:YSQ_08390
ko:K00606	ccf:YSQ_08400
ko:K01918	ccf:YSQ_08405
ko:K01579	ccf:YSQ_08410
ko:K03830	ccf:YSQ_08415
ko:K03787	ccf:YSQ_08425
ko:K01154	ccf:YSQ_01135
ko:K01153	ccf:YSQ_01145
ko:K13979	ccf:YSQ_01150
ko:K03098	ccf:YSQ_01155
ko:K03923	ccf:YSQ_01165
