ko:K19079	sauz:SAZ172_0672
ko:K09022	sauz:SAZ172_0498
ko:K19005	sauz:SAZ172_0729
ko:K19279	sauz:SAZ172_1668
ko:K19285	sauz:SAZ172_0384
ko:K07145	sauz:SAZ172_0175
ko:K02545	sauz:SAZ172_0072
ko:K05352	sauz:SAZ172_0259
ko:K09692	sauz:SAZ172_0650
ko:K18938	sauz:SAZ172_p132
ko:K18936	sauz:SAZ172_2519
ko:K18934	sauz:SAZ172_2268
ko:K18935	sauz:SAZ172_2270
ko:K03328	sauz:SAZ172_0142
ko:K03328	sauz:SAZ172_0506
ko:K18940	sauz:SAZ172_1426
ko:K21454	sauz:SAZ172_2460
ko:K07045	sauz:SAZ172_2678
ko:K19975	sauz:SAZ172_0643
ko:K19973	sauz:SAZ172_0645
ko:K07483	sauz:SAZ172_0423
ko:K14224	sauz:SAZ172_t01
ko:K14224	sauz:SAZ172_t18
ko:K14224	sauz:SAZ172_t59
ko:K14219	sauz:SAZ172_t09
ko:K14219	sauz:SAZ172_t44
ko:K02547	sauz:SAZ172_0073
ko:K01977	sauz:SAZ172_r01
ko:K01977	sauz:SAZ172_r05
ko:K01977	sauz:SAZ172_r13
ko:K01977	sauz:SAZ172_r10
ko:K01977	sauz:SAZ172_r16
ko:K01985	sauz:SAZ172_r03
ko:K01985	sauz:SAZ172_r14
ko:K01985	sauz:SAZ172_r04
ko:K01985	sauz:SAZ172_r08
ko:K01985	sauz:SAZ172_r11
ko:K01985	sauz:SAZ172_r07
ko:K01791	sauz:SAZ172_2215
ko:K00226	sauz:SAZ172_2709
ko:K01791	sauz:SAZ172_0174
ko:K06518	sauz:SAZ172_2638
ko:K04757	sauz:SAZ172_2170
ko:K07284	sauz:SAZ172_2626
ko:K11928	sauz:SAZ172_1914
ko:K01658	sauz:SAZ172_1379
ko:K01739	sauz:SAZ172_0361
ko:K14219	sauz:SAZ172_t16
ko:K14232	sauz:SAZ172_t10
ko:K14232	sauz:SAZ172_t43
ko:K14218	sauz:SAZ172_t11
ko:K14218	sauz:SAZ172_t51
ko:K14218	sauz:SAZ172_t42
ko:K14220	sauz:SAZ172_t15
ko:K14220	sauz:SAZ172_t60
ko:K14220	sauz:SAZ172_t19
ko:K14226	sauz:SAZ172_t21
ko:K14226	sauz:SAZ172_t29
ko:K14231	sauz:SAZ172_t22
ko:K14231	sauz:SAZ172_t33
ko:K14230	sauz:SAZ172_t24
ko:K14230	sauz:SAZ172_t38
ko:K14230	sauz:SAZ172_t35
ko:K14230	sauz:SAZ172_t40
ko:K14225	sauz:SAZ172_t26
ko:K02171	sauz:SAZ172_2688
ko:K12574	sauz:SAZ172_1028
ko:K12574	sauz:SAZ172_1279
ko:K14221	sauz:SAZ172_t02
ko:K14221	sauz:SAZ172_t37
ko:K14221	sauz:SAZ172_t23
ko:K14221	sauz:SAZ172_t34
ko:K14233	sauz:SAZ172_t03
ko:K14233	sauz:SAZ172_t39
ko:K14233	sauz:SAZ172_t36
ko:K14233	sauz:SAZ172_t14
ko:K14233	sauz:SAZ172_t17
ko:K01980	sauz:SAZ172_r02
ko:K01980	sauz:SAZ172_r06
ko:K01980	sauz:SAZ172_r09
ko:K01980	sauz:SAZ172_r15
ko:K01980	sauz:SAZ172_r12
ko:K14237	sauz:SAZ172_t04
ko:K14237	sauz:SAZ172_t50
ko:K14237	sauz:SAZ172_t58
ko:K14234	sauz:SAZ172_t05
ko:K14234	sauz:SAZ172_t32
ko:K14234	sauz:SAZ172_t49
ko:K14229	sauz:SAZ172_t06
ko:K14229	sauz:SAZ172_t48
ko:K14229	sauz:SAZ172_t55
ko:K14225	sauz:SAZ172_t07
ko:K14225	sauz:SAZ172_t46
ko:K14225	sauz:SAZ172_t20
ko:K14225	sauz:SAZ172_t53
ko:K14228	sauz:SAZ172_t25
ko:K14219	sauz:SAZ172_t13
ko:K14227	sauz:SAZ172_t12
ko:K14227	sauz:SAZ172_t52
ko:K14230	sauz:SAZ172_t41
ko:K14235	sauz:SAZ172_t30
ko:K07979	sauz:SAZ172_1947
ko:K10212	sauz:SAZ172_2665
ko:K12942	sauz:SAZ172_2576
ko:K03574	sauz:SAZ172_2586
ko:K01835	sauz:SAZ172_2588
ko:K00963	sauz:SAZ172_2596
ko:K13732	sauz:SAZ172_2599
ko:K03299	sauz:SAZ172_2601
ko:K00851	sauz:SAZ172_2602
