ko:K07726	nmi:NMO_0277
ko:K01297	nmi:NMO_1449
ko:K13038	nmi:NMO_1478
ko:K14682	nmi:NMO_0290
ko:K00018	nmi:NMO_1977
ko:K01784	nmi:NMO_1945
ko:K00568	nmi:NMO_0136
ko:K00956	nmi:NMO_1009
ko:K03767	nmi:NMO_1106
ko:K02671	nmi:NMO_0764
ko:K12340	nmi:NMO_1555
ko:K00785	nmi:NMO_0817
ko:K21345	nmi:NMO_0091
ko:K07126	nmi:NMO_1621
ko:K07126	nmi:NMO_1167
ko:K00951	nmi:NMO_1553
ko:K03446	nmi:NMO_1721
ko:K04751	nmi:NMO_0172
ko:K11754	nmi:NMO_0585
ko:K02824	nmi:NMO_1155
ko:K07215	nmi:NMO_1487
ko:K01491	nmi:NMO_0090
ko:K13292	nmi:NMO_0975
ko:K18929	nmi:NMO_1270
ko:K01897	nmi:NMO_1117
ko:K01897	nmi:NMO_1365
ko:K01916	nmi:NMO_1200
ko:K00004	nmi:NMO_0489
ko:K05685	nmi:NMO_0431
ko:K01079	nmi:NMO_0881
ko:K01424	nmi:NMO_1507
ko:K12262	nmi:NMO_0080
ko:K13288	nmi:NMO_0303
ko:K06183	nmi:NMO_1139
ko:K00297	nmi:NMO_0840
ko:K02116	nmi:NMO_0229
ko:K04774	nmi:NMO_1415
ko:K00215	nmi:NMO_1837
ko:K11189	nmi:NMO_0123
ko:K00974	nmi:NMO_1054
ko:K01420	nmi:NMO_1659
ko:K00407	nmi:NMO_1539
ko:K02503	nmi:NMO_0487
ko:K01961	nmi:NMO_0305
ko:K13788	nmi:NMO_0518
ko:K07684	nmi:NMO_1063
ko:K00620	nmi:NMO_0161
ko:K03768	nmi:NMO_0679
ko:K01347	nmi:NMO_0169
ko:K01347	nmi:NMO_0193
ko:K01347	nmi:NMO_0592
ko:K12690	nmi:NMO_0900
ko:K00557	nmi:NMO_1498
ko:K13628	nmi:NMO_1222
ko:K00821	nmi:NMO_1210
ko:K01838	nmi:NMO_1650
ko:K00835	nmi:NMO_0354
ko:K00652	nmi:NMO_1570
ko:K14058	nmi:NMO_1105
ko:K13953	nmi:NMO_0428
ko:K13821	nmi:NMO_1638
ko:K03342	nmi:NMO_0198
ko:K13888	nmi:NMO_0430
ko:K02663	nmi:NMO_0369
ko:K09457	nmi:NMO_1723
ko:K08305	nmi:NMO_1122
ko:K00281	nmi:NMO_1495
ko:K00537	nmi:NMO_0012
ko:K06518	nmi:NMO_0163
ko:K03787	nmi:NMO_1313
ko:K00135	nmi:NMO_1316
ko:K06200	nmi:NMO_1318
ko:K00928	nmi:NMO_1322
ko:K00989	nmi:NMO_1323
ko:K05896	nmi:NMO_1326
ko:K00763	nmi:NMO_1327
ko:K01887	nmi:NMO_1328
ko:K01807	nmi:NMO_1332
ko:K01770	nmi:NMO_1333
ko:K00991	nmi:NMO_1334
ko:K02342	nmi:NMO_1335
ko:K00925	nmi:NMO_1339
ko:K04084	nmi:NMO_1340
ko:K03775	nmi:NMO_1343
ko:K03664	nmi:NMO_1347
ko:K02843	nmi:NMO_1348
ko:K00567	nmi:NMO_1349
ko:K01439	nmi:NMO_1351
ko:K03070	nmi:NMO_1356
ko:K02316	nmi:NMO_1357
ko:K03086	nmi:NMO_1358
ko:K01937	nmi:NMO_1364
ko:K00566	nmi:NMO_1366
ko:K00901	nmi:NMO_1368
ko:K01920	nmi:NMO_1369
ko:K01886	nmi:NMO_1370
ko:K02444	nmi:NMO_1371
ko:K11175	nmi:NMO_1377
ko:K02339	nmi:NMO_1379
ko:K01255	nmi:NMO_1380
ko:K07091	nmi:NMO_1381
ko:K11720	nmi:NMO_1382
ko:K01682	nmi:NMO_1383
ko:K00611	nmi:NMO_1384
ko:K00053	nmi:NMO_1385
ko:K01653	nmi:NMO_1387
ko:K01652	nmi:NMO_1388
ko:K07152	nmi:NMO_1406
ko:K00765	nmi:NMO_1407
ko:K00013	nmi:NMO_1409
ko:K00817	nmi:NMO_1410
ko:K01693	nmi:NMO_1411
ko:K00995	nmi:NMO_1416
ko:K11073	nmi:NMO_1422
ko:K01872	nmi:NMO_1423
ko:K00558	nmi:NMO_1425
ko:K03304	nmi:NMO_1428
ko:K02621	nmi:NMO_1430
ko:K10764	nmi:NMO_1436
ko:K01676	nmi:NMO_1440
ko:K03499	nmi:NMO_1441
ko:K03469	nmi:NMO_1445
ko:K00432	nmi:NMO_1450
ko:K04561	nmi:NMO_1451
ko:K03760	nmi:NMO_1456
ko:K00831	nmi:NMO_1458
ko:K09748	nmi:NMO_1459
ko:K02600	nmi:NMO_1460
ko:K02519	nmi:NMO_1461
ko:K11068	nmi:NMO_1464
ko:K03310	nmi:NMO_1465
ko:K03611	nmi:NMO_1467
ko:K02860	nmi:NMO_0476
ko:K02959	nmi:NMO_0477
ko:K06287	nmi:NMO_0483
ko:K03118	nmi:NMO_0484
ko:K03117	nmi:NMO_0485
ko:K03116	nmi:NMO_0486
ko:K01523	nmi:NMO_0488
ko:K03210	nmi:NMO_0491
ko:K03072	nmi:NMO_0492
ko:K03074	nmi:NMO_0493
ko:K02956	nmi:NMO_0494
ko:K11076	nmi:NMO_0496
ko:K11075	nmi:NMO_0497
ko:K11074	nmi:NMO_0498
ko:K09471	nmi:NMO_0499
ko:K03320	nmi:NMO_0500
ko:K03628	nmi:NMO_0503
ko:K01007	nmi:NMO_0504
ko:K09773	nmi:NMO_0505
ko:K03634	nmi:NMO_0509
ko:K02837	nmi:NMO_0513
ko:K01496	nmi:NMO_0514
ko:K02500	nmi:NMO_0515
ko:K01814	nmi:NMO_0516
ko:K02501	nmi:NMO_0517
ko:K02011	nmi:NMO_0520
ko:K02012	nmi:NMO_0521
ko:K01755	nmi:NMO_0523
ko:K00963	nmi:NMO_0524
ko:K01507	nmi:NMO_0527
ko:K01775	nmi:NMO_1470
ko:K09157	nmi:NMO_1471
ko:K07166	nmi:NMO_1472
ko:K07320	nmi:NMO_1474
ko:K03060	nmi:NMO_1480
ko:K00942	nmi:NMO_1481
ko:K00759	nmi:NMO_1482
ko:K08303	nmi:NMO_1484
ko:K03808	nmi:NMO_1488
ko:K06192	nmi:NMO_1489
ko:K09857	nmi:NMO_1490
ko:K01246	nmi:NMO_1491
ko:K00832	nmi:NMO_1497
ko:K01736	nmi:NMO_1499
ko:K02622	nmi:NMO_1501
ko:K08311	nmi:NMO_1502
ko:K01875	nmi:NMO_1503
ko:K03778	nmi:NMO_1504
ko:K02835	nmi:NMO_1505
ko:K03424	nmi:NMO_1506
ko:K03431	nmi:NMO_1509
ko:K00796	nmi:NMO_1510
ko:K03182	nmi:NMO_1512
ko:K03308	nmi:NMO_1521
ko:K00560	nmi:NMO_1523
ko:K00262	nmi:NMO_1524
ko:K08310	nmi:NMO_0528
ko:K03498	nmi:NMO_0546
ko:K01525	nmi:NMO_0547
ko:K01972	nmi:NMO_0551
ko:K03806	nmi:NMO_0553
ko:K07082	nmi:NMO_0554
ko:K00943	nmi:NMO_0555
ko:K00912	nmi:NMO_0558
ko:K09924	nmi:NMO_0559
ko:K09791	nmi:NMO_0560
ko:K00979	nmi:NMO_0561
ko:K01695	nmi:NMO_0564
ko:K01963	nmi:NMO_0565
ko:K01465	nmi:NMO_0569
ko:K00558	nmi:NMO_0571
ko:K03625	nmi:NMO_0573
ko:K00794	nmi:NMO_0574
ko:K03685	nmi:NMO_0576
ko:K03595	nmi:NMO_0577
ko:K01817	nmi:NMO_0580
ko:K04760	nmi:NMO_0581
ko:K00764	nmi:NMO_0582
ko:K03558	nmi:NMO_0583
ko:K02528	nmi:NMO_0589
ko:K01696	nmi:NMO_0591
ko:K03585	nmi:NMO_1532
ko:K03577	nmi:NMO_1533
ko:K03583	nmi:NMO_1536
ko:K00405	nmi:NMO_1540
ko:K00404	nmi:NMO_1541
ko:K03559	nmi:NMO_1544
ko:K03561	nmi:NMO_1545
ko:K03675	nmi:NMO_1551
ko:K11003	nmi:NMO_1556
ko:K07131	nmi:NMO_1563
ko:K02169	nmi:NMO_1568
ko:K03319	nmi:NMO_1572
ko:K01480	nmi:NMO_1573
ko:K01585	nmi:NMO_1574
ko:K01876	nmi:NMO_1576
ko:K01058	nmi:NMO_1578
ko:K02968	nmi:NMO_1579
ko:K01776	nmi:NMO_1583
ko:K06925	nmi:NMO_1584
ko:K01448	nmi:NMO_1585
ko:K07444	nmi:NMO_1587
ko:K02238	nmi:NMO_0593
ko:K05807	nmi:NMO_0594
ko:K06180	nmi:NMO_0595
ko:K03453	nmi:NMO_0596
ko:K05810	nmi:NMO_0597
ko:K03643	nmi:NMO_0598
ko:K02340	nmi:NMO_0599
ko:K03089	nmi:NMO_0603
ko:K03820	nmi:NMO_0604
ko:K09781	nmi:NMO_0605
ko:K01772	nmi:NMO_0608
ko:K00773	nmi:NMO_0609
ko:K01868	nmi:NMO_0610
ko:K02520	nmi:NMO_0611
ko:K02916	nmi:NMO_0612
ko:K02887	nmi:NMO_0613
ko:K01889	nmi:NMO_0615
ko:K01890	nmi:NMO_0618
ko:K04764	nmi:NMO_0619
ko:K07113	nmi:NMO_0621
ko:K00833	nmi:NMO_0622
ko:K01935	nmi:NMO_0623
ko:K03181	nmi:NMO_0624
ko:K03179	nmi:NMO_0625
ko:K02806	nmi:NMO_0626
ko:K06023	nmi:NMO_0627
ko:K06958	nmi:NMO_0628
ko:K06024	nmi:NMO_0630
ko:K03631	nmi:NMO_0631
ko:K03183	nmi:NMO_0634
ko:K00950	nmi:NMO_0636
ko:K03666	nmi:NMO_0639
ko:K07262	nmi:NMO_0640
ko:K03564	nmi:NMO_0641
ko:K04763	nmi:NMO_0642
ko:K02192	nmi:NMO_0643
ko:K00067	nmi:NMO_0645
ko:K01923	nmi:NMO_0646
ko:K00962	nmi:NMO_0647
ko:K09792	nmi:NMO_0648
ko:K01778	nmi:NMO_0650
ko:K01738	nmi:NMO_0652
ko:K00997	nmi:NMO_1590
ko:K07090	nmi:NMO_1591
ko:K03474	nmi:NMO_1593
ko:K03584	nmi:NMO_1594
ko:K07552	nmi:NMO_1596
ko:K07234	nmi:NMO_1601
ko:K00925	nmi:NMO_1605
ko:K08641	nmi:NMO_1609
ko:K06901	nmi:NMO_1612
ko:K03531	nmi:NMO_1613
ko:K03590	nmi:NMO_1614
ko:K03589	nmi:NMO_1615
ko:K01921	nmi:NMO_1616
ko:K01924	nmi:NMO_1617
ko:K02563	nmi:NMO_1618
ko:K03588	nmi:NMO_1619
ko:K01925	nmi:NMO_1620
ko:K01000	nmi:NMO_1622
ko:K01929	nmi:NMO_1624
ko:K01928	nmi:NMO_1626
ko:K03587	nmi:NMO_1627
ko:K06194	nmi:NMO_1312
ko:K03586	nmi:NMO_1628
ko:K03438	nmi:NMO_1629
ko:K03925	nmi:NMO_1630
ko:K06153	nmi:NMO_1632
ko:K03673	nmi:NMO_1633
ko:K07391	nmi:NMO_1635
ko:K09806	nmi:NMO_1636
ko:K11928	nmi:NMO_1637
ko:K01142	nmi:NMO_1644
ko:K00767	nmi:NMO_1646
ko:K03100	nmi:NMO_0654
ko:K03596	nmi:NMO_0655
ko:K01243	nmi:NMO_0656
ko:K02670	nmi:NMO_0657
ko:K02341	nmi:NMO_0658
ko:K02676	nmi:NMO_0659
ko:K03424	nmi:NMO_0660
ko:K07390	nmi:NMO_0662
ko:K00761	nmi:NMO_0663
ko:K01719	nmi:NMO_0666
ko:K02496	nmi:NMO_0667
ko:K02498	nmi:NMO_0668
ko:K01599	nmi:NMO_0669
ko:K04485	nmi:NMO_0670
ko:K03582	nmi:NMO_0673
ko:K07223	nmi:NMO_0674
ko:K01056	nmi:NMO_0683
ko:K09801	nmi:NMO_0684
ko:K03798	nmi:NMO_0686
ko:K02427	nmi:NMO_0687
ko:K01698	nmi:NMO_0690
ko:K09007	nmi:NMO_0692
ko:K06182	nmi:NMO_0695
ko:K00858	nmi:NMO_0696
ko:K00075	nmi:NMO_0700
ko:K03327	nmi:NMO_0701
ko:K02502	nmi:NMO_0702
ko:K01939	nmi:NMO_0703
ko:K03799	nmi:NMO_0708
ko:K00939	nmi:NMO_0709
