ko:K07126	hih:NF38_07625
ko:K01980	hih:NF38_04305
ko:K01980	hih:NF38_04875
ko:K14224	hih:NF38_02085
ko:K14224	hih:NF38_04870
ko:K14224	hih:NF38_04300
ko:K14228	hih:NF38_02840
ko:K14229	hih:NF38_03155
ko:K14229	hih:NF38_04785
ko:K14229	hih:NF38_05040
ko:K14229	hih:NF38_03160
ko:K14233	hih:NF38_03745
ko:K14233	hih:NF38_05260
ko:K19229	hih:NF38_08025
ko:K14227	hih:NF38_01340
ko:K14227	hih:NF38_01505
ko:K14227	hih:NF38_05525
ko:K14219	hih:NF38_01420
ko:K14232	hih:NF38_01425
ko:K14232	hih:NF38_04860
ko:K03553	hih:NF38_02100
ko:K19227	hih:NF38_08015
ko:K01175	hih:NF38_04465
ko:K19230	hih:NF38_08030
ko:K14231	hih:NF38_01145
ko:K01977	hih:NF38_01510
ko:K01977	hih:NF38_04865
ko:K01977	hih:NF38_05520
ko:K14233	hih:NF38_01920
ko:K07149	hih:NF38_02465
ko:K21498	hih:NF38_06155
ko:K04753	hih:NF38_01280
ko:K07076	hih:NF38_05110
ko:K01985	hih:NF38_01485
ko:K02444	hih:NF38_01370
ko:K02441	hih:NF38_01375
ko:K06177	hih:NF38_01380
ko:K03580	hih:NF38_01385
ko:K02430	hih:NF38_01390
ko:K01818	hih:NF38_01395
ko:K00879	hih:NF38_01400
ko:K02431	hih:NF38_01405
ko:K01628	hih:NF38_01410
ko:K02429	hih:NF38_01415
ko:K01428	hih:NF38_02380
ko:K03187	hih:NF38_02385
ko:K03188	hih:NF38_02390
ko:K03189	hih:NF38_02395
ko:K03190	hih:NF38_02400
ko:K01744	hih:NF38_02405
ko:K01491	hih:NF38_01430
ko:K14445	hih:NF38_01435
ko:K00014	hih:NF38_01440
ko:K00640	hih:NF38_01445
ko:K00057	hih:NF38_01450
ko:K05851	hih:NF38_01455
ko:K02496	hih:NF38_01460
ko:K02498	hih:NF38_01465
ko:K13256	hih:NF38_01470
ko:K03498	hih:NF38_01515
ko:K02572	hih:NF38_03670
ko:K09923	hih:NF38_03675
ko:K03439	hih:NF38_03680
ko:K04066	hih:NF38_03685
ko:K04751	hih:NF38_03695
ko:K03831	hih:NF38_03700
ko:K00901	hih:NF38_03705
ko:K00951	hih:NF38_03710
ko:K03215	hih:NF38_03715
ko:K03584	hih:NF38_03720
ko:K02356	hih:NF38_03740
ko:K04067	hih:NF38_03750
ko:K07084	hih:NF38_03755
ko:K03683	hih:NF38_03760
ko:K01759	hih:NF38_03765
ko:K15256	hih:NF38_03780
ko:K01876	hih:NF38_03790
ko:K08310	hih:NF38_03795
ko:K01159	hih:NF38_03805
ko:K00658	hih:NF38_05925
ko:K03271	hih:NF38_05945
ko:K07460	hih:NF38_05950
ko:K07121	hih:NF38_05955
ko:K07056	hih:NF38_05960
ko:K03568	hih:NF38_05965
ko:K13694	hih:NF38_05970
ko:K03777	hih:NF38_05980
ko:K08681	hih:NF38_05985
ko:K06215	hih:NF38_05990
ko:K00945	hih:NF38_05995
ko:K02945	hih:NF38_06000
ko:K05788	hih:NF38_06005
ko:K08992	hih:NF38_06010
ko:K01591	hih:NF38_06020
ko:K03113	hih:NF38_06025
ko:K10763	hih:NF38_06030
ko:K02824	hih:NF38_06035
ko:K00761	hih:NF38_06040
ko:K02343	hih:NF38_06045
ko:K00759	hih:NF38_06050
ko:K00382	hih:NF38_06055
ko:K00627	hih:NF38_06060
ko:K06920	hih:NF38_08190
ko:K01737	hih:NF38_08195
ko:K03657	hih:NF38_08210
ko:K12369	hih:NF38_08215
ko:K12370	hih:NF38_08220
ko:K12371	hih:NF38_08225
ko:K12372	hih:NF38_08230
ko:K03271	hih:NF38_08240
ko:K10000	hih:NF38_08245
