ko:K19405	ctre:SOTONE4_00715
ko:K14233	ctre:SOTONE4_00894
ko:K11645	ctre:SOTONE4_00221
ko:K02916	ctre:SOTONE4_00891
ko:K02887	ctre:SOTONE4_00892
ko:K01889	ctre:SOTONE4_00893
ko:K11720	ctre:SOTONE4_00896
ko:K07091	ctre:SOTONE4_00897
ko:K04075	ctre:SOTONE4_00898
ko:K03798	ctre:SOTONE4_00899
ko:K00962	ctre:SOTONE4_00900
ko:K02956	ctre:SOTONE4_00901
ko:K01265	ctre:SOTONE4_00910
ko:K03321	ctre:SOTONE4_00915
ko:K03527	ctre:SOTONE4_00918
ko:K00979	ctre:SOTONE4_00186
ko:K01937	ctre:SOTONE4_00187
ko:K07447	ctre:SOTONE4_00188
ko:K00036	ctre:SOTONE4_00189
ko:K01057	ctre:SOTONE4_00190
ko:K02343	ctre:SOTONE4_00191
ko:K00943	ctre:SOTONE4_00192
ko:K02469	ctre:SOTONE4_00193
ko:K02470	ctre:SOTONE4_00194
ko:K00773	ctre:SOTONE4_00197
ko:K06213	ctre:SOTONE4_00198
ko:K15580	ctre:SOTONE4_00202
ko:K15581	ctre:SOTONE4_00203
ko:K03319	ctre:SOTONE4_00208
ko:K00850	ctre:SOTONE4_00209
ko:K00895	ctre:SOTONE4_00211
ko:K02527	ctre:SOTONE4_00214
ko:K01869	ctre:SOTONE4_00215
ko:K01845	ctre:SOTONE4_00216
ko:K07735	ctre:SOTONE4_00217
ko:K08999	ctre:SOTONE4_00218
ko:K01807	ctre:SOTONE4_00219
ko:K03787	ctre:SOTONE4_00224
ko:K03179	ctre:SOTONE4_00225
ko:K03186	ctre:SOTONE4_00226
ko:K03308	ctre:SOTONE4_00239
ko:K02078	ctre:SOTONE4_00244
ko:K00645	ctre:SOTONE4_00246
ko:K00648	ctre:SOTONE4_00247
ko:K06187	ctre:SOTONE4_00248
ko:K07277	ctre:SOTONE4_00249
ko:K06142	ctre:SOTONE4_00250
ko:K02536	ctre:SOTONE4_00251
ko:K00161	ctre:SOTONE4_00253
ko:K00162	ctre:SOTONE4_00254
ko:K00627	ctre:SOTONE4_00255
ko:K00688	ctre:SOTONE4_00256
ko:K02313	ctre:SOTONE4_00258
ko:K03217	ctre:SOTONE4_00259
ko:K04487	ctre:SOTONE4_00266
ko:K07083	ctre:SOTONE4_00270
ko:K01962	ctre:SOTONE4_00273
ko:K01448	ctre:SOTONE4_00276
ko:K01928	ctre:SOTONE4_00277
ko:K03587	ctre:SOTONE4_00278
ko:K03438	ctre:SOTONE4_00280
ko:K02313	ctre:SOTONE4_00283
ko:K00347	ctre:SOTONE4_00286
ko:K00348	ctre:SOTONE4_00287
ko:K00349	ctre:SOTONE4_00288
ko:K00350	ctre:SOTONE4_00289
ko:K02437	ctre:SOTONE4_00290
ko:K03800	ctre:SOTONE4_00293
ko:K03696	ctre:SOTONE4_00294
ko:K00566	ctre:SOTONE4_00295
ko:K01963	ctre:SOTONE4_00301
ko:K04564	ctre:SOTONE4_00302
ko:K00099	ctre:SOTONE4_00075
ko:K03629	ctre:SOTONE4_00078
ko:K02338	ctre:SOTONE4_00079
ko:K03664	ctre:SOTONE4_00080
ko:K03734	ctre:SOTONE4_00081
ko:K01491	ctre:SOTONE4_00082
ko:K02902	ctre:SOTONE4_00088
ko:K00705	ctre:SOTONE4_00089
ko:K04058	ctre:SOTONE4_00091
ko:K03230	ctre:SOTONE4_00092
ko:K03229	ctre:SOTONE4_00093
ko:K06942	ctre:SOTONE4_00094
ko:K11753	ctre:SOTONE4_00095
ko:K02834	ctre:SOTONE4_00097
ko:K02519	ctre:SOTONE4_00098
ko:K02600	ctre:SOTONE4_00099
ko:K02945	ctre:SOTONE4_00100
ko:K00384	ctre:SOTONE4_00101
ko:K00997	ctre:SOTONE4_00102
ko:K00208	ctre:SOTONE4_00106
ko:K03575	ctre:SOTONE4_00109
ko:K04077	ctre:SOTONE4_00112
ko:K04078	ctre:SOTONE4_00113
ko:K08602	ctre:SOTONE4_00114
ko:K03695	ctre:SOTONE4_00115
ko:K01783	ctre:SOTONE4_00123
ko:K02356	ctre:SOTONE4_00124
ko:K02160	ctre:SOTONE4_00125
ko:K01961	ctre:SOTONE4_00126
ko:K02871	ctre:SOTONE4_00127
ko:K02996	ctre:SOTONE4_00128
ko:K02029	ctre:SOTONE4_00131
ko:K07058	ctre:SOTONE4_00134
