ko:K02408	bapw:BUMPW106_CDS00521
ko:K02409	bapw:BUMPW106_CDS00520
ko:K02410	bapw:BUMPW106_CDS00519
ko:K02411	bapw:BUMPW106_CDS00518
ko:K02412	bapw:BUMPW106_CDS00517
ko:K02413	bapw:BUMPW106_CDS00516
ko:K02414	bapw:BUMPW106_CDS00514
ko:K02419	bapw:BUMPW106_CDS00512
ko:K02420	bapw:BUMPW106_CDS00511
ko:K02421	bapw:BUMPW106_CDS00510
ko:K02913	bapw:BUMPW106_CDS00509
ko:K02902	bapw:BUMPW106_CDS00508
ko:K09800	bapw:BUMPW106_CDS00507
ko:K01507	bapw:BUMPW106_CDS00506
ko:K03592	bapw:BUMPW106_CDS00505
ko:K07056	bapw:BUMPW106_CDS00504
ko:K00647	bapw:BUMPW106_CDS00503
ko:K00616	bapw:BUMPW106_CDS00502
ko:K00615	bapw:BUMPW106_CDS00501
ko:K01439	bapw:BUMPW106_CDS00500
ko:K01714	bapw:BUMPW106_CDS00499
ko:K01736	bapw:BUMPW106_CDS00498
ko:K00765	bapw:BUMPW106_CDS00496
ko:K00013	bapw:BUMPW106_CDS00495
ko:K00817	bapw:BUMPW106_CDS00494
ko:K01089	bapw:BUMPW106_CDS00493
ko:K02501	bapw:BUMPW106_CDS00492
ko:K01814	bapw:BUMPW106_CDS00491
ko:K02500	bapw:BUMPW106_CDS00490
ko:K11755	bapw:BUMPW106_CDS00489
ko:K00033	bapw:BUMPW106_CDS00488
ko:K01494	bapw:BUMPW106_CDS00487
ko:K01874	bapw:BUMPW106_CDS00486
ko:K04075	bapw:BUMPW106_CDS00485
ko:K00793	bapw:BUMPW106_CDS00484
ko:K03617	bapw:BUMPW106_CDS00483
ko:K03616	bapw:BUMPW106_CDS00482
ko:K03615	bapw:BUMPW106_CDS00481
ko:K03614	bapw:BUMPW106_CDS00480
ko:K03612	bapw:BUMPW106_CDS00479
ko:K03613	bapw:BUMPW106_CDS00478
ko:K10773	bapw:BUMPW106_CDS00477
ko:K04066	bapw:BUMPW106_CDS00476
ko:K01866	bapw:BUMPW106_CDS00475
ko:K05997	bapw:BUMPW106_CDS00474
ko:K01626	bapw:BUMPW106_CDS00472
ko:K01868	bapw:BUMPW106_CDS00471
ko:K02520	bapw:BUMPW106_CDS00470
ko:K02916	bapw:BUMPW106_CDS00469
ko:K02887	bapw:BUMPW106_CDS00468
ko:K01889	bapw:BUMPW106_CDS00467
ko:K01890	bapw:BUMPW106_CDS00466
ko:K04764	bapw:BUMPW106_CDS00465
ko:K07568	bapw:BUMPW106_CDS00464
ko:K00773	bapw:BUMPW106_CDS00463
ko:K03210	bapw:BUMPW106_CDS00462
ko:K02950	bapw:BUMPW106_CDS00074
ko:K07237	bapw:BUMPW106_CDS00073
ko:K07236	bapw:BUMPW106_CDS00072
ko:K07235	bapw:BUMPW106_CDS00071
ko:K03772	bapw:BUMPW106_CDS00070
ko:K06141	bapw:BUMPW106_CDS00068
ko:K01867	bapw:BUMPW106_CDS00067
ko:K01783	bapw:BUMPW106_CDS00066
ko:K01735	bapw:BUMPW106_CDS00065
ko:K00891	bapw:BUMPW106_CDS00064
ko:K03784	bapw:BUMPW106_CDS00063
ko:K01839	bapw:BUMPW106_CDS00062
ko:K02837	bapw:BUMPW106_CDS00061
ko:K01424	bapw:BUMPW106_CDS00060
ko:K07400	bapw:BUMPW106_CDS00059
ko:K01920	bapw:BUMPW106_CDS00056
ko:K07447	bapw:BUMPW106_CDS00055
ko:K03439	bapw:BUMPW106_CDS00052
ko:K03575	bapw:BUMPW106_CDS00051
