ko:K01006	ftr:NE061598_01425
ko:K17103	ftr:NE061598_04785
ko:K14742	ftr:NE061598_06750
ko:K00806	ftr:NE061598_01775
ko:K00981	ftr:NE061598_01780
ko:K00995	ftr:NE061598_01790
ko:K02950	ftr:NE061598_01795
ko:K02992	ftr:NE061598_01800
ko:K02355	ftr:NE061598_01805
ko:K02946	ftr:NE061598_01810
ko:K02906	ftr:NE061598_01815
ko:K02926	ftr:NE061598_01820
ko:K02892	ftr:NE061598_01825
ko:K02886	ftr:NE061598_01830
ko:K02965	ftr:NE061598_01835
ko:K02890	ftr:NE061598_01840
ko:K02982	ftr:NE061598_01845
ko:K02878	ftr:NE061598_01850
ko:K02904	ftr:NE061598_01855
ko:K02961	ftr:NE061598_01860
ko:K02874	ftr:NE061598_01865
ko:K02895	ftr:NE061598_01870
ko:K02931	ftr:NE061598_01875
ko:K02954	ftr:NE061598_01880
ko:K02994	ftr:NE061598_01885
ko:K02933	ftr:NE061598_01890
ko:K02881	ftr:NE061598_01895
ko:K02988	ftr:NE061598_01900
ko:K02907	ftr:NE061598_01905
ko:K02876	ftr:NE061598_01910
ko:K03076	ftr:NE061598_01915
ko:K02919	ftr:NE061598_01920
ko:K02952	ftr:NE061598_01925
ko:K02948	ftr:NE061598_01930
ko:K02986	ftr:NE061598_01935
ko:K03040	ftr:NE061598_01940
ko:K02879	ftr:NE061598_01945
ko:K02346	ftr:NE061598_02985
ko:K02346	ftr:NE061598_02995
ko:K00024	ftr:NE061598_03030
ko:K06134	ftr:NE061598_03040
ko:K06193	ftr:NE061598_03080
ko:K04761	ftr:NE061598_03155
ko:K00945	ftr:NE061598_03170
ko:K00831	ftr:NE061598_03175
ko:K11076	ftr:NE061598_03200
ko:K11075	ftr:NE061598_03205
ko:K11074	ftr:NE061598_03210
ko:K01079	ftr:NE061598_03240
ko:K09799	ftr:NE061598_03245
ko:K01775	ftr:NE061598_03265
ko:K01937	ftr:NE061598_01995
ko:K00940	ftr:NE061598_02000
ko:K01963	ftr:NE061598_02005
ko:K11754	ftr:NE061598_02010
ko:K06925	ftr:NE061598_02015
ko:K03980	ftr:NE061598_02025
ko:K01919	ftr:NE061598_02030
ko:K02909	ftr:NE061598_02035
ko:K04079	ftr:NE061598_02100
ko:K00262	ftr:NE061598_02125
ko:K01613	ftr:NE061598_02150
ko:K04042	ftr:NE061598_02165
ko:K00820	ftr:NE061598_02170
ko:K02970	ftr:NE061598_02180
ko:K03704	ftr:NE061598_02185
ko:K01265	ftr:NE061598_02195
ko:K02621	ftr:NE061598_02210
ko:K08309	ftr:NE061598_02230
ko:K02337	ftr:NE061598_02240
ko:K01462	ftr:NE061598_02245
ko:K09808	ftr:NE061598_02255
ko:K00605	ftr:NE061598_02270
ko:K01752	ftr:NE061598_03295
ko:K11717	ftr:NE061598_03300
ko:K00954	ftr:NE061598_03315
ko:K00800	ftr:NE061598_03360
ko:K01673	ftr:NE061598_03380
ko:K06956	ftr:NE061598_03410
ko:K00820	ftr:NE061598_03415
ko:K05810	ftr:NE061598_03480
ko:K01173	ftr:NE061598_03490
ko:K03820	ftr:NE061598_03515
ko:K06189	ftr:NE061598_03520
ko:K07042	ftr:NE061598_03525
ko:K06168	ftr:NE061598_03535
ko:K06916	ftr:NE061598_00300
ko:K02108	ftr:NE061598_00320
ko:K02110	ftr:NE061598_00330
ko:K02109	ftr:NE061598_00335
ko:K02113	ftr:NE061598_00340
ko:K02111	ftr:NE061598_00345
ko:K02115	ftr:NE061598_00350
ko:K02112	ftr:NE061598_00355
ko:K02114	ftr:NE061598_00360
ko:K07390	ftr:NE061598_00370
ko:K04564	ftr:NE061598_00375
ko:K08218	ftr:NE061598_00385
ko:K01647	ftr:NE061598_00390
ko:K00242	ftr:NE061598_00400
ko:K00239	ftr:NE061598_00405
ko:K00240	ftr:NE061598_00410
ko:K00164	ftr:NE061598_00415
ko:K00658	ftr:NE061598_00420
ko:K00759	ftr:NE061598_00425
ko:K03431	ftr:NE061598_00430
ko:K01803	ftr:NE061598_00435
ko:K03075	ftr:NE061598_00440
ko:K07223	ftr:NE061598_00470
ko:K01681	ftr:NE061598_00475
ko:K02669	ftr:NE061598_00480
ko:K00426	ftr:NE061598_00505
ko:K00425	ftr:NE061598_00510
ko:K07071	ftr:NE061598_00520
ko:K00602	ftr:NE061598_01160
ko:K01939	ftr:NE061598_01165
ko:K00760	ftr:NE061598_01170
ko:K06077	ftr:NE061598_01210
ko:K03809	ftr:NE061598_01215
ko:K07058	ftr:NE061598_01220
ko:K04066	ftr:NE061598_01230
ko:K03306	ftr:NE061598_01255
ko:K07220	ftr:NE061598_01260
ko:K01114	ftr:NE061598_01265
ko:K07160	ftr:NE061598_01275
ko:K13288	ftr:NE061598_01305
ko:K02356	ftr:NE061598_01310
ko:K02655	ftr:NE061598_01315
ko:K02517	ftr:NE061598_01320
ko:K02517	ftr:NE061598_01325
ko:K03217	ftr:NE061598_01330
ko:K08998	ftr:NE061598_01335
ko:K03536	ftr:NE061598_01340
ko:K02914	ftr:NE061598_01345
ko:K00014	ftr:NE061598_01355
ko:K01924	ftr:NE061598_01360
ko:K07056	ftr:NE061598_01365
ko:K07015	ftr:NE061598_01380
ko:K04759	ftr:NE061598_01420
ko:K00826	ftr:NE061598_01430
ko:K02437	ftr:NE061598_02275
ko:K00282	ftr:NE061598_02280
ko:K00283	ftr:NE061598_02285
ko:K00014	ftr:NE061598_02290
ko:K00975	ftr:NE061598_02310
ko:K00703	ftr:NE061598_02315
ko:K00688	ftr:NE061598_02320
ko:K00705	ftr:NE061598_02325
ko:K01878	ftr:NE061598_02330
ko:K01928	ftr:NE061598_02335
ko:K01929	ftr:NE061598_02345
ko:K00133	ftr:NE061598_02360
ko:K01733	ftr:NE061598_02390
ko:K01611	ftr:NE061598_02400
ko:K00797	ftr:NE061598_02405
ko:K10536	ftr:NE061598_02420
ko:K12251	ftr:NE061598_02425
ko:K03269	ftr:NE061598_02430
ko:K00762	ftr:NE061598_02435
ko:K02558	ftr:NE061598_02440
ko:K03218	ftr:NE061598_02445
ko:K03305	ftr:NE061598_02500
ko:K01886	ftr:NE061598_02510
ko:K01610	ftr:NE061598_02515
ko:K01000	ftr:NE061598_02520
ko:K01925	ftr:NE061598_02525
ko:K03588	ftr:NE061598_02530
ko:K03599	ftr:NE061598_02560
ko:K02341	ftr:NE061598_02570
ko:K07574	ftr:NE061598_02575
ko:K01698	ftr:NE061598_02580
ko:K02313	ftr:NE061598_00005
ko:K02338	ftr:NE061598_00010
ko:K01876	ftr:NE061598_00040
ko:K01756	ftr:NE061598_00095
ko:K02435	ftr:NE061598_00115
ko:K02434	ftr:NE061598_00125
ko:K01586	ftr:NE061598_00155
ko:K00330	ftr:NE061598_00175
ko:K00331	ftr:NE061598_00180
ko:K00332	ftr:NE061598_00185
ko:K00333	ftr:NE061598_00190
ko:K00334	ftr:NE061598_00195
ko:K00337	ftr:NE061598_00210
ko:K00338	ftr:NE061598_00215
ko:K00339	ftr:NE061598_00220
ko:K00340	ftr:NE061598_00225
ko:K00341	ftr:NE061598_00230
ko:K00342	ftr:NE061598_00235
ko:K00343	ftr:NE061598_00240
ko:K01599	ftr:NE061598_00265
ko:K09748	ftr:NE061598_00270
ko:K02600	ftr:NE061598_00275
ko:K02519	ftr:NE061598_00280
ko:K02834	ftr:NE061598_00285
ko:K01892	ftr:NE061598_00290
ko:K03611	ftr:NE061598_00605
ko:K00912	ftr:NE061598_00625
ko:K03525	ftr:NE061598_00635
ko:K01839	ftr:NE061598_00640
ko:K11535	ftr:NE061598_00655
ko:K00943	ftr:NE061598_00660
ko:K02837	ftr:NE061598_00665
ko:K03110	ftr:NE061598_00675
ko:K03657	ftr:NE061598_00680
ko:K15580	ftr:NE061598_00685
ko:K15581	ftr:NE061598_00695
ko:K00864	ftr:NE061598_00740
ko:K00111	ftr:NE061598_00755
ko:K02440	ftr:NE061598_00760
ko:K02358	ftr:NE061598_00785
ko:K03073	ftr:NE061598_00790
ko:K02601	ftr:NE061598_00795
ko:K02867	ftr:NE061598_00800
ko:K02863	ftr:NE061598_00805
ko:K02864	ftr:NE061598_00810
ko:K02935	ftr:NE061598_00815
ko:K03043	ftr:NE061598_00825
ko:K03046	ftr:NE061598_00830
ko:K01649	ftr:NE061598_01435
ko:K01147	ftr:NE061598_01465
ko:K06999	ftr:NE061598_01470
ko:K01749	ftr:NE061598_01475
ko:K06199	ftr:NE061598_01480
ko:K02494	ftr:NE061598_01525
ko:K00919	ftr:NE061598_01530
ko:K00426	ftr:NE061598_01575
ko:K00425	ftr:NE061598_01580
ko:K02297	ftr:NE061598_01590
ko:K02298	ftr:NE061598_01595
ko:K02299	ftr:NE061598_01600
ko:K02300	ftr:NE061598_01605
ko:K02536	ftr:NE061598_01615
ko:K00868	ftr:NE061598_01625
ko:K03924	ftr:NE061598_01635
ko:K01304	ftr:NE061598_01670
ko:K02339	ftr:NE061598_01680
ko:K01873	ftr:NE061598_01685
ko:K10679	ftr:NE061598_01710
ko:K03216	ftr:NE061598_02585
ko:K01887	ftr:NE061598_02605
ko:K04744	ftr:NE061598_02610
ko:K03771	ftr:NE061598_02615
ko:K02528	ftr:NE061598_02620
ko:K03786	ftr:NE061598_02630
ko:K02160	ftr:NE061598_02635
ko:K01961	ftr:NE061598_02640
ko:K04568	ftr:NE061598_02655
ko:K03524	ftr:NE061598_02660
ko:K07462	ftr:NE061598_02665
ko:K11073	ftr:NE061598_02680
ko:K06949	ftr:NE061598_02690
ko:K03572	ftr:NE061598_02705
ko:K00384	ftr:NE061598_02725
ko:K01091	ftr:NE061598_02735
ko:K01902	ftr:NE061598_02820
ko:K01903	ftr:NE061598_02825
ko:K05539	ftr:NE061598_02845
ko:K02470	ftr:NE061598_02860
ko:K06215	ftr:NE061598_02865
ko:K08681	ftr:NE061598_02870
ko:K02687	ftr:NE061598_02925
ko:K00789	ftr:NE061598_00850
ko:K02959	ftr:NE061598_00855
ko:K02860	ftr:NE061598_00860
ko:K00554	ftr:NE061598_00865
ko:K02884	ftr:NE061598_00870
ko:K08311	ftr:NE061598_00910
ko:K03806	ftr:NE061598_00920
ko:K02622	ftr:NE061598_00925
ko:K02492	ftr:NE061598_00945
ko:K02835	ftr:NE061598_00950
ko:K02493	ftr:NE061598_00955
ko:K00783	ftr:NE061598_00960
ko:K02221	ftr:NE061598_00990
ko:K07566	ftr:NE061598_01040
ko:K02945	ftr:NE061598_01045
ko:K01921	ftr:NE061598_01055
ko:K03589	ftr:NE061598_01060
ko:K03590	ftr:NE061598_01065
ko:K03531	ftr:NE061598_01070
ko:K02535	ftr:NE061598_01075
ko:K02343	ftr:NE061598_01080
ko:K02836	ftr:NE061598_01085
ko:K04567	ftr:NE061598_01090
ko:K01425	ftr:NE061598_01105
ko:K01915	ftr:NE061598_01110
ko:K02340	ftr:NE061598_01115
ko:K03098	ftr:NE061598_01120
ko:K02967	ftr:NE061598_01755
ko:K02357	ftr:NE061598_01760
ko:K09903	ftr:NE061598_01765
ko:K02838	ftr:NE061598_01770
ko:K07464	ftr:NE061598_03350
ko:K03602	ftr:NE061598_06895
ko:K07090	ftr:NE061598_05530
ko:K02518	ftr:NE061598_05535
ko:K09014	ftr:NE061598_05565
ko:K09013	ftr:NE061598_05570
ko:K09015	ftr:NE061598_05575
ko:K02205	ftr:NE061598_05620
ko:K07735	ftr:NE061598_05650
ko:K07447	ftr:NE061598_05655
ko:K01869	ftr:NE061598_05675
ko:K03643	ftr:NE061598_05680
ko:K01494	ftr:NE061598_05695
ko:K06131	ftr:NE061598_05720
ko:K09823	ftr:NE061598_05745
ko:K01890	ftr:NE061598_05750
ko:K01889	ftr:NE061598_05755
ko:K03305	ftr:NE061598_05765
