ko:K18923	vcr:VC395_A0438
ko:K00632	vcr:VC395_1060
ko:K02226	vcr:VC395_1359
ko:K19123	vcr:VC395_0322
ko:K07012	vcr:VC395_0321
ko:K10109	vcr:VC395_A0969
ko:K19416	vcr:VC395_1477
ko:K16962	vcr:VC395_0171
ko:K16961	vcr:VC395_0170
ko:K00638	vcr:VC395_A0290
ko:K10117	vcr:VC395_A1056
ko:K11741	vcr:VC395_1512
ko:K18136	vcr:VC395_0209
ko:K07497	vcr:VC395_0018
ko:K03111	vcr:VC395_0441
ko:K07497	vcr:VC395_1903
ko:K07497	vcr:VC395_A0517
ko:K07497	vcr:VC395_A0523
ko:K07497	vcr:VC395_A0815
ko:K09691	vcr:VC395_0279
ko:K01185	vcr:VC395_A0222
ko:K19736	vcr:VC395_1861
ko:K02441	vcr:VC395_0081
ko:K03757	vcr:VC395_0309
ko:K03406	vcr:VC395_0311
ko:K02014	vcr:VC395_0313
ko:K03299	vcr:VC395_0315
ko:K00851	vcr:VC395_0316
ko:K07283	vcr:VC395_0413
ko:K03409	vcr:VC395_0420
ko:K00380	vcr:VC395_0428
ko:K01719	vcr:VC395_0061
ko:K03406	vcr:VC395_0082
ko:K06149	vcr:VC395_0104
ko:K03718	vcr:VC395_0109
ko:K01262	vcr:VC395_0113
ko:K03148	vcr:VC395_0117
ko:K03747	vcr:VC395_0131
ko:K03499	vcr:VC395_0137
ko:K03498	vcr:VC395_0138
ko:K06377	vcr:VC395_0141
ko:K04085	vcr:VC395_0156
ko:K02116	vcr:VC395_0184
ko:K03498	vcr:VC395_0199
ko:K00230	vcr:VC395_0200
ko:K09806	vcr:VC395_0206
ko:K02035	vcr:VC395_0214
ko:K02033	vcr:VC395_0215
ko:K00383	vcr:VC395_0218
ko:K03406	vcr:VC395_0248
ko:K10563	vcr:VC395_0253
ko:K12984	vcr:VC395_0256
ko:K02843	vcr:VC395_0268
ko:K03316	vcr:VC395_0433
ko:K00548	vcr:VC395_0434
ko:K00830	vcr:VC395_0436
ko:K12279	vcr:VC395_0443
ko:K12280	vcr:VC395_0444
ko:K12281	vcr:VC395_0445
ko:K12282	vcr:VC395_0446
ko:K12283	vcr:VC395_0447
ko:K12284	vcr:VC395_0448
ko:K12276	vcr:VC395_0449
ko:K12278	vcr:VC395_0450
ko:K10925	vcr:VC395_0452
ko:K10924	vcr:VC395_0453
ko:K10926	vcr:VC395_0454
ko:K10927	vcr:VC395_0455
ko:K12286	vcr:VC395_0457
ko:K12287	vcr:VC395_0458
ko:K01478	vcr:VC395_0467
ko:K01525	vcr:VC395_0485
ko:K02342	vcr:VC395_0343
ko:K07182	vcr:VC395_0344
ko:K00867	vcr:VC395_0363
ko:K10110	vcr:VC395_A0968
ko:K02358	vcr:VC395_0405
ko:K07491	vcr:VC395_A0503
ko:K07491	vcr:VC395_A0312
ko:K07491	vcr:VC395_A0241
ko:K07491	vcr:VC395_2301
ko:K07724	vcr:VC395_1285
ko:K06204	vcr:VC395_1265
ko:K16089	vcr:VC395_0519
ko:K16092	vcr:VC395_0005
ko:K10929	vcr:VC395_1570
ko:K10928	vcr:VC395_1571
ko:K02014	vcr:VC395_0232
ko:K03553	vcr:VC395_0560
ko:K00526	vcr:VC395_1374
ko:K01845	vcr:VC395_0643
ko:K15724	vcr:VC395_0644
ko:K01866	vcr:VC395_0648
ko:K07259	vcr:VC395_0649
ko:K03624	vcr:VC395_0651
ko:K07574	vcr:VC395_0652
ko:K03798	vcr:VC395_0654
ko:K00796	vcr:VC395_0655
ko:K03431	vcr:VC395_0656
ko:K03075	vcr:VC395_0657
ko:K09748	vcr:VC395_0658
ko:K02600	vcr:VC395_0659
ko:K02519	vcr:VC395_0660
ko:K02834	vcr:VC395_0661
ko:K02956	vcr:VC395_0663
ko:K00962	vcr:VC395_0664
ko:K05803	vcr:VC395_0665
ko:K08303	vcr:VC395_0669
ko:K03824	vcr:VC395_0672
ko:K02344	vcr:VC395_0673
ko:K03789	vcr:VC395_0674
ko:K02837	vcr:VC395_0676
ko:K05590	vcr:VC395_0677
