ko:K18919	seep:I137_07860
ko:K00632	seep:I137_02270
ko:K19504	seep:I137_21635
ko:K06148	seep:I137_20355
ko:K12524	seep:I137_00005
ko:K03297	seep:I137_06640
ko:K19595	seep:I137_11920
ko:K01990	seep:I137_09810
ko:K01525	seep:I137_00410
ko:K07054	seep:I137_01780
ko:K01439	seep:I137_01790
ko:K03757	seep:I137_01450
ko:K08234	seep:I137_01140
ko:K05812	seep:I137_01260
ko:K15460	seep:I137_01300
ko:K03803	seep:I137_01325
ko:K01885	seep:I137_02120
ko:K01782	seep:I137_02275
ko:K08299	seep:I137_00325
ko:K03855	seep:I137_00360
ko:K06177	seep:I137_00445
ko:K00853	seep:I137_00480
ko:K02099	seep:I137_00485
ko:K01992	seep:I137_00845
ko:K00970	seep:I137_00900
ko:K06858	seep:I137_01000
ko:K01243	seep:I137_01005
ko:K03299	seep:I137_01745
ko:K02824	seep:I137_01720
ko:K00616	seep:I137_01845
ko:K00088	seep:I137_01670
ko:K08483	seep:I137_02030
ko:K02784	seep:I137_02035
ko:K00674	seep:I137_01030
ko:K00845	seep:I137_02175
ko:K08478	seep:I137_02205
ko:K08475	seep:I137_02210
ko:K08476	seep:I137_02215
ko:K08477	seep:I137_02220
ko:K00647	seep:I137_02325
ko:K07052	seep:I137_02330
ko:K03574	seep:I137_00645
ko:K05966	seep:I137_00300
ko:K08279	seep:I137_00320
ko:K00385	seep:I137_01490
ko:K06889	seep:I137_01495
ko:K01092	seep:I137_01500
ko:K04488	seep:I137_01520
ko:K13628	seep:I137_01525
ko:K01011	seep:I137_01565
ko:K07307	seep:I137_01590
ko:K07308	seep:I137_01595
ko:K01990	seep:I137_00840
ko:K02345	seep:I137_07975
ko:K01733	seep:I137_00010
ko:K03111	seep:I137_20325
ko:K02032	seep:I137_04875
ko:K19611	seep:I137_13205
ko:K14744	seep:I137_07810
ko:K00526	seep:I137_02825
ko:K00287	seep:I137_00405
ko:K02495	seep:I137_17615
ko:K19221	seep:I137_06915
ko:K00254	seep:I137_09095
ko:K01175	seep:I137_10305
ko:K09861	seep:I137_00015
ko:K03310	seep:I137_00020
ko:K00616	seep:I137_00025
ko:K01139	seep:I137_18330
ko:K07274	seep:I137_05005
ko:K19230	seep:I137_06795
ko:K18828	seep:I137_14470
ko:K18816	seep:I137_06450
ko:K07012	seep:I137_14015
ko:K18838	seep:I137_12675
ko:K03779	seep:I137_16065
ko:K01420	seep:I137_06685
ko:K03604	seep:I137_05755
ko:K09477	seep:I137_10700
ko:K06075	seep:I137_05820
ko:K00040	seep:I137_15010
ko:K00151	seep:I137_08885
ko:K00821	seep:I137_19670
ko:K00951	seep:I137_14100
ko:K17713	seep:I137_01635
ko:K05815	seep:I137_19250
ko:K05816	seep:I137_19255
ko:K03825	seep:I137_19285
ko:K00851	seep:I137_19310
ko:K00769	seep:I137_12420
ko:K01270	seep:I137_12425
ko:K06445	seep:I137_12455
ko:K01048	seep:I137_16625
ko:K01719	seep:I137_16730
ko:K02852	seep:I137_16765
ko:K02851	seep:I137_16820
ko:K03769	seep:I137_16855
ko:K01664	seep:I137_19665
ko:K10914	seep:I137_19680
ko:K09898	seep:I137_19695
ko:K07019	seep:I137_19700
ko:K02506	seep:I137_19800
ko:K02067	seep:I137_15835
ko:K02806	seep:I137_15890
ko:K01788	seep:I137_15975
ko:K01572	seep:I137_16045
ko:K01571	seep:I137_16050
ko:K00090	seep:I137_18815
ko:K07792	seep:I137_19045
ko:K01424	seep:I137_19050
ko:K00383	seep:I137_19055
ko:K01639	seep:I137_15985
ko:K01561	seep:I137_12015
ko:K03148	seep:I137_16355
ko:K00867	seep:I137_16455
ko:K00230	seep:I137_16495
ko:K03498	seep:I137_16500
ko:K02441	seep:I137_19395
ko:K18138	seep:I137_11340
ko:K07346	seep:I137_11010
ko:K14761	seep:I137_11020
ko:K03768	seep:I137_11045
ko:K02381	seep:I137_11080
ko:K01466	seep:I137_11105
ko:K01515	seep:I137_15250
ko:K02858	seep:I137_15300
ko:K09806	seep:I137_15305
ko:K00974	seep:I137_15345
ko:K01409	seep:I137_15365
ko:K03649	seep:I137_15385
ko:K03776	seep:I137_15410
ko:K09251	seep:I137_15415
ko:K00219	seep:I137_15420
ko:K07393	seep:I137_15490
ko:K10563	seep:I137_18410
ko:K02849	seep:I137_18425
ko:K03278	seep:I137_18450
ko:K03279	seep:I137_18455
ko:K12981	seep:I137_18465
ko:K03280	seep:I137_18470
ko:K02843	seep:I137_18485
ko:K00639	seep:I137_18495
ko:K02798	seep:I137_18615
ko:K02799	seep:I137_18615
ko:K02800	seep:I137_18615
ko:K02004	seep:I137_11175
ko:K11751	seep:I137_11245
ko:K03455	seep:I137_11255
ko:K00939	seep:I137_11275
ko:K04067	seep:I137_11310
ko:K00932	seep:I137_15530
ko:K01630	seep:I137_15560
ko:K01708	seep:I137_15565
ko:K00094	seep:I137_15590
ko:K02436	seep:I137_15595
ko:K12961	seep:I137_15615
ko:K03177	seep:I137_15705
ko:K02427	seep:I137_15765
ko:K00101	seep:I137_18570
ko:K01176	seep:I137_18720
ko:K03796	seep:I137_18730
ko:K03830	seep:I137_18780
ko:K07657	seep:I137_11705
ko:K02014	seep:I137_11875
ko:K01156	seep:I137_11895
ko:K08178	seep:I137_11910
ko:K07213	seep:I137_11915
ko:K07709	seep:I137_16300
ko:K06149	seep:I137_19080
ko:K04085	seep:I137_19145
ko:K03406	seep:I137_19150
ko:K05814	seep:I137_19245
ko:K03386	seep:I137_11690
ko:K03417	seep:I137_11855
ko:K07245	seep:I137_07965
ko:K08302	seep:I137_15570
ko:K15344	seep:I137_05595
ko:K06078	seep:I137_05500
ko:K08357	seep:I137_05525
ko:K13040	seep:I137_05535
ko:K13041	seep:I137_05540
ko:K14979	seep:I137_05560
ko:K14978	seep:I137_05565
ko:K15368	seep:I137_05600
ko:K15345	seep:I137_05605
ko:K15346	seep:I137_05610
ko:K15350	seep:I137_05625
ko:K03227	seep:I137_05705
ko:K01759	seep:I137_05785
ko:K00799	seep:I137_05855
ko:K03613	seep:I137_05870
ko:K03612	seep:I137_05875
ko:K03614	seep:I137_05880
ko:K03615	seep:I137_05885
ko:K03616	seep:I137_05890
ko:K03617	seep:I137_05895
ko:K01488	seep:I137_05920
ko:K01679	seep:I137_05945
ko:K14062	seep:I137_05970
ko:K07126	seep:I137_08585
ko:K07126	seep:I137_08590
ko:K06887	seep:I137_08700
ko:K01788	seep:I137_08765
ko:K03307	seep:I137_08770
ko:K07312	seep:I137_06075
ko:K07307	seep:I137_06080
ko:K00657	seep:I137_06105
ko:K05595	seep:I137_06205
ko:K06281	seep:I137_06280
ko:K13921	seep:I137_03825
ko:K13923	seep:I137_03850
ko:K03399	seep:I137_03925
ko:K02190	seep:I137_03955
ko:K02009	seep:I137_03970
ko:K07126	seep:I137_04055
ko:K04477	seep:I137_04275
ko:K06282	seep:I137_06285
ko:K04063	seep:I137_06365
ko:K00027	seep:I137_06380
ko:K13953	seep:I137_06385
ko:K02775	seep:I137_06430
ko:K06971	seep:I137_06435
ko:K14587	seep:I137_06440
ko:K00046	seep:I137_06460
ko:K03929	seep:I137_06490
ko:K00121	seep:I137_06510
ko:K02030	seep:I137_06540
ko:K02028	seep:I137_06550
ko:K13741	seep:I137_07690
ko:K07729	seep:I137_07900
ko:K09815	seep:I137_08055
ko:K06201	seep:I137_08135
ko:K00575	seep:I137_08185
ko:K08161	seep:I137_04365
ko:K03810	seep:I137_04440
ko:K06179	seep:I137_04525
ko:K00059	seep:I137_04570
ko:K02619	seep:I137_04585
ko:K02778	seep:I137_04610
ko:K02779	seep:I137_04610
ko:K11069	seep:I137_04700
ko:K11071	seep:I137_04715
ko:K11072	seep:I137_04720
ko:K01258	seep:I137_04725
ko:K07660	seep:I137_04745
ko:K02035	seep:I137_04855
ko:K02033	seep:I137_04860
ko:K04093	seep:I137_04920
ko:K06183	seep:I137_03020
ko:K00882	seep:I137_03100
ko:K10540	seep:I137_03175
ko:K10541	seep:I137_03185
ko:K03748	seep:I137_03205
ko:K07497	seep:I137_18775
ko:K07305	seep:I137_05030
ko:K01424	seep:I137_05100
ko:K01916	seep:I137_05175
ko:K01222	seep:I137_05205
ko:K03478	seep:I137_05210
ko:K16370	seep:I137_05255
ko:K07283	seep:I137_05260
ko:K09953	seep:I137_05265
ko:K08997	seep:I137_05345
ko:K12944	seep:I137_02745
ko:K00568	seep:I137_02835
ko:K02574	seep:I137_02900
ko:K02569	seep:I137_02910
ko:K02821	seep:I137_02505
ko:K02822	seep:I137_02510
ko:K03475	seep:I137_02515
ko:K07114	seep:I137_02650
ko:K00784	seep:I137_02660
ko:K02348	seep:I137_02665
ko:K02552	seep:I137_02675
ko:K08680	seep:I137_02685
ko:K02549	seep:I137_02695
ko:K00483	seep:I137_08900
ko:K01176	seep:I137_08400
ko:K02414	seep:I137_08455
ko:K19697	seep:I137_03800
ko:K11209	seep:I137_02475
ko:K12678	seep:I137_18265
ko:K00040	seep:I137_06135
ko:K03831	seep:I137_00030
ko:K07034	seep:I137_00035
ko:K04043	seep:I137_00050
ko:K03686	seep:I137_00055
ko:K00265	seep:I137_15940
ko:K03559	seep:I137_15110
ko:K08316	seep:I137_19170
ko:K08598	seep:I137_13635
ko:K02484	seep:I137_08920
ko:K01897	seep:I137_07385
ko:K04065	seep:I137_21745
ko:K14233	seep:I137_04260
ko:K14233	seep:I137_09360
ko:K14233	seep:I137_08960
ko:K14237	seep:I137_05725
ko:K14219	seep:I137_02245
ko:K14230	seep:I137_15390
ko:K14228	seep:I137_15740
ko:K01977	seep:I137_20015
ko:K01985	seep:I137_01230
ko:K01985	seep:I137_16930
ko:K01985	seep:I137_17670
ko:K01985	seep:I137_16265
ko:K01985	seep:I137_20035
ko:K01985	seep:I137_16470
ko:K01985	seep:I137_12765
ko:K01985	seep:I137_16255
ko:K14224	seep:I137_12775
ko:K14224	seep:I137_16940
ko:K14224	seep:I137_16275
ko:K14224	seep:I137_17680
ko:K14219	seep:I137_13420
ko:K14219	seep:I137_13430
ko:K14219	seep:I137_13425
ko:K14233	seep:I137_13435
ko:K01250	seep:I137_10475
ko:K14222	seep:I137_08300
ko:K14220	seep:I137_04010
ko:K14220	seep:I137_04015
ko:K14220	seep:I137_04210
ko:K14220	seep:I137_04225
ko:K14225	seep:I137_08305
ko:K14225	seep:I137_20790
ko:K14225	seep:I137_20795
ko:K14225	seep:I137_20805
ko:K14225	seep:I137_20800
ko:K14228	seep:I137_10395
ko:K11070	seep:I137_04705
ko:K12943	seep:I137_14500
ko:K01823	seep:I137_14505
ko:K04763	seep:I137_14530
ko:K01262	seep:I137_14605
ko:K01934	seep:I137_14620
ko:K00058	seep:I137_14625
ko:K03442	seep:I137_14650
ko:K06934	seep:I137_14670
ko:K16923	seep:I137_14675
ko:K00852	seep:I137_17700
ko:K10439	seep:I137_17705
ko:K10440	seep:I137_17710
ko:K03718	seep:I137_17745
ko:K02533	seep:I137_21905
ko:K00799	seep:I137_20385
ko:K03316	seep:I137_20400
ko:K04015	seep:I137_20450
ko:K11607	seep:I137_13620
ko:K13284	seep:I137_13720
ko:K13287	seep:I137_13725
ko:K13286	seep:I137_13730
ko:K13285	seep:I137_13735
ko:K01082	seep:I137_21055
ko:K07304	seep:I137_21075
ko:K01507	seep:I137_21105
ko:K09022	seep:I137_21215
ko:K01478	seep:I137_21255
ko:K14218	seep:I137_02135
ko:K14218	seep:I137_02140
ko:K14232	seep:I137_02985
ko:K14236	seep:I137_07105
ko:K14236	seep:I137_16445
ko:K14221	seep:I137_12705
ko:K14221	seep:I137_16925
ko:K14221	seep:I137_12760
ko:K14219	seep:I137_10975
ko:K03087	seep:I137_13920
ko:K00380	seep:I137_14035
ko:K06897	seep:I137_14045
ko:K04765	seep:I137_14065
ko:K03535	seep:I137_14125
ko:K08314	seep:I137_17050
ko:K05499	seep:I137_17150
ko:K00851	seep:I137_21335
ko:K13637	seep:I137_21500
ko:K06887	seep:I137_21510
ko:K07491	seep:I137_13185
ko:K07017	seep:I137_13200
ko:K07793	seep:I137_13255
ko:K03647	seep:I137_13345
ko:K07126	seep:I137_20470
ko:K04750	seep:I137_20495
ko:K07792	seep:I137_20560
ko:K07307	seep:I137_20575
ko:K07308	seep:I137_20580
ko:K07258	seep:I137_10605
ko:K03326	seep:I137_10655
ko:K05966	seep:I137_10695
ko:K03386	seep:I137_10755
ko:K08225	seep:I137_10825
ko:K07214	seep:I137_10850
ko:K06281	seep:I137_15055
ko:K06282	seep:I137_15070
ko:K03406	seep:I137_15080
ko:K01760	seep:I137_15125
ko:K06221	seep:I137_15145
ko:K07666	seep:I137_15210
ko:K00389	seep:I137_18060
ko:K13636	seep:I137_18085
ko:K00852	seep:I137_18120
ko:K07784	seep:I137_18145
ko:K17473	seep:I137_18185
ko:K17464	seep:I137_18190
ko:K17463	seep:I137_18215
ko:K02566	seep:I137_10380
ko:K07126	seep:I137_10515
ko:K04720	seep:I137_10565
ko:K16787	seep:I137_14690
ko:K01480	seep:I137_14705
ko:K01585	seep:I137_14755
ko:K02428	seep:I137_14835
ko:K01424	seep:I137_14850
ko:K03289	seep:I137_14885
ko:K09471	seep:I137_14965
ko:K02116	seep:I137_17765
ko:K02193	seep:I137_17995
ko:K02100	seep:I137_14380
ko:K00065	seep:I137_14385
ko:K00626	seep:I137_14390
ko:K11530	seep:I137_17220
ko:K13283	seep:I137_17305
ko:K07640	seep:I137_17320
ko:K02855	seep:I137_17380
ko:K01629	seep:I137_17395
ko:K00124	seep:I137_17455
ko:K00127	seep:I137_17460
ko:K01002	seep:I137_21645
ko:K00564	seep:I137_21720
ko:K01619	seep:I137_21770
ko:K00758	seep:I137_21775
ko:K03784	seep:I137_21785
ko:K07186	seep:I137_21800
ko:K03743	seep:I137_13460
ko:K08305	seep:I137_13465
ko:K02783	seep:I137_13470
ko:K02782	seep:I137_13475
ko:K02783	seep:I137_13475
ko:K00068	seep:I137_13485
ko:K02466	seep:I137_13490
ko:K04652	seep:I137_13585
ko:K04655	seep:I137_13600
ko:K11604	seep:I137_13615
ko:K00247	seep:I137_20730
ko:K00245	seep:I137_20740
ko:K00244	seep:I137_20745
ko:K06889	seep:I137_20935
ko:K03476	seep:I137_20945
ko:K03475	seep:I137_20950
ko:K02822	seep:I137_20955
ko:K02821	seep:I137_20960
ko:K03077	seep:I137_20970
ko:K17686	seep:I137_11225
ko:K02342	seep:I137_12710
ko:K03469	seep:I137_12715
ko:K03499	seep:I137_19955
